,Max Proba
CD8_T_cells_HLA-DR+_glandfront_Ki67,0.315502459309365
Gland_mesenchymal_intragland_Ki67,0.17574310611711388
NK_cells_CD56brCD16-CD9hi_glandfront_pP38,0.12571079582372108
NA_glandfront_Ki67,0.11664636145161958
CD8_T_cells_FoxP3+_stromal_HLA-DR,0.11248447264832657
NK_cells_CD56brCD16-_stromal_TIM3,0.10494752570071399
CD8_T_cells_CD80_CD86+_glandfront_Ki67,0.10182137980068072
Gland_glandular_epithelium_intragland_Ki67,0.09495927539214699
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_GranzymeB,0.07697029208436676
Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB,0.07669151238650311
Gland_glandular_epithelium_intragland_HLA-DR,0.07606652637570788
NK_cells_CD56brCD16-TIM3hi_stromal_GranzymeB,0.07577437845235353
CD8_T_cells_CD11b+_glandfront_VEGF,0.07275466725411885
CD8_T_cells_FoxP3+_stromal_pP38,0.07220571281154908
CD8_T_cells_HLA-DR+_glandfront_ERa,0.07080690428125118
Macrophages_M2-like_stromal_GranzymeB,0.06694315750729077
Stroma_fibroblast_stromal_GranzymeB,0.06641579033384609
Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB,0.06608249064781152
NA_glandfront_GranzymeB,0.06580471487646887
Gland_fibroblast_intragland_TIM3,0.06509421740448569
NK_cells_CD56brCD16-_stromal_GranzymeB,0.06436392179030906
Dendritic_Cells_CD33+_stromal_GranzymeB,0.06390932971586795
NK_cells_CD56brCD16-CD9hi_stromal_HLA-DR,0.05840008023197852
CD4_T_cells_HLA-DR+_glandfront_Ki67,0.05595099945158327
Gland_glandular_epithelium_glandfront_Ki67,0.05428759513928285
CD8_T_cells_CD80_CD86+_glandfront_VEGF,0.05421736748787137
aSMA-br_vascular_endothelium_glandfront_GranzymeB,0.05169500494176063
CD8_T_cells_FoxP3+_glandfront_pP38,0.05147168634838929
CD4_T_cells_CD80_CD86+_stromal_HLA-DR,0.050309729836901955
Gland_fibroblast_intragland_HLA-DR,0.05016322911262595
NK_cells_CD56brCD16-TIM3hi_glandfront_pP38,0.05008967837688593
Macrophages_M1_M2_stromal_GranzymeB,0.04973714706844288
Dendritic_Cells_CD86+_glandfront_HLA-DR,0.04613552657203407
Macrophages_M1_M2_stromal_VEGF,0.045829754684764405
CD8_T_cells_FoxP3+_intragland_HLA-DR,0.044409121349216686
CD8_T_cells_HLA-DR+_stromal_Ki67,0.0440912792383174
Dendritic_Cells_CD86CD33dp_glandfront_Ki67,0.04376283109507711
