,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
CD4_T_cells_FoxP3+_glandfront_ERa,0.001823971513658762,0.0003365140873938799,0.0003980824549216777,0.00032321829348802567,0.0,0.001823971513658762,0.0003365140873938799,0.0003980824549216777,0.00032321829348802567,0.0,0.001823971513658762,0.0003365140873938799,0.0003980824549216777,0.00032321829348802567,0.0
CD4_T_cells_FoxP3+_glandfront_PR,0.0022134932223707438,0.0020438784267753363,0.002128060907125473,0.0021048374474048615,0.0033920500427484512,0.0022134932223707438,0.0020438784267753363,0.002128060907125473,0.0021048374474048615,0.0033920500427484512,0.0022134932223707438,0.0020438784267753363,0.002128060907125473,0.0021048374474048615,0.0033920500427484512
CD4_T_cells_FoxP3+_glandfront_pP38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_VEGF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_GranzymeB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_Ki67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_TIM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_HLA-DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_stromal_ERa,0.007642269600182772,0.0034114900045096874,0.0032436044421046972,0.0016037824098020792,0.004345819354057312,0.007642269600182772,0.0034114900045096874,0.0032436044421046972,0.0016037824098020792,0.004345819354057312,0.007642269600182772,0.0034114900045096874,0.0032436044421046972,0.0016037824098020792,0.004345819354057312
CD4_T_cells_FoxP3+_stromal_PR,0.0007852544658817351,0.000488192803459242,0.00024251380818895996,0.0007515754550695419,0.001246000756509602,0.0007852544658817351,0.000488192803459242,0.00024251380818895996,0.0007515754550695419,0.001246000756509602,0.0007852544658817351,0.000488192803459242,0.00024251380818895996,0.0007515754550695419,0.001246000756509602
CD4_T_cells_FoxP3+_stromal_pP38,0.0,0.0,0.0007735650870017707,0.0005446727154776454,0.0004951768205501139,0.0,0.0,0.0007735650870017707,0.0005446727154776454,0.0004951768205501139,0.0,0.0,0.0007735650870017707,0.0005446727154776454,0.0004951768205501139
CD4_T_cells_FoxP3+_stromal_VEGF,0.002439293311908841,0.0018277534982189536,0.0014532820787280798,0.0016270613996312022,0.0,0.0024129156954586506,0.0018277534982189536,0.0014532820787280798,0.0016270613996312022,0.0,0.0024129156954586506,0.0018277534982189536,0.0014532820787280798,0.0016270613996312022,0.0
CD4_T_cells_FoxP3+_stromal_GranzymeB,0.00030415403307415545,0.00020958254754077643,0.0,0.0,0.0,0.00030415403307415545,0.00020958254754077643,0.0,0.0,0.0,0.00030415403307415545,0.00020958254754077643,0.0,0.0,0.0
CD4_T_cells_FoxP3+_stromal_Ki67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_stromal_HLA-DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8_T_cells_FoxP3+_glandfront_ERa,0.011264553293585777,0.0075868708081543446,0.00827397033572197,0.005197824444621801,0.0004941502120345831,0.011264553293585777,0.0075868708081543446,0.00827397033572197,0.005197824444621801,0.0004941502120345831,0.011264553293585777,0.0075868708081543446,0.00827397033572197,0.005197824444621801,0.0004941502120345831
CD8_T_cells_FoxP3+_glandfront_PR,0.005930637940764427,0.005874029826372862,0.0034852249082177877,0.0023557557724416256,0.00021059458958916366,0.005930637940764427,0.005874029826372862,0.0034852249082177877,0.0023557557724416256,0.00021059458958916366,0.005930637940764427,0.005874029826372862,0.0034852249082177877,0.0023557557724416256,0.00021059458958916366
CD8_T_cells_FoxP3+_glandfront_pP38,0.006538039073348045,0.007279548328369856,0.005761628970503807,0.003218367462977767,0.00015049487410578877,0.006538039073348045,0.007279548328369856,0.005761628970503807,0.003218367462977767,0.00015049487410578877,0.006538039073348045,0.007279548328369856,0.005761628970503807,0.003218367462977767,0.00015049487410578877
CD8_T_cells_FoxP3+_glandfront_VEGF,0.006340232212096453,0.004002205096185207,0.00431680167093873,0.004906552843749523,0.009148892015218735,0.007007332053035498,0.004002205096185207,0.00431680167093873,0.004906552843749523,0.009148892015218735,0.007007332053035498,0.004002205096185207,0.00431680167093873,0.004906552843749523,0.009148892015218735
CD8_T_cells_FoxP3+_glandfront_GranzymeB,0.0029693436808884144,0.00291082845069468,0.002578496700152755,0.0016861390322446823,0.0,0.0029693436808884144,0.00291082845069468,0.002578496700152755,0.0016861390322446823,0.0,0.0029693436808884144,0.00291082845069468,0.002578496700152755,0.0016861390322446823,0.0
