,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
CD4_T_cells_FoxP3+_glandfront_ERa,0.005370555729247835,0.00048394404028490333,0.0006530194825770836,0.000697904869339485,0.0,0.005370555729247835,0.00048394404028490333,0.0006530194825770836,0.000697904869339485,0.0,0.005370555729247835,0.00048394404028490333,0.0006530194825770836,0.000697904869339485,0.0
CD4_T_cells_FoxP3+_glandfront_PR,0.004,0.0038096417410977304,0.003210459489116302,0.0023599159216844794,0.004,0.004,0.0038096417410977304,0.003210459489116302,0.0023599159216844794,0.004,0.004,0.0038096417410977304,0.003210459489116302,0.0023599159216844794,0.004
CD4_T_cells_FoxP3+_glandfront_pP38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_VEGF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_GranzymeB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_Ki67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_TIM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_HLA-DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_stromal_ERa,0.020430763074655835,0.003515970436616261,0.003415623427021234,0.00255003157770474,0.0027988850365290815,0.020430763074655835,0.003515970436616261,0.003415623427021234,0.00255003157770474,0.0027988850365290815,0.020430763074655835,0.003515970436616261,0.003415623427021234,0.00255003157770474,0.0027988850365290815
CD4_T_cells_FoxP3+_stromal_PR,0.0023260401417478124,0.0012378887043146007,0.00040739375464935346,0.0018503031100566983,0.0017758903719505429,0.0023260401417478124,0.0012378887043146007,0.00040739375464935346,0.0018503031100566983,0.0017758903719505429,0.0023260401417478124,0.0012378887043146007,0.00040739375464935346,0.0018503031100566983,0.0017758903719505429
CD4_T_cells_FoxP3+_stromal_pP38,0.0,0.0,0.0009164875724891508,0.0005477264607894028,0.0003306517750666191,0.0,0.0,0.0009164875724891508,0.0005477264607894028,0.0003306517750666191,0.0,0.0,0.0009164875724891508,0.0005477264607894028,0.0003306517750666191
CD4_T_cells_FoxP3+_stromal_VEGF,0.0043634431663895435,0.0024287974794231174,0.001960291655915864,0.002278193799279574,0.0,0.004352285573755928,0.0024287974794231174,0.001960291655915864,0.002278193799279574,0.0,0.004352285573755928,0.0024287974794231174,0.001960291655915864,0.002278193799279574,0.0
CD4_T_cells_FoxP3+_stromal_GranzymeB,0.00039721365909937186,0.0001604370421451499,0.0,0.0,0.0,0.00039721365909937186,0.0001604370421451499,0.0,0.0,0.0,0.00039721365909937186,0.0001604370421451499,0.0,0.0,0.0
CD4_T_cells_FoxP3+_stromal_Ki67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_stromal_HLA-DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
