,Fold selected features,Fold nb of features
Fold 0,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'Stroma_fibroblast_glandfront_GranzymeB', 'Stroma_fibroblast_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'aSMA-br_fibroblast_glandfront_GranzymeB']",11
Fold 1,"['CD4_T_cells_CD80_CD86+_glandfront_Ki67', 'CD8_T_cells_CD80_CD86+_glandfront_VEGF', 'Stroma_fibroblast_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'aSMA-br_fibroblast_glandfront_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'Gland_fibroblast_glandfront_VEGF']",9
Fold 2,"['NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",4
Fold 3,"['NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB']",3
Fold 4,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_HLA-DR', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'aSMA-br_mesenchymal_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",10
Fold 5,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB']",5
Fold 6,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",5
Fold 7,"['CD4_T_cells_CD80_CD86+_glandfront_GranzymeB', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'Stroma_fibroblast_stromal_GranzymeB', 'Macrophages_M1-like_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",9
Fold 8,"['NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",3
Fold 9,"['NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_HLA-DR', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_Ki67']",6
Fold 10,"['NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'NK_cells_CD56brCD16-CD9hi_stromal_GranzymeB', 'Macrophages_M1-like_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'aSMA-br_fibroblast_glandfront_GranzymeB', 'aSMA-br_fibroblast_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'aSMA-br_vascular_endothelium_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",11
Fold 11,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'Stroma_mesenchymal_glandfront_GranzymeB', 'Stroma_mesenchymal_stromal_GranzymeB', 'Stroma_fibroblast_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB']",7
Fold 12,"['Stroma_fibroblast_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1-like_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'aSMA-br_fibroblast_glandfront_GranzymeB', 'aSMA-br_fibroblast_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",9
Fold 13,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_Ki67']",11
Fold 14,"['CD8_T_cells_HLA-DR+_stromal_VEGF', 'CD4_T_cells_CD80_CD86+_glandfront_GranzymeB', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'Stroma_mesenchymal_glandfront_GranzymeB', 'Stroma_mesenchymal_stromal_GranzymeB', 'Stroma_vascular_endothelium_glandfront_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1-like_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD33dp_stromal_GranzymeB', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'NKT_glandfront_pP38', 'aSMA-br_fibroblast_stromal_GranzymeB', 'aSMA-br_mesenchymal_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_mesenchymal_stromal_GranzymeB', 'Gland_fibroblast_glandfront_VEGF', 'Gland_fibroblast_intragland_HLA-DR']",22
Fold 15,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'aSMA-br_fibroblast_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",6
Fold 16,"['CD8_T_cells_CD80_CD86+_glandfront_VEGF', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1-like_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'aSMA-br_fibroblast_glandfront_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'aSMA-br_vascular_endothelium_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_Ki67']",10
Fold 17,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",7
Fold 18,"['Stroma_fibroblast_stromal_VEGF', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1-like_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'aSMA-br_fibroblast_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",7
Fold 19,"['NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'aSMA-br_fibroblast_glandfront_GranzymeB']",7
Fold 20,"['NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",5
Fold 21,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1-like_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",7
Fold 22,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'Stroma_mesenchymal_glandfront_GranzymeB', 'Stroma_fibroblast_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1-like_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD86dp_stromal_Ki67', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'aSMA-br_fibroblast_glandfront_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_Ki67']",14
Fold 23,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'CD4_T_cells_CD11b+_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1-like_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Neutrophils_glandfront_TIM3', 'aSMA-br_fibroblast_glandfront_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'aSMA-br_vascular_endothelium_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_Ki67']",15
Fold 24,"['Stroma_vascular_endothelium_glandfront_GranzymeB', 'Stroma_fibroblast_stromal_GranzymeB', 'NK_cells_CD56brCD16-_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'NK_cells_CD56brCD16-CD9hi_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",8
Fold 25,"['NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",4
Fold 26,"['Stroma_mesenchymal_glandfront_GranzymeB', 'Stroma_vascular_endothelium_glandfront_GranzymeB', 'Stroma_fibroblast_glandfront_GranzymeB', 'Stroma_fibroblast_stromal_GranzymeB', 'NK_cells_CD56brCD16-_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'NK_cells_CD56brCD16-CD9hi_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'aSMA-br_fibroblast_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_vascular_endothelium_stromal_GranzymeB']",13
Fold 27,"['CD8_T_cells_CD80_CD86+_glandfront_VEGF', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'NKT_glandfront_Ki67', 'aSMA-br_fibroblast_glandfront_GranzymeB', 'aSMA-br_fibroblast_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'aSMA-br_vascular_endothelium_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_Ki67']",12
Fold 28,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'NK_cells_CD56brCD16-CD9hi_stromal_GranzymeB', 'Macrophages_M1-like_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",8
Fold 29,"['Stroma_vascular_endothelium_glandfront_GranzymeB', 'Stroma_fibroblast_stromal_GranzymeB', 'NK_cells_CD56brCD16-_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'NK_cells_CD56brCD16-CD9hi_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",7
Fold 30,"['Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB']",2
Fold 31,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1-like_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB']",4
Fold 32,"['NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_PR', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'aSMA-br_fibroblast_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",9
Fold 33,"['CD4_T_cells_CD80_CD86+_glandfront_GranzymeB', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'Stroma_mesenchymal_glandfront_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_HLA-DR', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'aSMA-br_mesenchymal_glandfront_GranzymeB', 'aSMA-br_mesenchymal_stromal_GranzymeB']",11
Fold 34,"['Stroma_vascular_endothelium_glandfront_GranzymeB', 'Stroma_fibroblast_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_Ki67', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",8
Fold 35,"['Stroma_mesenchymal_glandfront_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_GranzymeB']",9
Fold 36,"['CD4_T_cells_CD80_CD86+_glandfront_GranzymeB', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",6
Fold 37,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'Stroma_fibroblast_stromal_VEGF', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1-like_stromal_GranzymeB', 'Macrophages_M2-like_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_Ki67', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB']",9
Fold 38,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB']",4
