,Max Proba
Gland_mesenchymal_intragland_Ki67,0.18246226947490174
Gland_glandular_epithelium_intragland_Ki67,0.13081141054987605
Dendritic_Cells_CD33+_stromal_GranzymeB,0.1158650885159395
Macrophages_M1-like_stromal_GranzymeB,0.1146934319368572
CD8_T_cells_HLA-DR+_glandfront_ERa,0.10397463306326007
Macrophages_M2-like_stromal_GranzymeB,0.09510964056787904
Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB,0.09320079972520856
CD8_T_cells_HLA-DR+_glandfront_Ki67,0.08922782051993965
Dendritic_Cells_CD86CD33dp_glandfront_GranzymeB,0.05547474475279905
CD4_T_cells_FoxP3+_glandfront_TIM3,0.047258345023307245
Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB,0.04703232160314987
Gland_glandular_epithelium_glandfront_Ki67,0.0461260395417117
Gland_fibroblast_intragland_TIM3,0.04504263055762682
Macrophages_MDSC_glandfront_GranzymeB,0.04294777736003592
Dendritic_Cells_CD209CD86dp_glandfront_Ki67,0.04175536109395142
Macrophages_M1_M2_stromal_GranzymeB,0.04141988051576287
NKT_glandfront_Ki67,0.039352383505357955
CD4_T_cells_FoxP3+_glandfront_HLA-DR,0.03813194126390067
CD8_T_cells_CD11b+_glandfront_VEGF,0.035507526555360235
CD8_T_cells_FoxP3+_glandfront_pP38,0.035016691947158896
aSMA-br_vascular_endothelium_glandfront_GranzymeB,0.031168788962956807
CD8_T_cells_FoxP3+_stromal_HLA-DR,0.03070147077298867
Stroma_fibroblast_stromal_GranzymeB,0.030420621733762265
aSMA-br_mesenchymal_stromal_GranzymeB,0.029222677292762882
Dendritic_Cells_CD86+_stromal_GranzymeB,0.02911502469168238
NK_cells_CD56brCD16-_stromal_TIM3,0.028378625555825904
NK_cells_CD56brCD16-TIM3hi_stromal_GranzymeB,0.02834100714109038
Gland_glandular_epithelium_intragland_HLA-DR,0.026700189353088634
CD8_T_cells_FoxP3+_stromal_pP38,0.02592556285713897
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_GranzymeB,0.023809783382585468
CD8_T_cells_CD80_CD86+_glandfront_VEGF,0.022498722430719445
CD8_T_cells_FoxP3+_intragland_HLA-DR,0.02201113962016156
aSMA-br_mesenchymal_glandfront_GranzymeB,0.021671573837214107
NK_cells_CD56brCD16-TIM3hi_glandfront_pP38,0.021230404353924436
