,Feature Name
Feature n°1,CD8_T_cells_FoxP3+_stromal_area
Feature n°2,CD4_T_cells_HLA-DR+_glandfront_area
Feature n°3,CD4_T_cells_HLA-DR+_stromal_area
Feature n°4,CD8_T_cells_HLA-DR+_glandfront_area
Feature n°5,CD4_T_cells_CD80_CD86+_glandfront_area
Feature n°6,CD4_T_cells_CD80_CD86+_stromal_area
Feature n°7,CD8_T_cells_CD80_CD86+_stromal_area
Feature n°8,CD8_T_cells_CD11b+_glandfront_area
Feature n°9,Stroma_fibroblast_stromal_area
Feature n°10,NK_cells_CD56brCD16-_stromal_area
Feature n°11,NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_area
Feature n°12,Macrophages_M1-like_glandfront_area
Feature n°13,Macrophages_M1-like_stromal_area
Feature n°14,Macrophages_M2-like_glandfront_area
Feature n°15,Macrophages_M2-like_stromal_area
Feature n°16,Macrophages_M1_M2_glandfront_area
Feature n°17,Macrophages_M1_M2_stromal_area
Feature n°18,Macrophages_MDSC_stromal_area
Feature n°19,Dendritic_Cells_CD33+_intragland_area
Feature n°20,Dendritic_Cells_CD33+_stromal_area
Feature n°21,Dendritic_Cells_CD209CD86dp_stromal_area
Feature n°22,Dendritic_Cells_CD209CD33dp_glandfront_area
Feature n°23,Neutrophils_stromal_area
Feature n°24,aSMA-br_mesenchymal_stromal_area
Feature n°25,aSMA-br_vascular_endothelium_glandfront_area
Feature n°26,aSMA-br_vascular_endothelium_stromal_area
Feature n°27,Gland_mesenchymal_stromal_area
Feature n°28,Gland_fibroblast_intragland_area
Feature n°29,Gland_vascular_endothelium_glandfront_area
Feature n°30,NA_glandfront_area
Feature n°31,NA_stromal_area
Feature n°32,CD4_T_cells_FoxP3+_glandfront_eccentricity
Feature n°33,CD4_T_cells_FoxP3+_stromal_eccentricity
Feature n°34,CD8_T_cells_FoxP3+_glandfront_eccentricity
Feature n°35,CD8_T_cells_FoxP3+_stromal_eccentricity
Feature n°36,CD4_T_cells_HLA-DR+_stromal_eccentricity
Feature n°37,CD8_T_cells_HLA-DR+_glandfront_eccentricity
Feature n°38,CD8_T_cells_HLA-DR+_stromal_eccentricity
Feature n°39,CD8_T_cells_CD80_CD86+_glandfront_eccentricity
Feature n°40,CD8_T_cells_CD11b+_glandfront_eccentricity
Feature n°41,CD8_T_cells_CD11b+_stromal_eccentricity
Feature n°42,NK_cells_CD56dimCD16+_glandfront_eccentricity
Feature n°43,NK_cells_CD56dimCD16+_stromal_eccentricity
Feature n°44,NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity
Feature n°45,Dendritic_Cells_CD209CD86dp_glandfront_eccentricity
Feature n°46,Gland_mesenchymal_intragland_eccentricity
Feature n°47,Gland_fibroblast_intragland_eccentricity
Feature n°48,CD4_T_cells_FoxP3+_glandfront_celldistance
Feature n°49,CD4_T_cells_CD80_CD86+_glandfront_celldistance
Feature n°50,CD8_T_cells_CD80_CD86+_glandfront_celldistance
Feature n°51,NK_cells_CD56dimCD16+_glandfront_celldistance
Feature n°52,NK_cells_CD56brCD16-TIM3hi_glandfront_celldistance
Feature n°53,Macrophages_M1_M2_glandfront_celldistance
Feature n°54,Macrophages_MDSC_glandfront_celldistance
Feature n°55,Dendritic_Cells_CD209CD86dp_glandfront_celldistance
Feature n°56,Dendritic_Cells_CD209CD33dp_glandfront_celldistance
Feature n°57,Dendritic_Cells_CD86CD33dp_glandfront_celldistance
Feature n°58,Neutrophils_glandfront_celldistance
Feature n°59,NKT_glandfront_celldistance
Feature n°60,aSMA-br_fibroblast_glandfront_celldistance
Feature n°61,aSMA-br_mesenchymal_glandfront_celldistance
Feature n°62,aSMA-br_vascular_endothelium_glandfront_celldistance
Feature n°63,NA_glandfront_celldistance
