,Max Proba
aSMA-br_vascular_endothelium_stromal_area,0.3612745404243469
CD4_T_cells_CD80_CD86+_stromal_area,0.32463937997817993
Macrophages_M1-like_glandfront_area,0.18011480569839478
Macrophages_M2-like_stromal_area,0.17383627593517303
aSMA-br_mesenchymal_stromal_area,0.17291595041751862
Macrophages_M1-like_stromal_area,0.16641946136951447
aSMA-br_fibroblast_stromal_area,0.1547337770462036
Stroma_vascular_endothelium_stromal_area,0.11052323132753372
CD8_T_cells_CD80_CD86+_stromal_eccentricity,0.09148432314395905
Macrophages_M1_M2_stromal_area,0.08848020434379578
CD8_T_cells_CD80_CD86+_glandfront_celldistance,0.08235443383455276
Gland_glandular_epithelium_glandfront_area,0.07981914281845093
Dendritic_Cells_CD209CD86dp_glandfront_eccentricity,0.0786157175898552
Stroma_mesenchymal_stromal_area,0.052359405905008316
Gland_mesenchymal_intragland_eccentricity,0.05020306631922722
aSMA-br_vascular_endothelium_glandfront_area,0.049784254282712936
CD8_T_cells_CD80_CD86+_glandfront_area,0.04835416376590729
CD8_T_cells_CD80_CD86+_stromal_area,0.041450027376413345
NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity,0.03630542755126953
NA_glandfront_eccentricity,0.02751024067401886
aSMA-br_vascular_endothelium_glandfront_celldistance,0.02703891694545746
Gland_fibroblast_intragland_area,0.026988407596945763
Dendritic_Cells_CD209CD86dp_glandfront_celldistance,0.026855936273932457
Dendritic_Cells_CD86CD33dp_stromal_eccentricity,0.02657501958310604
CD8_T_cells_CD11b+_stromal_eccentricity,0.026262858882546425
Macrophages_M2-like_glandfront_area,0.02474370039999485
CD4_T_cells_FoxP3+_stromal_eccentricity,0.02404206059873104
Gland_glandular_epithelium_intragland_eccentricity,0.02393498457968235
CD8_T_cells_HLA-DR+_stromal_area,0.022485844790935516
Macrophages_MDSC_stromal_eccentricity,0.021358568221330643
Stroma_fibroblast_stromal_area,0.021017391234636307
Gland_mesenchymal_stromal_eccentricity,0.020691826939582825
Dendritic_Cells_CD33+_stromal_eccentricity,0.02057117037475109
Stroma_mesenchymal_glandfront_area,0.02016746625304222
CD8_T_cells_CD11b+_glandfront_eccentricity,0.020045574754476547
Macrophages_M1_M2_glandfront_eccentricity,0.019556846469640732
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_eccentricity,0.019207315519452095
