,Max Proba
CD4_T_cells_CD80_CD86+_stromal_area,0.33564249304964844
Macrophages_M1_M2_stromal_area,0.2801402123003508
Macrophages_M1-like_stromal_area,0.1850060009445161
CD8_T_cells_HLA-DR+_glandfront_eccentricity,0.141161399055765
NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity,0.12558047257516988
CD4_T_cells_FoxP3+_glandfront_eccentricity,0.10709691467286966
Macrophages_M1-like_glandfront_area,0.10292027045120747
aSMA-br_vascular_endothelium_glandfront_area,0.09938809968299335
CD4_T_cells_FoxP3+_stromal_eccentricity,0.09802707489211923
CD4_T_cells_FoxP3+_glandfront_area,0.09586710001035315
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_area,0.08182436701547831
CD4_T_cells_FoxP3+_glandfront_celldistance,0.08017604186673391
Dendritic_Cells_CD209CD86dp_glandfront_celldistance,0.07722175988561547
CD8_T_cells_HLA-DR+_glandfront_area,0.07553612950223332
NK_cells_CD56brCD16-_stromal_area,0.07479323919634247
Neutrophils_stromal_area,0.07275917009369497
Gland_glandular_epithelium_glandfront_area,0.0706808517221848
CD8_T_cells_CD11b+_glandfront_area,0.0691407788177116
Macrophages_MDSC_stromal_area,0.06593670325206358
NK_cells_CD56dimCD16+_glandfront_celldistance,0.058500347759387665
NA_stromal_area,0.058420877265666825
CD8_T_cells_FoxP3+_stromal_eccentricity,0.0577403849323669
Dendritic_Cells_CD209CD86dp_glandfront_eccentricity,0.05669473216840533
Dendritic_Cells_CD209CD86dp_stromal_area,0.054854941066521924
Dendritic_Cells_CD33+_stromal_area,0.05358522263760552
aSMA-br_mesenchymal_stromal_area,0.05023833016910292
NK_cells_CD56brCD16-TIM3hi_glandfront_celldistance,0.04937796900053313
Macrophages_M2-like_stromal_area,0.04910405631308144
CD8_T_cells_CD80_CD86+_intragland_eccentricity,0.04903500562751956
CD8_T_cells_CD80_CD86+_glandfront_eccentricity,0.04897364944569513
Gland_fibroblast_intragland_eccentricity,0.040689477676416765
Stroma_fibroblast_stromal_area,0.04068467253986164
Macrophages_M2-like_glandfront_area,0.038877730863304295
CD8_T_cells_CD80_CD86+_stromal_area,0.03735741855385405
CD8_T_cells_FoxP3+_stromal_area,0.03406945559698978
Dendritic_Cells_CD209CD33dp_glandfront_area,0.030943617683544096
Dendritic_Cells_CD209CD33dp_stromal_eccentricity,0.030378074943139814
Macrophages_M1_M2_glandfront_celldistance,0.029615913865326388
aSMA-br_vascular_endothelium_stromal_area,0.029436577621948744
CD8_T_cells_CD11b+_stromal_eccentricity,0.028353973880720022
CD8_T_cells_FoxP3+_glandfront_eccentricity,0.02697547879375268
Macrophages_M1_M2_glandfront_area,0.025817742920999878
CD8_T_cells_CD80_CD86+_glandfront_celldistance,0.025085208654760844
CD8_T_cells_CD11b+_glandfront_eccentricity,0.024951348061775718
CD4_T_cells_CD11b+_stromal_area,0.024476533962368093
CD4_T_cells_CD11b+_glandfront_area,0.024391181571906926
aSMA-br_fibroblast_glandfront_celldistance,0.023934000169248085
CD4_T_cells_CD80_CD86+_glandfront_area,0.02371768704655259
Gland_glandular_epithelium_intragland_area,0.023520435040121128
Gland_fibroblast_intragland_area,0.02230633321411224
Gland_mesenchymal_stromal_area,0.02073106743243019
NK_cells_CD56dimCD16+_stromal_eccentricity,0.020729125578417103
NK_cells_CD56brCD16-CD9hi_glandfront_celldistance,0.01954105499149933
Dendritic_Cells_CD86+_glandfront_eccentricity,0.019528154909492716
Stroma_fibroblast_glandfront_area,0.019416604511517912
CD4_T_cells_HLA-DR+_stromal_area,0.018862747410850138
NA_glandfront_celldistance,0.01725626987024419
NK_cells_CD56brCD16-_glandfront_celldistance,0.016808193229638852
Gland_mesenchymal_intragland_eccentricity,0.016629849739692188
Neutrophils_glandfront_area,0.016340516606453432
Dendritic_Cells_CD33+_intragland_area,0.016226541303894847
NK_cells_CD56brCD16-TIM3hi_stromal_area,0.01579209025962084
Dendritic_Cells_CD209CD33dp_glandfront_celldistance,0.015223145524529802
CD4_T_cells_HLA-DR+_stromal_eccentricity,0.014988439771014005
Dendritic_Cells_CD86CD33dp_glandfront_celldistance,0.014758745212514277
NK_cells_CD56dimCD16+CD9hi_glandfront_celldistance,0.014629880226233547
Macrophages_MDSC_glandfront_celldistance,0.013718554004459553
Neutrophils_glandfront_celldistance,0.013357318163423743
NA_glandfront_area,0.013319876797295259
NK_cells_CD56brCD16-CD9hi_glandfront_area,0.01309342724143344
NA_glandfront_eccentricity,0.012985287932079774
CD4_T_cells_HLA-DR+_glandfront_area,0.012354364894367973
NK_cells_CD56dimCD16+_glandfront_eccentricity,0.012221775480491203
Gland_vascular_endothelium_stromal_area,0.011946686559646839
Stroma_vascular_endothelium_stromal_area,0.011605799683283395
NK_cells_CD56brCD16-TIM3hi_glandfront_area,0.011061681602249273
CD8_T_cells_HLA-DR+_glandfront_celldistance,0.010541367280345756
CD4_T_cells_CD11b+_stromal_eccentricity,0.010431588823573826
Dendritic_Cells_CD33+_glandfront_celldistance,0.01035410337963619
CD8_T_cells_CD80_CD86+_intragland_area,0.01028346404831118
aSMA-br_vascular_endothelium_glandfront_celldistance,0.010200257936094177
CD4_T_cells_HLA-DR+_glandfront_celldistance,0.010178991426016415
NKT_glandfront_area,0.009937959725966585
NK_cells_CD56dimCD16+CD9hi_intragland_area,0.009889570572247569
Gland_mesenchymal_stromal_eccentricity,0.009506227259536407
CD4_T_cells_CD11b+_glandfront_eccentricity,0.009216566078369699
NK_cells_CD56brCD16-_stromal_eccentricity,0.00906666860636015
CD8_T_cells_CD80_CD86+_glandfront_area,0.008747026137531795
Gland_vascular_endothelium_glandfront_celldistance,0.008627542528427443
Dendritic_Cells_CD86+_stromal_eccentricity,0.008147506170745078
Neutrophils_glandfront_eccentricity,0.007961453232945307
CD8_T_cells_HLA-DR+_stromal_area,0.007734183653364349
NK_cells_CD56brCD16-CD9hi_glandfront_eccentricity,0.007267423560371128
CD8_T_cells_CD11b+_intragland_area,0.007253212303471165
Gland_glandular_epithelium_intragland_eccentricity,0.007211438922558759
Gland_vascular_endothelium_glandfront_area,0.006852204012452386
Dendritic_Cells_CD86CD33dp_glandfront_area,0.0067085889241730095
Stroma_fibroblast_glandfront_celldistance,0.0066633726798006115
Macrophages_M2-like_glandfront_celldistance,0.006651595050853232
Stroma_vascular_endothelium_glandfront_celldistance,0.006446852787173396
Stroma_vascular_endothelium_glandfront_area,0.005812627011341788
Dendritic_Cells_CD33+_stromal_eccentricity,0.005617958565682133
Dendritic_Cells_CD86+_stromal_area,0.005575743974172166
Dendritic_Cells_CD86+_glandfront_area,0.005501076922518646
Dendritic_Cells_CD86+_glandfront_celldistance,0.005442743147995691
Gland_fibroblast_stromal_area,0.0052852110260363525
Dendritic_Cells_CD33+_intragland_eccentricity,0.005025272594991657
Gland_vascular_endothelium_glandfront_eccentricity,0.004556729486583907
