,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
CD4_T_cells_FoxP3+_glandfront_area,0.017719492316246033,0.014700124971568584,0.013966018334031105,0.0160202793776989,0.027972238138318062,0.017592109739780426,0.014700124971568584,0.013966018334031105,0.01600784808397293,0.027972238138318062,0.017592109739780426,0.014700124971568584,0.013966018334031105,0.01600784808397293,0.027972238138318062
CD4_T_cells_FoxP3+_stromal_area,0.0033955175895243883,0.001322004129178822,0.0028602301608771086,0.002580581931397319,0.0012811238411813974,0.003585765603929758,0.001322004129178822,0.0028602301608771086,0.002580581931397319,0.0012811238411813974,0.003585765603929758,0.001322004129178822,0.0028602301608771086,0.002580581931397319,0.0012811238411813974
CD8_T_cells_FoxP3+_glandfront_area,0.01236446388065815,0.007175405975431204,0.006416616961359978,0.007531318347901106,0.003467697650194168,0.012533447705209255,0.0071863350458443165,0.006356131285429001,0.007526852656155825,0.003467697650194168,0.012533447705209255,0.0071863350458443165,0.006356131285429001,0.007526852656155825,0.003467697650194168
CD8_T_cells_FoxP3+_intragland_area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8_T_cells_FoxP3+_stromal_area,0.01653483137488365,0.01324146892875433,0.01092444732785225,0.008157466538250446,0.0007113419123925269,0.01650174707174301,0.01324146892875433,0.010908626019954681,0.008157466538250446,0.0007113419123925269,0.01650174707174301,0.01324146892875433,0.010908626019954681,0.008157466538250446,0.0007113419123925269
CD4_T_cells_HLA-DR+_glandfront_area,0.007245301268994808,0.009029217064380646,0.008048252202570438,0.004051076713949442,0.0,0.006315109319984913,0.008803325705230236,0.007945222780108452,0.004051076713949442,0.0,0.006315109319984913,0.008803325705230236,0.007945222780108452,0.004051076713949442,0.0
CD4_T_cells_HLA-DR+_intragland_area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_HLA-DR+_stromal_area,0.002077711746096611,0.0013758125714957714,0.0013158379588276148,0.00017591296636965126,0.0,0.0021889477502554655,0.0013758125714957714,0.0013158379588276148,0.00017591296636965126,0.0,0.0021889477502554655,0.0013758125714957714,0.0013158379588276148,0.00017591296636965126,0.0
CD8_T_cells_HLA-DR+_glandfront_area,0.01728166826069355,0.011136703193187714,0.008582612499594688,0.0060264598578214645,0.0009938946459442377,0.017077172175049782,0.011136703193187714,0.008474374189972878,0.0060264598578214645,0.0009938946459442377,0.017077172175049782,0.011136703193187714,0.008474374189972878,0.0060264598578214645,0.0009938946459442377
CD8_T_cells_HLA-DR+_intragland_area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
