,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
artificial.1,0.0,0.0,0.0,0.00018368362824179785,0.0029927019732862697,0.005546918126408974,0.007288571738851619,0.00859196069978454,0.01054068496926295,0.01207013921772112
artificial.2,0.0,0.0,0.0,0.002828989887827572,0.01826431775232028,0.030921988524288103,0.0360658131317909,0.0396247066074466,0.04490474340401391,0.05271099688874935
artificial.3,0.0,0.0,0.0,0.021267172624365633,0.0466948619661927,0.054429455672532684,0.05977779344072012,0.0626689297360369,0.06563098045512566,0.06857856169934563
artificial.4,0.0,0.0,0.0,0.0,0.0030834175534595553,0.005081122705493286,0.007125691584708196,0.00828405139650825,0.009195591653108634,0.011540739748125636
artificial.5,0.0,0.0,0.0,0.0,0.00495054846665637,0.010266030827302135,0.011318647202528863,0.012121864371957815,0.012966480221079687,0.015105446558379528
artificial.6,0.0,0.0,0.0,0.0038779707594309414,0.013572908376277575,0.01754289343439,0.020912185507319884,0.02208692248385583,0.024657066194914354,0.029294714076419582
artificial.7,0.0,0.0,0.0,0.0,0.0017946825612770946,0.005600171154216227,0.007421582955493561,0.008563436842106625,0.009902676091512061,0.011250273458539151
artificial.8,0.0,0.0,0.0,0.03649180840188723,0.10690619617110857,0.1222898669900029,0.1285811932039997,0.13207966495523263,0.13644710599934637,0.14868029641928404
artificial.9,0.0,0.0,0.002,0.016482693163748268,0.03460411622022182,0.0447629265736107,0.05095716129798761,0.05506052466575891,0.05935542484249306,0.06515715258267386
artificial.10,0.0,0.0,0.0,0.0,0.0010480017923503058,0.002821289692981754,0.00407157098221815,0.005747385170448109,0.00743956466320302,0.00925680737063333
artificial.11,0.0,0.0,0.0,0.0,0.0008492530005477323,0.0025680615559317953,0.003340485768063029,0.003875624569421093,0.004155910607684822,0.005918655970908157
artificial.12,0.0,0.0,0.0,0.0013997535731255825,0.005942062992878566,0.008528500189145855,0.010002581830125904,0.012098687940713997,0.014028636970068249,0.016699159607648253
artificial.13,0.0,0.0,0.0,0.0011276682807444243,0.013715971301691929,0.018606636046571597,0.0193036964495068,0.02050085827938802,0.021561562572890568,0.021936746534292964
artificial.14,0.0,0.0,0.0,0.0,0.006696979085218158,0.01024391011450196,0.012999473720901888,0.015058886405364331,0.01599357216656416,0.018879370858190907
artificial.15,0.0,0.0,0.0,0.00547085070692607,0.015608254725356168,0.020674427771214914,0.023346634676508285,0.02509494659497478,0.025929260060588395,0.026649427052367086
artificial.16,0.0,0.0,0.0,0.0,0.0007830496848459369,0.001953920194608654,0.0025338558708230623,0.0025847922410070587,0.002722429130108295,0.003283467322597689
artificial.17,0.0,0.0,0.0,0.006692905745310236,0.014690522888115879,0.019079164810232748,0.022055474563145168,0.02227431256917938,0.024373702029209358,0.026820559020631834
artificial.18,0.0,0.0,0.0,0.00024183334969185506,0.004350634912334172,0.007759549782769027,0.008881057087159165,0.009811396436020095,0.010340412054593713,0.010992119860405929
artificial.19,0.0,0.0,0.0,0.0,1.5420429467536645e-05,0.0008628924646000428,0.0014349542008275193,0.0021680045838733705,0.0023903893736996,0.0025454457752802757
artificial.20,0.0,0.0,0.0,0.004277223380931916,0.007459025268555635,0.009321845461167159,0.011887424555830006,0.013654659588709402,0.014351454171414093,0.015360975719540634
artificial.21,0.0,0.0,0.0,0.007617228032441096,0.008761612805993572,0.01083088525625253,0.012210608635255223,0.013110787174833488,0.014434465227123248,0.015751583216042662
artificial.22,0.0,0.0,0.0,0.0,0.0027043531757083602,0.0036184475955998085,0.004115891801589599,0.004376167191391102,0.004270191021751587,0.004631239737652476
artificial.23,0.0,0.0,0.0,0.0059527184437797726,0.012217033725850899,0.014278331239265057,0.016047462876799944,0.01810743624529424,0.019258602560406495,0.020395886357094082
artificial.24,0.0,0.0,0.0,0.00044543443729904873,0.009922594832564658,0.011960721712539183,0.013559244106011302,0.01448853669326077,0.015243106403534682,0.017739542284510263
artificial.25,0.0,0.0,0.0,0.010016896600046534,0.014802535759079907,0.014998453477920563,0.015483255846821696,0.016909806633069444,0.019262097227327676,0.02151698369043732
artificial.26,0.0,0.0,0.0,8.220437845294142e-05,0.0007889074504613265,0.0012331707209278266,0.0017410155074143905,0.0023055187609566665,0.002587177194342429,0.003454077421796493
artificial.27,0.0,0.0,0.0,0.03643124938670274,0.09510899394233438,0.11508692719683203,0.1288659125419728,0.13681272093674837,0.14323106889360607,0.1534114795181608
artificial.28,0.0,0.0,0.0,0.0031389043794990243,0.005830869020459386,0.0071550638066731455,0.009174145041907042,0.010495104894531935,0.01272434617631955,0.013217853505728043
artificial.29,0.0,0.0,0.0,0.004793631415306404,0.010507724315401503,0.012431207669044384,0.013228671417834513,0.015178342849102903,0.01693791819359367,0.020531088561248544
artificial.30,0.0,0.0,0.0,4.598999538482685e-05,0.001555630429032598,0.00433490285018911,0.006307144037947739,0.007267003828347318,0.00832180241933956,0.008357667641782387
artificial.31,0.0,0.0,0.0,0.0007713825711157187,0.005335207304729113,0.009532157196903488,0.011732555963861652,0.014235611654959226,0.016489708633801267,0.020690854766018375
artificial.32,0.0,0.0,0.0,0.013404197821791156,0.03703003331728818,0.04712935098505957,0.04963684801749301,0.05317718522193563,0.05687903474465677,0.06670293049880699
artificial.33,0.0,0.0,0.0,0.0,0.0019044803690538412,0.00367046891975972,0.0049393905298073075,0.006040064382348827,0.007156644621649822,0.010515916766524436
artificial.34,0.0,0.0,0.0,0.004436857201839469,0.011196080039760418,0.014458144916144236,0.01659504945151188,0.018147307076944886,0.020159733624950774,0.02132319035662552
artificial.35,0.0,0.0,0.0,0.0026939588574375513,0.010471847397633105,0.015744216296603775,0.017641349496217075,0.020251918810926355,0.021575478651203447,0.025555779106797717
artificial.36,0.0,0.0,0.0,0.002195209224538452,0.006530399216764565,0.011438789885407006,0.014280675304970705,0.016344263806748124,0.01759364457409628,0.02172692273591822
artificial.37,0.0,0.0,0.0,0.0007015191879162774,0.004577840523613211,0.007141933345646464,0.00824689102805927,0.008910432063546319,0.009298287338998696,0.009295440322564885
artificial.38,0.0,0.0,0.0,0.0016554297730677846,0.003965805822286693,0.005982439514543678,0.006511487251502978,0.006963430241546061,0.007877559423492974,0.008167699331359978
artificial.39,0.0,0.0,0.0,0.0008884441210740505,0.007125609521042505,0.01023675227109411,0.012278246852579357,0.013304304288796072,0.014914889249757418,0.018781481491199917
artificial.40,0.0,0.0,0.0,0.00042381548926335706,0.002077645559999036,0.004335742805014275,0.006232270647923789,0.007484477366053689,0.008528553352252735,0.008916552876094662
artificial.41,0.0,0.0,0.0,0.0023209813842098117,0.006950845035087377,0.007518179153018929,0.008276467525882028,0.008588862856860361,0.008885737430723184,0.009337064629661879
artificial.42,0.0,0.0,0.0,0.004688213400243747,0.011695378051173568,0.01653596906739689,0.018697033739707217,0.019823538979631062,0.021793552054409897,0.023648904371789813
artificial.43,0.0,0.0,0.0,0.0,0.0005926839147177175,0.0009585414188832523,0.0016512076557540674,0.0024541349050894576,0.003947001283368504,0.00500226393317139
artificial.44,0.0,0.0,0.0,0.0,0.0002669042579513998,0.0026445269263284657,0.004515851203544775,0.0055840826030543675,0.0062161194169839075,0.007639960232584567
artificial.45,0.0,0.0,0.0,0.0023176218775178025,0.010983762164113287,0.016057232672068263,0.019077824656244118,0.020735014035038368,0.023324485659066238,0.02572614015977018
artificial.46,0.0,0.0,0.0,6.223964519056159e-05,0.0034489138889888496,0.0044086346614828536,0.005043087184884526,0.006680902667480748,0.009011284257769038,0.012029501790862913
