,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.03768266027377803,0.05450387451735857,0.044790947539205865,0.03677081115688569,0.023237480498389248,0.038735500914220365,0.05469949497031185,0.045117597740646886,0.03677081115688569,0.02284380410457406,0.038735500914220365,0.05469949497031185,0.045117597740646886,0.03677081115688569,0.02284380410457406
artificial.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.5,0.0021996632886004275,0.0013800420997555393,0.0009856281647243783,0.002395288549768792,0.0006740305436254478,0.0021189834498869897,0.0013295205140524593,0.0009856281647243783,0.002395288549768792,0.0006740305436254478,0.0021189834498869897,0.0013295205140524593,0.0009856281647243783,0.002395288549768792,0.0006740305436254478
artificial.6,0.0012037976080805017,0.0012269164858535052,0.001927148770977379,0.0031865303303361056,0.0006999838880289676,0.0014611312788800478,0.0012269164858535052,0.001927148770977379,0.0031865303303361056,0.0006999838880289676,0.0014611312788800478,0.0012269164858535052,0.001927148770977379,0.0031865303303361056,0.0006999838880289676
artificial.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.8,0.045248676404978025,0.05208697908802935,0.040902101985872505,0.03842929556957042,0.02671454154217009,0.045259920424051955,0.05208697908802935,0.04108514353251084,0.03842929556957042,0.02671454154217009,0.045259920424051955,0.05208697908802935,0.04108514353251084,0.03842929556957042,0.02671454154217009
artificial.9,0.012816254876544789,0.027337459389927484,0.01890314072823502,0.009390429055862523,0.0030251735246371093,0.012707699733311036,0.027337459389927484,0.019182299163202892,0.009387623472417608,0.0030251735246371093,0.012707699733311036,0.027337459389927484,0.019182299163202892,0.009387623472417608,0.0030251735246371093
artificial.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.006650892747788914,0.009434273383946467,0.006222449034443452,0.005078163228496994,0.00043997231894791545,0.006177734982663093,0.00957579286202218,0.006222772091436719,0.005078163228496994,0.00043997231894791545,0.006177734982663093,0.00957579286202218,0.006222772091436719,0.005078163228496994,0.00043997231894791545
artificial.12,0.0030336097596914253,0.0035128265906372276,0.005929306468827621,0.005835912375992532,0.0,0.0030862074997543188,0.0035128265906372276,0.006046721144121465,0.005835912375992532,0.0,0.0030862074997543188,0.0035128265906372276,0.006046721144121465,0.005835912375992532,0.0
artificial.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.14,0.008883811742622772,0.007753524019031868,0.009749974468448839,0.009763506275358495,0.004959021847227744,0.009071519950649342,0.007753524019031868,0.009749974468448839,0.009763506275358495,0.004959021847227744,0.009071519950649342,0.007753524019031868,0.009749974468448839,0.009763506275358495,0.004959021847227744
artificial.15,0.005398955141783062,0.010113808536259764,0.010615569167998383,0.005040509860931597,0.00163150901108676,0.004574388958832981,0.010113808536259764,0.010615569167998383,0.005040509860931597,0.00163150901108676,0.004574388958832981,0.010113808536259764,0.010615569167998383,0.005040509860931597,0.00163150901108676
artificial.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.015596144235401998,0.028111890611019708,0.02132907488337269,0.019535318997298295,0.005629927795459107,0.015273004413829012,0.02803066637355369,0.02132907488337269,0.019535318997298295,0.005629927795459107,0.015273004413829012,0.02803066637355369,0.02132907488337269,0.019535318997298295,0.005629927795459107
artificial.18,0.004550617644948563,0.004596050897351747,0.002649610178571867,0.004883303054674836,0.007140040082226278,0.004957471279488031,0.004596050897351747,0.002649610178571867,0.004883303054674836,0.007140040082226278,0.004957471279488031,0.004596050897351747,0.002649610178571867,0.004883303054674836,0.007140040082226278
artificial.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.20,0.0015855589281757764,0.003395117377336094,0.0014422751593279107,0.0009558809177767476,0.0,0.0017413176386847718,0.003395117377336094,0.0014422751593279107,0.0009558809177767476,0.0,0.0017413176386847718,0.003395117377336094,0.0014422751593279107,0.0009558809177767476,0.0
artificial.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.23,0.05717807555820211,0.040320442123403376,0.04141264256243112,0.052674370216997085,0.05895017202065369,0.05703456311566824,0.040320442123403376,0.04141264256243112,0.05270737589578101,0.05895017202065369,0.05703456311566824,0.040320442123403376,0.04141264256243112,0.05270737589578101,0.05895017202065369
artificial.24,0.0028594190384921754,0.00851144999336213,0.005351666698202411,0.0049532006612178795,0.0,0.0025885517664674114,0.00851144999336213,0.005351666698202411,0.0049532006612178795,0.0,0.0025885517664674114,0.00851144999336213,0.005351666698202411,0.0049532006612178795,0.0
artificial.25,0.0349516883577248,0.05025428069686428,0.037476385298979384,0.032496416462581654,0.022113107370870324,0.034912563791825744,0.05025428069686428,0.03771483862098536,0.032496416462581654,0.022113107370870324,0.034912563791825744,0.05025428069686428,0.03771483862098536,0.032496416462581654,0.022113107370870324
artificial.26,0.00905431592114187,0.02621729683317388,0.012659105161851463,0.005861524532227183,0.0008500053610575536,0.00873207866448136,0.02621729683317388,0.013594211533610873,0.005861524532227183,0.0008500053610575536,0.00873207866448136,0.02621729683317388,0.013594211533610873,0.005861524532227183,0.0008500053610575536
artificial.27,0.049353902722596925,0.10463446896765029,0.07926482482548287,0.04265379042771956,0.002483234950559606,0.04837828556249381,0.10511996481268031,0.07926482482548287,0.04265379042771956,0.002483234950559606,0.04837828556249381,0.10511996481268031,0.07926482482548287,0.04265379042771956,0.002483234950559606
artificial.28,0.028890160483726158,0.04066093298435703,0.02853792571206115,0.023418629599017412,0.008901629427222233,0.02843847727587503,0.0405678561546874,0.02853792571206115,0.023469149423385422,0.008901629427222233,0.02843847727587503,0.0405678561546874,0.02853792571206115,0.023469149423385422,0.008901629427222233
artificial.29,0.01934699675075521,0.03847411950292575,0.02586406903825092,0.020193012523070233,0.00540843469889427,0.018847491631922814,0.03847411950292575,0.02586406903825092,0.020193012523070233,0.00540843469889427,0.018847491631922814,0.03847411950292575,0.02586406903825092,0.020193012523070233,0.00540843469889427
artificial.30,0.0018391539521804643,0.0010930355323702534,0.003111894697252825,0.0019732712247629474,0.00035873970811352974,0.0016386095693788,0.0010930355323702534,0.003111894697252825,0.0019732712247629474,0.00035873970811352974,0.0016386095693788,0.0010930355323702534,0.003111894697252825,0.0019732712247629474,0.00035873970811352974
