,Threshold,min FDP+
Fold n°1,0.12,0.1
Fold n°2,0.19,0.25
Fold n°3,0.09999999999999999,0.5
Fold n°4,0.09999999999999999,0.06666666666666667
Fold n°5,0.12,0.14285714285714285
Fold n°6,0.15000000000000002,0.3333333333333333
Fold n°7,0.16,0.4
Fold n°8,0.25,0.3333333333333333
Fold n°9,0.08,0.2631578947368421
Fold n°10,0.08,0.47368421052631576
Fold n°11,0.09,0.21428571428571427
Fold n°12,0.060000000000000005,0.4444444444444444
Fold n°13,0.14,0.1
Fold n°14,0.09999999999999999,0.36363636363636365
Fold n°15,0.15000000000000002,0.16666666666666666
Fold n°16,0.2,0.5
Fold n°17,0.21000000000000002,0.2
Fold n°18,0.09999999999999999,0.25
Fold n°19,0.16,0.2857142857142857
Fold n°20,0.28,0.5
Fold n°21,0.17,0.5
Fold n°22,0.22,0.3333333333333333
Fold n°23,0.12,0.3333333333333333
Fold n°24,0.09999999999999999,0.5384615384615384
Fold n°25,0.09,0.2
Fold n°26,0.14,0.375
Fold n°27,0.16,0.25
Fold n°28,0.09999999999999999,0.42857142857142855
Fold n°29,0.12,0.3333333333333333
Fold n°30,0.12,0.2222222222222222
Fold n°31,0.06999999999999999,0.5
Fold n°32,0.22,0.6666666666666666
Fold n°33,0.13,0.08333333333333333
Fold n°34,0.25,0.3333333333333333
Fold n°35,0.23,0.3333333333333333
Fold n°36,0.2,0.16666666666666666
Fold n°37,0.19,0.3333333333333333
Fold n°38,0.23,0.3333333333333333
Fold n°39,0.15000000000000002,0.25
Fold n°40,0.14,0.16666666666666666
Fold n°41,0.2,0.2
Fold n°42,0.14,0.2857142857142857
Fold n°43,0.06999999999999999,0.3333333333333333
Fold n°44,0.18000000000000002,0.3333333333333333
Fold n°45,0.12,0.36363636363636365
Fold n°46,0.14,0.3333333333333333
Fold n°47,0.14,0.2857142857142857
Fold n°48,0.26,0.3333333333333333
Fold n°49,0.13,0.14285714285714285
Fold n°50,0.09,0.38461538461538464
Fold n°51,0.11,0.15384615384615385
Fold n°52,0.23,0.5
Fold n°53,0.12,0.375
Fold n°54,0.2,0.2
Fold n°55,0.16,0.16666666666666666
Fold n°56,0.09,0.3157894736842105
Fold n°57,0.12,0.25
Fold n°58,0.13,0.25
Fold n°59,0.09999999999999999,0.36363636363636365
Fold n°60,0.04,0.6388888888888888
Fold n°61,0.12,0.875
Fold n°62,0.18000000000000002,0.3333333333333333
Fold n°63,0.13,0.4
Fold n°64,0.08,0.058823529411764705
Fold n°65,0.16,0.14285714285714285
Fold n°66,0.2,0.2
Fold n°67,0.11,0.09090909090909091
Fold n°68,0.13,0.2857142857142857
Fold n°69,0.14,0.16666666666666666
Fold n°70,0.13,0.3333333333333333
Fold n°71,0.2,0.16666666666666666
Fold n°72,0.09,0.125
Fold n°73,0.11,0.2
Fold n°74,0.08,0.38095238095238093
Fold n°75,0.06999999999999999,0.38095238095238093
Fold n°76,0.11,0.125
Fold n°77,0.19,0.6666666666666666
Fold n°78,0.19,0.25
Fold n°79,0.18000000000000002,0.5
Fold n°80,0.06999999999999999,0.391304347826087
Fold n°81,0.2,0.25
Fold n°82,0.13,0.25
Fold n°83,0.13,0.1
Fold n°84,0.18000000000000002,0.25
Fold n°85,0.18000000000000002,0.16666666666666666
Fold n°86,0.12,0.3
Fold n°87,0.09,0.7
Fold n°88,0.11,0.2222222222222222
Fold n°89,0.09,0.35294117647058826
Fold n°90,0.09999999999999999,0.3333333333333333
Fold n°91,0.12,0.23076923076923078
Fold n°92,0.09,0.07142857142857142
Fold n°93,0.22,0.3333333333333333
Fold n°94,0.11,0.2727272727272727
Fold n°95,0.04,0.5263157894736842
Fold n°96,0.14,0.2857142857142857
Fold n°97,0.16,0.16666666666666666
Fold n°98,0.17,0.14285714285714285
Fold n°99,0.13,0.1111111111111111
Fold n°100,0.15000000000000002,0.25
