,{'C': np.float64(0.01)},{'C': np.float64(0.12)},{'C': np.float64(0.23)},{'C': np.float64(0.34)},{'C': np.float64(0.45)},{'C': np.float64(0.56)},{'C': np.float64(0.67)},{'C': np.float64(0.78)},{'C': np.float64(0.89)},{'C': np.float64(1.0)}
CD4_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.0,0.0,0.004301973985890251,0.009377120149722322,0.013683904638837258,0.016512607023074822,0.01860024322872491,0.019920452937991436,0.020881046827338916,0.021712858752806444
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.CD8.T.cells.CD80.CD86.,0.0,0.0,0.0009843876794893604,0.002464876538259915,0.0032451761163610586,0.004165855450703777,0.004932241087622219,0.005440672666502239,0.00583603180041324,0.006138958108324133
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0,0.0,0.0005106922608090963,0.0011227597056562805,0.001533117661913214,0.0017279185154617494,0.0019099777661386362,0.002056468079615408,0.002146302659804354,0.0022875843495316285
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.0,0.0007060523002781544,0.008785228614755971,0.017546586373123216,0.02137266212037494,0.023478793353198427,0.024879122550798386,0.025788086704899415,0.02648037656419475,0.027029678271366604
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Gland.fibroblast,0.0,0.0,0.0016620689521194068,0.002905817340504829,0.003553266684076024,0.003816009126592932,0.0040541366750550855,0.004321250680603994,0.004595383928531974,0.004936242220085921
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.0,0.013820779295954957,0.07824337193353975,0.11158367036700073,0.12638666865677406,0.13556374738779764,0.14114988212654167,0.14535721679758237,0.14843130758615755,0.15070703698505758
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.0,0.0,0.0009385296569147674,0.0013430109529620736,0.0018365696302469106,0.0022391730592217617,0.0025640704706504764,0.0028737526144622778,0.00311364335008704,0.0032405477339975675
CD4_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0,0.0,0.01452650789297526,0.025621316755661025,0.03149842162941027,0.03489752237806551,0.03709174124705743,0.03868134175525022,0.040007757629560034,0.04114919603399369
CD4_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.0,0.0016676843568328942,0.011987184424973476,0.017942720205622625,0.021798607439060324,0.02431391254560635,0.02552105046245802,0.02613319730717815,0.026657436626553434,0.02704336398158834
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.0,0.007379880428435182,0.05481393357115825,0.08331917148150773,0.09682689347284322,0.10511111282853304,0.11042095883634359,0.11393175149037583,0.11667803089077114,0.11909037005991756
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Macrophages.MDSC,0.0,0.0,0.0024550515192567693,0.007405606521367831,0.012273989397632157,0.0162947746936758,0.019272881006348424,0.021451130553292123,0.023042983115451166,0.024436153552734024
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.0,0.0,0.0006526452140895212,0.004750316038070134,0.008744627179900991,0.011092769560368261,0.012818372860404159,0.013856923029024184,0.014443719068373103,0.014936941158796279
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0,0.0006143765280445887,0.009294481802591027,0.02350689164815648,0.034513111918486473,0.04094030202227244,0.04490263776645109,0.04765632240757266,0.04965681762103794,0.051260001139798374
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium,0.0,0.0,0.0,0.00019509891111177787,0.0005403497167997097,0.0009275923302993458,0.0009489953043803747,0.0009541203418824123,0.0009686669333262909,0.0010164885313773513
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.0,0.0005728010169775441,0.005699649312412126,0.0076231500503637206,0.008245074129973827,0.00847211833289566,0.008730390431721075,0.008907722841087954,0.00904533645667638,0.009151467208162085
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.0,0.0,0.0015091831906573286,0.005966192923520268,0.010029181223079622,0.012349622359795741,0.013792496414177282,0.01464549913699323,0.015250872356353596,0.01575870149845092
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.0,0.0,0.0,0.00028648736468927626,0.000812393747671033,0.0009985086789437553,0.0011224066617112416,0.0012479291725022259,0.0013427478513304229,0.0014286894255321832
CD8_T_cells_HLA-DR+_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.0,0.0,0.0,0.00026246845827152025,0.0012516062339295586,0.0023053108368511917,0.003495222963253091,0.0046719811205345255,0.005545308179716037,0.00626167750072044
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.0,0.0,0.00019244670564883072,0.0019264049491228403,0.0021019238390409907,0.0021496977853860256,0.00218229461964076,0.002249815336555068,0.002353251444486534,0.00248517684684914
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Macrophages.M1.like,0.0,0.04342740629038846,0.06142830125121951,0.07399819373775521,0.07888980334282068,0.08194630111591851,0.0843236150808024,0.08579812311496995,0.08653660604178683,0.08721756170090988
