,Max Proba
aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.22317607928741662
CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.20466280743643434
Stroma_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.1365051841008486
NKT_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.12091487680347336
Gland_mesenchymal_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.11354192092215973
NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi,0.1105140928705107
Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.10758749157144243
Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.10509103740742427
Neutrophils_stromal_aggregatedNeighbors.Neutrophils,0.10473361999582968
CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.1038165920605438
Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast,0.10055415604224306
Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.09806674513225923
Macrophages_M1_M2_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.06755027234063674
CD4_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.06567079756681173
Gland_mesenchymal_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.06284246421366614
Macrophages_M1_M2_glandfront_aggregatedNeighbors.Macrophages.M1.like,0.05735652711580392
NA_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.0569226856342889
Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.05633904722781386
NKT_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.053523596818304146
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Macrophages.M1.like,0.053155322892052236
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.05020328450769375
Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.04789256077958777
Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.03946592150362539
Neutrophils_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.036809789449689594
NA_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.03651956165516387
Macrophages_MDSC_stromal_aggregatedNeighbors.Stroma.fibroblast,0.032203612873620176
aSMA-br_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.030298931799883164
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.02959208729283556
Macrophages_M1_M2_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.02942367147758911
Stroma_mesenchymal_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.027805996212314096
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.0269416948130554
Macrophages_MDSC_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.026759007694219218
Gland_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium,0.02643849951863384
Macrophages_M2-like_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.025830406144724535
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.025356043951078846
CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.025316949463392767
aSMA-br_mesenchymal_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.02528364874436228
Gland_mesenchymal_stromal_aggregatedNeighbors.Stroma.fibroblast,0.023741865073446985
Gland_vascular_endothelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.022995801985768394
CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.022744142067676457
