,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.03461231024387172,0.04698070436271773,0.033022930910871114,0.043510700637794844,0.01416927545401749,0.0410908764342689,0.046877095004566056,0.03348699918082932,0.040720162001906327,0.014451089354060162,0.0410908764342689,0.046877095004566056,0.03348699918082932,0.040720162001906327,0.014451089354060162
artificial.2,0.017580123156180016,0.021323882416762557,0.017731203318703873,0.018648470442586874,0.008174151471312866,0.016768395780027392,0.021199334841188258,0.017962529034751405,0.01975351938387678,0.008174151471312866,0.016768395780027392,0.021199334841188258,0.017962529034751405,0.01975351938387678,0.008174151471312866
artificial.3,0.012877569877658196,0.016780653410079414,0.01618390779586118,0.012057033561637273,0.0026041853140031804,0.010467329992905419,0.016600153626106402,0.01595353132799974,0.011251761973623813,0.0026041853140031804,0.010467329992905419,0.016600153626106402,0.01595353132799974,0.011251761973623813,0.0026041853140031804
artificial.4,0.018414827818133257,0.02472563657793095,0.01796495524416415,0.01851133123943956,0.0023897684886985005,0.016816086102659764,0.024396229343168728,0.018969603578356174,0.01869186838041885,0.0023897684886985005,0.016816086102659764,0.024396229343168728,0.018969603578356174,0.01869186838041885,0.0023897684886985005
artificial.5,0.061001348349482724,0.05490702847838672,0.06181898279606316,0.06735352060671625,0.046539289051483655,0.06005876528399357,0.05310635908810154,0.06137137858977281,0.06841261914727673,0.04235096484926251,0.06005876528399357,0.05310635908810154,0.06137137858977281,0.06841261914727673,0.04235096484926251
artificial.6,0.005931533479092049,0.007994887745863913,0.014473866384843968,0.013419770115258457,0.0041863712727078116,0.0071246673684611204,0.007708239797291771,0.014988865976134998,0.012588526935916782,0.0035062282590242436,0.0071246673684611204,0.007708239797291771,0.014988865976134998,0.012588526935916782,0.0035062282590242436
artificial.7,0.011105535393180467,0.006629010915426279,0.010393024681098095,0.011065879048985377,0.009681380705286602,0.011840068477616851,0.006848823975395749,0.010025555919839538,0.011696093449959711,0.008948300316291463,0.011840068477616851,0.006848823975395749,0.010025555919839538,0.011696093449959711,0.008948300316291463
artificial.8,0.05845770667378701,0.09441361253118956,0.06571245113105119,0.051238026342203334,0.01649310806309035,0.0557271229038443,0.09395978935296852,0.06378587953757893,0.04996273445516059,0.016437237176492793,0.0557271229038443,0.09395978935296852,0.06378587953757893,0.04996273445516059,0.016437237176492793
artificial.9,0.009309786100128782,0.011777373047370388,0.015575080735981288,0.0070013521915999735,0.0003337890191106501,0.008537104017854897,0.010341021430057449,0.016460581302919216,0.007092777541692108,0.0003337890191106501,0.008537104017854897,0.010341021430057449,0.016460581302919216,0.007092777541692108,0.0003337890191106501
artificial.10,0.012978174736790096,0.020230396506529035,0.011710909011809998,0.012254833955236227,0.0022658326170522133,0.014365834080096325,0.020041706156785324,0.01181958562854154,0.01251067085580568,0.0026910114629526308,0.014365834080096325,0.020041706156785324,0.01181958562854154,0.01251067085580568,0.0026910114629526308
artificial.11,0.1272631896409056,0.16090461894837052,0.13121978479117496,0.11427298885725513,0.05954107612760753,0.12340020731597244,0.1620399374895466,0.13015882843117701,0.11400964713800202,0.05938000435060188,0.12340020731597244,0.1620399374895466,0.13015882843117701,0.11400964713800202,0.05938000435060188
