,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.0,0.0,0.0,0.0003796087403316051,0.0,0.0,0.0,0.0,0.0003796087403316051,0.0,0.0,0.0,0.0,0.0003796087403316051,0.0
artificial.2,0.0011207654606550932,0.0035672339145094156,0.0032466247212141752,0.0027897320687770844,0.0009065153426490724,0.0011207654606550932,0.0035672339145094156,0.0032466247212141752,0.0027897320687770844,0.0009065153426490724,0.0011207654606550932,0.0035672339145094156,0.0032466247212141752,0.0027897320687770844,0.0009065153426490724
artificial.3,0.13752685487270355,0.1325579285621643,0.13246387243270874,0.1368183046579361,0.12499519437551498,0.1400987058877945,0.13286420702934265,0.13247759640216827,0.1368183046579361,0.1240166649222374,0.1400987058877945,0.13286420702934265,0.13247759640216827,0.1368183046579361,0.1240166649222374
artificial.4,0.013545946218073368,0.010215838439762592,0.009796598926186562,0.003406503237783909,0.001001043594442308,0.013836867175996304,0.01162376906722784,0.00951765850186348,0.003776370082050562,0.001001043594442308,0.013836867175996304,0.01162376906722784,0.00951765850186348,0.003776370082050562,0.001001043594442308
artificial.5,0.0008107239264063537,0.0007262682192958891,0.0005220413440838456,0.000612539064604789,0.0,0.0005710413679480553,0.0007168239681050181,0.0005220413440838456,0.000612539064604789,0.0,0.0005710413679480553,0.0007168239681050181,0.0005220413440838456,0.000612539064604789,0.0
artificial.6,0.0019315569661557674,0.0022614102344959974,0.002289544092491269,0.0006331081967800856,0.0,0.0021804901771247387,0.0017700889147818089,0.002289544092491269,0.0006331081967800856,0.0,0.0021804901771247387,0.0017700889147818089,0.002289544092491269,0.0006331081967800856,0.0
artificial.7,0.008790064603090286,0.011891343630850315,0.009122710675001144,0.00372489751316607,4.937779522151686e-05,0.009757070802152157,0.01106653455644846,0.009062891826033592,0.003508669324219227,4.937779522151686e-05,0.009757070802152157,0.01106653455644846,0.009062891826033592,0.003508669324219227,4.937779522151686e-05
artificial.8,0.001361402915790677,0.0017587235197424889,0.0010877198074012995,0.001452118856832385,0.0002701113116927445,0.000991001958027482,0.0017587235197424889,0.0010877198074012995,0.001452118856832385,0.0002701113116927445,0.000991001958027482,0.0017587235197424889,0.0010877198074012995,0.001452118856832385,0.0002701113116927445
artificial.9,0.0015459421556442976,0.001916089910082519,0.0022194054909050465,0.001027944264933467,0.0006801094277761877,0.0007645136793144047,0.001916089910082519,0.0019587615970522165,0.000977915246039629,0.0006801094277761877,0.0007645136793144047,0.001916089910082519,0.0019587615970522165,0.000977915246039629,0.0006801094277761877
artificial.10,0.0009662334923632443,0.001562023418955505,0.0012534140842035413,0.0009363113204017282,0.0005196733982302248,0.0009662334923632443,0.0015650121495127678,0.0012534140842035413,0.0009363113204017282,0.0005196733982302248,0.0009662334923632443,0.0015650121495127678,0.0012534140842035413,0.0009363113204017282,0.0005196733982302248
