,Max Proba
aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.2368820064318412
CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.19240705889263976
NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi,0.12780794547087856
Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.11614348881751273
NKT_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.11182444076488586
Stroma_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.11065964943925535
Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.1073545822196237
Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.10233202503022006
CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.09970524063375842
Gland_mesenchymal_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.07609332558276197
Macrophages_M1_M2_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.07567891701120422
Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast,0.07231064850723393
CD4_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.06846367756415561
Gland_mesenchymal_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.06271147954543761
Neutrophils_stromal_aggregatedNeighbors.Neutrophils,0.0534401171139733
NA_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.043375174074514626
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Macrophages.M1.like,0.04201302529416426
Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.04038386312263697
Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.04032914787226153
NKT_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.03630175908365493
Macrophages_M1_M2_glandfront_aggregatedNeighbors.Macrophages.M1.like,0.03272201179151577
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.03209145053433931
Neutrophils_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.03146428622322426
Gland_vascular_endothelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.031452396293783595
Macrophages_MDSC_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.02945336544390587
Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.028872402234618594
CD4_T_cells_CD11b+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.027763859665386196
Gland_mesenchymal_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.02673613880719524
NA_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.026413260732394094
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.026117590673945264
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.025208440352959997
Stroma_mesenchymal_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.02386085026262805
NK_cells_CD56brCD16-TIM3hi_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi,0.022380306119746656
aSMA-br_mesenchymal_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.022140667721126838
Gland_mesenchymal_stromal_aggregatedNeighbors.Stroma.fibroblast,0.021322037334040624
Macrophages_MDSC_stromal_aggregatedNeighbors.Stroma.fibroblast,0.020987338476462596
Dendritic_Cells_CD33+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.019825226261842757
Macrophages_M1_M2_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.019394788034927626
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.019160903545121878
CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.018349261732364886
Macrophages_M2-like_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.01820441930822959
Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.017671758389639445
Macrophages_MDSC_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.017651785046879354
aSMA-br_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.017581527654896976
Neutrophils_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.017480948152637198
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.01725870819529317
aSMA-br_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.016980528095028417
CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.01595744210194881
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.01560458680509826
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium,0.015260103024539621
NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi,0.015149331375809934
Macrophages_M2-like_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.015126598045312785
Macrophages_MDSC_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.014540022496585822
Gland_fibroblast_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.014140917556549344
aSMA-br_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.013351072054318012
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.CD8.T.cells.CD80.CD86.,0.013093613332115657
Stroma_fibroblast_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.012888689440268594
CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.012872288102389792
CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.01220779507702282
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.012130083090815926
NK_cells_CD56dimCD16+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.012127928696484082
Macrophages_M2-like_stromal_aggregatedNeighbors.aSMA.br.mesenchymal,0.011732063535139163
CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.011381072678499646
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.011168819424635448
NK_cells_CD56dimCD16+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.011156285907744258
NA_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.011037612553970583
aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.010721595610119232
Stroma_fibroblast_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.010558651588067564
CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.010523973280809795
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.010507088506348993
NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.01049994552828375
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.010342399030859564
CD4_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.01010910837030468
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.009866108091315561
Neutrophils_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.009607413605465324
Macrophages_M1-like_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.009589249603699283
Macrophages_M1-like_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.009547239118636742
Neutrophils_glandfront_aggregatedNeighbors.Neutrophils,0.009415316558095809
NK_cells_CD56brCD16-_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.009274106765412547
Stroma_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.008980813651055632
aSMA-br_mesenchymal_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.008620156974888844
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.008525131513508767
Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.008462479257879327
NA_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.00831527300932563
CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.008184498565487017
CD4_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.00817273820208373
aSMA-br_mesenchymal_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.008083217855470214
Gland_fibroblast_stromal_aggregatedNeighbors.Stroma.fibroblast,0.007946821525608844
Gland_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium,0.007867014805219718
Neutrophils_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.007782309222854783
aSMA-br_fibroblast_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.00773014765634312
NK_cells_CD56brCD16-TIM3hi_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.007675304569459942
Stroma_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.007658387774986919
Dendritic_Cells_CD86+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.007655034614062585
NK_cells_CD56brCD16-TIM3hi_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0075638199543854295
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.007455892995709016
Stroma_fibroblast_glandfront_aggregatedNeighbors.Gland.fibroblast,0.0074052418855093845
Dendritic_Cells_CD86CD33dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.007361645090023282
Dendritic_Cells_CD86CD33dp_glandfront_aggregatedNeighbors.Macrophages.MDSC,0.007358585053663278
Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.007321280682312165
