,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
artificial.1,0.0,0.0,0.0,0.02882870346915193,0.05174226089234105,0.0648032341821377,0.06906093162189914,0.07183819212305383,0.07510754073470904,0.0805363257615261
artificial.2,0.0,0.0,0.0,0.009376816208019787,0.03672277549678242,0.044281822157237416,0.0453871974828577,0.046826438771247925,0.04959292224516692,0.052779180244393466
artificial.3,0.0,0.0,0.0,0.04454205139208324,0.07835090024648753,0.08478333826335822,0.08984132546308919,0.0913431673252266,0.09345920791822472,0.09893598845319732
artificial.4,0.0,0.0,0.0,0.0,0.009218319005607092,0.013927456603084448,0.017126780763270746,0.01967892494129881,0.02285508814953398,0.026266216629106387
artificial.5,0.0,0.0,0.002,0.0141969998091212,0.014252275159938425,0.015567623362497139,0.016802359615907328,0.017588486503206074,0.019360102086720628,0.01968283997370462
artificial.6,0.0,0.0,0.0,0.0071250229276349514,0.01431260270753034,0.01960748283114908,0.021218308673587864,0.022023703558274925,0.023027308667512042,0.02500482547139813
artificial.7,0.0,0.0,0.0,0.005188301629895659,0.02074424617316257,0.02558149215673711,0.02760905597617693,0.028373838584093574,0.029064749698500248,0.029413731666958275
artificial.8,0.0,0.0,0.0,0.0007713748142772968,0.004167309787902781,0.006290556610580632,0.007269567996904957,0.008388077906910872,0.008736034018867668,0.009202100011704673
artificial.9,0.0,0.0,0.0,0.0032647777832606993,0.038200840250900266,0.049362561402151145,0.05275606284868646,0.055099584977461494,0.05874808497174691,0.06156457129716633
artificial.10,0.0,0.0,0.0,0.01731984744240635,0.022822464849191704,0.024749514401425168,0.024991236151128693,0.02561084630689883,0.025702299684316355,0.02681851723509682
artificial.11,0.0,0.0,0.0,0.0005091298731041883,0.004608862242187213,0.01348929605372274,0.015836804279852245,0.016858476868036536,0.017402548645858846,0.02033021826302818
artificial.12,0.0,0.0,0.0,0.001921927402208533,0.018306347377904576,0.02302472171439382,0.025317045811187433,0.026958871651853736,0.02918600389630485,0.03086812468852343
artificial.13,0.0,0.0,0.0,0.004534737724041217,0.0140821913338333,0.016291496330089437,0.018756748252753468,0.019320533201614226,0.02035670893949519,0.019674211227471212
artificial.14,0.0,0.0,0.0,0.007997441963615147,0.018124151848944715,0.019915445983112918,0.019586081778093588,0.018908998120151517,0.020478406530203986,0.023711793880859734
artificial.15,0.0,0.0,0.0,0.0056758477166794,0.01865056345172495,0.026930454333845773,0.027334715682591767,0.02975974458988408,0.0306230576447097,0.032636255389228035
artificial.16,0.0,0.0,0.0,0.0,0.011911104108038742,0.014897074945258396,0.01666212285383033,0.019614276602716273,0.022185441280759707,0.02549549124304378
artificial.17,0.0,0.0,0.0,0.0035439611282909304,0.016911891923885865,0.026996592386179227,0.03187781598217153,0.03433537370962932,0.035209369106181394,0.03490759112813708
artificial.18,0.0,0.0,0.0,0.004074118287011599,0.025421923742293125,0.029882374202678502,0.031396826369878006,0.03335663655047623,0.03384489378565356,0.03448943286239449
artificial.19,0.0,0.0,0.0,0.019913371886848122,0.031067557463870098,0.036370175847263264,0.038964985089415045,0.04151735075552785,0.04189882987727389,0.044565701729361765
artificial.20,0.0,0.0,0.0,0.0003924168984601934,0.0021218761148230508,0.005382804533698281,0.007594192914382544,0.008906595656741517,0.009962551366203299,0.00945187922635266
artificial.21,0.0,0.0,0.0,0.008743180326106685,0.05804726854175831,0.07030850085116247,0.07701641334545604,0.07999754280377545,0.08513314040586009,0.08857621426297536
artificial.22,0.0,0.0,0.0,0.10975493004660632,0.21201859440377302,0.23468589917286142,0.24103299001035772,0.24576529629351881,0.2518345515641414,0.2596807304834852
artificial.23,0.0,0.0,0.0,0.017393751155893956,0.02679732130621256,0.02612314187186546,0.027284770957352253,0.028656817319017463,0.02913020692444079,0.031008121002685855
artificial.24,0.0,0.0,0.0,0.004501325056731894,0.02152393349249665,0.029832074265490328,0.03301771980075211,0.034439606730431664,0.03329586633339964,0.034403303506627264
artificial.25,0.0,0.0,0.0,0.00967830543803353,0.06608719258504117,0.0898225266971167,0.09578279211040204,0.1018598304996998,0.10757035856063264,0.11954502267974236
artificial.26,0.0,0.0,0.0,0.0,0.001114355433908041,0.004085276808327116,0.0052289768986800425,0.005610153885063633,0.0054061702961205075,0.005384957952120999
artificial.27,0.0,0.0,0.0,0.002,0.0021981803782351655,0.003118857748347909,0.0039790104797111535,0.004123166661368432,0.005147570964866458,0.006672656766595747
artificial.28,0.0,0.0,0.0,0.018722435933394923,0.07824758210150594,0.09998706227646217,0.11249405731210918,0.12189607032285811,0.1284913390179951,0.1360095792764811
artificial.29,0.0,0.0,0.0,0.001193438891333825,0.003948332492213129,0.0029673749796816015,0.0028679145754511044,0.003998188639456523,0.004178992640160316,0.004745880056017911
artificial.30,0.0,0.0,0.0,0.0006377584237084055,0.006656116451224342,0.009588649138998434,0.010282395671544325,0.011091938458387737,0.011175752829505135,0.012400344831597465
artificial.31,0.0,0.0,0.0,0.0005383120661079476,0.0026598827909156213,0.0052537432835703425,0.0056751517217436594,0.0070682898990515166,0.007614853420524734,0.009102119399942323
artificial.32,0.0,0.0,0.0,0.011393756219698578,0.033682142117966093,0.04311380897734978,0.04348818790689055,0.04256248624177376,0.044143661058386144,0.04742491606890999
artificial.33,0.0,0.0,0.0,0.003315874481407717,0.010537858431404082,0.014889921488892193,0.01563865998874166,0.016215944949872715,0.016445846048487322,0.016979941958199057
artificial.34,0.0,0.0,0.0,0.011976941884182185,0.015454091595633516,0.019446089873811308,0.022218649620615444,0.023414968598086866,0.024232036917514518,0.026098181486493722
artificial.35,0.0,0.0,0.0,0.018495427957860428,0.05960954428073019,0.07097979493947432,0.07534274148014058,0.0770260802636437,0.07900125471177989,0.08429433555371528
artificial.36,0.0,0.0,0.0,0.004408659139079487,0.013814287373110032,0.018318329409030103,0.019259511085529275,0.01894729688422638,0.01889895719130501,0.020053771985200412
artificial.37,0.0,0.0,0.0,0.015338755223558487,0.06820275852613741,0.08566440580709919,0.08691443163178353,0.08860619003637123,0.09044288524299685,0.09521766107432013
artificial.38,0.0,0.0,0.0,0.0033536588275068276,0.008940944643136611,0.011223553164464871,0.012496253543165855,0.013399790981715214,0.01520454563469717,0.017397103629699425
artificial.39,0.0,0.0,0.0,0.015596458789021743,0.05454381831251455,0.06705505285999562,0.07234785914410824,0.07399641895909972,0.07885997046798758,0.08892967645677473
artificial.40,0.0,0.0,0.002,0.06850986159613609,0.10905747914120656,0.11556009327569781,0.11681877043935268,0.11768189648778704,0.11701105481392031,0.11811802498841996
artificial.41,0.0,0.0,0.0,0.0,0.004519193969515565,0.00918667199182425,0.011753399263682617,0.013156318461952126,0.012604448327060666,0.013617708326559638
artificial.42,0.0,0.0,0.0,0.009953169529058118,0.045231834587226905,0.05866653920516869,0.06485590599620315,0.07044173124046853,0.07147136203297175,0.07504591615121299
artificial.43,0.0,0.0,0.0,0.0,0.001084154118634468,0.00234701133877602,0.0029289658587877652,0.003360515441148018,0.0038844415760822077,0.0044343722475599714
artificial.44,0.0,0.0,0.0,0.0007585293567735241,0.026680031101573527,0.03820373258259937,0.043073100319845445,0.047579903229396966,0.051791661885112486,0.05420957250583974
artificial.45,0.0,0.0,0.0,0.01665672072304546,0.058273175973931085,0.06465240048441194,0.066419860810801,0.06873549264348339,0.06872753682945691,0.06886898105421238
artificial.46,0.0,0.0,0.0,0.012213645890892848,0.031836215301416386,0.04282565942496453,0.04972112922294665,0.05313267809503198,0.0556541186972659,0.0596021556146877
artificial.47,0.0,0.0,0.0,0.0,0.010532649205802684,0.019366503751109345,0.02159388592698791,0.02234261722389701,0.02521630819819349,0.029153994775435052
artificial.48,0.0,0.0,0.0,0.0015924629729072125,0.007794738892133109,0.009931884454329718,0.01029088801639,0.010262253681957208,0.009840882494703636,0.010809899916823665
artificial.49,0.0,0.0,0.0,0.0,0.001174242102808516,0.0014502572643706154,0.001768493420921508,0.00261004214022252,0.0025741760341826637,0.0018921908332134945
artificial.50,0.0,0.0,0.0,0.012193242196334095,0.04027414897176088,0.05112309930555486,0.05473243676104863,0.058087213259217924,0.06070660446380131,0.06732638287929571
artificial.51,0.0,0.0,0.0,0.08747108647097161,0.16200706056405725,0.17116586779673518,0.17036487871726802,0.17022941961883226,0.17185669522217237,0.1740899792706128
artificial.52,0.0,0.0,0.0,0.007951886305735859,0.020270765481093307,0.024419569330314618,0.025794372307751265,0.02827852304718652,0.02886337732341833,0.030803184200440172
artificial.53,0.0,0.0,0.0,0.0007572308091698212,0.016784566366993364,0.021990485105077066,0.021731476409773163,0.023493218483979332,0.023919392249852817,0.022793035047358776
artificial.54,0.0,0.0,0.0,0.008056903535124331,0.055276724025728634,0.07656405213526397,0.08253624617264914,0.08575818857314725,0.0888978094878774,0.09403268526428818
artificial.55,0.0,0.0,0.0,0.0,0.003055458150767816,0.004640902942447499,0.007458313658906478,0.00845393513487665,0.008798905395466254,0.009115049070224241
artificial.56,0.0,0.0,0.0,0.012224439337072507,0.05144327244105138,0.05654060439830829,0.05602779907485896,0.05952016936265346,0.06262067886925027,0.06480001891538084
