,Max Proba
Gland_glandular_epithelium_intragland_cellfrequency,0.36197437987387543
aSMA-br_vascular_endothelium_stromal_cellfrequency,0.19615878367689688
CD4_T_cells_CD11b+_stromal_cellfrequency,0.1840819031638271
Gland_glandular_epithelium_glandfront_cellfrequency,0.11641737160167431
NK_cells_CD56brCD16-_stromal_cellfrequency,0.10338842611629753
NK_cells_CD56brCD16-_glandfront_cellfrequency,0.10009568118272555
Dendritic_Cells_CD86CD33dp_glandfront_cellfrequency,0.09631826523645086
NK_cells_CD56dimCD16+_glandfront_cellfrequency,0.08490039410643421
Neutrophils_stromal_cellfrequency,0.08410751627208482
NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency,0.08340794131502215
Macrophages_M2-like_glandfront_cellfrequency,0.0663966537860487
CD4_T_cells_HLA-DR+_stromal_cellfrequency,0.06536480393749994
NK_cells_CD56dimCD16+_stromal_cellfrequency,0.06272379360330314
Stroma_fibroblast_stromal_cellfrequency,0.06106284741078278
NA_stromal_cellfrequency,0.06085678519801719
Gland_fibroblast_intragland_cellfrequency,0.0596655520095379
Stroma_fibroblast_glandfront_cellfrequency,0.05940406423304795
Dendritic_Cells_CD33+_stromal_cellfrequency,0.058554248028030685
Gland_fibroblast_glandfront_cellfrequency,0.05476151126542591
Gland_fibroblast_stromal_cellfrequency,0.05474361027948921
CD8_T_cells_HLA-DR+_stromal_cellfrequency,0.05066679856893876
aSMA-br_glandular_epithelium_glandfront_cellfrequency,0.050281496802136096
CD8_T_cells_HLA-DR+_glandfront_cellfrequency,0.04709537155733893
Dendritic_Cells_CD86CD33dp_stromal_cellfrequency,0.04694537893608407
CD8_T_cells_CD11b+_stromal_cellfrequency,0.04601850892842633
Macrophages_MDSC_glandfront_cellfrequency,0.04304311164728258
B_cells_stromal_cellfrequency,0.0408859975296419
Stroma_vascular_endothelium_stromal_cellfrequency,0.03949662623174134
NA_glandfront_cellfrequency,0.03795791099727803
Gland_mesenchymal_stromal_cellfrequency,0.0378919953228896
Macrophages_M1-like_glandfront_cellfrequency,0.03763755630416969
CD8_T_cells_CD80_CD86+_glandfront_cellfrequency,0.03706980625850738
aSMA-br_vascular_endothelium_glandfront_cellfrequency,0.03620424826736658
Neutrophils_glandfront_cellfrequency,0.03375555634036869
CD4_T_cells_CD80_CD86+_stromal_cellfrequency,0.03324668076413929
Macrophages_MDSC_stromal_cellfrequency,0.03297731196674062
NKT_intragland_cellfrequency,0.032704752430221876
Gland_vascular_endothelium_glandfront_cellfrequency,0.03224430093958454
Gland_vascular_endothelium_stromal_cellfrequency,0.030371930606389118
NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency,0.030173851863049408
NK_cells_CD56brCD16-TIM3hi_glandfront_cellfrequency,0.02922481924182205
CD4_T_cells_FoxP3+_stromal_cellfrequency,0.028151283486444374
NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency,0.027751632582407204
Stroma_vascular_endothelium_glandfront_cellfrequency,0.02774957273664104
CD8_T_cells_FoxP3+_stromal_cellfrequency,0.02729204172889881
aSMA-br_fibroblast_glandfront_cellfrequency,0.026198401390336714
CD8_T_cells_CD80_CD86+_stromal_cellfrequency,0.025771078256101435
