,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.03720727981368376,0.04107108076457126,0.04703438768326673,0.042832266770466504,0.013136206005614583,0.0368770611453683,0.03796849890105231,0.042447859226429824,0.04474976752338168,0.0125554088891159,0.0368770611453683,0.03796849890105231,0.042447859226429824,0.04474976752338168,0.0125554088891159
artificial.2,0.07616337429906268,0.07729446915751904,0.0865906758564989,0.08167572707589586,0.06055512189776214,0.07413052392382319,0.07476608053578049,0.0883509858486587,0.08043690849176238,0.06324124223140254,0.07413052392382319,0.07476608053578049,0.0883509858486587,0.08043690849176238,0.06324124223140254
artificial.3,0.04502062856426526,0.03754911093100545,0.052628153001433864,0.05262106850452901,0.03333539186823786,0.04595107923565808,0.04134885873208089,0.05527948907974387,0.05373884982253752,0.03015985694839855,0.04595107923565808,0.04134885873208089,0.05527948907974387,0.05373884982253752,0.03015985694839855
artificial.4,0.025574634319642534,0.03121602057643468,0.03087875557039953,0.03511879658640272,0.008578615686698907,0.029849940727326326,0.031111705180728293,0.034319153656266956,0.03691544735004731,0.013306741887616684,0.029849940727326326,0.031111705180728293,0.034319153656266956,0.03691544735004731,0.013306741887616684
artificial.5,0.04770868173385477,0.046340424126399306,0.049101224505418,0.04743901627157189,0.040594755489688154,0.044004096058840994,0.04678948020873513,0.052306497364233324,0.05367722928803572,0.04364563176420658,0.044004096058840994,0.04678948020873513,0.052306497364233324,0.05367722928803572,0.04364563176420658
artificial.6,0.03776329532720748,0.032414279981894736,0.035185997259148886,0.03227192648645596,0.017975891523804986,0.03896285422624859,0.039431165013173224,0.0383278301525562,0.033697067220788836,0.02181942418029985,0.03896285422624859,0.039431165013173224,0.0383278301525562,0.033697067220788836,0.02181942418029985
artificial.7,0.059405772500327074,0.057262204072128384,0.06755841397117564,0.05688276527675685,0.025568311990449587,0.05425071249758224,0.059416211330793535,0.0618957212754526,0.05179171560295729,0.024868069420525156,0.05425071249758224,0.059416211330793535,0.0618957212754526,0.05179171560295729,0.024868069420525156
artificial.8,0.03918760631088284,0.03291486810655221,0.030183267862042215,0.031036547883579693,0.01580394292134231,0.03658828375306399,0.03028893449864788,0.031753175495525504,0.028926351990153455,0.024391650715954963,0.03658828375306399,0.03028893449864788,0.031753175495525504,0.028926351990153455,0.024391650715954963
artificial.9,0.014476295037564774,0.014168337764740696,0.01879647654709152,0.01604157606628391,0.006190656091719843,0.01225425380912872,0.01236237374439181,0.014128710382335288,0.014675768889602226,0.00896884042006505,0.01225425380912872,0.01236237374439181,0.014128710382335288,0.014675768889602226,0.00896884042006505
artificial.10,0.051884458914720794,0.05797433262697103,0.051554620586225085,0.050539010078576,0.03320457062045313,0.05317079824455813,0.05877368898436587,0.05343479057401333,0.05290290608875045,0.03767498010786057,0.05317079824455813,0.05877368898436587,0.05343479057401333,0.05290290608875045,0.03767498010786057
artificial.11,0.03405014827780838,0.02838669489623068,0.03558765971334797,0.03662788729279243,0.030631096927391896,0.0362539558269797,0.03353018649871877,0.0364422524603873,0.03650985909664663,0.02813073788829537,0.0362539558269797,0.03353018649871877,0.0364422524603873,0.03650985909664663,0.02813073788829537
artificial.12,0.04205409713490387,0.0374660635185741,0.035099139444085006,0.02760920461786431,0.01276296280024441,0.035983409571271024,0.03675000168756482,0.03403169133464573,0.027134143397436184,0.013027646926889321,0.035983409571271024,0.03675000168756482,0.03403169133464573,0.027134143397436184,0.013027646926889321
artificial.13,0.03183334323382274,0.031910431216065134,0.03642720419226188,0.043106296418006396,0.033672282511570846,0.04660282311904384,0.03365625028423412,0.04135100997403928,0.045080073618083354,0.03480541708530279,0.04660282311904384,0.03365625028423412,0.04135100997403928,0.045080073618083354,0.03480541708530279
artificial.14,0.026484105167951334,0.019577723871323064,0.028458187002143476,0.02753959378272942,0.03282071702104832,0.028833757302630828,0.019545535974181637,0.0277303853545852,0.028830448053270005,0.03383936090476411,0.028833757302630828,0.019545535974181637,0.0277303853545852,0.028830448053270005,0.03383936090476411
artificial.15,0.056653789747104034,0.04795472584568688,0.04554277734881984,0.04127094816695181,0.0308573587972546,0.056739091072077794,0.052825968827050936,0.03973493744441909,0.0381878027037125,0.040936691820114376,0.056739091072077794,0.052825968827050936,0.03973493744441909,0.0381878027037125,0.040936691820114376
artificial.16,0.019550307926542488,0.018674903396513117,0.02493629306336862,0.02201821268665029,0.005327332423579339,0.019751258324827266,0.016910316259126885,0.020045264569165628,0.01683590720307982,0.007193903375413961,0.019751258324827266,0.016910316259126885,0.020045264569165628,0.01683590720307982,0.007193903375413961
artificial.17,0.028245585753038566,0.029300404041562787,0.02802229569085073,0.030601523852147164,0.01918673282118067,0.025832638985167824,0.030401227604838394,0.026026645021857833,0.02667958052509232,0.024927138808256723,0.025832638985167824,0.030401227604838394,0.026026645021857833,0.02667958052509232,0.024927138808256723
artificial.18,0.012585324519705444,0.013412604922189186,0.018977666354068806,0.016598945235484167,0.007420267235868545,0.01528231509817922,0.011634849660798956,0.01672263678085443,0.019889729745875516,0.01114875619472165,0.01528231509817922,0.011634849660798956,0.01672263678085443,0.019889729745875516,0.01114875619472165
artificial.19,0.06434228853345182,0.0578599020574715,0.06983092355819148,0.06754755585793736,0.055018087557424086,0.06593401373555634,0.06292128104098361,0.06859915845645913,0.07217172085676317,0.05162439094852402,0.06593401373555634,0.06292128104098361,0.06859915845645913,0.07217172085676317,0.05162439094852402
artificial.20,0.029734376063935232,0.026734457040680386,0.028762538720424908,0.03203123611623922,0.017000736500803883,0.02647132673181514,0.021266793721185208,0.029139846618051055,0.02799485233997302,0.017571008233541238,0.02647132673181514,0.021266793721185208,0.029139846618051055,0.02799485233997302,0.017571008233541238
artificial.21,0.040299825243524136,0.035307082096032144,0.03675179773056568,0.02923310845324814,0.010213583441850287,0.031364446201403065,0.037660421281297735,0.03642490210539375,0.033536988007368575,0.011070186131645681,0.031364446201403065,0.037660421281297735,0.03642490210539375,0.033536988007368575,0.011070186131645681
artificial.22,0.06860244074706079,0.06793013004133795,0.06876910502660585,0.07157982412371375,0.05270398399515578,0.06743621157697431,0.06840538761893596,0.07395338231506902,0.0663726673805101,0.04812600161179419,0.06743621157697431,0.06840538761893596,0.07395338231506902,0.0663726673805101,0.04812600161179419
artificial.23,0.09662904529655708,0.08654509904918951,0.08890122888593154,0.0873502104557663,0.04968002140278677,0.0811892177376755,0.08108014167939175,0.07718740782565214,0.07818550143543547,0.043528106167754765,0.0811892177376755,0.08108014167939175,0.07718740782565214,0.07818550143543547,0.043528106167754765
artificial.24,0.04276060295263542,0.024676878577795373,0.034939515713185404,0.044680153306669114,0.04508613237391465,0.03782281726909807,0.029957756904593395,0.036100932349124266,0.04452007461610503,0.05237990024797395,0.03782281726909807,0.029957756904593395,0.036100932349124266,0.04452007461610503,0.05237990024797395
artificial.25,0.03520101873793673,0.03486628486927815,0.03747093911091669,0.03894489088427575,0.02007569372115942,0.034569764228956204,0.0354332224782647,0.04018691524832058,0.03881090647330203,0.021010312305960382,0.034569764228956204,0.0354332224782647,0.04018691524832058,0.03881090647330203,0.021010312305960382
artificial.26,0.019637891302192498,0.01852180942822588,0.020299131296988276,0.024101692704055266,0.023210926505717128,0.020228736295104417,0.018273846032671404,0.02399303994174248,0.02442364577169401,0.023755307127767803,0.020228736295104417,0.018273846032671404,0.02399303994174248,0.02442364577169401,0.023755307127767803
artificial.27,0.08358135912494483,0.07142690544097734,0.09623082112426191,0.08985909622690696,0.04262656523388739,0.08180528525910304,0.07300194375155752,0.09052535422419891,0.08777367577880883,0.039153872744822835,0.08180528525910304,0.07300194375155752,0.09052535422419891,0.08777367577880883,0.039153872744822835
artificial.28,0.08287511852450352,0.07963779609185855,0.08444035058907344,0.08180645128370219,0.052253439779628486,0.07881572075678879,0.08319059513734275,0.08746665253248417,0.075024608581058,0.052466241397803835,0.07881572075678879,0.08319059513734275,0.08746665253248417,0.075024608581058,0.052466241397803835
artificial.29,0.06816980136401812,0.061845143099981306,0.07009468563094104,0.06038893559450746,0.029607689419396163,0.06724557982694379,0.061508931237703644,0.06941064236494553,0.057054826009091494,0.031406374493980184,0.06724557982694379,0.061508931237703644,0.06941064236494553,0.057054826009091494,0.031406374493980184
artificial.30,0.042656525036232955,0.04574738663867508,0.04181057730140543,0.03466250906859087,0.031032313328858127,0.04259515843821348,0.04746608406856303,0.04179265795175832,0.03696422682117421,0.02931099408321322,0.04259515843821348,0.04746608406856303,0.04179265795175832,0.03696422682117421,0.02931099408321322
artificial.31,0.035104722809170166,0.03257553343730568,0.0334252290466393,0.03395438393679931,0.01824819611718726,0.03885999705417196,0.037270699692434614,0.03831231565658043,0.039177617535125976,0.017683118958633212,0.03885999705417196,0.037270699692434614,0.03831231565658043,0.039177617535125976,0.017683118958633212
artificial.32,0.055289184060852245,0.05011908945655257,0.0656827187172796,0.05595332327254063,0.03438329623634914,0.05959597239865662,0.05217677594561349,0.06376487980314907,0.059388909457361395,0.04378851271571474,0.05959597239865662,0.05217677594561349,0.06376487980314907,0.059388909457361395,0.04378851271571474
artificial.33,0.0313862832269814,0.028058918620439872,0.024417450332563907,0.027937099373713192,0.02362900662743598,0.03137860638319056,0.02964727381432782,0.030715287718886188,0.032748462340255545,0.027039971692368873,0.03137860638319056,0.02964727381432782,0.030715287718886188,0.032748462340255545,0.027039971692368873
artificial.34,0.04643095674053431,0.042329553289760125,0.04731657044383912,0.047647579040620225,0.03546121815661111,0.04511138142952472,0.04745311767816921,0.04898528911985344,0.05158243950620568,0.04096945325825391,0.04511138142952472,0.04745311767816921,0.04898528911985344,0.05158243950620568,0.04096945325825391
artificial.35,0.09604385580787422,0.08452196768787665,0.09059540329367692,0.0978492278036534,0.0854775076929298,0.08859425793489688,0.08554240966395862,0.0927156033318633,0.10248020129971047,0.0865368731778453,0.08859425793489688,0.08554240966395862,0.0927156033318633,0.10248020129971047,0.0865368731778453
artificial.36,0.05266092578083571,0.04442747180123115,0.052106198998527094,0.05727397658264492,0.036417507321013814,0.05051765745089405,0.03869934334316381,0.056974448205444055,0.061753410288208264,0.0376884426876069,0.05051765745089405,0.03869934334316381,0.056974448205444055,0.061753410288208264,0.0376884426876069
