,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
artificial.1,0.0,0.0,0.0,0.0,0.0009345734294026092,0.0010320854387866037,0.0010618834301621503,0.0010480485782201972,0.001112669799792156,0.001583996547764279
artificial.2,0.0,0.0,0.0,0.0,0.00462732313714792,0.005038594934467122,0.004694841202978686,0.004570065864521179,0.004396563819654327,0.0036054815159673502
artificial.3,0.0,0.0,0.0,0.0006063015551407272,0.00328744296623631,0.002994063296576981,0.00447675717326755,0.0036594344753663522,0.0038822422336142345,0.006955503457902988
artificial.4,0.0,0.0,0.0,0.0,8.192876862702476e-06,0.0005263611727395943,0.0003695615559111004,0.0,0.00018141255094405472,0.0005251076329714498
artificial.5,0.0,0.0,0.0,0.0,0.0035511744583796136,0.004515896954118082,0.005792533370333584,0.007761193778811315,0.010525836915704485,0.01584277903501433
artificial.6,0.0,0.0,0.0,0.0,0.002957703669088481,0.006873299166442672,0.010197364340134912,0.012200843539990578,0.0174213017154492,0.025334836779314834
artificial.7,0.0,0.0,0.0,0.0,0.0013538722052580682,0.0028713531831545893,0.003033443319612321,0.0035361907472624683,0.004590369420154097,0.006476469554388988
artificial.8,0.0,0.0,0.0,0.0,0.0009979344011059568,0.0010884827129577163,0.0011287842519924335,0.001025034921951948,0.0012148746288275513,0.0009344917847466743
artificial.9,0.0,0.0,0.0,4.300125997239441e-06,0.004714062445877611,0.006661412966350538,0.00699004541132611,0.00714231917648919,0.0078016016770138755,0.012116441305670116
artificial.10,0.0,0.0,0.0,0.0,0.0007978629275880351,0.0011514809055258516,0.0015764688741801028,0.0023409712775979406,0.0026571192240292087,0.002469378687356823
