,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
CD4_T_cells_FoxP3+_glandfront_ERa,0.0,0.0,0.0,0.0,0.0,0.0007101788155896495,0.0007057767272158725,0.0011029138940883928,0.0008934654134896867,0.0010165654779199027
CD4_T_cells_FoxP3+_glandfront_PR,0.0,0.0,0.0,0.005450510416131455,0.026353675393658987,0.03692716164642561,0.04213969323221446,0.04608483741548914,0.05682807884577219,0.07339456890802076
CD4_T_cells_FoxP3+_glandfront_pP38,0.0,0.0,0.0,0.0001675295470457634,0.0015380632850323533,0.0033251321191429847,0.0032784626779031006,0.003296186268957432,0.0019359878093148297,0.005048612316650875
CD4_T_cells_FoxP3+_glandfront_VEGF,0.0,0.0,0.0,0.0,0.0,9.212264930030551e-05,0.00038752103812728913,0.00042461583348953047,0.00036629364858495366,0.00029011375313331135
CD4_T_cells_FoxP3+_glandfront_GranzymeB,0.0,0.0,0.0,0.0,0.00027457474196630397,0.0003492866155681582,0.0007919516079657149,0.0009160707766086755,0.0013762123971412903,0.0017600046979833572
CD4_T_cells_FoxP3+_glandfront_Ki67,0.0,0.0,0.0,0.0,0.0009604851252270356,0.0013385243207930356,0.001833335725138233,0.0024571163955877484,0.0022904867818780462,0.004856418308090403
CD4_T_cells_FoxP3+_glandfront_HLA-DR,0.0,0.0,0.0,0.0,0.009743989629431531,0.016949152607944492,0.020900086283773288,0.021052174153370157,0.02024060557323769,0.02388791191037439
CD4_T_cells_FoxP3+_stromal_ERa,0.0,0.0,0.0,0.0,0.0,0.00019684671447383915,0.0004895139892071719,0.0011495354039259401,0.0014200109509870068,0.0018267186474178062
CD4_T_cells_FoxP3+_stromal_PR,0.0,0.0,0.0,0.0016661387505194983,0.0012287865008269328,0.002011903547372087,0.0018647854645882582,0.0025485510139402904,0.00249495976309713,0.0023309701236822744
CD4_T_cells_FoxP3+_stromal_pP38,0.0,0.0,0.0,0.0,0.004312285230003994,0.0063177491922543644,0.00810657896603502,0.008388166379933086,0.010055782586010161,0.014148647434360727
