,Max Proba
Macrophages_M1_M2_stromal_GranzymeB,0.23848577904976082
NA_glandfront_Ki67,0.21345572377791747
Gland_fibroblast_stromal_PR,0.18508769619895588
Gland_mesenchymal_stromal_Ki67,0.1456558142016208
CD4_T_cells_CD11b+_stromal_Ki67,0.14287877837960947
CD8_T_cells_CD80_CD86+_intragland_Ki67,0.13657956788190592
CD4_T_cells_CD80_CD86+_stromal_GranzymeB,0.1278106817314508
Macrophages_MDSC_glandfront_pP38,0.12561743375549111
Dendritic_Cells_CD86+_intragland_PR,0.12469472184781089
NKT_glandfront_Ki67,0.11272123883681494
aSMA-br_mesenchymal_glandfront_ERa,0.09948060526438707
NA_glandfront_TIM3,0.0909013112339391
Dendritic_Cells_CD33+_stromal_pP38,0.08683714925434363
Dendritic_Cells_CD86CD33dp_stromal_GranzymeB,0.08342077459229476
Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB,0.08310391410773246
Dendritic_Cells_CD86+_intragland_pP38,0.07694160408285068
NK_cells_CD56dimCD16+_intragland_ERa,0.07693102398302208
Dendritic_Cells_CD86CD33dp_glandfront_VEGF,0.07364972598737621
NK_cells_CD56brCD16-_stromal_GranzymeB,0.06972448799171967
NK_cells_CD56dimCD16+_glandfront_PR,0.06967610216437387
CD4_T_cells_HLA-DR+_glandfront_VEGF,0.06159737056386431
Macrophages_M1_M2_stromal_HLA-DR,0.061372021048725335
Stroma_vascular_endothelium_glandfront_Ki67,0.05631987631573012
CD8_T_cells_HLA-DR+_intragland_ERa,0.055080628711205976
NK_cells_CD56dimCD16+CD9hi_stromal_NKG2C,0.05461789081277517
NK_cells_CD56brCD16-_stromal_PR,0.05356048472617369
CD8_T_cells_CD11b+_stromal_Ki67,0.05298605257878283
Dendritic_Cells_CD33+_glandfront_Ki67,0.05285717580953738
Gland_glandular_epithelium_glandfront_GranzymeB,0.04942483905010873
Gland_vascular_endothelium_glandfront_PR,0.04891425753986474
Stroma_mesenchymal_glandfront_GranzymeB,0.048549540395995676
CD4_T_cells_FoxP3+_glandfront_PR,0.048475534375785174
CD8_T_cells_HLA-DR+_glandfront_TIM3,0.047457793840389
Gland_fibroblast_glandfront_VEGF,0.046802982278151675
NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB,0.04563459845153086
aSMA-br_vascular_endothelium_stromal_GranzymeB,0.045600178851258305
NK_cells_CD56brCD16-CD9hi_glandfront_pP38,0.04473777471704612
NK_cells_CD56brCD16-TIM3hi_glandfront_pP38,0.044321912541193505
CD8_T_cells_CD80_CD86+_stromal_GranzymeB,0.04383602880686734
NK_cells_CD56brCD16-TIM3hi_stromal_VEGF,0.040463248029977694
CD4_T_cells_HLA-DR+_stromal_PR,0.03994359761831845
Gland_fibroblast_intragland_VEGF,0.03831111362444856
Dendritic_Cells_CD209CD33dp_stromal_GranzymeB,0.03702284731263398
CD4_T_cells_CD80_CD86+_stromal_Ki67,0.03554234642176013
Neutrophils_stromal_Ki67,0.03524656267535629
CD8_T_cells_FoxP3+_glandfront_pP38,0.033917279901361314
CD4_T_cells_HLA-DR+_stromal_pP38,0.03223716932036187
Gland_fibroblast_intragland_pP38,0.0320555257090696
CD8_T_cells_FoxP3+_intragland_GranzymeB,0.03172057081632238
CD8_T_cells_HLA-DR+_glandfront_pP38,0.03159397732978419
Gland_mesenchymal_intragland_GranzymeB,0.03105470332438831
aSMA-br_vascular_endothelium_glandfront_GranzymeB,0.030853386783945905
Dendritic_Cells_CD33+_stromal_PR,0.030741312071480852
Gland_fibroblast_glandfront_ERa,0.02994477083071004
aSMA-br_fibroblast_glandfront_HLA-DR,0.029452754545354336
CD4_T_cells_CD80_CD86+_stromal_ERa,0.029225932824634097
NK_cells_CD56brCD16-TIM3hi_stromal_Ki67,0.028788449701545576
aSMA-br_mesenchymal_glandfront_VEGF,0.02872513150573078
NK_cells_CD56dimCD16+_glandfront_pP38,0.02822934814223641
CD4_T_cells_HLA-DR+_stromal_TIM3,0.028028664386503033
Gland_fibroblast_stromal_GranzymeB,0.027830437256336243
NK_cells_CD56dimCD16+_glandfront_TIM3,0.0276884299245558
CD8_T_cells_CD11b+_glandfront_pP38,0.026756550648342366
Neutrophils_glandfront_ERa,0.026621127044450833
Dendritic_Cells_CD33+_intragland_VEGF,0.0257349394185945
Dendritic_Cells_CD33+_intragland_Ki67,0.02544564888979935
NA_glandfront_PR,0.024919283033707818
Dendritic_Cells_CD209CD86dp_glandfront_VEGF,0.02486488135782688
NK_cells_CD56brCD16-TIM3hi_glandfront_HLA-DR,0.024656819059702375
Macrophages_MDSC_glandfront_TIM3,0.02455281688901669
CD8_T_cells_HLA-DR+_intragland_HLA-DR,0.02417396274578208
Gland_vascular_endothelium_glandfront_VEGF,0.02393687423748284
CD4_T_cells_CD80_CD86+_stromal_HLA-DR,0.023911654023559492
CD4_T_cells_CD11b+_glandfront_PR,0.023886172953863673
NA_glandfront_HLA-DR,0.023853115067355594
Dendritic_Cells_CD86+_glandfront_HLA-DR,0.023387344375318524
Macrophages_M1-like_stromal_HLA-DR,0.023212967564562127
Neutrophils_stromal_GranzymeB,0.02313283370868228
CD4_T_cells_HLA-DR+_glandfront_ERa,0.022842685603780912
Gland_glandular_epithelium_glandfront_Ki67,0.022803206834104573
Macrophages_MDSC_stromal_TIM3,0.022592515538525152
CD8_T_cells_CD80_CD86+_intragland_GranzymeB,0.022378192449350104
Gland_vascular_endothelium_stromal_GranzymeB,0.02235585197566701
Gland_fibroblast_intragland_PR,0.022101182884917005
Macrophages_MDSC_stromal_HLA-DR,0.02204861784973331
Macrophages_M1-like_stromal_Ki67,0.02177173532652646
Macrophages_MDSC_stromal_GranzymeB,0.021541750959960637
Stroma_fibroblast_stromal_Ki67,0.02147484410672
Macrophages_M1_M2_glandfront_GranzymeB,0.02145517394551197
Gland_vascular_endothelium_stromal_HLA-DR,0.021057933531891435
Macrophages_MDSC_glandfront_GranzymeB,0.021043126589081324
CD4_T_cells_FoxP3+_glandfront_HLA-DR,0.020885917541964373
Gland_glandular_epithelium_intragland_VEGF,0.020879099528452315
Gland_mesenchymal_stromal_GranzymeB,0.02054187062391992
NK_cells_CD56dimCD16+_glandfront_ERa,0.020320915974377223
CD8_T_cells_CD80_CD86+_glandfront_VEGF,0.02022481293501852
CD8_T_cells_CD80_CD86+_glandfront_HLA-DR,0.01994302006623719
NA_glandfront_ERa,0.0199248718955816
Gland_mesenchymal_intragland_ERa,0.01977004624298156
CD4_T_cells_HLA-DR+_glandfront_HLA-DR,0.01967485153316391
Neutrophils_glandfront_PR,0.01963477654036774
Dendritic_Cells_CD86CD33dp_stromal_Ki67,0.01889473806923028
CD8_T_cells_HLA-DR+_stromal_Ki67,0.018357618795429468
CD8_T_cells_CD80_CD86+_stromal_Ki67,0.017942828625738833
NK_cells_CD56dimCD16+_stromal_Ki67,0.017691876965853937
Gland_vascular_endothelium_glandfront_pP38,0.01741208635649892
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_Ki67,0.017381572841109756
CD4_T_cells_CD11b+_stromal_GranzymeB,0.017094810815218155
Dendritic_Cells_CD86+_glandfront_VEGF,0.017031672916552842
NK_cells_CD56brCD16-CD9hi_glandfront_TIM3,0.017029790173776184
CD8_T_cells_HLA-DR+_glandfront_ERa,0.016898090127587976
