,Fold selected features,Fold nb of features
Fold 0,"['CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'CD8_T_cells_CD80_CD86+_intragland_Ki67', 'CD4_T_cells_CD11b+_stromal_Ki67', 'Macrophages_M1_M2_stromal_GranzymeB', 'Macrophages_MDSC_glandfront_pP38', 'Dendritic_Cells_CD86+_intragland_PR', 'NKT_glandfront_Ki67', 'Gland_mesenchymal_stromal_Ki67', 'Gland_fibroblast_stromal_PR', 'NA_glandfront_Ki67']",10
Fold 1,"['Macrophages_MDSC_glandfront_TIM3', 'Gland_fibroblast_intragland_GranzymeB', 'Gland_vascular_endothelium_glandfront_VEGF', 'NA_glandfront_Ki67']",4
Fold 2,"['NK_cells_CD56dimCD16+_glandfront_GranzymeB', 'NA_glandfront_Ki67']",2
Fold 3,"['CD4_T_cells_HLA-DR+_stromal_PR', 'CD8_T_cells_HLA-DR+_glandfront_TIM3', 'CD4_T_cells_CD80_CD86+_stromal_HLA-DR', 'CD8_T_cells_CD80_CD86+_intragland_GranzymeB', 'NK_cells_CD56brCD16-_glandfront_Ki67', 'NK_cells_CD56brCD16-_stromal_Ki67', 'NK_cells_CD56dimCD16+_glandfront_TIM3', 'NK_cells_CD56brCD16-TIM3hi_glandfront_pP38', 'NK_cells_CD56brCD16-CD9hi_glandfront_HLA-DR', 'Macrophages_M1_M2_glandfront_GranzymeB', 'Macrophages_MDSC_glandfront_TIM3', 'Dendritic_Cells_CD86+_intragland_PR', 'Dendritic_Cells_CD86+_intragland_pP38', 'Dendritic_Cells_CD33+_stromal_pP38', 'Dendritic_Cells_CD209CD86dp_glandfront_Ki67', 'Neutrophils_stromal_Ki67', 'NKT_glandfront_Ki67', 'Gland_fibroblast_glandfront_VEGF', 'Gland_fibroblast_intragland_VEGF', 'Gland_fibroblast_intragland_GranzymeB', 'Gland_vascular_endothelium_glandfront_VEGF', 'NA_glandfront_Ki67']",22
Fold 4,"['NK_cells_CD56brCD16-CD9hi_stromal_Ki67', 'NKT_glandfront_Ki67']",2
Fold 5,"['CD4_T_cells_FoxP3+_glandfront_HLA-DR', 'CD4_T_cells_CD80_CD86+_glandfront_HLA-DR', 'CD4_T_cells_CD80_CD86+_stromal_HLA-DR', 'CD4_T_cells_CD11b+_stromal_Ki67', 'NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_HLA-DR', 'NK_cells_CD56dimCD16+CD9hi_stromal_NKG2C', 'Macrophages_MDSC_glandfront_pP38', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'aSMA-br_mesenchymal_glandfront_ERa', 'Gland_mesenchymal_stromal_Ki67', 'Gland_fibroblast_intragland_VEGF', 'NA_glandfront_Ki67']",12
Fold 6,[],0
Fold 7,"['CD8_T_cells_FoxP3+_stromal_pP38', 'CD4_T_cells_HLA-DR+_glandfront_VEGF', 'CD4_T_cells_HLA-DR+_stromal_TIM3', 'CD8_T_cells_HLA-DR+_glandfront_TIM3', 'CD4_T_cells_CD80_CD86+_stromal_ERa', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'CD4_T_cells_CD80_CD86+_stromal_HLA-DR', 'CD8_T_cells_CD80_CD86+_intragland_VEGF', 'CD8_T_cells_CD80_CD86+_intragland_GranzymeB', 'CD8_T_cells_CD80_CD86+_intragland_Ki67', 'Stroma_fibroblast_glandfront_VEGF', 'NK_cells_CD56brCD16-_stromal_Ki67', 'NK_cells_CD56dimCD16+_glandfront_Ki67', 'NK_cells_CD56dimCD16+_intragland_ERa', 'NK_cells_CD56dimCD16+_stromal_Ki67', 'NK_cells_CD56brCD16-CD9hi_stromal_Ki67', 'Macrophages_M1-like_glandfront_HLA-DR', 'Macrophages_M1_M2_glandfront_GranzymeB', 'Macrophages_M1_M2_stromal_ERa', 'Macrophages_M1_M2_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_TIM3', 'Macrophages_M1_M2_stromal_HLA-DR', 'Macrophages_MDSC_glandfront_pP38', 'Macrophages_MDSC_stromal_Ki67', 'Dendritic_Cells_CD86+_intragland_PR', 'Dendritic_Cells_CD86+_intragland_pP38', 'Dendritic_Cells_CD86+_stromal_Ki67', 'Dendritic_Cells_CD33+_glandfront_HLA-DR', 'Dendritic_Cells_CD33+_stromal_HLA-DR', 'Dendritic_Cells_CD209CD33dp_stromal_GranzymeB', 'Dendritic_Cells_CD86CD33dp_glandfront_HLA-DR', 'Neutrophils_glandfront_ERa', 'Neutrophils_glandfront_PR', 'NKT_glandfront_Ki67', 'aSMA-br_fibroblast_glandfront_HLA-DR', 'aSMA-br_mesenchymal_glandfront_Ki67', 'Gland_mesenchymal_intragland_ERa', 'Gland_mesenchymal_stromal_HLA-DR', 'Gland_fibroblast_glandfront_VEGF', 'Gland_fibroblast_intragland_GranzymeB', 'Gland_fibroblast_stromal_GranzymeB', 'Gland_vascular_endothelium_stromal_GranzymeB', 'NA_glandfront_Ki67', 'NA_glandfront_TIM3']",44
Fold 8,"['CD4_T_cells_CD80_CD86+_stromal_HLA-DR', 'CD4_T_cells_CD11b+_glandfront_PR', 'CD4_T_cells_CD11b+_stromal_Ki67', 'Stroma_fibroblast_glandfront_VEGF', 'NK_cells_CD56brCD16-_stromal_HLA-DR', 'NK_cells_CD56brCD16-CD9hi_stromal_Ki67', 'Macrophages_M1_M2_stromal_GranzymeB', 'Macrophages_MDSC_glandfront_pP38', 'NKT_glandfront_Ki67', 'NA_glandfront_Ki67']",10
Fold 9,"['CD4_T_cells_HLA-DR+_glandfront_VEGF', 'Stroma_vascular_endothelium_glandfront_Ki67', 'NK_cells_CD56dimCD16+_intragland_ERa', 'NK_cells_CD56brCD16-TIM3hi_glandfront_pP38', 'NKT_glandfront_Ki67', 'Gland_fibroblast_stromal_GranzymeB', 'NA_glandfront_Ki67']",7
