,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
CD4_T_cells_FoxP3+_glandfront_ERa,0.0,0.00025005778670806933,0.00039209878673591986,0.00036569084468196316,0.0005189902026419784,0.0016398288099736735,0.0,0.0004699155550670498,0.0007334942215991715,0.0009130428983614815,0.0016398288099736735,0.0,0.0004699155550670498,0.0007334942215991715,0.0009130428983614815
CD4_T_cells_FoxP3+_glandfront_PR,0.0,0.0,0.0,0.0,0.0,0.0007284695703112191,0.0,0.0,0.0,0.0,0.0007284695703112191,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_pP38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_VEGF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_GranzymeB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_Ki67,0.0007379606877083219,0.0006078378030994231,0.0006150374780346657,0.0016675542697052277,0.0013177499603219244,0.0008169421622992467,0.0005372390028419143,0.0006347753920713155,0.0015653678322533821,0.0013177499603219244,0.0008169421622992467,0.0005372390028419143,0.0006347753920713155,0.0015653678322533821,0.0013177499603219244
CD4_T_cells_FoxP3+_glandfront_HLA-DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_stromal_ERa,0.003485769205028127,0.0009684415543752545,0.0014297490535645028,0.0013014441238858119,0.0,0.0054186121623057935,0.001740117400195907,0.0023612660356596526,0.002134684506239738,0.0006905708894436798,0.0054186121623057935,0.001740117400195907,0.0023612660356596526,0.002134684506239738,0.0006905708894436798
CD4_T_cells_FoxP3+_stromal_PR,0.0021776399716644627,0.0012939343318502951,0.0021126000472798195,0.0006867060461413194,0.0018584774349017226,0.0028302974851074714,0.0024441294786649603,0.003241020285009929,0.002279294351855895,0.0009265016373967014,0.0028302974851074714,0.0024441294786649603,0.003241020285009929,0.002279294351855895,0.0009265016373967014
CD4_T_cells_FoxP3+_stromal_pP38,0.0012335586940717892,0.0007106262815406839,0.0008470016967086453,0.0009670535225824865,0.0011249694926588852,0.001961058324596018,0.0006169094346854173,0.001022592239269492,0.0013707010359131206,0.0011980064428057785,0.001961058324596018,0.0006169094346854173,0.001022592239269492,0.0013707010359131206,0.0011980064428057785
CD4_T_cells_FoxP3+_stromal_VEGF,0.001558090503983793,0.0009836010309178455,0.001186922649018851,0.0007755847135066268,0.001397116429784053,0.0018353915523079392,0.0011103382511332403,0.0009301821983710918,0.0014110997315460116,0.00168624879122957,0.0018353915523079392,0.0011103382511332403,0.0009301821983710918,0.0014110997315460116,0.00168624879122957
CD4_T_cells_FoxP3+_stromal_GranzymeB,0.0,0.0,0.0,0.0,0.0,0.0003718663018330957,0.0,0.0,0.0,0.0,0.0003718663018330957,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_stromal_Ki67,0.0001982622839756357,0.00016762309017843402,0.00016798089231020291,0.0003876239865636353,0.0,0.001180809421658145,0.00013939904863666044,0.00044221742922068277,0.0003364639429832508,0.0,0.001180809421658145,0.00013939904863666044,0.00044221742922068277,0.0003364639429832508,0.0
CD4_T_cells_FoxP3+_stromal_HLA-DR,0.0008504403823464821,0.0008957563825742495,0.001311905590514029,0.0012701917007303747,0.0018495105644667645,0.0007096744045708516,0.0009979948305244325,0.0016218348976814294,0.0009656547254506781,0.0026746910694393808,0.0007096744045708516,0.0009979948305244325,0.0016218348976814294,0.0009656547254506781,0.0026746910694393808
CD8_T_cells_FoxP3+_glandfront_ERa,0.007384071837950287,0.004107463313228944,0.004893879594208567,0.003655767474769679,0.0007134144899119219,0.0090640746957655,0.005638183027175648,0.005271199818085049,0.004934688280007983,0.001038711690004112,0.0090640746957655,0.005638183027175648,0.005271199818085049,0.004934688280007983,0.001038711690004112
CD8_T_cells_FoxP3+_glandfront_PR,0.004483673325756245,0.004416061880968157,0.005838335958078446,0.0030455276312466397,0.0048889475678616364,0.005432884278699415,0.004828218853994784,0.005603979691248034,0.004555776419398724,0.004389827326097738,0.005432884278699415,0.004828218853994784,0.005603979691248034,0.004555776419398724,0.004389827326097738
CD8_T_cells_FoxP3+_glandfront_pP38,0.03684636324288719,0.04957466303286608,0.035836297880544696,0.040102845091791066,0.020302876269105152,0.03486140971279148,0.04197467237852828,0.03427401366112057,0.03587137713375888,0.021008304883946446,0.03486140971279148,0.04197467237852828,0.03427401366112057,0.03587137713375888,0.021008304883946446
CD8_T_cells_FoxP3+_glandfront_VEGF,0.005303291959494572,0.0055880671663801045,0.004508711121432336,0.006784791179427753,0.0008872993489398149,0.005662189636173921,0.00581600994232678,0.003032533407023335,0.006163944290122392,0.0,0.005662189636173921,0.00581600994232678,0.003032533407023335,0.006163944290122392,0.0
CD8_T_cells_FoxP3+_glandfront_GranzymeB,0.0023913788611862243,0.0025447884378979927,0.0019317803231606956,0.0021745055813932185,0.0006254540917578961,0.004085404925912285,0.0031174051670819604,0.002755099055867803,0.0027702369617093395,0.0006472188520558147,0.004085404925912285,0.0031174051670819604,0.002755099055867803,0.0027702369617093395,0.0006472188520558147
CD8_T_cells_FoxP3+_glandfront_Ki67,0.0022071855582168126,0.0017584992377591608,0.001822716466548703,0.002011000743191659,0.0006372865684203357,0.0023420609879526,0.0014560229617463457,0.001624231093868162,0.0014716862696339593,0.0006372865684203357,0.0023420609879526,0.0014560229617463457,0.001624231093868162,0.0014716862696339593,0.0006372865684203357
CD8_T_cells_FoxP3+_glandfront_TIM3,0.0015814350214463744,0.001338998585032764,0.0014931129711332133,0.0019454282788853021,0.0,0.0029901186009245124,0.0020773371091101856,0.0017042532222045622,0.001448046445922669,0.0,0.0029901186009245124,0.0020773371091101856,0.0017042532222045622,0.001448046445922669,0.0
CD8_T_cells_FoxP3+_glandfront_HLA-DR,0.004077575679817692,0.005903616258321939,0.005551002950307189,0.0039032876910981102,0.0014664761704035198,0.005600988218334102,0.006237311355649059,0.006528268419871036,0.0048105052288362656,0.002296971306580277,0.005600988218334102,0.006237311355649059,0.006528268419871036,0.0048105052288362656,0.002296971306580277
CD8_T_cells_FoxP3+_intragland_ERa,0.0,0.0,0.0,0.0,0.0,0.0006100333972029029,0.0,0.0,0.0,0.0,0.0006100333972029029,0.0,0.0,0.0,0.0
CD8_T_cells_FoxP3+_intragland_PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8_T_cells_FoxP3+_intragland_VEGF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8_T_cells_FoxP3+_intragland_GranzymeB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
