,Max Proba
NKT_glandfront_area,0.3183850896962625
NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity,0.25284642569870436
CD4_T_cells_FoxP3+_glandfront_celldistance,0.2156913065436661
Macrophages_MDSC_glandfront_eccentricity,0.20291285226452788
aSMA-br_vascular_endothelium_glandfront_area,0.19508758320679648
CD4_T_cells_CD80_CD86+_glandfront_celldistance,0.18211663323603103
CD8_T_cells_CD80_CD86+_stromal_area,0.181576821723646
Dendritic_Cells_CD86CD33dp_glandfront_area,0.16955713907362086
Dendritic_Cells_CD86CD33dp_glandfront_eccentricity,0.1504591149739065
CD8_T_cells_HLA-DR+_stromal_area,0.13586061762426788
CD8_T_cells_CD80_CD86+_glandfront_eccentricity,0.12894348338459638
Gland_mesenchymal_intragland_eccentricity,0.12577078949055273
CD8_T_cells_CD11b+_glandfront_area,0.12230965525500605
Dendritic_Cells_CD86+_intragland_eccentricity,0.12137313217601675
Gland_fibroblast_intragland_eccentricity,0.10891877861371312
CD4_T_cells_CD80_CD86+_stromal_area,0.1079526964051105
Macrophages_M1_M2_stromal_area,0.10720074307848082
CD4_T_cells_HLA-DR+_stromal_eccentricity,0.10651099065634465
Macrophages_M1_M2_glandfront_area,0.10411784502436496
CD8_T_cells_CD11b+_glandfront_eccentricity,0.10246948350378693
Macrophages_MDSC_glandfront_area,0.10109086716397464
Dendritic_Cells_CD209CD86dp_stromal_eccentricity,0.10005623936441783
NA_glandfront_celldistance,0.09848578721822113
CD4_T_cells_HLA-DR+_stromal_area,0.09384577613242959
Stroma_vascular_endothelium_stromal_area,0.09308976203031814
Macrophages_M1-like_stromal_area,0.08984154800411602
Macrophages_M1-like_glandfront_area,0.07933075215271332
CD8_T_cells_FoxP3+_glandfront_celldistance,0.07769014420576024
CD4_T_cells_CD11b+_stromal_eccentricity,0.07718413361824583
Macrophages_M2-like_glandfront_celldistance,0.07016242714735847
Dendritic_Cells_CD33+_intragland_area,0.06892543145901835
aSMA-br_mesenchymal_stromal_area,0.06333358378679653
Neutrophils_glandfront_area,0.06116546170755728
Dendritic_Cells_CD86CD33dp_stromal_area,0.061100847565736666
NK_cells_CD56dimCD16+CD9hi_stromal_area,0.06085334144353506
aSMA-br_fibroblast_glandfront_eccentricity,0.06066548686743962
CD8_T_cells_HLA-DR+_intragland_area,0.06034026480808505
NK_cells_CD56brCD16-TIM3hi_stromal_area,0.06011358358594111
Stroma_vascular_endothelium_glandfront_area,0.05821611401256945
CD8_T_cells_FoxP3+_intragland_area,0.05703874485195756
CD4_T_cells_CD80_CD86+_glandfront_area,0.056877932682366794
Dendritic_Cells_CD33+_stromal_eccentricity,0.05628426015190002
NA_glandfront_area,0.055980902242665186
Gland_fibroblast_glandfront_area,0.05548263341434312
Dendritic_Cells_CD33+_glandfront_celldistance,0.05485475551908103
NA_stromal_area,0.05482568850735452
Stroma_vascular_endothelium_stromal_eccentricity,0.05480091306830473
NK_cells_CD56brCD16-_stromal_area,0.05391093631705578
Stroma_fibroblast_glandfront_eccentricity,0.05140217832475471
Macrophages_MDSC_glandfront_celldistance,0.047819596881265324
NK_cells_CD56brCD16-CD9hi_glandfront_area,0.04686320480892377
Gland_fibroblast_stromal_eccentricity,0.046740848811685214
NK_cells_CD56brCD16-TIM3hi_glandfront_celldistance,0.04333283260557075
Stroma_vascular_endothelium_glandfront_eccentricity,0.0431581215238973
Macrophages_M1_M2_stromal_eccentricity,0.04238752245277744
Dendritic_Cells_CD86+_intragland_area,0.04223562744101071
NK_cells_CD56brCD16-CD9hi_glandfront_celldistance,0.04216159547218723
Gland_fibroblast_glandfront_celldistance,0.04155753945525909
CD4_T_cells_FoxP3+_stromal_eccentricity,0.04113774352669143
NA_glandfront_eccentricity,0.04000024557409377
Gland_mesenchymal_intragland_area,0.03852659949954211
CD8_T_cells_FoxP3+_glandfront_eccentricity,0.03844917251671176
Stroma_vascular_endothelium_glandfront_celldistance,0.03726478154522774
NK_cells_CD56dimCD16+_stromal_area,0.03720955174495856
NK_cells_CD56dimCD16+_glandfront_eccentricity,0.036669387753025674
NKT_glandfront_celldistance,0.036561571221907965
Neutrophils_stromal_area,0.03514360616383309
NK_cells_CD56brCD16-CD9hi_stromal_area,0.03469226209154143
CD8_T_cells_HLA-DR+_glandfront_eccentricity,0.03365887141057812
Neutrophils_glandfront_celldistance,0.03251330479561955
Neutrophils_glandfront_eccentricity,0.03228664219999481
Gland_vascular_endothelium_glandfront_area,0.03184595015119818
CD8_T_cells_HLA-DR+_glandfront_celldistance,0.031106435510283668
Macrophages_MDSC_stromal_area,0.030724055570288067
aSMA-br_mesenchymal_glandfront_celldistance,0.030380783880425546
NK_cells_CD56dimCD16+_glandfront_area,0.029887117943366265
Gland_vascular_endothelium_glandfront_celldistance,0.029547401405712964
CD4_T_cells_HLA-DR+_glandfront_celldistance,0.02948160762848176
Dendritic_Cells_CD86+_glandfront_eccentricity,0.027674324049524485
Dendritic_Cells_CD33+_glandfront_eccentricity,0.027178295183422546
Gland_fibroblast_stromal_area,0.02623184681304339
CD8_T_cells_FoxP3+_stromal_area,0.026162320107268724
NK_cells_CD56dimCD16+_glandfront_celldistance,0.026151675861671653
NK_cells_CD56brCD16-_stromal_eccentricity,0.025895952606173854
Dendritic_Cells_CD86CD33dp_glandfront_celldistance,0.025847291094454775
Dendritic_Cells_CD209CD86dp_glandfront_celldistance,0.02545171326351321
CD8_T_cells_HLA-DR+_intragland_eccentricity,0.025143265355725256
NK_cells_CD56brCD16-TIM3hi_stromal_eccentricity,0.024929025625234563
NK_cells_CD56brCD16-_glandfront_celldistance,0.024919379132524275
Stroma_fibroblast_glandfront_celldistance,0.024694416259416666
Gland_fibroblast_intragland_area,0.024465654147145684
Dendritic_Cells_CD33+_glandfront_area,0.024461782038049346
CD4_T_cells_CD11b+_glandfront_eccentricity,0.02325297995814788
Dendritic_Cells_CD86+_stromal_area,0.02319079295986826
CD8_T_cells_CD11b+_intragland_area,0.022679101067116153
aSMA-br_mesenchymal_glandfront_eccentricity,0.02249707240066555
Dendritic_Cells_CD209CD33dp_glandfront_celldistance,0.02248215302572566
NK_cells_CD56brCD16-_glandfront_area,0.02195061748464403
Gland_vascular_endothelium_stromal_eccentricity,0.02122660562037493
CD4_T_cells_CD80_CD86+_stromal_eccentricity,0.021012721815095656
Dendritic_Cells_CD209CD86dp_glandfront_eccentricity,0.020932322431702344
Dendritic_Cells_CD209CD33dp_stromal_area,0.02037630119817913
CD8_T_cells_CD80_CD86+_glandfront_celldistance,0.019950373683323516
Macrophages_M1-like_glandfront_celldistance,0.019923580521763788
CD8_T_cells_FoxP3+_stromal_eccentricity,0.019774575845823286
CD4_T_cells_CD80_CD86+_glandfront_eccentricity,0.019693417117326716
CD4_T_cells_CD11b+_glandfront_celldistance,0.019661939776132006
CD8_T_cells_CD11b+_stromal_eccentricity,0.019175672168121258
CD4_T_cells_HLA-DR+_glandfront_eccentricity,0.019175230743442823
Gland_vascular_endothelium_stromal_area,0.019121328250692578
CD4_T_cells_HLA-DR+_glandfront_area,0.01904591884687093
CD8_T_cells_CD80_CD86+_intragland_eccentricity,0.01858765122094672
NK_cells_CD56brCD16-_glandfront_eccentricity,0.018301331956310233
Stroma_mesenchymal_glandfront_celldistance,0.018212379137408828
CD4_T_cells_FoxP3+_stromal_area,0.01808840469384742
Macrophages_M1_M2_glandfront_celldistance,0.01793928415347235
NK_cells_CD56dimCD16+CD9hi_intragland_eccentricity,0.017708107746600102
NK_cells_CD56dimCD16+CD9hi_glandfront_celldistance,0.01758333177129948
Dendritic_Cells_CD86+_glandfront_area,0.016897681480803846
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_eccentricity,0.016779301680990212
Dendritic_Cells_CD86CD33dp_stromal_eccentricity,0.016676887736330415
Dendritic_Cells_CD86+_glandfront_celldistance,0.016057296801803008
Dendritic_Cells_CD209CD33dp_glandfront_eccentricity,0.015972949437278918
Dendritic_Cells_CD33+_stromal_area,0.015609115098829063
Gland_mesenchymal_glandfront_celldistance,0.015304539017817228
CD8_T_cells_CD11b+_stromal_area,0.015272854771087923
CD4_T_cells_CD11b+_glandfront_area,0.015263038858788611
CD8_T_cells_CD80_CD86+_stromal_eccentricity,0.015142113919787363
Dendritic_Cells_CD209CD33dp_glandfront_area,0.01507422035530154
aSMA-br_fibroblast_stromal_eccentricity,0.014979197163186396
CD4_T_cells_CD11b+_intragland_area,0.014603373136048188
Gland_mesenchymal_stromal_area,0.014461038958506502
CD8_T_cells_CD80_CD86+_glandfront_area,0.01431791444521892
Dendritic_Cells_CD33+_intragland_eccentricity,0.013941303868218465
aSMA-br_fibroblast_glandfront_celldistance,0.013907172098831843
Dendritic_Cells_CD209CD33dp_stromal_eccentricity,0.013900130221057598
Dendritic_Cells_CD209CD86dp_glandfront_area,0.013769624235224443
Neutrophils_stromal_eccentricity,0.013233225667475371
CD8_T_cells_HLA-DR+_glandfront_area,0.013016964538060434
CD8_T_cells_CD11b+_glandfront_celldistance,0.012645463952624841
NA_stromal_eccentricity,0.012274394517426712
Gland_mesenchymal_stromal_eccentricity,0.01210710023975772
Macrophages_M1_M2_glandfront_eccentricity,0.011934784439183412
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_area,0.011781041322459938
Macrophages_MDSC_stromal_eccentricity,0.010997144272543216
NK_cells_CD56dimCD16+CD9hi_intragland_area,0.010963055111798093
NK_cells_CD56dimCD16+CD9hi_stromal_eccentricity,0.01095975500897104
CD8_T_cells_FoxP3+_intragland_eccentricity,0.010175063987891737
CD4_T_cells_HLA-DR+_intragland_area,0.01015127668614813
Gland_glandular_epithelium_intragland_area,0.010138215654991501
Gland_vascular_endothelium_glandfront_eccentricity,0.010114561400860035
Dendritic_Cells_CD209CD86dp_stromal_area,0.010014741118384232
CD4_T_cells_CD11b+_stromal_area,0.009688533327912785
CD8_T_cells_FoxP3+_glandfront_area,0.009665870910570213
CD8_T_cells_CD80_CD86+_intragland_area,0.009589439311356909
Dendritic_Cells_CD86+_stromal_eccentricity,0.009556429735826577
NK_cells_CD56dimCD16+_stromal_eccentricity,0.009340789795826141
aSMA-br_vascular_endothelium_glandfront_celldistance,0.009129420903263286
aSMA-br_mesenchymal_stromal_eccentricity,0.008428314544454179
Stroma_fibroblast_stromal_eccentricity,0.0084264819823688
NK_cells_CD56dimCD16+CD9hi_glandfront_eccentricity,0.008264747676368547
Stroma_fibroblast_glandfront_area,0.008178350563976268
NK_cells_CD56brCD16-CD9hi_stromal_eccentricity,0.008068608044736037
NK_cells_CD56dimCD16+CD9hi_glandfront_area,0.007420573340612074
CD4_T_cells_FoxP3+_glandfront_area,0.007185637676460314
Macrophages_M2-like_glandfront_area,0.0070043044178161535
NK_cells_CD56brCD16-CD9hi_glandfront_eccentricity,0.006743493839826856
Stroma_fibroblast_stromal_area,0.006307082056573089
NK_cells_CD56brCD16-TIM3hi_glandfront_area,0.006247710394238726
Macrophages_M2-like_glandfront_eccentricity,0.0060278015223627045
CD8_T_cells_HLA-DR+_stromal_eccentricity,0.005622079952478411
Gland_mesenchymal_glandfront_area,0.005361641296839322
Gland_glandular_epithelium_intragland_eccentricity,0.00517773669076495
aSMA-br_fibroblast_glandfront_area,0.00459133819779179
Gland_mesenchymal_glandfront_eccentricity,0.004359374965139058
aSMA-br_vascular_endothelium_stromal_area,0.004290735489246554
aSMA-br_mesenchymal_glandfront_area,0.0038417551860788573
CD4_T_cells_FoxP3+_glandfront_eccentricity,0.0036656510268304435
NK_cells_CD56dimCD16+_intragland_eccentricity,0.0035290331442588275
Macrophages_M2-like_stromal_area,0.00240569271692694
aSMA-br_fibroblast_stromal_area,0.001721796830684227
NK_cells_CD56dimCD16+_intragland_area,0.0013155596290081845
NKT_glandfront_eccentricity,0.0012221049283546702
CD4_T_cells_CD80_CD86+_intragland_eccentricity,0.0011644785895765061
Macrophages_M2-like_stromal_eccentricity,0.0011265064442382584
Macrophages_M1-like_glandfront_eccentricity,0.0010702919539221773
Stroma_mesenchymal_stromal_eccentricity,0.0009974916736790343
Gland_fibroblast_glandfront_eccentricity,0.0008811285976735515
CD4_T_cells_CD80_CD86+_intragland_area,0.0008638168072998285
Gland_glandular_epithelium_glandfront_area,0.0008060825469249657
aSMA-br_vascular_endothelium_glandfront_eccentricity,0.000672169243482565
aSMA-br_vascular_endothelium_stromal_eccentricity,0.0003694271819781141
Macrophages_M1-like_stromal_eccentricity,0.0003592412299602262
Gland_glandular_epithelium_glandfront_celldistance,5.992678493249863e-05
Stroma_mesenchymal_glandfront_eccentricity,4.4406963993552255e-05
Stroma_mesenchymal_stromal_area,0.0
Stroma_mesenchymal_glandfront_area,0.0
Gland_glandular_epithelium_glandfront_eccentricity,0.0
