,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
CD4_T_cells_FoxP3+_glandfront_area,0.0,0.0,0.0,0.0,2.740620035797851e-05,0.001012137911316066,0.0009681888587422772,0.0011664082551594858,0.0015270842005066457,0.0015271274574279725
CD4_T_cells_FoxP3+_stromal_area,0.0,0.0,0.0,0.0018978084710700412,0.006134265565476883,0.005229173502413177,0.006339384303559272,0.006675062021180813,0.007307082481375294,0.007288263772459361
CD8_T_cells_FoxP3+_glandfront_area,0.0,0.0,0.0,0.0035574588684894296,0.004301887085256659,0.004434298446219307,0.00483146783920649,0.005228316918556475,0.006540282879706776,0.008095771931029767
CD8_T_cells_FoxP3+_intragland_area,0.0,0.0,0.0,0.00040818538678042527,0.00890685633140082,0.011250185410300295,0.012043269271382485,0.011891121801087064,0.012188038373728192,0.014333744869409418
CD8_T_cells_FoxP3+_stromal_area,0.0,0.0,0.0,0.0013974403457233638,0.0013787467819802118,0.0011437342817820094,0.0011403559939685897,0.0010160594127744539,0.0010744263725097675,0.0021611506829529213
CD4_T_cells_HLA-DR+_glandfront_area,0.0,0.0,0.0,0.00043404138702701534,0.002371746092891438,0.004252939619216877,0.0066116919233481465,0.007146969414147604,0.008708565058506345,0.009885592714320199
CD4_T_cells_HLA-DR+_intragland_area,0.0,0.0,0.0,0.0,0.002663687320676833,0.005490697196250426,0.006692082191093571,0.0075613269287879694,0.007224280116106502,0.007022924870418463
CD4_T_cells_HLA-DR+_stromal_area,0.0,0.0,0.01,0.06895655114190899,0.08790874776407241,0.08796723073713858,0.08775238819768244,0.08814283338452569,0.08479207257906239,0.09371045074658357
CD8_T_cells_HLA-DR+_glandfront_area,0.0,0.0,0.0,0.001007224651904253,0.0032748367039100125,0.004485248228315083,0.005056613460861411,0.005678513294293208,0.005947154516136246,0.008011459772017872
CD8_T_cells_HLA-DR+_intragland_area,0.0,0.0,0.0,0.00015048126786610833,0.007522342650476482,0.013027805080403295,0.015573254335337502,0.017276477355878807,0.01910993253032958,0.022435169341401384
CD8_T_cells_HLA-DR+_stromal_area,0.0,0.0,0.008,0.05558376491203818,0.0536042741295348,0.05119078745159229,0.053207135887138386,0.0542206967319187,0.06147639440438898,0.07657252739202593
CD4_T_cells_CD80_CD86+_glandfront_area,0.0,0.0,0.0,0.010325006569167556,0.029161061864620075,0.040803613821447884,0.045005918155588125,0.048626373639511694,0.05503327921663739,0.06872874346439678
CD4_T_cells_CD80_CD86+_intragland_area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004254643413348777,0.0002845620741891284,0.00036653078257510124
CD4_T_cells_CD80_CD86+_stromal_area,0.0,0.0,0.002,0.04149636406665452,0.050750449962158224,0.05293325180226084,0.05394202424015655,0.05640157083438203,0.05830407799791039,0.06331951526729149
