,Max Proba
aSMA-br_vascular_endothelium_glandfront_area,0.4505510926246643
NKT_glandfront_area,0.20153197646141052
aSMA-br_vascular_endothelium_stromal_area,0.18098823726177216
Macrophages_M2-like_glandfront_celldistance,0.16705049574375153
Stroma_vascular_endothelium_stromal_area,0.1590893417596817
CD8_T_cells_CD80_CD86+_stromal_eccentricity,0.1193728819489479
Neutrophils_stromal_area,0.11528860777616501
Dendritic_Cells_CD86CD33dp_glandfront_area,0.08710718899965286
CD4_T_cells_CD11b+_stromal_eccentricity,0.08538752794265747
CD4_T_cells_HLA-DR+_stromal_area,0.07999998331069946
CD8_T_cells_CD80_CD86+_stromal_area,0.07051223516464233
CD8_T_cells_HLA-DR+_stromal_area,0.06885002553462982
NA_stromal_eccentricity,0.06727911531925201
Gland_fibroblast_glandfront_celldistance,0.05676195025444031
NK_cells_CD56dimCD16+CD9hi_stromal_area,0.056694600731134415
CD4_T_cells_CD80_CD86+_stromal_area,0.05362092703580856
Gland_fibroblast_glandfront_area,0.053098164498806
Macrophages_M1_M2_glandfront_eccentricity,0.05161721259355545
Macrophages_MDSC_glandfront_celldistance,0.05161168426275253
Macrophages_M1-like_stromal_eccentricity,0.051567621529102325
aSMA-br_mesenchymal_stromal_area,0.0497351810336113
NK_cells_CD56brCD16-CD9hi_stromal_area,0.048493608832359314
Macrophages_M1_M2_glandfront_area,0.04780969023704529
Gland_glandular_epithelium_glandfront_area,0.0472041554749012
Stroma_vascular_endothelium_glandfront_area,0.047194574028253555
CD4_T_cells_CD80_CD86+_stromal_eccentricity,0.046326689422130585
Dendritic_Cells_CD86CD33dp_stromal_area,0.04615963622927666
Stroma_fibroblast_stromal_area,0.04257449880242348
aSMA-br_fibroblast_stromal_area,0.04191891476511955
Stroma_vascular_endothelium_stromal_eccentricity,0.04162696748971939
CD4_T_cells_CD80_CD86+_glandfront_area,0.04084203019738197
NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity,0.040570471435785294
NK_cells_CD56dimCD16+_stromal_eccentricity,0.039975594729185104
aSMA-br_mesenchymal_glandfront_area,0.03957848250865936
Stroma_fibroblast_glandfront_area,0.0382721945643425
Macrophages_M1_M2_stromal_eccentricity,0.03773580864071846
Macrophages_M1-like_glandfront_area,0.03733491152524948
Neutrophils_glandfront_area,0.03717930242419243
Macrophages_M1_M2_stromal_area,0.036306533962488174
NK_cells_CD56brCD16-TIM3hi_stromal_area,0.03419044613838196
Dendritic_Cells_CD86CD33dp_glandfront_eccentricity,0.03330150619149208
Gland_mesenchymal_glandfront_eccentricity,0.03200044110417366
aSMA-br_fibroblast_glandfront_celldistance,0.0304981991648674
aSMA-br_vascular_endothelium_glandfront_eccentricity,0.029725726693868637
CD8_T_cells_CD80_CD86+_glandfront_area,0.029311129823327065
Macrophages_M2-like_glandfront_area,0.02809515781700611
NK_cells_CD56brCD16-TIM3hi_glandfront_area,0.0280897319316864
CD8_T_cells_HLA-DR+_glandfront_eccentricity,0.025280103087425232
