,Max Proba
NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity,0.200054069079887
Dendritic_Cells_CD86CD33dp_glandfront_eccentricity,0.182415274435851
aSMA-br_vascular_endothelium_glandfront_area,0.17189256089397936
Macrophages_MDSC_glandfront_eccentricity,0.16376164644556343
NKT_glandfront_area,0.1247547307110212
Dendritic_Cells_CD86CD33dp_glandfront_area,0.11145398574578415
CD8_T_cells_CD80_CD86+_stromal_area,0.10216530894274493
Macrophages_M1_M2_stromal_area,0.09421123320065179
CD4_T_cells_HLA-DR+_stromal_area,0.09371045074658357
Dendritic_Cells_CD86+_glandfront_eccentricity,0.08034086958515563
CD8_T_cells_CD11b+_glandfront_area,0.07865849159695597
Stroma_vascular_endothelium_stromal_area,0.07835603073988275
CD8_T_cells_HLA-DR+_stromal_area,0.07657252739202593
NK_cells_CD56brCD16-TIM3hi_glandfront_celldistance,0.07451532191199121
NK_cells_CD56dimCD16+CD9hi_stromal_area,0.0699448205800552
CD4_T_cells_CD80_CD86+_glandfront_area,0.06872874346439678
Gland_fibroblast_intragland_eccentricity,0.06583891857910487
CD4_T_cells_CD80_CD86+_stromal_area,0.06331951526729149
CD4_T_cells_CD80_CD86+_glandfront_celldistance,0.062155932349008264
Gland_fibroblast_intragland_area,0.05899155311235076
CD8_T_cells_CD80_CD86+_glandfront_eccentricity,0.058171643409598524
Neutrophils_glandfront_area,0.05814679025398407
Gland_fibroblast_glandfront_celldistance,0.05656164467872694
Macrophages_M1-like_stromal_area,0.05031355659725055
NK_cells_CD56brCD16-TIM3hi_stromal_area,0.04942288777997798
NA_glandfront_area,0.04937270341366182
CD4_T_cells_CD11b+_stromal_eccentricity,0.04822409792075532
Dendritic_Cells_CD33+_intragland_area,0.04808025875663415
Gland_vascular_endothelium_glandfront_celldistance,0.04670586332047225
Macrophages_MDSC_glandfront_celldistance,0.04652911418878123
CD4_T_cells_FoxP3+_glandfront_celldistance,0.04258823286243524
Macrophages_M2-like_glandfront_celldistance,0.04160497076459208
NK_cells_CD56brCD16-CD9hi_stromal_area,0.04113065880953096
Macrophages_M1_M2_glandfront_area,0.04054094964175174
CD8_T_cells_CD11b+_stromal_area,0.04006013093433422
Gland_fibroblast_glandfront_area,0.03881929307116864
Dendritic_Cells_CD86+_intragland_eccentricity,0.03644845423216071
Neutrophils_stromal_area,0.036158907674854635
CD4_T_cells_HLA-DR+_stromal_eccentricity,0.035523147620895104
Gland_vascular_endothelium_stromal_eccentricity,0.0355025863069254
CD4_T_cells_HLA-DR+_glandfront_eccentricity,0.034866614842396025
CD4_T_cells_FoxP3+_stromal_eccentricity,0.034817756819252935
Macrophages_MDSC_glandfront_area,0.034330838115169564
NK_cells_CD56brCD16-_stromal_area,0.034114398311739576
