,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,0.0020314678073035876,0.001614482782776162,0.002400402372901351,0.002619077613506184,0.002169502581500066,0.0025308734680881744,0.0021093700311419924,0.0013609050497443867,0.002776110548787931,0.00295287568791663,0.0025308734680881744,0.0021093700311419924,0.0013609050497443867,0.002776110548787931,0.00295287568791663
artificial.3,0.01889389539963708,0.019323139430908888,0.017434427307308705,0.01676669146906408,0.006394669343664988,0.0195640970398034,0.017505318606280577,0.018889742478419767,0.013956588491744854,0.007784093332658133,0.0195640970398034,0.017505318606280577,0.018889742478419767,0.013956588491744854,0.007784093332658133
artificial.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.5,0.02889196305101245,0.02908563086462361,0.029897000186754067,0.023448951832221763,0.007385994462401502,0.021902235453731943,0.025001505474219844,0.027478273853481356,0.021119274539245055,0.008534217426701182,0.021902235453731943,0.025001505474219844,0.027478273853481356,0.021119274539245055,0.008534217426701182
artificial.6,0.07980364432025118,0.07025948605016988,0.07085417545844427,0.07401482694973108,0.0687916029483504,0.06910253175949911,0.07191934594272965,0.07213343978237576,0.07461202225303676,0.07037907005587471,0.06910253175949911,0.07191934594272965,0.07213343978237576,0.07461202225303676,0.07037907005587471
artificial.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.8,0.02973863077270995,0.038756524349767146,0.03655521872995858,0.039111744159435795,0.021313434665895598,0.032338012057123465,0.03965760384649863,0.03654225899810102,0.03335203683293338,0.025531219399989973,0.032338012057123465,0.03965760384649863,0.03654225899810102,0.03335203683293338,0.025531219399989973
artificial.9,0.009832177256454853,0.009740682974228308,0.01144845912115897,0.009756585566415633,0.012338892902054612,0.00815675361936093,0.010781805769420756,0.010733286643917326,0.011015493797102194,0.015100334292417682,0.00815675361936093,0.010781805769420756,0.010733286643917326,0.011015493797102194,0.015100334292417682
artificial.10,0.0,0.0,0.0,0.0,0.0003419690118998926,0.0,0.0,0.0,0.0,0.0003419690118998926,0.0,0.0,0.0,0.0,0.0003419690118998926
artificial.11,0.01070818046275644,0.007537329194997274,0.013885282737034538,0.013986142112338036,0.00983231753066273,0.007011331560759369,0.008939150787335782,0.013370158650473892,0.015472273728521627,0.010824504112643464,0.007011331560759369,0.008939150787335782,0.013370158650473892,0.015472273728521627,0.010824504112643464
artificial.12,0.13547005470973045,0.15386542714606147,0.12729365974241166,0.1123881845681361,0.055209498478176716,0.12192519196995776,0.15483763230657963,0.11636955005825267,0.1102934748269303,0.04961272893155197,0.12192519196995776,0.15483763230657963,0.11636955005825267,0.1102934748269303,0.04961272893155197
artificial.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.14,0.304532313230333,0.3616865048187506,0.3296958644242791,0.3082936024522192,0.21022005004660813,0.2963431221438262,0.34631835701725877,0.3106164337596726,0.3019334558250966,0.1907116220942181,0.2963431221438262,0.34631835701725877,0.3106164337596726,0.3019334558250966,0.1907116220942181
artificial.15,0.026964762106855503,0.025715786592247186,0.03311058931485414,0.036883110759681585,0.0202626844286934,0.02861531613771411,0.029587217614780073,0.036018623111097506,0.03462290835674606,0.02464984459952311,0.02861531613771411,0.029587217614780073,0.036018623111097506,0.03462290835674606,0.02464984459952311
artificial.16,0.0006046832712525529,0.0,0.0,0.0,0.0,0.0008365776007195853,0.0,0.0,0.0,0.0,0.0008365776007195853,0.0,0.0,0.0,0.0
artificial.17,0.041020575315926434,0.03884490245412088,0.04556782095862294,0.04532954100074825,0.03152327641112476,0.03936878031510866,0.03767748218579118,0.04270667643514542,0.04434679709573625,0.034145580670601625,0.03936878031510866,0.03767748218579118,0.04270667643514542,0.04434679709573625,0.034145580670601625
artificial.18,0.012518037221064952,0.022074341182695564,0.016975114374515616,0.013471145366237948,0.006042233307401164,0.013150090304867858,0.01584621949613744,0.013605719693714264,0.009828756801431903,0.005947446422414837,0.013150090304867858,0.01584621949613744,0.013605719693714264,0.009828756801431903,0.005947446422414837
artificial.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.20,0.02659901338469256,0.026254253740841407,0.029128794774003968,0.031246226665397465,0.016481887109468237,0.02593912765976514,0.02620602454426681,0.02650377419685894,0.02990456526161517,0.019335294694705164,0.02593912765976514,0.02620602454426681,0.02650377419685894,0.02990456526161517,0.019335294694705164
artificial.21,0.000942603309782537,0.0007304698760403922,0.0005987931323572057,0.0015498838476881987,0.000747970701515462,0.0005109301024076689,0.0007628054037333405,0.0008623453825186371,0.0017007183983761965,0.000747970701515462,0.0005109301024076689,0.0007628054037333405,0.0008623453825186371,0.0017007183983761965,0.000747970701515462
artificial.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.23,0.013238718703242775,0.013251925373979201,0.012201615874604617,0.01588844423449187,0.005374729634724804,0.012461896177713719,0.012419779187969333,0.016641188950116004,0.01668025778766575,0.005926003282947351,0.012461896177713719,0.012419779187969333,0.016641188950116004,0.01668025778766575,0.005926003282947351
artificial.24,0.01177001781940693,0.013594269247091893,0.013967233759839506,0.010967303560724655,0.005430502758339507,0.011775757525408923,0.015374957591506045,0.013300279049062922,0.011521963107738542,0.0057567419459194445,0.011775757525408923,0.015374957591506045,0.013300279049062922,0.011521963107738542,0.0057567419459194445
artificial.25,0.027521534327062416,0.025833807389763104,0.032594751806581806,0.030617020583647306,0.02232965045371556,0.023848467606573,0.02134725696992837,0.029906676749832013,0.03262859073327275,0.02282684051938471,0.023848467606573,0.02134725696992837,0.029906676749832013,0.03262859073327275,0.02282684051938471
artificial.26,0.015381858699536686,0.015512366519919062,0.01672214115081607,0.019261523210862094,0.016737481265226103,0.016960905750637485,0.014693427118984918,0.016951104960084923,0.020468949445068524,0.019716449921541708,0.016960905750637485,0.014693427118984918,0.016951104960084923,0.020468949445068524,0.019716449921541708
artificial.27,0.01291200588636557,0.011251025716931264,0.010692465066207914,0.010923880134517902,0.006808596946439564,0.013950444844031084,0.010594769442074667,0.013776879362242886,0.010663082533759848,0.00829448849875934,0.013950444844031084,0.010594769442074667,0.013776879362242886,0.010663082533759848,0.00829448849875934
artificial.28,0.020668751501658197,0.022666910488212365,0.02489512676814312,0.023123083569128185,0.006395863477774975,0.018371138996272095,0.022001156847762705,0.026186343185404526,0.021871353107983386,0.005848193867047929,0.018371138996272095,0.022001156847762705,0.026186343185404526,0.021871353107983386,0.005848193867047929
artificial.29,0.017395863451684597,0.017807986217966396,0.01846229383952168,0.022555064078024982,0.022418655673856088,0.02459332467525669,0.018002456290048787,0.018904815534250927,0.028257124495265226,0.027257735191970743,0.02459332467525669,0.018002456290048787,0.018904815534250927,0.028257124495265226,0.027257735191970743
artificial.30,0.08688096878826625,0.11187013894870515,0.09313755007969911,0.08617804471627753,0.03506790103582854,0.08476144449719955,0.11409091005906631,0.09077672495555868,0.07638445790816097,0.03544938047966602,0.08476144449719955,0.11409091005906631,0.09077672495555868,0.07638445790816097,0.03544938047966602
artificial.31,0.021667534413423995,0.02843167023155376,0.027676371901667256,0.0228193739951705,0.008281117406399325,0.024615161833265235,0.027831620853653132,0.027976806361664396,0.01986102236271019,0.008016267673403394,0.024615161833265235,0.027831620853653132,0.027976806361664396,0.01986102236271019,0.008016267673403394
artificial.32,0.05182215469616172,0.06457940724541361,0.07276114767651952,0.06550206142424779,0.034863131217283294,0.04913888916160902,0.06326247020189894,0.0765226665410766,0.06148445507371719,0.03484472141385348,0.04913888916160902,0.06326247020189894,0.0765226665410766,0.06148445507371719,0.03484472141385348
artificial.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.34,0.031688327499420445,0.027422717607157816,0.03156474091759622,0.03845928178742303,0.03782960327029399,0.028758654086286795,0.021221246374737133,0.03315168020307396,0.03961742358718439,0.03378273062077341,0.028758654086286795,0.021221246374737133,0.03315168020307396,0.03961742358718439,0.03378273062077341
artificial.35,0.017961780069104996,0.021994848188094333,0.013246705281996469,0.0158652943931109,0.006722898787235473,0.018008215360903183,0.02099256434705464,0.017290766150419298,0.013326622925489128,0.008350416379809912,0.018008215360903183,0.02099256434705464,0.017290766150419298,0.013326622925489128,0.008350416379809912
artificial.36,0.013473439652806918,0.013996900303765271,0.018017459903222482,0.010811992584557947,0.00754570914196082,0.013470564439295545,0.014084426377369084,0.016389675129536107,0.013646728122622173,0.007762457518661437,0.013470564439295545,0.014084426377369084,0.016389675129536107,0.013646728122622173,0.007762457518661437
artificial.37,0.0165848817132341,0.018442791979245084,0.015368575288333337,0.018251233263897493,0.01242922592372632,0.015869968907245856,0.02076303380103352,0.016166037963418253,0.018506178995036492,0.008998838179695278,0.015869968907245856,0.02076303380103352,0.016166037963418253,0.018506178995036492,0.008998838179695278
artificial.38,0.009252782916756885,0.014458575733172614,0.013605902142059523,0.011490434931989339,0.005306728997228762,0.010557692672464923,0.015249562249329135,0.01704355154015566,0.010805925775340406,0.006370142327934418,0.010557692672464923,0.015249562249329135,0.01704355154015566,0.010805925775340406,0.006370142327934418
artificial.39,0.0,0.0,0.0,0.00033967068688045874,0.0006851725866104357,0.0,0.0,0.0003008646017653194,0.0,0.0006851725866104357,0.0,0.0,0.0003008646017653194,0.0,0.0006851725866104357
artificial.40,0.07427623931484058,0.08633142871336853,0.06944369288701072,0.06497836638170883,0.030461116423360326,0.07046054032392153,0.08386015901475537,0.06547326425547001,0.0570152596639947,0.03147651827561467,0.07046054032392153,0.08386015901475537,0.06547326425547001,0.0570152596639947,0.03147651827561467
artificial.41,0.040185119126710425,0.044756060447237296,0.045137029779716974,0.04028327536394594,0.015811503080010298,0.03463271816176531,0.04455093083147396,0.04115766817210067,0.040678917572880384,0.010605429719188198,0.03463271816176531,0.04455093083147396,0.04115766817210067,0.040678917572880384,0.010605429719188198
artificial.42,0.007007246371450396,0.008445942370767744,0.009161003738166808,0.0076124191250360115,0.0031683755077575116,0.008996618246545313,0.007469998454207691,0.008654960866344116,0.008250934260824183,0.002774125669587711,0.008996618246545313,0.007469998454207691,0.008654960866344116,0.008250934260824183,0.002774125669587711
artificial.43,0.012521840591921065,0.013048354937179762,0.014262171867693005,0.013052141829072859,0.00570519438066094,0.011668239754053353,0.012950653361026439,0.016751950489567853,0.010383752709641725,0.00651934198589356,0.011668239754053353,0.012950653361026439,0.016751950489567853,0.010383752709641725,0.00651934198589356
artificial.44,0.005798552077119884,0.007146051980261364,0.0074722644703255,0.009392735879276064,0.004382737359836189,0.0053999067411988465,0.007159456177438992,0.0073209739456960125,0.007577717000332396,0.004229995809149849,0.0053999067411988465,0.007159456177438992,0.0073209739456960125,0.007577717000332396,0.004229995809149849
artificial.45,0.03445816137745319,0.03513362163999012,0.037568498417970685,0.04163043257684042,0.032066343104135614,0.03716609088647153,0.0375377827432409,0.04119484701149448,0.04237617074715653,0.03288664315482715,0.03716609088647153,0.0375377827432409,0.04119484701149448,0.04237617074715653,0.03288664315482715
artificial.46,0.012545378679007369,0.011311832088084057,0.012379879145925775,0.012520648735131552,0.006763667919297904,0.013138130730974308,0.013010987819372107,0.012310107949490175,0.012837532740145449,0.0033168377513831423,0.013138130730974308,0.013010987819372107,0.012310107949490175,0.012837532740145449,0.0033168377513831423
artificial.47,0.01529896607709964,0.01598241638330805,0.014491815243533917,0.012037756025528727,0.0025177278947370063,0.016444725334124166,0.015524092477478784,0.014237666386318982,0.012182386487090077,0.002519601076584353,0.016444725334124166,0.015524092477478784,0.014237666386318982,0.012182386487090077,0.002519601076584353
artificial.48,0.03522342063076895,0.031642478145325025,0.04206896156111919,0.03592140267774241,0.027974463722078905,0.030077082166007893,0.031207577073682716,0.04204236404076045,0.03454652913373226,0.028986263684162693,0.030077082166007893,0.031207577073682716,0.04204236404076045,0.03454652913373226,0.028986263684162693
artificial.49,0.007418146418994251,0.009266750385921254,0.009355912923105012,0.007282512875477172,0.005649269066558332,0.008734813196837459,0.006041878574086024,0.011865632116474897,0.006451950160458941,0.004253209220865531,0.008734813196837459,0.006041878574086024,0.011865632116474897,0.006451950160458941,0.004253209220865531
artificial.50,0.05594079588818909,0.05738539677535624,0.05513481339802456,0.06381302676981208,0.04152179114808339,0.05244234846673918,0.05343166544709282,0.060272844707796584,0.061686700255325494,0.045118496491397604,0.05244234846673918,0.05343166544709282,0.060272844707796584,0.061686700255325494,0.045118496491397604
artificial.51,0.0005946435313402074,0.0006314860990413247,0.0002313037684842524,0.0011528848917304435,0.0008144151071082132,0.0002717588874574294,0.0,0.0002303446965281712,0.0012004731320546852,0.0007179469997211413,0.0002717588874574294,0.0,0.0002303446965281712,0.0012004731320546852,0.0007179469997211413
artificial.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.53,0.004915276124410334,0.0024979524538432238,0.004254939984922731,0.005297339844626889,0.004306310849853173,0.004848446752178993,0.003803969915666115,0.004694713791205177,0.0053194790901575015,0.004803413695560818,0.004848446752178993,0.003803969915666115,0.004694713791205177,0.0053194790901575015,0.004803413695560818
artificial.54,0.016566559171514252,0.01661020589103892,0.019886908549251122,0.015946435025864958,0.008730492223843882,0.01551766936572392,0.019324795077274512,0.020809019868974106,0.015869308383837953,0.009831875097360908,0.01551766936572392,0.019324795077274512,0.020809019868974106,0.015869308383837953,0.009831875097360908
artificial.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.56,0.012304555887364727,0.01277095943387456,0.017053474169434747,0.017153806376337285,0.008762697534279267,0.013870300195998135,0.012648920149904971,0.015554767074941472,0.018243483699365855,0.01014944782362997,0.013870300195998135,0.012648920149904971,0.015554767074941472,0.018243483699365855,0.01014944782362997
artificial.57,0.11367063248805331,0.13700659939204143,0.10518455968990423,0.08868092509338558,0.04687995536987531,0.10174267986604353,0.1280853213808823,0.09909159485222493,0.08273693897151063,0.04680860375448026,0.10174267986604353,0.1280853213808823,0.09909159485222493,0.08273693897151063,0.04680860375448026
artificial.58,0.007784497478152785,0.007478675281245362,0.006816343017835387,0.004940554848512045,0.0025795558230791086,0.006758855217878652,0.008905175012990055,0.006215243934364191,0.00540364085945118,0.0037401878076470238,0.006758855217878652,0.008905175012990055,0.006215243934364191,0.00540364085945118,0.0037401878076470238
artificial.59,0.013846655606411634,0.014075491401191622,0.013337924526698474,0.01673110718314349,0.0119994058803595,0.014815753753461348,0.01448326536450921,0.01391345864823071,0.016155127807170645,0.01392650992308938,0.014815753753461348,0.01448326536450921,0.01391345864823071,0.016155127807170645,0.01392650992308938
artificial.60,0.013351193176053024,0.012221507816837635,0.012488035698417357,0.012619132312522102,0.011543625207973668,0.01558062759087904,0.012442682814204346,0.015473145513107063,0.014857310776330703,0.010147886117289508,0.01558062759087904,0.012442682814204346,0.015473145513107063,0.014857310776330703,0.010147886117289508
