,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
artificial.1,0.0,0.0,0.0,0.05009316791722178,0.07344635649093753,0.09301624473987977,0.10035185375935655,0.10694487506507369,0.11116826455988041,0.12398861085129831
artificial.2,0.0,0.0,0.0,0.0022215785872498044,0.016593307456136228,0.022955329495909158,0.026003281845164282,0.025429795398743085,0.027680947897247465,0.031237026380408265
artificial.3,0.0,0.0,0.0,0.04399609502777195,0.08255821553101342,0.08809189145271042,0.08940629270555339,0.09187458628308488,0.09731565378690282,0.10657515733619818
artificial.4,0.0,0.0,0.0,0.0014215143959906689,0.0028795142640361633,0.004580974654577586,0.005712400189940428,0.005583648328594709,0.004850126484406817,0.0057094950843244435
artificial.5,0.0,0.0,0.0,0.0,0.006158387391043291,0.011000397424386013,0.012142708268236256,0.012553947811301418,0.012780357461377375,0.013883056172862656
artificial.6,0.0,0.0,0.0,0.0007808331601184844,0.00704196786276307,0.014307509855009176,0.018112541959194043,0.02152333790434304,0.02544374111939268,0.031937291071895794
artificial.7,0.0,0.0,0.0,0.00018997537397294113,0.006376417150356512,0.012638193663550547,0.01590653632779106,0.018135830038152303,0.019445800302801793,0.020920201983057485
artificial.8,0.0,0.0,0.0,0.001256424134958957,0.010827505036166205,0.0116072687196547,0.013583629395664917,0.01581725341500547,0.01732693827127118,0.01894641539038339
artificial.9,0.0,0.0,0.0,0.00038162194385921275,0.005692115636741734,0.0069512468641371354,0.00813406010440798,0.009710559264904306,0.010075467450874386,0.012658453601172947
artificial.10,0.0,0.0,0.0,0.0,0.0010786477085338822,0.002069595179282904,0.00255999004886175,0.0027966767346538743,0.003394821234422272,0.0036924336012494835
artificial.11,0.0,0.0,0.0,0.00041411402991589364,0.0037013757078399583,0.0037277532519088287,0.005522415567435544,0.00641521812316367,0.007299112505355813,0.011130199227816816
artificial.12,0.0,0.0,0.0,0.00021904716410264545,0.0013364210420070556,0.0008894368290029115,0.0022855673561859133,0.0029463518744132764,0.004101165715422254,0.004347031288979541
artificial.13,0.0,0.0,0.0,0.00356043444283847,0.005928471161611488,0.00866855329558771,0.010645667573743686,0.011245391262952011,0.01182500992844904,0.012403603915212159
artificial.14,0.0,0.0,0.0,0.07484404516694547,0.11541193692416543,0.13670756376144,0.14660123196848066,0.15485109913889705,0.1671859127201998,0.1761750063647807
artificial.15,0.0,0.0,0.0,0.024558427537365948,0.025804162432660496,0.0231239857045506,0.022237781567648853,0.021306792976922246,0.0228310201735293,0.022204249407252685
artificial.16,0.0,0.0,0.0,0.008368289277699276,0.02826145173735427,0.028503966117458614,0.03144301750504779,0.034797968122960314,0.03976737291867866,0.049198503364395484
artificial.17,0.0,0.0,0.0,0.006464999083781261,0.02123183401222305,0.024885890669645885,0.02707761002934104,0.028512403110304552,0.02986229582984242,0.03269254020642953
artificial.18,0.0,0.0,0.0,0.03554699849281449,0.06569608566240819,0.0716874465426368,0.0742452626299303,0.07659392347500156,0.08177277587190689,0.09000592853397144
artificial.19,0.0,0.0,0.0,0.0013375544466693787,0.0067304943149415425,0.007222351502631549,0.0072503259389410804,0.0071519115454106615,0.006041776636328671,0.007099854721900858
artificial.20,0.0,0.0,0.0,0.00039741957489973024,0.005924949305959229,0.007096346242542374,0.00956784325424347,0.011259392852022633,0.012216023058399994,0.015599254278684546
artificial.21,0.0,0.0,0.0,0.0059529158838544415,0.022817840294701977,0.024710254149648923,0.0248659422612016,0.027824038868129047,0.031868824570538704,0.036828840631566384
artificial.22,0.0,0.0,0.0,0.0,0.0016710527465263433,0.0026090102453484804,0.0029806250847879572,0.003455478751844548,0.004641187840113903,0.005588614012520482
artificial.23,0.0,0.0,0.0,0.0,0.00017257231346345337,0.00025772509348717914,0.0006578208605145092,0.0008224834143676661,0.0004345350128500016,0.0014102527241372296
artificial.24,0.0,0.0,0.0,0.0007762357247009404,0.002804234530558166,0.0049914438775478295,0.00524699119661232,0.00590707625092092,0.00682043676421989,0.00898130365929473
artificial.25,0.0,0.0,0.0,0.0,0.005741546873659303,0.009274096968134957,0.010535890901438902,0.011749606750918315,0.012198041976182166,0.011552831561865902
artificial.26,0.0,0.0,0.0,0.0,0.0006414243296576006,0.0011336470119209187,0.002750394721309855,0.003977537275849928,0.005778790268082578,0.006917837245204213
artificial.27,0.0,0.0,0.0,0.0,0.003238257715995108,0.0063917722049264365,0.0074750829508541785,0.009032546148065304,0.009551842712767763,0.015478541234977517
artificial.28,0.0,0.0,0.0,0.009533336055118788,0.020969611571492762,0.022522150604100892,0.02427652131266987,0.025539752611639637,0.028467436580765237,0.03494097724552729
artificial.29,0.0,0.0,0.0,0.0,0.0005093556738267525,0.003311847944565665,0.004846108837154211,0.005036567918649661,0.004114336837972332,0.00497218561772962
artificial.30,0.0,0.0,0.0,0.004618737640369109,0.0025630865559818456,0.0034688509263692364,0.004735556398481485,0.005223587443722704,0.0058661625294283365,0.004938187724045449
artificial.31,0.0,0.0,0.0,0.0014969136786342787,0.0051875817183579314,0.0071562668528349135,0.0076960958166527454,0.00836653895727187,0.009045984307208117,0.010656611150639693
artificial.32,0.0,0.0,0.0,0.0,0.0009806244409282462,0.001678472727991238,0.0032117073231670026,0.003996088760455316,0.004711088103091043,0.00582658323841333
artificial.33,0.0,0.0,0.0,0.0008376803883224875,0.009362076443673213,0.014542130174426002,0.01717179414351198,0.01842410087495122,0.018985250099924588,0.022705130468540616
artificial.34,0.0,0.0,0.0,0.0,0.00032133633540284176,0.0009390899505600875,0.0013186427465201262,0.002444588410522045,0.003137315214641942,0.003269577812601103
artificial.35,0.0,0.0,0.0,0.0007004802890838862,0.001283698952631632,0.002316584498537399,0.004807357592412958,0.006800838732452548,0.004705664524655481,0.002961630777872634
artificial.36,0.0,0.0,0.0,0.0004546754481382294,0.0065665063072111824,0.006646378984556805,0.006892689760175441,0.007138449790164465,0.009324507592246813,0.011322960510133545
artificial.37,0.0,0.0,0.0,0.006381561926869356,0.059746482558508465,0.08969674688547553,0.10448083710916979,0.11502120498640404,0.12988654049216378,0.1534683975670222
artificial.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.39,0.0,0.0,0.0,0.015300627174419386,0.03966048034932513,0.05466967831872093,0.06212784899467834,0.06595667863292595,0.07210327796618209,0.0829433956400306
artificial.40,0.0,0.0,0.0,0.0,0.0,0.0003233265066432626,0.0004989421625375098,0.0005114204162193824,6.154030053189552e-05,7.028979085426218e-05
artificial.41,0.0,0.0,0.0,0.0025633845049909763,0.0063561185662960725,0.0071336575595864135,0.007458000039383958,0.007593393624851454,0.006459733550915441,0.008330797157918178
artificial.42,0.0,0.0,0.0,0.01202762100143397,0.021820844173571875,0.034605580232544224,0.038111653202606455,0.04143047049648698,0.044082654739903464,0.04394018245456913
artificial.43,0.0,0.0,0.0,0.0023930661585137504,0.006996517642625666,0.012018385220104887,0.012847425376637998,0.013582737802099653,0.013028845472040284,0.011877448908354354
artificial.44,0.0,0.0,0.0,0.002412784556429917,0.010631533442576177,0.013158812718263089,0.01593206760215833,0.017012689459082037,0.0168288514385344,0.017824567144450267
artificial.45,0.0,0.0,0.0,0.0015682057247403906,0.005332177545585576,0.009410525141996674,0.011129332730478446,0.012461539310698619,0.013563108231344745,0.01837841750841421
artificial.46,0.0,0.0,0.0,0.004027075926481447,0.019086182666366167,0.02632747043722428,0.03049126318859961,0.033328554112156725,0.03387490023720639,0.03551269652179797
artificial.47,0.0,0.0,0.0,0.0031398045368653477,0.010505600575044672,0.010012473715576727,0.0088224515847263,0.009760429383528588,0.010784800796531003,0.013487968178117786
artificial.48,0.0,0.0,0.0,0.001096352540410852,0.013035978620228515,0.017211330325742128,0.019829033712494202,0.021471352107633783,0.024159923572265207,0.02587168521792082
artificial.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.50,0.0,0.0,0.0,0.0,0.004830126499028303,0.005642769106810382,0.007053202134044023,0.0073672723685486155,0.00829977842570112,0.00693865403367791
artificial.51,0.0,0.0,0.0,0.00010717949726607977,0.0014473040159488457,0.0016738241002570745,0.001796454873984605,0.0016940779078089328,0.0014255052392148637,0.0008528474661429925
artificial.52,0.0,0.0,0.0,0.0406175224550357,0.037358962088045684,0.026624543291715128,0.023043699464363836,0.021777089661356077,0.02432194013008959,0.026319526670621752
artificial.53,0.0,0.0,0.0,0.0,0.0010265333079769537,0.0027144554590720943,0.00391275103592195,0.004436804357792226,0.004949492781552176,0.006383585374402228
artificial.54,0.0,0.0,0.0,0.0010183096156199524,0.002403123841209162,0.0032071898338809977,0.002588786610945784,0.002542095325078361,0.003924666371681076,0.006966808561671114
artificial.55,0.0,0.0,0.0,0.00038436223709024654,0.0027131028214713976,0.0018558233043125386,0.0018562574482143374,0.0022998329268767415,0.0028089256259450223,0.0035003819947631615
artificial.56,0.0,0.0,0.002,0.04204752763767328,0.11243740854607616,0.13010919897025663,0.1350947758012806,0.1372120994586121,0.1458821747195415,0.15991281083166503
artificial.57,0.0,0.0,0.0,2.8138298302609726e-05,0.0014461222624645514,0.0018451059044632993,0.002481556789041667,0.00303823233511803,0.004024755407872142,0.004933845650491926
artificial.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43289150770033e-05
artificial.59,0.0,0.0,0.0,0.004142387148463252,0.005437848428751769,0.005362276455760718,0.005359408740158358,0.005989396384042316,0.005495643257976249,0.007483963283028873
artificial.60,0.0,0.0,0.0,0.0044218498127167735,0.01046814395922564,0.009866557475563306,0.01101891523913961,0.012104066714513181,0.013304932782496495,0.014326784843351273
artificial.61,0.0,0.0,0.0,0.0,0.0002345640262829593,0.0023817676041502896,0.0034342472658715813,0.004968349571572521,0.005447219352669874,0.006792375754321412
artificial.62,0.0,0.0,0.0,0.0013328850042686443,0.0021398126624972806,0.0031186157546325938,0.003988730296263664,0.004110757234709494,0.002795769721938601,0.0027838899174543264
artificial.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3210724479786176e-06,0.0
artificial.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001200421290753922,0.0002793227941067145
artificial.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.67,0.0,0.0,0.0,0.00020080389424446935,0.008050923502657696,0.014483089853194587,0.017873042177251847,0.018905952802137426,0.02211796265960149,0.02617390326586817
artificial.68,0.0,0.0,0.0,0.000566768717917695,0.003812300633921465,0.003300438626563697,0.0036436525971504114,0.003952065764960762,0.005016525174430881,0.008246614370658155
artificial.69,0.0,0.0,0.0,0.056197406143910944,0.0907243299269422,0.0965799985160687,0.09570762795179087,0.09733824317304078,0.1008058865600034,0.1079263958894997
artificial.70,0.0,0.0,0.0,0.04326238320113369,0.07547698621552026,0.08235537895243816,0.08256061592099097,0.08367592065011327,0.08869810271501646,0.0934041597645076
artificial.71,0.0,0.0,0.0,0.0055414493445019855,0.014292377756686146,0.016762352839957594,0.01657980450810772,0.017454697156511656,0.018709085588890464,0.02126559586596934
artificial.72,0.0,0.0,0.0,0.0,0.001156406776983301,0.0025149596172173287,0.0024013330939155835,0.0022822264366647283,0.00312767250195749,0.0043161237755497866
artificial.73,0.0,0.0,0.0,0.0007579073307446926,0.006208439106857958,0.010988733521944306,0.011217569783129218,0.011419522662986237,0.012261989986386604,0.0129899568074948
artificial.74,0.0,0.0,0.0,0.0015130720022966506,0.004378735614890662,0.006983806983554053,0.00878147257041497,0.00904357877523125,0.008494053313134553,0.010255707379923047
