,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
CD4_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.0,0.0,0.0006482918878399266,0.0,0.0006056022453580243,0.0029149820541593667,0.0011964516143811354,0.0010599262196040848,0.0014338969330170166,0.0023333449973148134,0.0029149820541593667,0.0011964516143811354,0.0010599262196040848,0.0014338969330170166,0.0023333449973148134
CD4_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.0007502494374022885,0.0008154469562778175,0.0009978111910099205,0.001997988378373226,0.0010156484301853843,0.002316594132466535,0.0007155674436632856,0.0012954924277541456,0.002017249156670671,0.0012729575464090334,0.002316594132466535,0.0007155674436632856,0.0012954924277541456,0.002017249156670671,0.0012729575464090334
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0022886903886211235,0.0019926036475009473,0.002647656765017694,0.0032757013243165764,0.0019655336563652024,0.006781973222473749,0.0019411519703034339,0.002145119510844808,0.004454679119663263,0.0055106049924215856,0.006781973222473749,0.0019411519703034339,0.002145119510844808,0.004454679119663263,0.0055106049924215856
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.048098988624778585,0.027842170067661685,0.040257496592816404,0.04083174066442382,0.02932026080099223,0.047383030757678836,0.02762454005561682,0.04325956190462412,0.03593320020507241,0.0379554359381685,0.047383030757678836,0.02762454005561682,0.04325956190462412,0.03593320020507241,0.0379554359381685
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.01279681077941527,0.01390120467894906,0.014031102269459195,0.012655763248215728,0.007386469655432265,0.012550739287950002,0.012637746412695577,0.014562756851401676,0.013689832690631874,0.007184483052419836,0.012550739287950002,0.012637746412695577,0.014562756851401676,0.013689832690631874,0.007184483052419836
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.008783200150644547,0.005056920171799708,0.008004967523893652,0.008542850520054537,0.012028679716196368,0.011132074245882046,0.00561731183479249,0.010381125523403555,0.010813813018639502,0.010820638441890911,0.0118033512124629,0.00561731183479249,0.010381125523403555,0.010813813018639502,0.010820638441890911
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Gland.fibroblast,0.0007422953292189813,0.0011254816845946895,0.0020082162962969984,0.0019916092285026275,0.001925694509154025,0.0033747613674060756,0.0009880631761769426,0.003287441975404925,0.004984022001877138,0.002339375040298666,0.0033747613674060756,0.0009880631761769426,0.003287441975404925,0.004984022001877138,0.002339375040298666
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.004508841885503657,0.0035137335726137236,0.004807545650108996,0.004864206126051806,0.0020414736150949154,0.00909215881561143,0.003927142710652795,0.007039712026528283,0.005173819541731282,0.002799238061502504,0.009323608183544054,0.003927142710652795,0.007039712026528283,0.005173819541731282,0.002799238061502504
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.002305900367512674,0.003999346560610381,0.0023972238930648005,0.0027972198207572175,0.0025791364580386097,0.004611752548121317,0.00340265001651404,0.0035883153302001805,0.0032732152315301946,0.0014005643240315026,0.004611752548121317,0.00340265001651404,0.0035883153302001805,0.0032732152315301946,0.0014005643240315026
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.004070268074363842,0.0037155678459788247,0.005187504665330602,0.005751351595302383,0.0020758207333873803,0.00823833371313526,0.004563172942235562,0.0061484904108556225,0.007536190903631493,0.004261024292560419,0.008256842669194277,0.004563172942235562,0.0061484904108556225,0.007536190903631493,0.004261024292560419
