,Threshold,min FDP+
Fold n°1,0.24000000000000002,0.5
Fold n°2,0.22,0.5
Fold n°3,0.17,0.5
Fold n°4,0.05,0.6363636363636364
Fold n°5,0.02,0.9901960784313726
Fold n°6,0.13,0.45454545454545453
Fold n°7,0.05,0.8205128205128205
Fold n°8,0.2,0.3333333333333333
Fold n°9,0.04,1.0
Fold n°10,0.04,0.9545454545454546
Fold n°11,0.09999999999999999,0.4444444444444444
Fold n°12,0.06999999999999999,0.8076923076923077
Fold n°13,0.21000000000000002,0.6666666666666666
Fold n°14,0.21000000000000002,0.3333333333333333
Fold n°15,0.24000000000000002,0.25
Fold n°16,0.16,0.5555555555555556
Fold n°17,0.2,0.5
Fold n°18,0.15000000000000002,0.5
Fold n°19,0.21000000000000002,0.3333333333333333
Fold n°20,0.13,0.08333333333333333
Fold n°21,0.09999999999999999,0.8571428571428571
Fold n°22,0.32,0.5
Fold n°23,0.14,0.375
Fold n°24,0.08,0.3333333333333333
Fold n°25,0.2,0.4
Fold n°26,0.22,0.4
Fold n°27,0.060000000000000005,0.7222222222222222
Fold n°28,0.19,0.25
Fold n°29,0.12,0.5
Fold n°30,0.12,0.3333333333333333
Fold n°31,0.21000000000000002,1.0
Fold n°32,0.04,0.7333333333333333
Fold n°33,0.25,0.5
Fold n°34,0.11,0.8333333333333334
Fold n°35,0.24000000000000002,0.3333333333333333
Fold n°36,0.11,0.7692307692307693
Fold n°37,0.2,0.6666666666666666
Fold n°38,0.03,0.5274725274725275
Fold n°39,0.09,0.6
Fold n°40,0.15000000000000002,0.14285714285714285
Fold n°41,0.16,0.5
Fold n°42,0.09999999999999999,0.5
Fold n°43,0.060000000000000005,0.6944444444444444
Fold n°44,0.09,0.6875
Fold n°45,0.05,0.8378378378378378
Fold n°46,0.09,0.6
Fold n°47,0.18000000000000002,0.4
Fold n°48,0.03,0.7945205479452054
Fold n°49,0.18000000000000002,0.3333333333333333
Fold n°50,0.11,0.38461538461538464
Fold n°51,0.06999999999999999,0.64
Fold n°52,0.02,0.9081632653061225
Fold n°53,0.18000000000000002,0.2
Fold n°54,0.13,0.5555555555555556
Fold n°55,0.22,0.2
Fold n°56,0.01,0.9066666666666666
Fold n°57,0.08,0.5185185185185185
Fold n°58,0.15000000000000002,0.25
Fold n°59,0.09999999999999999,0.7647058823529411
Fold n°60,0.01,0.9463087248322147
Fold n°61,0.15000000000000002,0.25
Fold n°62,0.15000000000000002,0.2857142857142857
Fold n°63,0.04,0.6271186440677966
Fold n°64,0.09,0.5263157894736842
Fold n°65,0.18000000000000002,0.5
Fold n°66,0.15000000000000002,0.5714285714285714
Fold n°67,0.09999999999999999,0.631578947368421
Fold n°68,0.02,0.8703703703703703
Fold n°69,0.22,0.3333333333333333
Fold n°70,0.17,0.5
Fold n°71,0.17,0.5
Fold n°72,0.01,0.965034965034965
Fold n°73,0.16,0.8
Fold n°74,0.09,0.8823529411764706
Fold n°75,0.09,0.4
Fold n°76,0.15000000000000002,0.2222222222222222
Fold n°77,0.11,1.0
Fold n°78,0.11,0.8888888888888888
Fold n°79,0.06999999999999999,0.6
Fold n°80,0.19,0.3333333333333333
Fold n°81,0.09999999999999999,0.8
Fold n°82,0.15000000000000002,0.3333333333333333
Fold n°83,0.06999999999999999,0.4827586206896552
Fold n°84,0.17,0.3333333333333333
Fold n°85,0.06999999999999999,0.782608695652174
Fold n°86,0.2,0.3333333333333333
Fold n°87,0.26,0.5
Fold n°88,0.13,0.36363636363636365
Fold n°89,0.02,0.7521367521367521
Fold n°90,0.12,0.36363636363636365
Fold n°91,0.11,0.6363636363636364
Fold n°92,0.11,0.6363636363636364
Fold n°93,0.12,0.5384615384615384
Fold n°94,0.04,0.5737704918032787
Fold n°95,0.21000000000000002,0.2
Fold n°96,0.16,0.5714285714285714
Fold n°97,0.18000000000000002,0.25
Fold n°98,0.15000000000000002,0.5
Fold n°99,0.04,0.8909090909090909
Fold n°100,0.18000000000000002,0.8
