,Max Proba
aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.2598996162414551
Stroma_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.22152768075466156
Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.1580270677804947
CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.15587781369686127
Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium,0.10214940458536148
Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast,0.10139721632003784
Gland_fibroblast_intragland_aggregatedNeighbors.Gland.mesenchymal,0.08592104911804199
Dendritic_Cells_CD86CD33dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.07628514617681503
Gland_fibroblast_stromal_aggregatedNeighbors.Stroma.fibroblast,0.07448724657297134
aSMA-br_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.07290823757648468
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.07032860815525055
Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.fibroblast,0.0650031790137291
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.06189395487308502
CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.05808115378022194
Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.05696555972099304
Macrophages_M1_M2_stromal_aggregatedNeighbors.Macrophages.MDSC,0.05541868507862091
Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.053724780678749084
Gland_fibroblast_stromal_aggregatedNeighbors.Gland.fibroblast,0.05001191049814224
Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.fibroblast,0.04846339300274849
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.04800543934106827
NK_cells_CD56brCD16-TIM3hi_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.04743446782231331
Macrophages_M1_M2_stromal_aggregatedNeighbors.Macrophages.M2.like,0.04709850251674652
NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi,0.04654557257890701
Macrophages_MDSC_stromal_aggregatedNeighbors.Macrophages.MDSC,0.04596381261944771
Macrophages_MDSC_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.04467718303203583
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.03496384248137474
Gland_mesenchymal_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.03379523381590843
NA_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.03343602269887924
Macrophages_M2-like_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.03219708427786827
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Macrophages.M2.like,0.031740739941596985
NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.03146661818027496
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.03120478242635727
aSMA-br_fibroblast_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.03118853271007538
Macrophages_MDSC_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.030859550461173058
Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.fibroblast,0.030505722388625145
NK_cells_CD56brCD16-TIM3hi_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.02899286150932312
NKT_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.02857327088713646
Stroma_mesenchymal_stromal_aggregatedNeighbors.Stroma.fibroblast,0.027708830311894417
CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.026729580014944077
Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.026584269478917122
Gland_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.02645835094153881
NA_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.026052018627524376
NK_cells_CD56brCD16-CD9hi_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi,0.0250634104013443
Dendritic_Cells_CD33+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.02475135028362274
Gland_fibroblast_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.02438880130648613
Stroma_fibroblast_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.022162744775414467
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.022031258791685104
Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.021682607010006905
NKT_glandfront_aggregatedNeighbors.Gland.fibroblast,0.02088109962642193
aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.02062641829252243
CD4_T_cells_CD11b+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.020505383610725403
Neutrophils_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.019745314493775368
NK_cells_CD56brCD16-TIM3hi_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi,0.01895693503320217
NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.01868796907365322
Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.018508540466427803
Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.0180742796510458
aSMA-br_mesenchymal_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.017570730298757553
CD4_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.017527787014842033
Dendritic_Cells_CD209CD33dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.017396090552210808
Neutrophils_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.01714593917131424
aSMA-br_fibroblast_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.016310689970850945
NK_cells_CD56brCD16-CD9hi_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.015969013795256615
Neutrophils_stromal_aggregatedNeighbors.Neutrophils,0.015683388337492943
Gland_fibroblast_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.015538561157882214
NA_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.015479005873203278
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.015130237676203251
Macrophages_MDSC_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.014377711340785027
Gland_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.014325195923447609
Stroma_fibroblast_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.014251431450247765
NA_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.013512002304196358
Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.mesenchymal,0.01331803947687149
NK_cells_CD56dimCD16+CD9hi_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.01303164754062891
Stroma_mesenchymal_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.01271878182888031
NK_cells_CD56brCD16-CD9hi_stromal_aggregatedNeighbors.Stroma.fibroblast,0.01259478460997343
NK_cells_CD56dimCD16+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.012413091026246548
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.012346352450549603
Neutrophils_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.012050574645400047
Gland_mesenchymal_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.011709105223417282
Gland_fibroblast_intragland_aggregatedNeighbors.Gland.fibroblast,0.011675047688186169
Stroma_fibroblast_stromal_aggregatedNeighbors.Stroma.fibroblast,0.011651291511952877
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.011650282889604568
Gland_fibroblast_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.01151570025831461
Dendritic_Cells_CD209CD33dp_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.011505475267767906
CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.011425688862800598
aSMA-br_mesenchymal_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.011339837685227394
Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.011089341714978218
Stroma_fibroblast_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.01097312942147255
Macrophages_M1_M2_stromal_aggregatedNeighbors.Stroma.fibroblast,0.010875013656914234
Dendritic_Cells_CD86CD33dp_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.010749373584985733
Stroma_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.010732486844062805
CD4_T_cells_CD11b+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.010504274629056454
Dendritic_Cells_CD209CD86dp_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.010439159348607063
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.010421919636428356
CD4_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.010127018205821514
Neutrophils_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.010066675953567028
Gland_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.009926891885697842
NK_cells_CD56brCD16-TIM3hi_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.009881455451250076
Stroma_mesenchymal_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.00986976083368063
Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.009846843779087067
Neutrophils_stromal_aggregatedNeighbors.Stroma.fibroblast,0.009576097130775452
Macrophages_M1-like_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.00955306738615036
Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.009457089006900787
Stroma_mesenchymal_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.009370383806526661
NK_cells_CD56brCD16-_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.009119107387959957
Gland_mesenchymal_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.009080645628273487
CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.008855669759213924
Dendritic_Cells_CD209CD86dp_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.008800945244729519
NKT_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.008790312334895134
NK_cells_CD56dimCD16+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.008697763085365295
NK_cells_CD56brCD16-TIM3hi_stromal_aggregatedNeighbors.Stroma.fibroblast,0.008693777956068516
Macrophages_M1-like_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.008631597273051739
aSMA-br_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.008569990284740925
NA_glandfront_aggregatedNeighbors.Gland.fibroblast,0.008542134426534176
Gland_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.008476031944155693
