,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
CD4_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.0,0.0,0.0,0.011245395182703942,0.02057370034171293,0.022926777384999514,0.024540058369598015,0.025853548427210344,0.026009939361856044,0.02576874296794316
CD4_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.0,0.0,0.0,0.0005017045796074808,0.00242492069089398,0.0043856624603803435,0.00575750722896536,0.007406786951598831,0.008126857158144742,0.008792468798489663
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0,0.0,0.0,0.0011025398317127384,0.007868171991664018,0.011140421143158292,0.013470063552475884,0.01518594091595383,0.01686182243771504,0.016570719606974756
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.0,0.0,0.002,0.1582721629602776,0.18941515230045083,0.1911648968606971,0.19418981468610014,0.19872709053369025,0.21169849678640712,0.2452619055678386
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.0,0.0,0.0,0.0026668354811694756,0.020780657097467563,0.026935834250221554,0.03120139919768403,0.03410096702467812,0.03617478280677293,0.031737941352372796
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.0,0.0,0.0,0.003899388938562299,0.01712590391255858,0.019687806100103112,0.021235854369972388,0.022893971716476603,0.024329162064547105,0.02714912902864807
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Gland.fibroblast,0.0,0.0,0.0,0.0,0.008301500900336224,0.012237541588936985,0.013605665385357478,0.014919033511704104,0.015141139641024273,0.018465051708912654
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.0,0.0,0.0,0.0013656073804135893,0.00314987380547892,0.004762220974678848,0.005150561220658484,0.0049046854687626144,0.005491311995014299,0.005495629008453479
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.0,0.0,0.0,0.0,0.0007739290882741573,0.0012207655816586281,0.0019168568710305409,0.0018413202264603058,0.002190202856490047,0.0012007821554240496
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.0,0.0,0.0,0.0,0.005186486024404229,0.008101013722500184,0.008651436745947323,0.009017157343271548,0.009581321068986818,0.010515526586303916
