,Fold selected features,Fold nb of features
Fold 0,"['CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast', 'CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal', 'Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast']",3
Fold 1,['CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast'],1
Fold 2,['Gland_fibroblast_intragland_aggregatedNeighbors.Gland.mesenchymal'],1
Fold 3,[],0
Fold 4,[],0
Fold 5,"['Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.fibroblast']",2
Fold 6,"['CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Gland_fibroblast_intragland_aggregatedNeighbors.Gland.mesenchymal']",3
Fold 7,[],0
Fold 8,[],0
Fold 9,['CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast'],1
Fold 10,[],0
Fold 11,[],0
Fold 12,[],0
Fold 13,['CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast'],1
Fold 14,"['CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'Macrophages_M1_M2_glandfront_aggregatedNeighbors.Macrophages.M1.like', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium']",5
Fold 15,[],0
Fold 16,"['CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Stroma_fibroblast_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'Dendritic_Cells_CD86+_stromal_aggregatedNeighbors.aSMA.br.fibroblast', 'Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast', 'Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium']",8
Fold 17,[],0
Fold 18,['CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal'],1
Fold 19,[],0
Fold 20,[],0
Fold 21,[],0
Fold 22,[],0
Fold 23,"['CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'CD4_T_cells_CD11b+_glandfront_aggregatedNeighbors.Stroma.fibroblast', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'NK_cells_CD56brCD16-TIM3hi_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'NK_cells_CD56brCD16-CD9hi_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'Macrophages_M1_M2_glandfront_aggregatedNeighbors.Macrophages.M1.like', 'Macrophages_MDSC_stromal_aggregatedNeighbors.Macrophages.MDSC', 'Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'aSMA-br_mesenchymal_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast', 'Gland_fibroblast_intragland_aggregatedNeighbors.Gland.mesenchymal', 'Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium']",13
Fold 24,"['NK_cells_CD56dimCD16+CD9hi_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium']",2
Fold 25,"['CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.fibroblast']",2
Fold 26,[],0
Fold 27,[],0
Fold 28,[],0
Fold 29,"['CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium']",2
Fold 30,"['CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'NK_cells_CD56brCD16-CD9hi_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'Macrophages_M1_M2_stromal_aggregatedNeighbors.Macrophages.M2.like', 'Dendritic_Cells_CD33+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast', 'Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium']",7
Fold 31,[],0
Fold 32,['Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal'],1
Fold 33,[],0
Fold 34,"['CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium']",3
Fold 35,[],0
Fold 36,[],0
Fold 37,['CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast'],1
Fold 38,[],0
Fold 39,['CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast'],1
