,Max Proba
mDCs_STAT1_IFNa,0.21426091086410687
CD4posTnaive_STAT3_unstim,0.19739877218788407
NK_STAT1_IFNa,0.17695394507402615
CD69posCD56loCD16negNK_STAT1_IFNa,0.13369801232942316
CD69negCD56loCD16negNK_STAT1_IFNa,0.10663462964959083
pDCs_STAT1_IFNa,0.09778979467802744
CCR5posCCR2posCD8Tem_STAT6_IL246,0.08748736418002014
CD56loCD16negNK_STAT1_IFNa,0.0751218635028215
NKT_STAT1_IFNa,0.07039036056786126
CCR5posCCR2posCD4Tcm_STAT1_IFNa,0.05346720206621878
CD4Tcells_STAT3_unstim,0.04862861406275271
intMCs_STAT1_IFNa,0.0424163418794942
cMCs_STAT1_IFNa,0.039907559386399095
Bcells_STAT1_IFNa,0.03873790702265451
CD62LposCD8Tnaive_STAT3_unstim,0.037703009044108206
CD56hiCD16negNK_S6_unstim,0.027475228666117808
CD4Tcm_STAT3_unstim,0.02659670077527005
CD62LposCD8Tnaive_STAT1_IFNa,0.02634127053784739
CD56hiCD16negNK_STAT1_IFNa,0.025890658366257317
CCR5posCCR2posCD8Tem_STAT1_IFNa,0.02506590682956029
CCR5posCCR2posCD8Tcm_STAT6_IL246,0.024043348377560694
CD8Tcm_STAT1_IFNa,0.023876307153131965
CCR5posCCR2posCD4Tem_STAT5_IFNa,0.02262632151572362
CD69posCD4Tmem_STAT3_IL246,0.02239502629083498
DCs_STAT6_IL246,0.021574873751072827
MDSCs_STAT1_IFNa,0.02147311032688238
pDCs_S6_unstim,0.0214625010567392
CD62LposCD4Tnaive_STAT3_unstim,0.021248604616319857
cMCs_STAT3_IL246,0.020996381157662326
CD4posTnaive_STAT3_IL246,0.01983083690212606
Granulocytes_S6_unstim,0.01899625294889537
Tregs_STAT5_unstim,0.018784364316212596
CCR5posCCR2posCD4Tcm_STAT5_unstim,0.017234283088358556
CD69posCD4Tmem_STAT6_IL246,0.016863350456269036
CD69posCD8Tmem_STAT6_IL246,0.016544444059767037
CD56loCD16negNK_STAT6_IL246,0.01602884275013988
CCR5posCCR2posCD8Tcm_STAT1_IFNa,0.015568018398112754
Granulocytes,0.015241860446425743
CCR5posCCR2posCD4Tem_STAT6_IL246,0.01481393211127971
CD69posCD8Tmem_STAT1_IFNa,0.01464155494347446
mDCs_p38_LPS,0.01449407896792572
CD4Tcm_STAT5_unstim,0.013184214561609366
CD8Tmem_STAT1_IFNa,0.013096897468666609
MDSCs_STAT3_IL246,0.012918052530823076
Th1_STAT3_IL246,0.012527331888601789
CD62LposCD4Tnaive_STAT3_IL246,0.01225010576984732
CD4Tem_STAT6_IFNa,0.012109111563186205
CD4Tcells_STAT3_IFNa,0.012041978228349454
CD4Tem_STAT6_IL246,0.011956192155554204
Granulocytes_STAT1_IFNa,0.01177151894668288
CCR2posintMCs_STAT1_IFNa,0.011505632669300079
intMCs_STAT5_IL246,0.011462709232079843
cMCs_p38_LPS,0.0112578827270813
CD4Tem_STAT3_IL246,0.011195007412192487
Th1_STAT3_unstim,0.011181976255050867
Granulocytes_STAT5_IL246,0.011122052682638913
CD4posTnaive_STAT3_IFNa,0.010952230269328548
Granulocytes_p38_LPS,0.010604372527279991
CCR5posCCR2posCD4Tcm_STAT6_IL246,0.010553137030242996
cMCs_S6_unstim,0.010136039874324265
DCs_STAT1_IFNa,0.009923171416197925
CCR5posCCR2posCD4Tcm_STAT5_IFNa,0.0098535894135556
CCR5posCCR2posCD4Tem_STAT5_unstim,0.009815340751889562
CD4Tmem_STAT3_IL246,0.00972995307029615
CD4Tcm_STAT3_IL246,0.0095871142652507
CCR2poscMCs_p38_LPS,0.009540343231627713
CD62LposCD8Tnaive_STAT1_IL246,0.00934928916310921
CD4Tcells_STAT5_unstim,0.009295768185905077
intMCs_ERK_GMCSF,0.009246004903625342
pDCs_STAT5_unstim,0.008687659963077927
CCR5posCCR2posCD8Tcm_NFkB_unstim,0.008661315518119803
Th1,0.00852190680154207
CD4Tef_STAT3_unstim,0.008494878522736934
intMCs_p38_LPS,0.008261425724250593
CD4posTnaive_STAT5_unstim,0.00823165816348928
ncMCs_STAT5_IL246,0.008229996263039633
CD69posCD56loCD16negNK_S6_unstim,0.008097080038220673
CCR2posintMCs_p38_LPS,0.008050754394809616
CCR5posCCR2posCD4Tem_STAT1_IFNa,0.007899327535512906
CD8Tem_STAT1_IFNa,0.007738576487009664
Tregs_STAT1_IFNa,0.007547446393511493
CD69posCD8Tmem,0.007467344275358381
ncMCs_CREB_LPS,0.007457650605534174
CD4Tef_S6_unstim,0.006982788377155499
mDCs_STAT3_IL246,0.006962070157697457
Tregs_STAT3_IFNa,0.00695674169111309
TCRgdposT_NFkB_unstim,0.006956646959588972
ncMCs_MAPKAPK2_GMCSF,0.006888428750661204
CD69posCD8Tmem_NFkB_unstim,0.0068467712990715555
mDCs_S6_unstim,0.006819671072311352
Th1_STAT6_IFNa,0.006807528705653471
Granulocytes_STAT3_IFNa,0.0067658377977240355
CD8Tnaive_STAT3_unstim,0.006403409989987365
CD4Tem_S6_unstim,0.00638596796524437
CCR5posCCR2posCD8Tcm_S6_unstim,0.006341061933503357
CD69posCD4Tmem,0.006295512706160665
CD4Tef_STAT6_IL246,0.006282775282609011
CD69posCD4Tmem_STAT3_unstim,0.0061454595227027325
CD4Tcells_STAT3_IL246,0.0061396600645751715
CCR5posCCR2posCD4Tem_STAT3_IL246,0.005968750825495697
Granulocytes_IkB_unstim,0.005920418468732028
TCRgdposT_STAT1_IFNa,0.005853764769993837
Tregs_STAT6_IFNa,0.00584731093661299
DCs_p38_LPS,0.005831735737740217
CD56hiCD16negNK_STAT6_IL246,0.005830420923024332
CD69posCD56loCD16negNK_NFkB_unstim,0.005821779092784743
pDCs_STAT3_unstim,0.005799431676131391
CCR2posintMCs_ERK_GMCSF,0.005793397296744249
Granulocytes_STAT3_GMCSF,0.005739651209450644
CCR5posCCR2posCD4Tem_S6_unstim,0.005736216685017863
NKT_STAT6_IL246,0.005703500155638672
CD69posCD4Tmem_STAT3_IFNa,0.005655001514786691
CD8Tem_STAT6_IL246,0.005654195327731295
CD8Tef_STAT6_IL246,0.005444028528427144
CD8Tmem_STAT6_IL246,0.005427149278295583
CD4Tmem_STAT5_unstim,0.005371589588406054
MDSCs_STAT5_unstim,0.005365656242167945
CCR2posintMCs_STAT3_IL246,0.005364984377104289
Tregs_S6_unstim,0.005341750301328347
ncMCs_S6_unstim,0.005314272836778276
CD4posTnaive_STAT1_IL246,0.005257954411003516
CD56hiCD16negNK_NFkB_IL246,0.005246486731774771
CD56hiCD16negNK_STAT5_unstim,0.005140536962105985
pDCs_STAT3_IL246,0.0051154187094023
CD4Tcm_STAT3_IFNa,0.00510005454851867
CD8Tcm_STAT5_unstim,0.005095895660646424
Th1_STAT3_IFNa,0.005030958191740218
ncMCs_STAT1_IFNa,0.005005394108130888
NKT_STAT5_IFNa,0.004981673464560776
mDCs,0.004972166837113277
intMCs_MAPKAPK2_LPS,0.004957909831912288
NK_STAT6_IL246,0.004923439845716954
Tregs_STAT6_unstim,0.004920251916733111
CD4Tmem_STAT6_IFNa,0.004905201495467971
CD56hiCD16negNK_MAPKAPK2_IL246,0.004853317678456682
intMCs_STAT1_IL246,0.00481241635674887
TCRgdposT_STAT3_IFNa,0.004781186539244049
CD4Tcells_STAT5_IFNa,0.004771110500572984
mDCs_STAT3_GMCSF,0.004763409466231129
CD4Tef_NFkB_unstim,0.004744280599605093
CD4Tef_STAT3_IFNa,0.004724353010061157
DCs_STAT6_IFNa,0.004713680836814675
CCR5posCCR2posCD4Tcm_S6_unstim,0.004607808275218544
CD8Tnaive_STAT1_IL246,0.004592923357748304
Granulocytes_STAT3_unstim,0.004560842039076225
CD4Tmem_STAT3_unstim,0.0045410661932911095
Bcells_S6_unstim,0.004530494718416047
intMCs_STAT3_IFNa,0.004523987057250248
DCs_S6_unstim,0.0044894563375534125
DCs_STAT3_IL246,0.004482670757382832
CD62LposCD8Tnaive_STAT5_unstim,0.0044300198085653174
CD8Tef_STAT5_IFNa,0.0042947711904075155
CD4Tcells_STAT6_IFNa,0.004274342907056559
DCs_CREB_LPS,0.004247433386985553
CCR2posintMCs_MAPKAPK2_LPS,0.004236236954113696
CCR2poscMCs_STAT3_IL246,0.0041955580077192136
intMCs_CREB_LPS,0.004160585252616004
CCR2posintMCs_S6_LPS,0.0041320617782277524
CD4Tcells_S6_unstim,0.004131704241215056
CCR2posintMCs_STAT3_GMCSF,0.004074867672764991
cMCs_STAT5_unstim,0.004040987992983399
CD69posCD4Tmem_STAT6_IFNa,0.004006035433488715
CD4posTnaive_STAT6_unstim,0.004004976800808921
cMCs_ERK_GMCSF,0.003990501471253428
mDCs_STAT3_unstim,0.003922913086835205
MDSCs_p38_LPS,0.003893531949648635
Th1_S6_unstim,0.003889940384989959
Bcells_STAT5_IFNa,0.0038211297020466716
Granulocytes_STAT5_unstim,0.0037995602809699144
TCRgdposT_STAT6_IFNa,0.003799276205611372
Granulocytes_ERK_GMCSF,0.0037897434198339956
cMCs_STAT3_unstim,0.0037347279338868947
CD4Tmem_S6_unstim,0.003732543628705457
Bcells_STAT6_IFNa,0.0037179414583745694
CCR2poscMCs_STAT6_IL246,0.0037029866168059346
CCR5posCCR2posCD4Tem_STAT6_IFNa,0.0036861867967687757
MDSCs_S6_unstim,0.003656215371876015
CD56hiCD16negNK_STAT6_IFNa,0.003647193596928615
pDCs_MAPKAPK2_GMCSF,0.0036402110547509334
ncMCs_STAT3_IFNa,0.0036393013814438025
CD4Tmem_STAT5_IFNa,0.0035974290539238347
CD69posCD8Tmem_S6_unstim,0.0035957476050664156
TCRgdposT_STAT6_unstim,0.0035576553239188824
mDCs_MAPKAPK2_LPS,0.0035231146366156247
