,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
artificial.1,0.0,0.0,0.0,0.0016737701222618471,0.0039578443560263615,0.005750566762190973,0.007039537517575312,0.008143265402867863,0.009677904071626112,0.010748134836033598
artificial.2,0.0,0.0,0.01339454139858235,0.10324718656958083,0.17642898949190794,0.20227978743424552,0.20606390569098962,0.2056631635256391,0.2024132978350643,0.18509747765649753
artificial.3,0.0,0.0,0.0,0.004066568424151555,0.00939102786013427,0.010852341479418983,0.012638248366971803,0.01412341646263457,0.015058086476162089,0.018572178911447343
artificial.4,0.0,0.0,0.0,0.0,3.935271233669885e-06,0.0007321681110648431,0.001558774312397947,0.0023931402965104965,0.0030288708256806162,0.003802454300363274
artificial.5,0.0,0.0,0.0,0.0011737758123108366,0.003297231287246075,0.0034948098900423378,0.0040552438171630265,0.00546204622389958,0.006321306690103004,0.006707746783044437
artificial.6,0.0,0.0,0.0,0.0,0.00026734194224415606,0.00015906118792961946,0.0001686945287755956,0.00030182670495780545,0.0007400977843750199,0.0030784325643072098
artificial.7,0.0,0.0,0.0,0.00039342777016818656,0.0013054999927798606,0.0017917972287057624,0.0023460419673984228,0.002933444197796762,0.003601662234101721,0.004408452570134661
artificial.8,0.0,0.0,0.003,0.12509230666446003,0.14278158064946178,0.14415653814929894,0.1468790696577088,0.14957586785127816,0.15633664715510562,0.16800493962040788
artificial.9,0.0,0.0,0.0,0.0,0.0002549395655421838,0.0005406491232159213,0.0007822266902227797,0.0012341352720875302,0.001533415354160357,0.002360204858939378
artificial.10,0.0,0.0,0.0,0.0009576050852279732,0.001,0.001,0.0011656677725170506,0.0012012612931960752,0.0013627661494819885,0.001993344843306685
artificial.11,0.0,0.0,0.0,0.001066856939842439,0.0024825740331820938,0.0031456957397780374,0.003507831642172058,0.003917923659136573,0.004785585980253607,0.004550255837298719
artificial.12,0.0,0.0,0.0,0.0010398545550200065,0.005853623454376159,0.008369474903273659,0.010435089390226257,0.012784106013067235,0.015573277980747587,0.01927964340448292
artificial.13,0.0,0.0,0.0,0.0,0.00020283907455965908,0.0007776098808322822,0.001406625782333871,0.0018700782790124684,0.0032973891885772727,0.004497247109806765
artificial.14,0.0,0.0,0.0,0.0,0.00038937316618078277,0.0003608122301302485,0.00040597856960123633,0.0006715407754745524,0.0013865938118963444,0.0016424102568919072
artificial.15,0.0,0.0,0.0008924768428314214,0.009457963108261788,0.02492036508793531,0.02980379121988399,0.03134494109931354,0.03187866379646263,0.03189749948443378,0.031235703366705572
artificial.16,0.0,0.0,0.0,0.0,2.2745512547827297e-05,0.0012805830871790319,0.0023746619868185563,0.003371560694863238,0.00487475890258793,0.006438984291555578
artificial.17,0.0,0.0,0.0,0.001,0.001059828936531233,0.0015303822596346964,0.0016046323086438242,0.0017387541773223188,0.0017724586396802842,0.0038511981411622183
artificial.18,0.0,0.0,0.0,0.0,0.00022750545546490808,0.0007469676990076375,0.0013074928843706788,0.0016437830999839872,0.0019078042871564864,0.0023651873338965913
artificial.19,0.0,0.0,0.0,0.0,0.0001411624640700346,0.00023888976565458717,0.0002686573761395559,0.0003020445868930491,0.000464218683635052,0.001103340411418495
artificial.20,0.0,0.0,0.0,0.0,0.002094795301481563,0.0043762733685152435,0.005931711459059659,0.006771103462984045,0.007359322885550878,0.008123922843266428
artificial.21,0.0,0.0,0.0,0.0,0.001026160552057846,0.0023921513880877264,0.003798708493654862,0.004943775192535037,0.006621854074686767,0.007971869968487314
artificial.22,0.0,0.0,0.0,0.00280982999709603,0.006363518264596412,0.007997266902346024,0.008416789731263488,0.008837981678276137,0.00882229777399786,0.009711574196049564
artificial.23,0.0,0.0,0.0,0.003103205126429652,0.0074242795809249815,0.009731015880728463,0.010739713446261867,0.012632347280497653,0.015400022881202319,0.016248578427016738
artificial.24,0.0,0.0,0.0,0.001,0.0010688265980617962,0.0012750813810977714,0.0015905464306565267,0.0017937014407008356,0.0019056922006013782,0.004044798800205472
artificial.25,0.0,0.0,0.0,0.0,0.00035921195127064707,0.0007527916842456028,0.001246368911091019,0.0015455589386553247,0.0017151423196344255,0.0022658347606101218
artificial.26,0.0,0.0,0.0,0.004838294351574051,0.013234958754910365,0.01591798929820722,0.018365991681733564,0.02121807992584215,0.02710337043150682,0.0345049421327745
artificial.27,0.0,0.0,0.0,0.0,0.0038860823629941676,0.008077525637754875,0.01003914725068177,0.011780915137437892,0.013260022895526177,0.015966576445787386
artificial.28,0.0,0.0,0.0,0.021071293780654046,0.03406060249360154,0.04038480594527164,0.04554810736699758,0.04939018178728602,0.05627086603458479,0.06329967925566786
artificial.29,0.0,0.0,0.0,0.0,0.0001904741118639981,0.0005956121833180926,0.0009889152478036727,0.0022679351878114335,0.002615708904972469,0.0032338098174783665
artificial.30,0.0,0.0,0.0,0.0,0.0,0.0007464908724587107,0.0009545318824752118,0.0011685310738911848,0.0012737769207103692,0.002568678635178716
artificial.31,0.0,0.0,0.0,0.0011033823651826196,0.005852128746376477,0.007825663583660129,0.009790883482903709,0.011227267640300924,0.012031543460284011,0.01373766836049702
artificial.32,0.0,0.0,0.0,0.0005592178219812441,0.003834801308077741,0.005138201400549273,0.006241531194475129,0.007114779826359664,0.007897605668715148,0.009099698659765097
artificial.33,0.0,0.0,0.0,0.0,0.0005037028652783181,0.0010942179708374013,0.0014048784664263704,0.0017411987905168221,0.0022997816066505005,0.0036000276465201664
artificial.34,0.0,0.0,0.0,0.0,0.00013113060114836224,0.0004761031290442783,0.000744660315352854,0.0009696076706677901,0.0012560608470685644,0.0018596070312025482
artificial.35,0.0,0.0,0.0,0.00010087955851831925,0.0031126264333134765,0.004389782610828373,0.0057813845894639695,0.006136403486175328,0.0060681855440083,0.007118731671216448
artificial.36,0.0,0.0,0.0,0.0,0.0,0.00046931568283599374,0.0006638074308626997,0.0008822470584584209,0.0010740703356456537,0.0018701822199841363
artificial.37,0.0,0.0,0.0,0.00138416697398729,0.004336922397943697,0.0064632530043076345,0.0077649547025384485,0.00834626257929779,0.009954429028527194,0.010857411789328421
artificial.38,0.0,0.0,0.0,0.0011410356375306263,0.005101028764981841,0.00617679675126997,0.006664166599343002,0.007801361965673863,0.01034483173066209,0.015326964366264411
artificial.39,0.0,0.0,0.0,0.0014073345618412318,0.004633923082871609,0.007777667636039121,0.01019270773840151,0.01164070050821444,0.015025791149143158,0.017306078848537645
artificial.40,0.0,0.0,0.0,0.00017273499898423538,0.0015183232414185367,0.002504734022107631,0.0036590203124970203,0.004647686109069873,0.006462969491056821,0.009595372889368712
artificial.41,0.0,0.0,0.0,0.006905614598679578,0.01748980628341296,0.02200052928829115,0.024290856926025863,0.02769841084038962,0.03160802007719016,0.03572907310766183
artificial.42,0.0,0.0,0.0,0.0,0.0,0.00026876284423380003,0.0007220972804664903,0.001153401400615525,0.0019700172719728103,0.002285425976314187
artificial.43,0.0,0.0,0.0,0.0,0.0,0.00045852920557127756,0.0009701768886164772,0.0015274788002973636,0.002583518717134492,0.006660747569535013
artificial.44,0.0,0.0,0.0,0.0034809935453915825,0.006533705178182575,0.00834617654124146,0.009785518463548712,0.01070764737815403,0.01215964711230612,0.016382562161272863
artificial.45,0.0,0.0,0.0,0.0,0.0,0.0003677006904049291,0.0005133363182623305,0.001334721864732708,0.001333609938871785,0.0024951141252022102
