,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
IL246_Baso_149Sm_CREB,0.0,0.0,0.0,0.0,0.0002535177217923402,0.0,0.0,0.0,0.0,0.0
IL246_Baso_151Eu_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021354823315403393,0.0011291546774150852
IL246_Baso_155Gd_S6,0.0,0.0,0.0,0.002564705887343884,0.006745887393330537,0.008174525425567743,0.009944587176841277,0.012175186031776183,0.014567157302346489,0.017053016368499263
IL246_Baso_159Tb_MAPKAPK2,0.0,0.0,0.0,0.006015813984366311,0.010094932902216632,0.011318494325015502,0.00853827959188656,0.008727901973404777,0.009597986852386404,0.010757528376151996
IL246_Baso_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_Baso_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_Bcells_149Sm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_Bcells_150Nd_STAT5,0.0,0.0,0.0,0.0,0.0009555651805983402,0.0017044101606152433,0.0026282958625437123,0.0035096828349514882,0.004819207420766884,0.005849819606651713
IL246_Bcells_151Eu_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.00010442352583291784,0.00013751711684386903,0.00015269435863026599,0.000133598493061835
IL246_Bcells_154Sm_STAT3,0.0,0.0,0.0,0.0006722552495234647,0.0015131590222089615,0.0016272472364891124,0.0017350512782259666,0.0018185813298435684,0.0018926555223453723,0.0034814647364237376
IL246_Bcells_155Gd_S6,0.0,0.0,0.0,0.0,0.0004098234259147432,0.0008721725566391978,0.0011974962069802673,0.0013638123191504594,0.0014627787550822524,0.0006025502178067439
IL246_Bcells_159Tb_MAPKAPK2,0.0,0.0,0.0,0.001,4.388603329742874e-05,0.0003119567071856938,0.00033172654899373883,0.0003282515526970215,0.0004344827465552072,0.0012049242824837072
IL246_Bcells_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_Bcells_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_Bcells_167Er_ERK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.487182471697834e-05,0.00026007638402124924,0.0004107909302918476
IL246_Bcells_168Er_pSTAT6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_CD4T_149Sm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_CD4T_150Nd_STAT5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.301772455969919e-06
IL246_CD4T_151Eu_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_CD4T_153Eu_STAT1,0.0,0.0,0.0,0.0008075874053377559,0.00554157393925524,0.008125854670142764,0.010951492022039025,0.01229656196997541,0.013965052570179187,0.01457322737268786
IL246_CD4T_154Sm_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
