,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
artificial.1,0.0,0.0,0.0,0.005779945565472132,0.03377408081738256,0.04472232206850334,0.0504301008712448,0.05387565676921933,0.05571668959504463,0.05687759802020789
artificial.2,0.0,0.0,0.0,0.008741510934475795,0.01422372164702573,0.01848778994250327,0.02129594614251156,0.02427596058198491,0.026924857395899005,0.03135472764466566
artificial.3,0.0,0.0,0.0,0.0011996235384674186,0.005487136537732014,0.00968597583668192,0.011764930535077494,0.013595905281372828,0.015779116279563198,0.01800588572712842
artificial.4,0.0,0.0,0.0,0.0001255560845304594,0.005782701998262806,0.009075065029431065,0.013618669352753507,0.016835611091684577,0.019394480482879537,0.02085087962939005
artificial.5,0.0,0.0,0.0,0.003,0.027039044226464377,0.036508320267619875,0.043642288229854775,0.046169077536690424,0.04993466074733065,0.054129774989936305
artificial.6,0.0,0.0,0.0,0.0002733808022529361,0.0018184882285241007,0.004351686197773977,0.00566635066363731,0.006339155517767334,0.007981246869888978,0.00935728035141507
artificial.7,0.0,0.001,0.005,0.03923536230097619,0.05368217759875184,0.057211768028971426,0.05817723216333815,0.059647924980570574,0.058279876461003556,0.056131954923749235
artificial.8,0.0,0.0,0.0,0.001,0.004635169108021005,0.012495970485334872,0.017740104194558782,0.02108499031500596,0.02464472242219205,0.02897469925228694
artificial.9,0.0,0.0,0.004107875245389984,0.08345600312564119,0.1164170405145287,0.11796331441968151,0.11619645777105456,0.11694034411083536,0.11808636980677883,0.1167680392476075
artificial.10,0.0,0.0,0.012668791186100098,0.0782317889531633,0.13813737852753577,0.15207854983496652,0.1566947652144619,0.1583629326905293,0.15735141595199598,0.15188807379577293
artificial.11,0.0,0.0,0.0,0.0,0.0015767446625680529,0.0029736961803201556,0.004203598236865018,0.005298124931992379,0.006208952478583613,0.007612433503156166
artificial.12,0.0,0.0,0.0,0.0006607539529947124,0.009434921771193441,0.014457196991540132,0.018196495675699795,0.019939355821875303,0.021815905654762206,0.024685020130962125
artificial.13,0.0,0.0,0.0,0.025481685949489376,0.10576008651048711,0.14009501261023158,0.15543164892779626,0.16322614115794531,0.1683906670490079,0.17105888750411208
artificial.14,0.0,0.0,0.0,0.005601882816567953,0.015921119319377203,0.022813247570154554,0.027366364623033258,0.03080786785245733,0.03493047911979924,0.04340600502791113
artificial.15,0.0,0.0,0.0,0.011691439396700911,0.0295439978644781,0.03464125563548604,0.035900044797899364,0.03601979549001277,0.03660644613917702,0.037419850522132106
artificial.16,0.0,0.0,0.0,0.0,0.004291830175780913,0.007604689488205344,0.009338192454781588,0.010337005472882608,0.011500739348867046,0.012819873846547267
artificial.17,0.0,0.0,0.0,0.0,0.0010911252100662286,0.0028796512721488946,0.003255541589587101,0.003306241241605544,0.003551615807287629,0.00405623956066196
artificial.18,0.0,0.0,0.0,0.0,0.0,0.00020006641493593974,0.000749099414619087,0.0009207495936914663,0.0009056512292790516,0.0011213386790502574
artificial.19,0.0,0.0,0.0,0.0,0.0004633926616538045,0.0016936614892518222,0.002626437365692078,0.0035733280390169582,0.00441719151335535,0.005651285646440299
artificial.20,0.0,0.0,0.0,0.0010465534270545803,0.0049906477033409054,0.008340615746307763,0.010563993542770395,0.012311684845631965,0.013689231336783833,0.015083568865780802
artificial.21,0.0,0.0,0.0,0.0,0.0017170597263029797,0.002570796498135439,0.003629306791746355,0.004712050347435727,0.005537480915617778,0.006302145556539308
artificial.22,0.0,0.0,0.0,0.00035857962657171117,0.002675551060594206,0.004406179411843536,0.005745769369348254,0.007234355690280871,0.009509651429898654,0.011827945637786741
artificial.23,0.0,0.0,0.001,0.039221790230311665,0.06055835261681163,0.06204315179267328,0.06408744345251711,0.0652656903163844,0.06838037038179805,0.07530011083532873
artificial.24,0.0,0.0,0.0,0.0703307644148475,0.10037098583957801,0.11624291058261453,0.12627776000014845,0.13427605757850875,0.14054926913267962,0.15080655184091502
artificial.25,0.0,0.0,0.0,0.0,0.0005238803306797529,0.0028746383453866664,0.004590405563433589,0.005876104974066276,0.007874787860187792,0.00915898693757544
artificial.26,0.0,0.0,0.0,0.0012228648659241032,0.00747764274291045,0.011839304431437762,0.01623993235262799,0.01918372954811588,0.022220850688657343,0.02613147009143259
artificial.27,0.0,0.0,0.0,0.00027964666523869495,0.003785663922044562,0.007517464422256054,0.010238175230189278,0.011936849566451092,0.013451946412333651,0.014840292754523067
artificial.28,0.0,0.0,0.0,0.0025789596303292845,0.009202753900875556,0.0115950604707105,0.0128215368426037,0.014874161079206296,0.01612138419465682,0.017221090009067595
artificial.29,0.0,0.0,0.0,0.003419214942592587,0.012616757230993723,0.020222034936263015,0.022412214958489232,0.02372223896182587,0.02474571010433972,0.027203610965952637
artificial.30,0.0,0.0,0.0,0.00016383858173675778,0.005012217266999132,0.0089348785175418,0.01171386988428123,0.013576603723653161,0.01441383587588863,0.01566763589387141
artificial.31,0.0,0.0,0.0,0.004556969546032493,0.012116071653665081,0.016209967616946513,0.018471062706392666,0.019165770759156195,0.02011371947941072,0.02168607883280236
artificial.32,0.0,0.0,0.0,0.020855660815323276,0.03136006076715895,0.04221325296041409,0.04813505957474082,0.05545545731681472,0.06399837267652415,0.07556173712863185
artificial.33,0.0,0.0,0.0,0.0016501003475789977,0.006331643173308171,0.008571058122067467,0.01075667196528035,0.012710648094706845,0.01406633131897393,0.015713655308099466
