,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
LPS_Baso_149Sm_CREB,0.0,0.0,0.0,0.0006895717194391727,0.0016079409623389936,0.002643922930024952,0.0037858485106505462,0.00414593454786463,0.004233587647866748,0.004881689108927417
LPS_Baso_151Eu_p38,0.0,0.0,0.0,0.0005397046407056759,0.015247917637309786,0.027943397078919574,0.03513063482751073,0.03714346409857586,0.03823370305461007,0.03714801576346218
LPS_Baso_155Gd_S6,0.0,0.0,0.0,0.012902282883993269,0.02316390280787545,0.02572703671371973,0.028584861937942484,0.029014158645511996,0.027982933903195457,0.02840166099426778
LPS_Baso_159Tb_MAPKAPK2,0.0,0.0,0.0,0.012353463443187782,0.03158336287724594,0.0433495263053381,0.04627288400320561,0.048172403207845646,0.04905168983904989,0.052732386148256837
LPS_Baso_164Dy_IkB,0.0,0.0,0.0,0.011921534683498295,0.023392103983284524,0.025451344824611567,0.026067347910629937,0.027131111594099602,0.026851796686023843,0.027349680034303565
LPS_Baso_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,3.070820024579556e-05,5.9122946227234595e-05,7.313744569998086e-05,0.0001841295060046151,0.00021574796674980336
LPS_Bcells_149Sm_CREB,0.0,0.0,0.006,0.014586632393835414,0.014360331620792848,0.013983851700012227,0.015229978328666986,0.015210574654023323,0.014410380033425835,0.013831300093618958
LPS_Bcells_155Gd_S6,0.0,0.0,0.0,0.003457269666876119,0.010123468620975266,0.01119428743653493,0.012883924270082595,0.01477539699525334,0.015008231068110877,0.016032482085472522
LPS_Bcells_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0014039552586846357,0.001352086399223797,0.0015920767044994514,0.0017222559347367318,0.0016473331548620838,0.0014805136928627623
LPS_Bcells_164Dy_IkB,0.0,0.0,0.003660129555972427,0.033750648389908496,0.03939495157195673,0.036166292051196335,0.03394163185336001,0.032727894605857066,0.03075349934190198,0.024983779715258024
LPS_Bcells_166Er_NFkB,0.0,0.0,0.0,0.000616936740590073,0.000961279499689795,0.0007965998683810168,0.0008800968704335743,0.0009657150563268731,0.0005666835775932343,0.0003712246789075637
LPS_CD56brightCD16negNK_149Sm_CREB,0.0,0.0,0.004,0.015598415033320882,0.015083203546018161,0.016667503716642034,0.016454021062194853,0.017395442369038425,0.017837672377543266,0.017405390858663095
LPS_CD56brightCD16negNK_155Gd_S6,0.0,0.0,0.0,0.0015331283312063283,0.005998053976733455,0.008829058716703609,0.00957694718298058,0.010871368531676279,0.011847031516879807,0.013455107603982702
LPS_CD56brightCD16negNK_159Tb_MAPKAPK2,0.0,0.0,0.001,0.0059799359649537805,0.014206862499556484,0.017850144661009853,0.018986625172665115,0.020172247837795268,0.02029607980605791,0.020029384250423766
LPS_CD56brightCD16negNK_164Dy_IkB,0.0,0.0,0.0,0.00031308784724798784,0.0066461107207760025,0.010969886292447344,0.010818074992157724,0.011490395663900083,0.011222217635823381,0.011385961367239232
LPS_CD56brightCD16negNK_166Er_NFkB,0.0,0.0,0.0,0.0013475406953334381,0.0023140504428232635,0.0027297915867891477,0.003418792998404321,0.004758865471736566,0.005641398067244843,0.007317952466540269
LPS_CD56dimCD16posNK_149Sm_CREB,0.0,0.0,0.0,0.002477565702221386,0.00447557249584478,0.004244704247453241,0.00475942338091574,0.003671814780552771,0.0038999055003753206,0.00380030278229534
LPS_CD56dimCD16posNK_159Tb_MAPKAPK2,0.0,0.0,0.0,0.002,0.0011195830925709654,0.000978962655925293,0.0008404252919758982,0.001128479566211176,0.0007186062968037248,0.0024200130564647933
LPS_CD56dimCD16posNK_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPS_CD56dimCD16posNK_166Er_NFkB,0.0,0.0,0.0,0.0,0.0011637492611280033,0.001231010961986396,0.0013506062641592746,0.0013818684010959458,0.0013110191679932773,0.0012260844154835906
LPS_cMC_149Sm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002453855906185233,6.99159529220052e-05
LPS_cMC_151Eu_p38,0.0,0.0,0.0,0.0,0.0,0.0004471272052540282,0.0006629056645470469,0.0017497127208967848,0.0022117984559914296,0.0031424978674285003
LPS_cMC_155Gd_S6,0.0,0.0,0.0,0.0,0.0,0.0006744484996632272,0.0007283168512024443,0.000673599726488148,0.0007525923385781088,0.0008934090908231271
LPS_cMC_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0005003956085345056,0.0007725126207667254,0.0008808009263664185,0.0011725221759742639,0.0014106747025752306,0.001138061618305955
LPS_cMC_164Dy_IkB,0.0,0.0,0.0,0.00751976073383329,0.007312699907978913,0.008337734479991412,0.00855740930759507,0.008520644121203397,0.008817173535051218,0.009797399366129672
LPS_cMC_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.00014576653089004132,0.0,0.0,0.0,0.0
LPS_cMC_167Er_ERK,0.0,0.0,0.0,0.0,0.0,0.00016468916987822448,0.00014428584479148624,0.00011467901629998868,7.697656470968182e-05,0.0
LPS_CXCR4neutro_149Sm_CREB,0.0,0.0,0.0,0.00023954674911734128,0.008607386142831354,0.01369032119982872,0.01684120934929505,0.017967642642049544,0.019788360404540906,0.019800611122008694
LPS_CXCR4neutro_151Eu_p38,0.0,0.0,0.0,0.006824507352414429,0.00849777711140428,0.010884730520003359,0.01230546335238259,0.013385728790704411,0.012233968084544864,0.013401907760720215
LPS_CXCR4neutro_155Gd_S6,0.0,0.0,0.0,9.760166506475509e-05,0.005838868016374955,0.012187508697937431,0.013967882706406918,0.015523102766309357,0.017030415375541792,0.017039794341054335
LPS_CXCR4neutro_159Tb_MAPKAPK2,0.0,0.0,0.0,0.004399526145403093,0.004835385250492274,0.003904826337024998,0.0034666902600822016,0.0035351328244294417,0.005270108109823949,0.006600993305379154
LPS_CXCR4neutro_164Dy_IkB,0.0,0.0,0.0,0.00811938542966926,0.012972430186669444,0.017789270319034944,0.019422090914816486,0.020597483869189755,0.02068947211221442,0.02123165589536658
LPS_CXCR4neutro_166Er_NFkB,0.0,0.0,0.0,0.001,0.0027213975083932285,0.004010556108931537,0.005941562924566356,0.007109853684091826,0.008131428904422927,0.008363770297242648
LPS_CXCR4neutro_167Er_ERK,0.0,0.0,0.0,0.0,0.001062913113646434,0.0014159743759023756,0.0018354035136567285,0.0024114020898013786,0.003338993834443004,0.004973555266954254
LPS_DC_149Sm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.967156512911529e-05,0.0002007132230084305,0.0013121113813730613
LPS_DC_151Eu_p38,0.0,0.0,0.0,0.00016132732067620449,0.00042866396323079035,0.0004805342172442578,0.0013818570608370646,0.0021047192356110998,0.0026517563934876968,0.002615754957902799
LPS_DC_155Gd_S6,0.0,0.0,0.0,0.01112314412232213,0.019540779537328194,0.02345990800887174,0.02554421451550335,0.027024966647941226,0.028420292403364467,0.029781887847753874
LPS_DC_159Tb_MAPKAPK2,0.0,0.0,0.0,0.001,0.0016102578992598041,0.001573035588320351,0.001834817199695849,0.002026062207122013,0.0020557656698506573,0.0014352656229340074
LPS_DC_164Dy_IkB,0.0,0.0,0.0,0.00015425069068600455,0.0005578737777581022,0.001492290387101375,0.0016917600922073367,0.0017264477308639669,0.0018142220366119163,0.0024698394496334695
LPS_DC_166Er_NFkB,0.0,0.0,0.0,0.0,0.0005415256835291037,0.0014443926856560392,0.00199242783267017,0.002246384087055855,0.0025133805172404115,0.0029839478974025228
LPS_DC_167Er_ERK,0.0,0.0,0.0,0.0,0.0006756772911618921,0.0030181645351818505,0.004901938560132378,0.0056204847900280476,0.006074704791941567,0.006803030530296369
LPS_Granulocytes_149Sm_CREB,0.0,0.0,0.0,0.001110091588443833,0.004261638133289502,0.006554946881555282,0.00848610056511543,0.009181664803338981,0.010238480355078945,0.011715427470258253
LPS_Granulocytes_151Eu_p38,0.0,0.0,0.0,0.0,0.0013806552969316997,0.005169300980712461,0.007034775926879341,0.008334580536340215,0.00920345949475703,0.009257692933888373
LPS_Granulocytes_155Gd_S6,0.0,0.0,0.0,0.0006490317096066608,0.004564470378619561,0.004914856990156557,0.006503232666645283,0.006836834166137793,0.007079493469641472,0.008837229940625675
LPS_Granulocytes_159Tb_MAPKAPK2,0.0,0.0,0.0,0.07527938194013918,0.11918814251806552,0.13359655207946747,0.13952679315038133,0.14628761671225332,0.15380399407493756,0.16381617466663623
LPS_Granulocytes_164Dy_IkB,0.0,0.0,0.0,0.002,0.00459483174416149,0.005260438313864383,0.005779368213662695,0.006613383260925339,0.007441247026234714,0.008355164237382818
