,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
TNF_Baso_149Sm_CREB,0.0,0.0,0.0,0.0,0.00025491139702848395,0.0006968779621525289,0.0008564228569139256,0.0014266952847786488,0.001779456504260674,0.0025153239366108924
TNF_Baso_155Gd_S6,0.0,0.0,0.0,9.174634628152801e-07,0.0015435693545555163,0.00284527779360585,0.004296603753849647,0.005196237304603911,0.005257347314523576,0.0056922312723988976
TNF_Baso_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_Bcells_149Sm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,4.1650714999237384e-05,0.00011725783825853167,0.00014966242913434758,0.00019763714941840266
TNF_Bcells_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_Bcells_164Dy_IkB,0.0,0.0,0.0,0.0,6.020958747732424e-05,0.0004951694051076021,0.00012047975652433105,0.0,0.00026826240607828554,0.00032937349565812684
TNF_Bcells_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD4T_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD4T_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0005532554720555781,0.0006575638199748732,0.0007667886308479358,0.0
TNF_CD4T_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD4Tcm_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD4Tcm_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD4Tem_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD4Tem_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD4Tem_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD4Tnaive_164Dy_IkB,0.0,0.0,0.0,0.0,0.0002959666683928099,0.0006106243515999279,0.0006053691382187159,0.0004904370651592436,0.00048890630663791,0.0002686764858497137
TNF_CD4Tnaive_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
