,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
artificial.1,0.0,0.0,0.0,0.002582528307029997,0.007373814179546419,0.011278428175763302,0.013855799216911152,0.016105171001350303,0.016263441667919713,0.015526317983921505
artificial.2,0.0,0.0,0.0,0.0,0.000354692541950407,0.0008507349438059453,0.0012246329767840727,0.001404780609795683,0.0018330260401304907,0.0017113453874540922
artificial.3,0.0,0.0,0.0,0.001,0.0043736267104839965,0.005958148591201412,0.007435093840005163,0.009270593144592939,0.009880243506485016,0.01177241814225248
artificial.4,0.0,0.0,0.0,0.0012155002991185587,0.005953486189154258,0.00893764976638406,0.010229113209793327,0.011412308436202025,0.013307228389070185,0.02018467020661921
artificial.5,0.0,0.0,0.0,0.07282675628940974,0.08951861676594054,0.08908694216084591,0.09037440851104783,0.09228984736627274,0.09414892456851312,0.09700625395142795
artificial.6,0.0,0.0,0.0,4.273207674401102e-05,0.009743533000879713,0.01952646983450403,0.02524521964413805,0.029806637504138152,0.032794125418075366,0.03623292321200733
artificial.7,0.0,0.0,0.0,0.005556183349879596,0.012922142208747416,0.016148688671212226,0.018370429269616247,0.019836481918026116,0.02379254790266526,0.029197000305374598
artificial.8,0.0,0.0,0.0,0.0,0.001823947835582191,0.003,0.0037799984039245484,0.003818917981207078,0.0051437731187003255,0.005936696693000772
artificial.9,0.0,0.0,0.021773470456206912,0.12604101973062934,0.17658224236147155,0.1958729399312622,0.20405128495603858,0.20441019860627063,0.19851627169340158,0.1885815212534999
artificial.10,0.0,0.0,0.0,0.00143284618340105,0.005691704322894436,0.009453802252942832,0.012179707339556204,0.013651776901193426,0.01397977935466663,0.015590376380204022
artificial.11,0.0,0.0,0.0,0.00014297345920425553,0.0037462992842182607,0.0055166729454723526,0.0065306145359855594,0.007384198687161709,0.008040847416423528,0.008636580276872377
artificial.12,0.0,0.0,0.0,0.0024647908709656656,0.003694181509030475,0.006160103096488936,0.00842257484538352,0.009580754307426807,0.011132715100184517,0.016232453432061013
artificial.13,0.0,0.0,0.020900052437327375,0.08788391588287124,0.13626835782429267,0.1507408824729153,0.1553091042925859,0.15620681146230708,0.14980463973531474,0.1392628538535347
artificial.14,0.0,0.0,0.0,0.0,0.000675624926173192,0.0014420924599283479,0.0026533397036398263,0.0035232812066159276,0.0037116011763512562,0.003818595781128643
artificial.15,0.0,0.0,0.0,0.0,0.0019047042445615005,0.003191926250235989,0.0037332299433298606,0.00416448703016586,0.004572998267170889,0.005440880447758817
artificial.16,0.0,0.0,0.0,0.0011513541612985288,0.0029058309966827566,0.004582111129866848,0.004810613617747831,0.004816293812593527,0.005037089019855133,0.006175546069235885
artificial.17,0.0,0.0,0.0,0.0016453599255799856,0.007667317396470114,0.01184772600324201,0.014448354383633814,0.014986310447853179,0.016359911211664663,0.018839713499791848
artificial.18,0.0,0.0,0.00016134930901396795,0.0031526912026877225,0.013552256788959063,0.019707327062655006,0.02234958041893947,0.02368920986131205,0.022820152360046666,0.020212667087475975
artificial.19,0.0,0.0,0.0,0.0019792898626494076,0.004799126597060503,0.006407792220143022,0.0080847562046986,0.00892403561376013,0.009933780131350241,0.011156368655825215
artificial.20,0.0,0.0,0.012490622484675152,0.11358300470900255,0.15183725768214715,0.16317187841686112,0.16496938455454552,0.16560102780775288,0.1579543320964164,0.14562768550867913
artificial.21,0.0,0.0,0.0,0.0,0.0010200732516410245,0.002042180368848703,0.002485021839611574,0.002894797330208632,0.0036945106285175017,0.003609205992563444
artificial.22,0.0,0.0,0.0,0.0,0.0,0.00021578299340537302,0.000402144242988132,0.0005979991906189677,0.0006176769142437928,0.0010275545264634347
artificial.23,0.0,0.0,0.0,0.0,0.0005631029879807772,0.0004325308432311453,0.0008648201435460258,0.0010455030197760054,0.0017534721283282064,0.0025435075573064223
artificial.24,0.0,0.0,0.0,7.682700498226001e-05,0.000934387332452406,0.0019713549928181886,0.0022322728186627144,0.002382129854924384,0.002569517760442889,0.0028284806489571102
artificial.25,0.0,0.0,0.0,0.0,0.0009033434803164369,0.0013344344364858308,0.0017001333585962657,0.0022065354309575087,0.0026693662994180397,0.003205124617994044
