,Max Proba
IL246_Th1mem_164Dy_IkB,0.1729884906945783
IL246_Th1mem_166Er_NFkB,0.16708028329080155
IL246_Th1_149Sm_CREB,0.15121148242321267
IL246_pDC_150Nd_STAT5,0.14820425121184289
IL246_CD4Tcm_153Eu_STAT1,0.14255929713725718
IL246_DC_150Nd_STAT5,0.12811550299639013
IL246_CD4T_153Eu_STAT1,0.12404165711964292
IL246_CD56brightCD16negNK_155Gd_S6,0.1210385348653635
IL246_Granulocytes_154Sm_STAT3,0.12071860269401403
IL246_Bcells_150Nd_STAT5,0.11767297174083009
IL246_Th1mem_167Er_ERK,0.11381013867616409
IL246_Th1naive_153Eu_STAT1,0.11022530486817846
IL246_DC_154Sm_STAT3,0.10874561167181804
IL246_Baso_155Gd_S6,0.10198934652758876
IL246_CD8Tnaive_167Er_ERK,0.08981379343564574
IL246_CD56brightCD16negNK_166Er_NFkB,0.08687241415483217
IL246_DC_155Gd_S6,0.08554749924018555
IL246_Th1mem_153Eu_STAT1,0.08522323630125615
IL246_intMC_150Nd_STAT5,0.08512465838527988
IL246_Tregnaive_153Eu_STAT1,0.08138825836695983
IL246_CD4Trm_167Er_ERK,0.07934075760360354
IL246_Th1naive_167Er_ERK,0.07661687176386484
IL246_DC_168Er_pSTAT6,0.0733596450768914
IL246_Th1mem_155Gd_S6,0.07291180248401112
IL246_mDC_166Er_NFkB,0.07077610472376816
IL246_CXCR4neutro_150Nd_STAT5,0.0703154061381815
IL246_pDC_167Er_ERK,0.07014338368317254
IL246_Granulocytes_155Gd_S6,0.06806749077531228
IL246_CD8Tcm_167Er_ERK,0.06723933509615718
IL246_Tregnaive_155Gd_S6,0.06651389778895532
IL246_CD8Tnaive_153Eu_STAT1,0.06635255071648091
IL246_DC_159Tb_MAPKAPK2,0.0663023422068467
IL246_Th1mem_149Sm_CREB,0.06554487569630413
IL246_Baso_159Tb_MAPKAPK2,0.0655195306354511
IL246_Treg_154Sm_STAT3,0.0652240673434858
IL246_Tregnaive_159Tb_MAPKAPK2,0.06475004880927791
IL246_Th1naive_168Er_pSTAT6,0.06340486303794218
IL246_Th1naive_166Er_NFkB,0.06243567386379751
IL246_pDC_155Gd_S6,0.062007964580012835
IL246_CD4Trm_154Sm_STAT3,0.06122955453376376
IL246_Th1naive_155Gd_S6,0.05922759632165671
IL246_Th2_167Er_ERK,0.05837500907705466
