,Max Proba
PRO_HSPH1,0.404575513628173
PRO_IL1B,0.3669837997824491
PRO_LDLR,0.36656720777241
PRO_ALK,0.3391676422412169
PRO_RAP2A,0.3181181858746617
PRO_WWOX,0.2917280008006417
PRO_BIRC3,0.26740291530284277
PRO_TLR5,0.262928788023353
PRO_CCL3,0.2281635508904425
PRO_LGALS1,0.22378066838309
PRO_ITGAV|ITGB3,0.22278780328381392
PRO_ATF6,0.21712399992338813
PRO_BLK,0.20865149424432883
PRO_IL18,0.20523385221673307
PRO_MYC,0.19681827321748332
PRO_CTNNA3,0.1924228346150462
PRO_PSMB9,0.18493767874924846
PRO_CNTN3,0.18233159933419088
PRO_CSF2,0.1790793015012838
PRO_BTN3A2,0.17427103715773715
PRO_TLR4,0.16822010503515814
PRO_PSMB4,0.1636299013835264
PRO_FTCD,0.1632706718644103
PRO_HPSE,0.1615572234094923
PRO_BTG1,0.1597026239693459
PRO_CD2,0.15196890798100376
PRO_RNASET2,0.14160698872055136
PRO_NPY,0.14146364956652865
PRO_IL31,0.14030265724583074
PRO_KDM1A,0.1358542383645805
PRO_ARL11,0.135686073355452
PRO_GGH,0.13023360496976047
PRO_FCGR2A,0.12518627865810095
PRO_MCAM,0.12385217224227126
PRO_ACP3,0.12247742323132871
PRO_ALDH2,0.1215974986650445
PRO_LIFR,0.11960354000652934
PRO_RET,0.1166124762988589
PRO_CDH17,0.11622478390585764
PRO_TNFSF10,0.1161205741369079
PRO_GUSB,0.11610847891241032
PRO_ALDOB,0.11400939585817631
PRO_SELP,0.11256633270071909
PRO_PPIB,0.11245559135067429
PRO_CXADR,0.11168210172435922
PRO_ALB,0.11063836606542583
PRO_CD36,0.10989012594336943
PRO_IGHM,0.10961836019458113
PRO_MTHFD2,0.10940641267190525
PRO_DEFB4A,0.10925247501885321
PRO_IFNL3,0.10769900435733587
PRO_SPINK5,0.10633415588276168
PRO_ASAH1,0.10572557272048434
PRO_ST3GAL1,0.10463136892443385
PRO_IL17RA,0.10026675868565041
PRO_PIP,0.09936266674360288
PRO_OGG1,0.09894159659489637
PRO_NTRK1,0.09882164049520047
PRO_IL12B,0.09874321180197942
PRO_HYOU1,0.09792462297144751
PRO_F8,0.0977888241245462
PRO_CD4,0.09744429985904192
PRO_OASL,0.0971917732840703
PRO_ITGA4|ITGB1,0.09451867137653593
PRO_IL12B|IL23A,0.09404343384200531
PRO_SCARB1,0.09361794712664043
PRO_IL12A|EBI3,0.09319289356269428
PRO_ST6GALNAC5,0.09227172820157917
PRO_GC,0.09144588377874106
PRO_CLEC12A,0.09047316090251009
PRO_KIF3A,0.09003857590114345
PRO_HSD11B1,0.08812831395735476
PRO_PGM5,0.08685611826104513
PRO_SERPINA1,0.08665826490510516
PRO_ACAN,0.08546997169348253
PRO_RGS1,0.08493188779241997
PRO_TLR3,0.08492319496102149
PRO_CXCL1,0.08482400995721587
PRO_TCL1A,0.0836798657051682
PRO_CYBC1,0.08364787031750615
PRO_OTC,0.08255565251395644
PRO_CELF2,0.08241710313103746
PRO_MPO,0.08154429574542237
PRO_CD163,0.08103062448095563
PRO_EHMT2,0.08048053222116995
PRO_NGF,0.07959589277143596
PRO_TSLP,0.07808596074935534
PRO_PTHLH,0.07798076802246694
PRO_TSC2,0.07769637694607491
PRO_GSTT1,0.07759374021893788
PRO_C1R,0.07720557463788394
PRO_F7,0.07720495900373822
PRO_KRT19,0.07689708405606956
PRO_FCGR3B,0.07553998646754026
PRO_IL2,0.07532248471175014
PRO_BCL2A1,0.07496266180969677
PRO_TENM3,0.07476476154724192
PRO_C1GALT1C1,0.07462743385074079
PRO_IL1R1,0.07437797857207847
PRO_ST6GAL1,0.07405460079330296
PRO_IFNA2,0.07393612304910396
PRO_IGHG2,0.07333321441605563
PRO_APOA1,0.07328326020106327
PRO_GLB1,0.07296746419779017
PRO_IGHG1,0.07100966793261623
PRO_CLEC7A,0.07088959190266404
PRO_STAC,0.07088087140988969
PRO_APOH,0.07069332669007031
PRO_TXNDC5,0.07008196423933817
PRO_ADA2,0.0698278424147961
PRO_CD27,0.0692631954352607
PRO_CTSD,0.06889731682448665
PRO_IL2RA,0.06842193885592938
PRO_TAPBP,0.06705610824892451
PRO_MUSK,0.06701022862793926
PRO_DUSP4,0.06690429209080745
PRO_SIGLEC1,0.06684254136182792
PRO_THSD1,0.06644199396582438
PRO_PLA2G7,0.06618464375216367
PRO_OCLN,0.06560307501977718
PRO_IL1RL1,0.06533769429923456
PRO_ALDH3A1,0.0650405263990667
