,"{'C': np.float64(0.01), 'l1_ratio': 0.5}","{'C': np.float64(0.01), 'l1_ratio': 0.9}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.5}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.9}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.5}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.9}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.5}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.9}","{'C': np.float64(10.0), 'l1_ratio': 0.5}","{'C': np.float64(10.0), 'l1_ratio': 0.9}"
PRO_CRYBB2,0.0,0.0,0.0,0.0,0.0005225470360683577,0.0,0.010107922958619607,0.0023734574291433704,0.04927948401085382,0.02362664093617105
PRO_VDR,0.0,0.0,0.0,0.0,0.0,0.0,0.002648183084362909,0.000127771114058484,0.040802885946457854,0.019699887754196045
PRO_DUSP4,0.0,0.0,0.0,0.0,0.0012893668453228262,0.0,0.0095246249168512,0.002858860936346556,0.06690429209080745,0.03502543980257088
PRO_WNT10A,0.0,0.0,0.0,0.0,0.0,0.0,4.429461464022457e-05,0.0,0.012939431193820154,0.0033731374040766866
PRO_NCF2,0.0,0.0,0.0,0.0,0.00015573501129623323,0.0,0.006399397891048505,0.0015095807842551772,0.05330865566641023,0.027973503394880996
PRO_FOXM1,0.0,0.0,0.0,0.0,0.00014898821886033607,0.0,0.00220999089610423,0.00025487706928838805,0.016506422789708368,0.007377964605050423
PRO_PLCG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0003572492215475174,4.984522656340258e-05,0.010698646719737508,0.0035889855177628598
PRO_BAG3,0.0,0.0,0.0,0.0,8.623064065977487e-06,0.0,0.0033527000651331317,0.0004976753666118397,0.023394265491089864,0.012599842377201473
PRO_CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.002916475685519464,0.00015474408738709139,0.040321923840378075,0.018838850021838324
PRO_CRYAA,0.0,0.0,0.0,0.0,0.00011709125369470852,0.0,0.003967283244359182,0.000679528149212596,0.03855544809909663,0.018263632616173087
PRO_JUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0006604737998808628,7.53614725000321e-06,0.041223398137685996,0.013628495874954282
PRO_OAS1,0.0,0.0,0.0,0.0,0.0004747500187903814,0.0,0.007110309821160144,0.0021435992374819147,0.04113182704875756,0.022096422491092824
PRO_MYC,0.0,0.0,0.03913074440784925,0.009652285956946966,0.0836547542603886,0.04364947271660225,0.11965134507196717,0.07846059139319221,0.19681827321748332,0.14653558862109758
PRO_SMAD3,0.0,0.0,0.0,0.0,6.713867799043211e-06,0.0,0.0005144129537004383,3.6928017355603685e-05,0.007749627988430141,0.002848321227332946
PRO_IL12B|IL23A,0.0,0.0,0.0,0.0,8.852850044325586e-05,0.0,0.00840291350176839,0.0016781108369774008,0.09404343384200531,0.04757881034723901
PRO_PDGFRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0011649583609482372,2.13436987830992e-05,0.03201375953037445,0.01098100946521407
PRO_IL12A|IL12B,0.0,0.0,0.0,0.0,0.0,0.0,0.0014083226615552835,8.54028639773182e-05,0.030055564204447886,0.01297543984440315
PRO_STAT6,0.0,0.0,0.0,0.0,0.0003935034237617397,0.0,0.002233382636566251,0.0007265977234355112,0.013680776265470602,0.0065490597010069585
PRO_B4GALT5,0.0,0.0,0.0,0.0,0.0,0.0,0.004418417045246755,0.0003978163313508285,0.044291387049739804,0.023289349792809774
PRO_CSF2RA,0.0,0.0,0.0,0.0,0.0009524882646181141,0.00010062159121433485,0.007325472179501783,0.0022779807820518566,0.04918005426949182,0.025077501161450154
PRO_NUCB1,0.0,0.0,0.0,0.0,7.874560159960334e-05,0.0,0.0021749987856020878,0.0007605095372893222,0.031061323342956956,0.012593562740915035
PRO_IL31,0.0,0.0,0.07661447970577193,0.019317111782822225,0.11998228491353582,0.08921033669743526,0.1178957843771681,0.1002904053178299,0.14030265724583074,0.10484774147626556
PRO_NRAS,0.0,0.0,0.0,0.0,0.0,0.0,0.00014571504423693978,0.0,0.016321500894736968,0.004870092619370109
PRO_KLRC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0008960425972838134,0.0,0.027086394925577944,0.010142013662032016
PRO_GLB1,0.0,0.0,0.0,0.0,0.0008360564943818228,0.00020023074101016596,0.009622999731484408,0.0021016787928326342,0.07296746419779017,0.03587368980914783
PRO_ACE,0.0,0.0,0.0,0.0,0.0,0.0,0.001218151810445748,0.00015041249500316733,0.025620430856749192,0.010178889068265218
PRO_CD58,0.0,0.0,0.0,0.0,0.0007513917917497064,0.0,0.007481961868135004,0.0018969511749575723,0.043846814962366865,0.022213920681589183
PRO_TLR4,0.0,0.0,0.02102498213311535,0.002,0.048575977263315716,0.030295700842563146,0.07786050427669276,0.052834197341080184,0.16822010503515814,0.12295565688852511
PRO_HSPB1,0.0,0.0,0.0,0.0,0.0025655653655224423,5.636682384837093e-06,0.01212735546822239,0.003552151645667132,0.04807840804097257,0.02666636940261542
PRO_ENO1,0.0,0.0,0.005293948201860544,0.0005049671759773157,0.008632727528023396,0.002725163814692901,0.011570611702151535,0.007000220001822424,0.03410031837810194,0.019381037551352474
PRO_TENM3,0.0,0.0,0.009756869489043328,0.00517555623220048,0.02836820460295496,0.009830021562293366,0.042617860137734116,0.018393842087495692,0.07476476154724192,0.04293545342223516
PRO_CLEC12A,0.0,0.0,0.0,0.0,0.005005592668135814,0.0003994257481055411,0.0242441596829012,0.008539769100525937,0.09047316090251009,0.055800049711191124
PRO_HNF1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0007551990658669254,0.0,0.03829075651863311,0.017143500898935807
PRO_CXADR,0.0,0.0,1.7038697743764288e-05,0.0,0.0031589157567593817,0.00011297586661892499,0.02549275957420196,0.007478059798336064,0.11168210172435922,0.07136545051574336
PRO_TBCE,0.0,0.0,0.0,0.0,0.0001458497253763261,5.027927328041542e-05,0.0006664572275391579,6.473084834606135e-05,0.008249156272611757,0.0031775209426028414
PRO_TXNDC5,0.0,0.0,0.0,0.0,0.00011412445142502882,0.0,0.010105487571304804,0.001364744861525382,0.07008196423933817,0.03866376765023242
PRO_TPMT,0.0,0.0,0.0,0.0,0.00018571125853813686,0.0,0.0035911909930536993,0.0010127407098623642,0.03313279631582328,0.01573097916876112
PRO_ALDH1A1,0.0,0.0,0.0,0.0,0.0013075246601094966,0.00043824145087307224,0.004582477326924404,0.0015849410028057444,0.03640035629089553,0.014907302686006577
PRO_ATF6,0.0,0.0,0.006142978845707639,0.0,0.03452977745360293,0.013002679677775313,0.09402305155871994,0.04607083925508189,0.21712399992338813,0.16081780814108224
PRO_LAIR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0008291130146511909,0.0002729546285543681,0.018583227174436126,0.004873054235859159
PRO_NT5C2,0.0,0.0,0.0,0.0,0.00020545273545997809,0.0,0.0016667006997839171,0.000504863003952146,0.02052664805150578,0.008097940572285552
PRO_SAMHD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0031612288290045246,0.00019928353912724444,0.029710589328933983,0.013557200905993482
PRO_RAG1,0.0,0.0,0.0,0.0,0.0006359660508291011,0.0,0.0075341722503110865,0.002342062409877829,0.03488934913556265,0.016167390602927743
PRO_MRE11,0.0,0.0,0.0,0.0,3.89327939405449e-05,0.0,0.0005541390150213202,0.00014612996995172047,0.015726236873997722,0.005217649701826337
PRO_BLK,0.0,0.0,0.02036465886736606,0.005385502788247947,0.05044263597703883,0.01903632031866117,0.09490222132632153,0.052201525397053465,0.20865149424432883,0.14708211128410403
PRO_TALDO1,0.0,0.0,0.00020100681011062926,0.0,0.001743970975186567,0.0002438340572390978,0.006631034931935497,0.0035560083204011824,0.03317948666528736,0.018032096608679174
PRO_NHEJ1,0.0,0.0,0.0,0.0,0.0,0.0,0.0004400708228680586,0.0,0.05497639937179254,0.015462788683611927
PRO_AQP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0019724398624153495,8.945778396986304e-06,0.03476726160715831,0.015548894604102104
PRO_AK2,0.0,0.0,0.0,0.0,0.0001916051435620629,0.0,0.0011083295244496622,0.00021808714518551763,0.0109648584946517,0.0038629674289473257
PRO_MVK,0.0,0.0,0.0,0.0,4.461035105342905e-05,0.0,0.001309468931201274,0.00015145110846566273,0.021306256947680596,0.0075204684345468575
PRO_KMT2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0015821376561433338,6.073791418194023e-05,0.0336863878911645,0.013833024517522354
PRO_CARD9,0.0,0.0,0.0,0.0,0.00038883293311550384,0.0,0.00326619702152317,0.0005283649309037111,0.030567007610716488,0.011862461673250236
PRO_RELB,0.0,0.0,0.0,0.0,0.0,0.0,0.0011543191514661372,0.00010986058544955698,0.016808161628966835,0.007381573465287848
PRO_ALDH3A1,0.0,0.0,0.0,0.0,0.004309200901922076,0.0006529728531808098,0.019581579806683066,0.007064459097388747,0.0650405263990667,0.041065427846019756
PRO_MYSM1,0.0,0.0,0.0034302013601792028,7.958840401165788e-05,0.014294227001675047,0.005348997325611589,0.017589164389750788,0.011665881069152539,0.028908686905139546,0.017233786501114946
PRO_FOXO3,0.0,0.0,0.0,0.0,3.5674363756932905e-05,0.0,0.005142827497850148,0.0007383587690648098,0.044787712117449696,0.02327995088854661
PRO_MUSK,0.0,0.0,0.0,0.0,0.00023697679724144605,0.0,0.008490868863568021,0.000410820261535191,0.06701022862793926,0.03598043437792728
PRO_DNM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0001984554484083144,0.0,0.005131241326086442,0.001756154171882801
PRO_MGA,0.0,0.0,0.0,0.0,0.0001609834378597499,0.0,0.008411610378503007,0.0013113583955227073,0.06254936801716736,0.031032989549427785
PRO_DAPP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014072081917727917,0.0004908122822592949
PRO_MYB,0.0,0.0,0.0,0.0,0.0,0.0,0.0032201341377130917,0.0004024151194899699,0.04695925204950056,0.020627143483437988
PRO_NRSN1,0.0,0.0,0.0,0.0,0.0,0.0,0.00108465233478663,3.39688715120331e-05,0.051758158180508225,0.018487542065335455
PRO_TXNIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006197405210286845,0.001308304889784561
PRO_JAK2,0.0,0.0,0.0,0.0,0.0,0.0,2.072613166582415e-05,0.0,0.004550640201006131,0.0007619346393967518
PRO_PIEZO1,0.0,0.0,0.0,0.0,0.00010887184621439289,0.0,0.0038596321404349757,0.0011819650925306883,0.04424087050462991,0.021235019417585637
PRO_SMAD4,0.0,0.0,0.0,0.0,2.506077152764921e-05,0.0,0.0011439646311591615,0.0002903543800529051,0.020169798726573582,0.007509298491093524
PRO_HSPA1L,0.0,0.0,0.0,0.0,7.643687652156499e-05,0.0,0.0023384245578926726,0.0004311239093071765,0.025767646441573623,0.012044981149633966
PRO_RPS6KA1,0.0,0.0,0.0,0.0,0.00026590908590241646,0.0,0.007152997112577052,0.002018728130508171,0.047763816857382936,0.02406870036172491
PRO_SHMT1,0.0,0.0,0.0,0.0,3.180457225380093e-05,0.0,0.0030901798130928745,0.0002639446106933596,0.022371703139640656,0.011803260389477701
PRO_ETS2,0.0,0.0,0.0,0.0,0.0010486735168699069,0.0,0.009757939563023196,0.0027895330188516887,0.05769970067774609,0.031694748180775924
PRO_TAPBP,0.0,0.0,0.0004673407434753452,0.0,0.003553287953290871,0.0007432496177903103,0.014749542463026724,0.003711818960412725,0.06705610824892451,0.03807194151500491
PRO_DDX58,0.0,0.0,0.0,0.0,0.00014192727547348273,0.0,0.003605318157397058,0.0008514984613985612,0.03378917404444164,0.015090062253992538
PRO_PAX4,0.0,0.0,0.0,0.0,0.0,0.0,0.0006463892478763926,0.00010519491927622553,0.02231272181829059,0.008430206622493278
PRO_ARL11,0.0,0.0,0.07981094407900131,0.023198969764548435,0.1084076493286583,0.07912082724496744,0.10069897017910595,0.08733314567454302,0.135686073355452,0.10071900138679603
PRO_COMMD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0006911543709035138,0.00010666165814088969,0.027907964522134055,0.009653629266540438
PRO_CDKN2C,0.0,0.0,0.0,0.0,1.6220191297748056e-05,0.0,0.0016892833552538409,0.00020464727298773533,0.018430647648982248,0.008851459592341182
PRO_XRCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0001241181115638138,0.0,0.016274135721240125,0.004918664416286248
PRO_RRAGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.077472512983704e-06,0.002417487687121918,5.049628944403818e-05
PRO_ITCH,0.0,0.0,0.0,0.0,0.00010074753605802124,0.0,0.002719008255291269,0.00042783278353010663,0.040207129558595706,0.018527701252187195
PRO_TNFAIP8,0.0,0.0,0.001977498094759782,0.0,0.0074150786220872,0.0019373550566179096,0.011740177778434162,0.006430473916474458,0.03146974697625128,0.018365127287084844
PRO_CCT5,0.0,0.0,0.0,0.0,0.0,0.0,0.0009466837352037896,0.0004154961537906532,0.008212097044867504,0.0025948590524980403
PRO_ATG5,0.0,0.0,0.0,0.0,0.0,0.0,0.000138407702295497,0.0,0.020111865233340225,0.004073146773522418
PRO_FERMT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030587761339445655,0.0007673742896593727
