,{'C': np.float64(0.01)},{'C': np.float64(0.12)},{'C': np.float64(0.23)},{'C': np.float64(0.34)},{'C': np.float64(0.45)},{'C': np.float64(0.56)},{'C': np.float64(0.67)},{'C': np.float64(0.78)},{'C': np.float64(0.89)},{'C': np.float64(1.0)}
IL246_Baso_149Sm_CREB,0.0,0.0,0.0,0.0005568991244206524,0.0005123087271076848,0.0003081578719720789,0.00020012584157200788,9.538214111235995e-05,4.7381345774527594e-05,0.0
IL246_Baso_151Eu_p38,0.0,0.0,0.0,1.1240180971256792e-05,4.5810102639526e-05,7.467974341847364e-05,8.164848757171365e-05,6.643354213880257e-05,5.301347483595775e-05,3.907713453787499e-05
IL246_Baso_155Gd_S6,0.0,0.001,0.006002496716100307,0.00782374581882659,0.008539221510646925,0.009186898999313764,0.00996643065850452,0.01069742832124699,0.011286699032594527,0.011869925193431942
IL246_Baso_159Tb_MAPKAPK2,0.0,0.007006861294357914,0.00936152998639386,0.010848620041647493,0.012393739631490265,0.01309956198636562,0.013407519072144738,0.01355877948014971,0.013646095406319992,0.013684368803306693
IL246_Baso_164Dy_IkB,0.0,0.0,0.0,0.0,1.1118477753558576e-05,3.053004075958489e-05,3.5282351431760014e-05,3.4200920166056575e-05,3.193260424922229e-05,3.3307695496847103e-05
IL246_Baso_166Er_NFkB,0.0,0.0,0.00031148843231277516,9.578148072245353e-06,8.67368403009815e-05,4.274387719001622e-05,7.36564209761771e-05,6.21966595739228e-05,0.00010210360266733036,3.3645743279878415e-05
IL246_Bcells_149Sm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_Bcells_150Nd_STAT5,0.0,0.0,0.0001653208473619336,0.0012351194515041917,0.0021354728965934586,0.0025748007567703473,0.003049854423549522,0.0033875542744230998,0.003639158126429508,0.0038448465990539344
IL246_Bcells_151Eu_p38,0.0,0.0,0.0,1.125820202118598e-06,3.247302136868167e-05,7.134675495319924e-05,0.00011148699837326487,0.00013892985272106478,0.00016166302045858428,0.00017820262812381056
IL246_Bcells_154Sm_STAT3,0.0,0.00023625508291088095,0.0009494137258208096,0.0016483800165863372,0.0019064542997256832,0.0020351768021004257,0.0020957095086036937,0.0021268961774978325,0.002145584595787379,0.0022199441976587654
IL246_Bcells_155Gd_S6,0.0,0.0,0.0001705053590612863,0.0009698163054955643,0.0011919260361031028,0.0013594927093996659,0.0014620066656227287,0.0015237163630340933,0.001570802168586467,0.0016090940230971654
IL246_Bcells_159Tb_MAPKAPK2,0.0,0.0,0.0008476081006756661,0.0005414416367906892,0.0004724678842737179,0.0003831620524978039,0.000392454190782813,0.0003923669872784236,0.0003780287019178151,0.00038635956600176045
IL246_Bcells_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_Bcells_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_Bcells_167Er_ERK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_Bcells_168Er_pSTAT6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_CD4T_149Sm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_CD4T_150Nd_STAT5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_CD4T_151Eu_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_CD4T_153Eu_STAT1,0.0,0.0006299222429360843,0.003870465071705895,0.006272083211200053,0.008077745208425786,0.0091817793060118,0.009869292184851223,0.010286665467942354,0.010828059291546498,0.011168705270838478
IL246_CD4T_154Sm_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_CD4T_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_CD4T_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_CD4T_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_CD4T_168Er_pSTAT6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_CD4Tcm_149Sm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL246_CD4Tcm_150Nd_STAT5,0.0,0.0,7.037491821329652e-07,7.44593064436884e-05,7.928353955197736e-05,9.348386460829587e-05,0.00010537344019710382,0.00011149534179782166,0.00011705052312593465,0.00011878180251350698
