,{'C': np.float64(0.01)},{'C': np.float64(0.12)},{'C': np.float64(0.23)},{'C': np.float64(0.34)},{'C': np.float64(0.45)},{'C': np.float64(0.56)},{'C': np.float64(0.67)},{'C': np.float64(0.78)},{'C': np.float64(0.89)},{'C': np.float64(1.0)}
artificial.1,0.0,0.0025320242641398076,0.019417899051290002,0.034789402744826746,0.044046903217176823,0.05017337538098472,0.05455805617475976,0.057350230976764414,0.05926269372776959,0.0607185652808021
artificial.2,0.0,0.004645933273692792,0.01430478718141186,0.018814008372995357,0.021070857742782667,0.022994386327402125,0.024130387488380683,0.025039484544619444,0.025706763528842533,0.026366754739200114
artificial.3,0.0,0.001,0.0036836614046119416,0.006397812122131015,0.008070736830740829,0.009647245314140284,0.010847742053112628,0.011709424492033929,0.01228999864616938,0.012661107026209322
artificial.4,0.0,0.0,0.0023726093480968416,0.00587917249916814,0.0082593852314577,0.010211512294667305,0.011742311833938228,0.012892291353548524,0.013767373535087883,0.014542431255386347
artificial.5,0.0,0.0,0.0072354482247581975,0.015971334601165087,0.021535428745390984,0.025716485665568667,0.0287574199338825,0.03056688634972649,0.03197917760972351,0.033062607452360095
artificial.6,0.0,0.0,0.0008468988717951127,0.0018322439956709,0.00268046028293603,0.003116114611973428,0.0034183009834653647,0.0038506241839142675,0.004298318723330297,0.004652040187547134
artificial.7,0.0,0.08439396499313774,0.07425485994897653,0.07490382738778531,0.07642723243751667,0.0762606633497323,0.07605746472942988,0.07610573243358819,0.07608311924316169,0.07602340867301038
artificial.8,0.0,0.0,0.0014962201006957947,0.004809611129505258,0.008064176614644534,0.010014801141641954,0.011589496166267343,0.012899407847079747,0.013976296891526905,0.014968546140276038
artificial.9,0.0,0.1491952494894358,0.15102129226700048,0.15524109476893927,0.15852428416965714,0.1596572881533104,0.1593434055450784,0.1587042364776939,0.15786913367035108,0.15719903077501218
artificial.10,0.0,0.12142871491624864,0.1515593683029679,0.1678195389031122,0.178837799292472,0.1842323611143552,0.18760067588228882,0.18953715552635275,0.19059463730081538,0.19135144856615366
artificial.11,0.0,0.0,8.380693869452029e-06,0.0021646870804058684,0.0029380863707600046,0.0032954468990434166,0.0037168821260429715,0.004059686980429486,0.004412183833609921,0.004673098113795459
artificial.12,0.0,0.0,0.002913489487302313,0.010051242365063629,0.013398478484933373,0.016021831428688228,0.01803433412766572,0.019514565455385838,0.02062214796263613,0.021531472616680706
artificial.13,0.0,0.0032372480398137103,0.05192204992378282,0.09223752031285294,0.11666545503379515,0.1317647712681032,0.14131702036255386,0.14827130990881757,0.1533604681596351,0.1572932882253717
artificial.14,0.0,0.00025781956113257243,0.009878188185466184,0.018466252556759467,0.02365505978865184,0.02600774829952175,0.02765702054729223,0.029168447158867957,0.03031065873029073,0.031215405066261522
artificial.15,0.0,0.004799093762436788,0.027943312289626186,0.039240709965847095,0.043731221873269964,0.04576757533402718,0.04709054607353958,0.047678951376794745,0.047930196835495924,0.048117036910022705
artificial.16,0.0,0.0,0.0008777678119095929,0.003622833644854026,0.00535685510212442,0.0065323661406274085,0.007514383580672764,0.008369040369455976,0.009036946349158543,0.009594894364018308
artificial.17,0.0,0.0,0.0010888814318023865,0.0026011874735490915,0.003421818250138785,0.003914102992713808,0.004148533057740886,0.004257623547720696,0.004326245108914855,0.004362102735760867
artificial.18,0.0,0.0,0.0,0.0,3.518451796848057e-05,0.00011542123001142257,0.0001963361771684487,0.00024911059256775586,0.00028499429239817333,0.00030890194498931834
artificial.19,0.0,0.0,0.0006897683501510032,0.0013916059386906096,0.002190527067797074,0.0028709708809132256,0.0033819828427157595,0.0037615071315427262,0.003975492322258948,0.004135429987509971
artificial.20,0.0,0.0003429783867414654,0.0027442553781321594,0.005553156767724874,0.007657286392707611,0.00914938237655523,0.009934048209291944,0.010588782393599398,0.011266944329426758,0.01181965304846517
artificial.21,0.0,0.0,0.0009147044782785251,0.001904442385233226,0.0025411494467399223,0.0030996960439941754,0.003476656359741865,0.0037433618874269854,0.00396082885772845,0.004170824982870719
artificial.22,0.0,0.0,0.0017931059603392254,0.003881009798982137,0.004470952853227138,0.004855040873016802,0.005436429452351625,0.005885037893522091,0.006124828447589424,0.006349945254941163
artificial.23,0.0,0.028640637770279295,0.056283857665548095,0.06802953763158978,0.07459919691104872,0.07788215349262428,0.07968205575266346,0.08055240017275696,0.08124020013429967,0.08160337059146426
artificial.24,0.0,0.05260402334038207,0.09065229672558837,0.10415151098194424,0.11337829668864415,0.11880889777638347,0.12271591030686012,0.12544384045255147,0.12731014325683654,0.12897779095994244
artificial.25,0.0,0.0,0.0002473267446941792,0.0009108005073388557,0.001458903620907118,0.0021397686843430933,0.0026594005990775104,0.003091789740307533,0.003555775682562674,0.003926300699018827
artificial.26,0.0,0.0,0.00284413355641853,0.006118257853997158,0.008497939581593537,0.009937570425443694,0.011040464660303671,0.011994573795138744,0.012902626956235607,0.013688540547374195
artificial.27,0.0,0.0,0.0014687654629156025,0.0027975806988451515,0.004005616932598952,0.005039691776731292,0.005897301540137532,0.006630432602932037,0.007254813022500537,0.0077408435424067635
artificial.28,0.0,0.0032610483226765564,0.005474366906271706,0.009084851572057968,0.01183759512514054,0.013423359260302737,0.014150001527709873,0.014620423421166913,0.014929982261248285,0.01519340768873212
artificial.29,0.0,3.8105466833706995e-05,0.006214833296025295,0.01227172497422599,0.01537729715169145,0.017987847320598205,0.019832122027816392,0.02098086482207072,0.02188524686826975,0.022539562887731807
artificial.30,0.0,0.0,0.0008121877344938922,0.0033776862470177712,0.005576557243783334,0.006990113251512208,0.007861750030486767,0.008638379745796622,0.009388675432544765,0.01001868699508221
artificial.31,0.0,0.002244756561098611,0.00755565979871072,0.012311814208530931,0.01524411301119056,0.01685809805313093,0.01838575219022419,0.019466315554131808,0.020226162068961037,0.020775468135396224
