,Max Proba
PRO_HSPH1,0.26889212334639284
PRO_ALK,0.23763879690959744
PRO_IL1B,0.2214295655740202
PRO_RAP2A,0.200256574778687
PRO_WWOX,0.1822025219100344
PRO_BIRC3,0.13459634173902116
PRO_CTNNA3,0.11932994871175852
PRO_LDLR,0.11590090787354924
PRO_IL18,0.10803987217724714
PRO_CSF2,0.07744666986925833
PRO_IL31,0.07297074772943404
PRO_ARL11,0.06873851808557085
PRO_ITGAV|ITGB3,0.06396987112461862
PRO_LGALS1,0.06206445175294976
PRO_RNASET2,0.05480074490569666
PRO_ASAH1,0.04910817858023207
PRO_CCL3,0.0475278913935247
PRO_TLR5,0.0432570417800645
PRO_BTN3A2,0.04321822015829113
PRO_MYC,0.04103981363464018
PRO_TLR4,0.038663376791126254
PRO_CNTN3,0.037581715760188386
PRO_PSMB9,0.030128657973349952
PRO_BLK,0.029872432595406548
PRO_NTRK1,0.028001900156399463
PRO_KDM1A,0.027952080859296968
PRO_MTHFD2,0.025917374832633
PRO_TSLP,0.024729429641301343
PRO_ATF6,0.023054549333151188
PRO_SMS,0.021157638016349067
PRO_IL21R,0.02025705540676002
PRO_CD2,0.015831006666777985
PRO_ST6GAL1,0.015487329626873865
PRO_LIFR,0.013184808350425273
PRO_HPSE,0.013021660065832058
PRO_TNFSF10,0.012770463981538244
PRO_STAMBP,0.01179654504950477
PRO_SELP,0.01166083898110865
PRO_GSTT1,0.011622055692173694
PRO_CXCL1,0.0112403840406283
PRO_MCAM,0.011062848550093207
PRO_MSN,0.010406294452494491
PRO_TOPBP1,0.010172069268768118
PRO_PSMB4,0.008905969031693743
PRO_FCGR2A,0.008700708437849992
PRO_OGG1,0.008610824681392978
PRO_BTG1,0.008344857150718626
PRO_ALB,0.008145671349630757
PRO_FTCD,0.008094276005197947
PRO_PTHLH,0.007777045157757929
PRO_TENM3,0.007727146873557881
PRO_MYSM1,0.007699173950218005
PRO_IGHM,0.007654770777575156
PRO_F8,0.007604092548709819
PRO_UBE2E1,0.007225702305071878
PRO_ITGA4|ITGB1,0.006906402669992238
PRO_DEFB4A,0.006851809307554163
PRO_ACP3,0.0067379753695344
PRO_ALDOB,0.0064420366566720145
PRO_CDH17,0.006330948317356047
PRO_CD4,0.005837917002210544
PRO_PPIB,0.005759015937101798
PRO_FKBP5,0.005758701714285227
PRO_CFP,0.005724164107348016
PRO_RGS1,0.005686156637117239
PRO_PIP,0.005632734930496182
PRO_SPINK5,0.005604190866967088
PRO_HSP90AB1,0.005450419147634184
PRO_GGH,0.00541000234429759
PRO_MPO,0.005403115468349972
PRO_ACAN,0.005376967270304699
PRO_NPY,0.005315319741687434
PRO_EHMT2,0.005233062481597857
PRO_CBX7,0.005216964881512402
PRO_TLR3,0.0052051074597648725
PRO_KIF3A,0.005202355227879144
PRO_GC,0.005080653350263257
PRO_RET,0.005066402055050513
PRO_IFNL3,0.00495396821130618
PRO_IRAK4,0.004888406869490078
PRO_ST3GAL1,0.004676553040672603
PRO_TBK1,0.004316164451957547
PRO_ALDH3A1,0.004230421622029387
PRO_TSHR,0.004220669606067219
PRO_SCARB1,0.003986957808883818
PRO_ALDH2,0.003800182641476279
PRO_CXCL14,0.0037954789463534094
PRO_CD36,0.0037339373750009033
PRO_GNAS|GNAS,0.003714042069933318
PRO_CD163,0.0036557249487400496
PRO_THSD1,0.003599795908085066
PRO_TNFAIP8,0.003546135987147038
PRO_CELF2,0.003389156644210938
PRO_C1R,0.003319691900269513
PRO_SH2B3,0.0032730930143552188
PRO_IKBKB,0.0031940292755604015
PRO_ITGAM,0.0031804998768509823
PRO_KIAA0319L,0.0031137598917685646
PRO_IL12A|EBI3,0.003071067987720139
PRO_IL12B,0.0030699455357265275
PRO_KIF22,0.0030684228127228616
PRO_XRCC4,0.0027886511902365835
PRO_IFNA2,0.0027456013108161617
PRO_ARHGDIB,0.002606282659719725
PRO_NAMPT,0.0025757051647679104
PRO_SNRPD3,0.0025567420041448462
PRO_ENO1,0.002552826454117713
PRO_GUSB,0.0024789431312146463
PRO_GALNT3,0.0024753983476828926
PRO_SERPINA1,0.0023814514438833456
PRO_GRPEL1,0.0023773616119527547
PRO_CYBC1,0.0023518360451210917
PRO_IL2,0.0022473716978689134
PRO_ARNT,0.0022375617242141026
PRO_ANXA3,0.0022294224801583254
PRO_CXADR,0.002221916172857096
PRO_PRKG1,0.002209119532163855
PRO_TALDO1,0.0021972263691826654
PRO_PGM5,0.002081219307362123
PRO_CCN1,0.0020673563749775826
PRO_CD27,0.0020528063206213714
PRO_MX1,0.0019627360362716737
PRO_EGLN1,0.0019301858236055835
PRO_DCN,0.0019289754745811828
PRO_TCL1A,0.0018984493411715849
PRO_CTLA4,0.0018570325770877873
PRO_CLEC12A,0.0017873218411340762
PRO_LEPR,0.0017720809385386093
PRO_SERPINE1,0.00176052430565383
PRO_HYOU1,0.001716043181476181
PRO_DUSP4,0.0017100790908949684
PRO_IRF6,0.0016727169315025082
PRO_CFTR,0.0016606719052428807
PRO_EDAR,0.0016178294093367141
PRO_IL1R1,0.0016114974898499223
PRO_AMN,0.0015949927726798406
PRO_IFNA1,0.00157867937588971
PRO_HRAS,0.001567884854899308
PRO_LILRA4,0.0015593254888552491
PRO_SETD2,0.0015564505308301513
PRO_PLA2G7,0.0015461838555954328
PRO_IL12B|IL23A,0.0015017054886334623
PRO_NGF,0.0015006906961545624
PRO_TAPBP,0.001496585134439671
PRO_IL1RN,0.0014910753312728936
PRO_LBP,0.0014604483016341305
PRO_OASL,0.0014264081755371032
PRO_DDIT3,0.0013601894469564997
PRO_IGHG1,0.0013123564910467068
PRO_GDF5,0.0012864562115388275
PRO_HERPUD2,0.0012779602805450348
PRO_B3GNT2,0.0012756697515845365
PRO_RPSA,0.001252695310308941
PRO_CLIC1,0.0012344807449256633
PRO_HSPB1,0.0012339857960511175
PRO_KITLG,0.001208210825147896
PRO_FASLG,0.0012080543405693317
PRO_CCL17,0.0012013952490205692
PRO_ETS2,0.0011953701600359102
PRO_F7,0.001193123235578551
PRO_OAS1,0.0011708038478534482
PRO_CD58,0.0011671200104728457
PRO_IL23R,0.00116590861611448
PRO_CCL19,0.0011655936109274444
PRO_CCL21,0.0011451763109695222
PRO_PMM2,0.0011339401977225304
PRO_ODC1,0.0011247171843599057
PRO_ALDH1A1,0.001091974355463245
PRO_CLEC7A,0.0010504277919523887
PRO_APOC3,0.0010293854308414477
PRO_PTEN,0.0010293090995161392
PRO_NOS3,0.0010257594406470917
PRO_RFXAP,0.0010154124539414318
PRO_CLEC4A,0.0010071577100720075
PRO_AOC3,0.001
PRO_KRT19,0.001
PRO_GLB1,0.0009939627729173177
PRO_OTC,0.0009779479916993059
PRO_AGT,0.0009658548284695516
PRO_LOXL2,0.0009613815071264949
PRO_PVR,0.0009397491714106248
PRO_KIR3DL1,0.0009180796519527791
PRO_TBXAS1,0.0009154023483126419
PRO_IGHG2,0.0008838952277627929
PRO_TSC2,0.000878572198106963
PRO_TEK,0.0008717050460166345
PRO_C1GALT1C1,0.0008685456031360504
PRO_CSF2RA,0.0008682660404892741
PRO_IL2RA,0.000857280098610052
PRO_CFHR3,0.0008397902288155979
PRO_TNFRSF13B,0.0008334480724530878
PRO_PTPN1,0.0008283195126481398
PRO_PSMA5,0.0008195164123157773
PRO_EIF4E,0.0008138918933339777
PRO_TNFRSF10A,0.0007920585994636999
PRO_MLN,0.0007895002733500809
PRO_ST6GALNAC5,0.0007880043615295147
PRO_IMMP2L,0.000775718154226649
PRO_MUC16,0.0007344407116832977
PRO_ADAMTS13,0.000724305902246531
PRO_CHD7,0.0007226506398023481
PRO_CRYBB2,0.0007225081036422328
PRO_CTSD,0.0007082150030072985
PRO_TPP2,0.0006995609197563826
PRO_DEF6,0.0006912150688811461
PRO_EIF4G1,0.0006849632039652781
PRO_B4GALT5,0.0006732529235781422
PRO_NCF2,0.0006706860246345239
PRO_MGMT,0.0006609957098793043
PRO_IL4R,0.0006481338707357134
PRO_PDE4D,0.0006443014304228725
PRO_EMG1,0.0006347011196138092
PRO_MAPK3,0.0006129423728294736
PRO_MAD1L1,0.0006110042213217649
PRO_IL17RA,0.0006088902066827519
PRO_RPS6KA1,0.0006072255380317093
PRO_APOA1,0.0006035213017483973
PRO_BLNK,0.0006030034561431064
PRO_TAC1,0.0005958173620824125
PRO_IL17RC,0.0005932476217994089
PRO_C8G,0.0005913106349108539
PRO_MAP2K1,0.000577183183510666
PRO_MALT1,0.0005764313018234384
PRO_PSMD6,0.0005705859940297542
PRO_RAC2,0.0005647507497847876
PRO_HSD11B1,0.0005572217727560059
PRO_LGALS9,0.0005500379671002595
PRO_A4GALT,0.000535654097261629
PRO_SH3BGRL2,0.0005210134224874036
PRO_LCN2,0.0005143302589957452
PRO_DHFR,0.0005097582742684401
PRO_PIEZO1,0.0005061707498920244
PRO_KDM4C,0.00048930162474203
PRO_UGT1A1,0.00048385915177968843
PRO_PSME1,0.000466445915317
PRO_MRC1,0.00045656235126438063
PRO_RAG1,0.00044286969291837787
PRO_ADIPOQ,0.00044030149301368477
PRO_PRAME,0.0004393455557848685
PRO_PLA2G4A,0.0004337708174654367
PRO_JAG2,0.00043243934038267486
PRO_BAG3,0.00042767182668668516
PRO_NUCB1,0.0004219993099601443
PRO_CFI,0.00041969229352493715
PRO_COL3A1,0.0004190160980074549
