,{'C': np.float64(0.01)},{'C': np.float64(0.12)},{'C': np.float64(0.23)},{'C': np.float64(0.34)},{'C': np.float64(0.45)},{'C': np.float64(0.56)},{'C': np.float64(0.67)},{'C': np.float64(0.78)},{'C': np.float64(0.89)},{'C': np.float64(1.0)}
artificial.1,0.0,0.02016734495825303,0.024798459432214853,0.027334592516948034,0.028702309144832894,0.0290839842189531,0.029655837710014867,0.03013681706648287,0.030437293674943796,0.03049675270636543
artificial.2,0.0,0.0,0.0,0.0,2.675331768124105e-05,3.894359256229169e-05,4.792733253427629e-05,6.65761476251935e-05,9.329954093124393e-05,0.00010394312282258488
artificial.3,0.0,0.0,0.00032704228170254816,0.0006406232542874071,0.0008129484114094474,0.0009599906779203769,0.0010691304478611925,0.0011269921289071647,0.0012332347601745903,0.0012914559223207354
artificial.4,0.0,0.0,0.0003289724381018642,0.0006639672366198148,0.0008304796325356217,0.0010293840748996507,0.0012152275314841225,0.0013229851423876872,0.0013998745887871516,0.0014611228837596581
artificial.5,0.0,0.0,9.7422784305448e-05,0.0002729223388444275,0.0003139189045090818,0.0003208486590057388,0.0003401532398894023,0.0003700070926810758,0.0003878090730352148,0.00041562573571435167
artificial.6,0.0,0.0,0.0,1.4275979664718048e-05,9.80272676509964e-05,0.0001573897635618869,0.0001874796127566814,0.00022942247523464793,0.0002544399369232133,0.0002900469117931496
artificial.7,0.0,0.0,0.00010019817113674473,0.00011814022115079957,0.00013377610295517537,0.00015510821956350444,0.00014560689488903554,0.00019523434505372422,0.0001843819423880256,0.00018329468947786106
artificial.8,0.0,0.0016929555051115857,0.007345659597355235,0.008463660969925426,0.008941533210965783,0.009247193065405541,0.009368966252503913,0.009375573258871141,0.009404206134709258,0.009522582099258669
artificial.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.0,0.13341270410241263,0.15365063910716983,0.17569908180757202,0.1844980489479831,0.18881762790026516,0.19081300820116226,0.19279671636802165,0.19420458651427291,0.19453765508734336
artificial.12,0.0,0.0,5.65876606915799e-05,0.00042879446615222227,0.0006017876049306642,0.000732669273859554,0.0008793891283149445,0.0010211144332511848,0.0011217849426967002,0.0011923457163698298
artificial.13,0.0,0.0,0.0010097891398814474,0.0022281751044929883,0.0029020911295884327,0.003265147069135871,0.003482452605316837,0.003774968578660313,0.003908891255968336,0.004075040329975322
artificial.14,0.0,0.0,0.0005971076391683139,0.000487840402354501,0.0005254005422891563,0.0006519311265642531,0.0007306418043214673,0.0007805788625924235,0.0008158406507964677,0.0008475129624643318
artificial.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.19,0.0,0.0,0.0,8.739060626060625e-06,0.0001576429773483883,0.00027032827689932136,0.00036497707450037153,0.00047921923861847407,0.0005891816490760734,0.0006738410668337195
artificial.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.21,0.0,0.0,0.001,0.001,0.001132957885265921,0.0012133927169480944,0.001261145857804149,0.0013081660241777379,0.0013510595221352967,0.0013683849443765757
artificial.22,0.0,0.0,2.039381703041906e-05,2.6725869942169306e-05,6.458301829573685e-05,8.421510524137682e-05,0.00013466966973084944,0.00015838098739964069,0.00019477664279755687,0.0001921165958783541
artificial.23,0.0,0.0,0.0004607445137016687,0.0006980467423805729,0.0008378639135738422,0.0009199279954839874,0.0009801672149578001,0.0010246484115477373,0.0010574683558517795,0.0010862972489377168
