,Max Proba
TNF_Th1_149Sm_CREB,0.1933703742702542
TNF_CXCR4neutro_155Gd_S6,0.04569238078149265
TNF_ncMC_151Eu_p38,0.031051943683753074
TNF_DC_155Gd_S6,0.028603173193747045
TNF_CD56brightCD16negNK_164Dy_IkB,0.025078434224327633
TNF_pDC_164Dy_IkB,0.021143910307879772
TNF_Tregnaive_155Gd_S6,0.02109250235278671
TNF_Granulocytes_149Sm_CREB,0.018442514180085013
TNF_pDC_149Sm_CREB,0.018311710710353785
TNF_mDC_151Eu_p38,0.018255587395839
TNF_Granulocytes_155Gd_S6,0.015373172487764404
TNF_Th1_159Tb_MAPKAPK2,0.015037798332866474
TNF_gdT_149Sm_CREB,0.015005292753086295
TNF_NK_151Eu_p38,0.012639664459764863
TNF_CXCR4neutro_159Tb_MAPKAPK2,0.012173129187946718
TNF_CD4Trm_167Er_ERK,0.012075991446022531
TNF_Th1_164Dy_IkB,0.011055157153729787
TNF_CXCR4neutro_151Eu_p38,0.010909605912568931
TNF_CD56brightCD16negNK_159Tb_MAPKAPK2,0.01050325474893709
TNF_Th1mem_164Dy_IkB,0.010326051783875108
TNF_intMC_151Eu_p38,0.009886439195314818
TNF_CD8Tem_149Sm_CREB,0.009622792167190329
TNF_CD56brightCD16negNK_149Sm_CREB,0.009234832779485506
TNF_ncMC_159Tb_MAPKAPK2,0.008396565559155758
TNF_Tregnaive_164Dy_IkB,0.006945976687282095
TNF_CD8Tnaive_159Tb_MAPKAPK2,0.006365014266282532
TNF_CD56brightCD16negNK_166Er_NFkB,0.006286385010836598
TNF_Granulocytes_166Er_NFkB,0.0059734577307989905
TNF_CXCR4neutro_164Dy_IkB,0.005954488132252563
TNF_Granulocytes_159Tb_MAPKAPK2,0.005435735169604417
TNF_MDSC_159Tb_MAPKAPK2,0.005388674102767408
TNF_pDC_166Er_NFkB,0.005313264522801049
TNF_mDC_164Dy_IkB,0.0052483711606686485
TNF_CD4Trm_166Er_NFkB,0.005165284409039924
TNF_CD8Trm_149Sm_CREB,0.005125010450236998
TNF_Baso_155Gd_S6,0.004956158004118325
TNF_Treg_164Dy_IkB,0.004938669164676315
TNF_intMC_167Er_ERK,0.004621100216308792
TNF_Th1_155Gd_S6,0.0045037195879166925
TNF_Tregnaive_167Er_ERK,0.004429574859881778
TNF_Granulocytes_167Er_ERK,0.004358009671795026
TNF_intMC_149Sm_CREB,0.004308842266315527
