,{'C': np.float64(0.01)},{'C': np.float64(0.12)},{'C': np.float64(0.23)},{'C': np.float64(0.34)},{'C': np.float64(0.45)},{'C': np.float64(0.56)},{'C': np.float64(0.67)},{'C': np.float64(0.78)},{'C': np.float64(0.89)},{'C': np.float64(1.0)}
TNF_Baso_149Sm_CREB,0.0,0.0,0.00028998418728871304,0.000892055282704028,0.0012096782266142305,0.0013637329348038028,0.0014492572994768385,0.0014818962322225527,0.001552630851050091,0.001591897456305129
TNF_Baso_155Gd_S6,0.0,0.0,0.0007803710706735455,0.0020820142436221174,0.0028430938463636945,0.003348263823976247,0.003934853690035048,0.0043862372062564514,0.004752161783634701,0.004956158004118325
TNF_Baso_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_Bcells_149Sm_CREB,0.0,0.0,0.0001182124528558462,0.00021477536523838414,0.00019555085691640877,0.00017851497017648896,0.00016539308743712116,0.00015776659466956142,0.00015282448203570836,0.00015313759309384413
TNF_Bcells_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,8.443205859856865e-05,0.0001100001718756102,9.327707242874538e-05,6.961167042009858e-05,5.8313072615143745e-05,5.679523290097286e-05
TNF_Bcells_164Dy_IkB,0.0,0.0,0.0,0.0,0.00013711462275078416,0.00018900844162600102,0.00020308327492222784,0.00023529543891629115,0.000266359457483166,0.00027846833188264564
TNF_Bcells_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD4T_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD4T_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.388796023919747e-05,9.993047448072702e-05
TNF_CD4T_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD4Tcm_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD4Tcm_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD4Tem_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD4Tem_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD4Tem_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD4Tnaive_164Dy_IkB,0.0,0.0,0.0,0.00015281579069781806,0.00030888416942986905,0.0003967529826162815,0.000453636120142849,0.0004974953407250858,0.0005271247146081959,0.000546397084338363
TNF_CD4Tnaive_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD4Trm_149Sm_CREB,0.0,0.0002759458949620704,0.001349316470400105,0.0011980681700154122,0.0011728124551704153,0.0012146344485732892,0.001300532315653282,0.0013297994424291007,0.0014105554833834509,0.0014849923756737554
TNF_CD4Trm_159Tb_MAPKAPK2,0.0,0.0,0.00024091238244608866,0.0005651588009898873,0.0006834006733570151,0.0007721750659338658,0.0008384040641974817,0.0008818486452722063,0.0009277284947666696,0.0009827449513981226
TNF_CD4Trm_164Dy_IkB,0.0,0.0,7.146661118100962e-05,0.0002838478574766936,0.00030647662237964996,0.00042118130415394077,0.0005978369157745937,0.0007524334238204318,0.0008433201647758934,0.0009053534723874574
TNF_CD4Trm_166Er_NFkB,0.0,0.00015687931071882183,0.0019452693169773297,0.003441393721602523,0.004000133164620636,0.004227278173088131,0.004380269112057843,0.00463276065862744,0.004930458013194321,0.005165284409039924
TNF_CD4Trm_167Er_ERK,0.0,0.0,0.004806150039774806,0.007437399404362086,0.008958296697032747,0.010009507825938686,0.010834502889133473,0.011393630673188004,0.011792693124526302,0.012075991446022531
TNF_CD56brightCD16negNK_149Sm_CREB,0.0,0.0,0.002047532436348821,0.004917558580500968,0.00643974194841728,0.007493718608239356,0.00831367115810607,0.008780342992489162,0.00904148794074312,0.009234832779485506
TNF_CD56brightCD16negNK_159Tb_MAPKAPK2,0.0,0.0011681422775556714,0.005668101171315734,0.007767986182517151,0.008751132585064533,0.00943418600032006,0.00992505691913437,0.010166274584905974,0.0103404693126481,0.01050325474893709
TNF_CD56brightCD16negNK_164Dy_IkB,0.0,0.0035944695546649575,0.01171471534671929,0.01724711194662831,0.020106796648683034,0.022049633758587248,0.023295918013862504,0.024103166929085124,0.024643452602518677,0.025078434224327633
TNF_CD56brightCD16negNK_166Er_NFkB,0.0,0.0,0.0014210167884499225,0.003688984225077075,0.0048281330603563485,0.005382917149988334,0.005633010435335057,0.005860964958689779,0.006090995232948159,0.006286385010836598
TNF_CD56dimCD16posNK_149Sm_CREB,0.0,0.0,0.0,0.0,0.0,3.8215066145231015e-05,7.43123208922093e-05,0.0001027968250850362,0.00014920294697578685,0.00018280334349028533
TNF_CD56dimCD16posNK_151Eu_p38,0.0,0.0,0.001460861684050462,0.0017821341989718137,0.0017590901554577524,0.001765850459175585,0.0016999487018764272,0.0016304916532114352,0.0015316297455085798,0.0015662366591961095
TNF_CD56dimCD16posNK_159Tb_MAPKAPK2,0.0,0.0,3.7904147152876345e-05,0.0,0.0,0.0,0.0,0.0,1.5233103984554858e-05,4.1819272916049833e-05
TNF_CD56dimCD16posNK_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD56dimCD16posNK_166Er_NFkB,0.0,0.0,0.0,0.0,7.038815826862805e-06,1.0411399815027054e-05,1.0967009824193612e-05,1.5574690865758235e-05,1.5689560109620456e-05,1.4624955434146237e-05
TNF_CD8T_149Sm_CREB,0.0,0.0,0.00011120678401360723,0.00024514035686058056,0.00026288547450919715,0.00027222525794562343,0.00027665744930093167,0.00027995323268393093,0.00027935251131644976,0.00028170111222133805
TNF_CD8T_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD8T_164Dy_IkB,0.0,0.0001793067860477929,0.0008235112922429645,0.00099674480497529,0.0013286760601540122,0.001393252741777979,0.0014354649558791445,0.0014657547229888343,0.0014902924529037478,0.0015227376771475925
TNF_CD8T_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD8Tcm_149Sm_CREB,0.0,0.0,0.0,5.7541912129861526e-05,0.0002810128763399058,0.00034661489727079073,0.0004451145195062556,0.0006242731865152458,0.0008205636177449866,0.0009720509556383451
TNF_CD8Tcm_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD8Tcm_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.188156789959947e-05
TNF_CD8Tcm_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD8Tem_149Sm_CREB,0.0,0.0005385731361298346,0.005388455479572166,0.007127313643713612,0.008275569760491408,0.008940677317499682,0.009345956976995248,0.009511595217539642,0.009588375745747831,0.009622792167190329
TNF_CD8Tem_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNF_CD8Tem_164Dy_IkB,0.0,0.0,0.0005787802488670963,0.0011037126780079525,0.0017863288325102576,0.002591019664141858,0.0030875765848829093,0.0033600299756614137,0.0035231377649358035,0.0036105071083260293
