,Max Proba
unstim_CD4Trm_Frequency,0.548
unstim_CD4Tnaive_Frequency,0.476
unstim_Th1naive_167Er_ERK,0.4
unstim_Th1naive_150Nd_STAT5,0.394
unstim_Tregnaive_150Nd_STAT5,0.371
unstim_Th1naive_149Sm_CREB,0.269
unstim_ncMC_Frequency,0.257
unstim_CD8Trm_Frequency,0.21
unstim_CD8Tcm_Frequency,0.204
unstim_Bcells_155Gd_S6,0.195
unstim_gdT_168Er_pSTAT6,0.189
unstim_Granulocytes_155Gd_S6,0.186
unstim_Baso_Frequency,0.184
unstim_CD4Tnaive_150Nd_STAT5,0.178
unstim_Th17_168Er_pSTAT6,0.165
unstim_Th2_Frequency,0.157
unstim_NK_Frequency,0.153
unstim_CD4Trm_150Nd_STAT5,0.148
unstim_Th1naive_164Dy_IkB,0.141
unstim_CD4Tcm_Frequency,0.121
unstim_Th1naive_151Eu_p38,0.119
unstim_pDC_Frequency,0.117
unstim_Bcells_Frequency,0.113
unstim_CD56brightCD16negNK_Frequency,0.112
unstim_CD56dimCD16posNK_Frequency,0.11
unstim_DC_166Er_NFkB,0.109
unstim_CD56brightCD16negNK_166Er_NFkB,0.109
unstim_Th1naive_168Er_pSTAT6,0.106
unstim_CXCR4neutro_155Gd_S6,0.105
unstim_Baso_164Dy_IkB,0.097
unstim_Th1mem_168Er_pSTAT6,0.095
unstim_gdT_Frequency,0.089
unstim_NKT_Frequency,0.089
unstim_Th1mem_150Nd_STAT5,0.087
unstim_CD8Tem_Frequency,0.086
unstim_CXCR4neutro_154Sm_STAT3,0.081
unstim_Tregnaive_167Er_ERK,0.08
unstim_Baso_155Gd_S6,0.08
unstim_Th1naive_153Eu_STAT1,0.076
unstim_Th1naive_154Sm_STAT3,0.075
unstim_pDC_166Er_NFkB,0.075
unstim_CD8Tnaive_Frequency,0.072
unstim_CD8Tem_149Sm_CREB,0.071
unstim_Th1naive_166Er_NFkB,0.07
unstim_gdT_166Er_NFkB,0.07
unstim_Tregnaive_168Er_pSTAT6,0.069
unstim_DC_155Gd_S6,0.068
unstim_Th1mem_154Sm_STAT3,0.068
unstim_CXCR4neutro_150Nd_STAT5,0.067
unstim_Th2_150Nd_STAT5,0.065
unstim_intMC_Frequency,0.06
unstim_Th1naive_155Gd_S6,0.056
unstim_Granulocytes_154Sm_STAT3,0.055
unstim_Tregmem_Frequency,0.055
unstim_Granulocytes_166Er_NFkB,0.052
unstim_Baso_150Nd_STAT5,0.05
unstim_CXCR4neutro_159Tb_MAPKAPK2,0.047
unstim_Th1_168Er_pSTAT6,0.045
unstim_Tregnaive_166Er_NFkB,0.044
unstim_mDC_164Dy_IkB,0.041
unstim_DC_Frequency,0.037
unstim_Tregnaive_155Gd_S6,0.036
unstim_Th1naive_159Tb_MAPKAPK2,0.035
unstim_MDSC_Frequency,0.032
unstim_Th17_Frequency,0.031
unstim_Tregnaive_154Sm_STAT3,0.03
unstim_Granulocytes_Frequency,0.03
unstim_CD4Tem_168Er_pSTAT6,0.03
unstim_Th1mem_149Sm_CREB,0.029
unstim_Tregnaive_Frequency,0.029
unstim_cMC_154Sm_STAT3,0.028
unstim_MDSC_166Er_NFkB,0.028
unstim_Th2_159Tb_MAPKAPK2,0.028
unstim_Th1_151Eu_p38,0.028
unstim_mDC_Frequency,0.027
unstim_CD4Trm_168Er_pSTAT6,0.027
unstim_CD4Tem_Frequency,0.024
unstim_mDC_166Er_NFkB,0.024
unstim_CXCR4neutro_149Sm_CREB,0.023
unstim_pDC_159Tb_MAPKAPK2,0.023
unstim_Th1_155Gd_S6,0.023
unstim_CXCR4neutro_Frequency,0.022
unstim_Th1mem_164Dy_IkB,0.021
unstim_Th1mem_155Gd_S6,0.021
unstim_cMC_166Er_NFkB,0.02
unstim_CD8T_Frequency,0.019
unstim_NKT_168Er_pSTAT6,0.019
unstim_Tregnaive_149Sm_CREB,0.019
unstim_CD8Trm_166Er_NFkB,0.019
unstim_CD8Tcm_149Sm_CREB,0.018
unstim_CD4T_154Sm_STAT3,0.018
unstim_Th1mem_Frequency,0.018
unstim_Th1mem_151Eu_p38,0.017
unstim_cMC_167Er_ERK,0.016
unstim_pDC_164Dy_IkB,0.016
unstim_Th17_150Nd_STAT5,0.016
unstim_Th1_Frequency,0.015
unstim_Th1mem_153Eu_STAT1,0.015
unstim_CD8Tcm_166Er_NFkB,0.014
unstim_Baso_166Er_NFkB,0.014
unstim_Th1_149Sm_CREB,0.014
unstim_mDC_167Er_ERK,0.013
unstim_CXCR4neutro_164Dy_IkB,0.013
unstim_gdT_159Tb_MAPKAPK2,0.011
unstim_CD4Trm_164Dy_IkB,0.011
unstim_Th1_154Sm_STAT3,0.011
unstim_Th1_164Dy_IkB,0.011
unstim_Th2_166Er_NFkB,0.01
unstim_DC_159Tb_MAPKAPK2,0.009
unstim_Th1mem_166Er_NFkB,0.009
unstim_Th2_149Sm_CREB,0.009
unstim_CD4Tnaive_154Sm_STAT3,0.008
unstim_mDC_155Gd_S6,0.008
unstim_MDSC_154Sm_STAT3,0.007
unstim_intMC_155Gd_S6,0.007
unstim_CD4T_Frequency,0.007
unstim_NK_166Er_NFkB,0.006
unstim_cMC_Frequency,0.006
unstim_mDC_154Sm_STAT3,0.006
unstim_Th1_153Eu_STAT1,0.006
unstim_ncMC_151Eu_p38,0.006
unstim_CD56brightCD16negNK_164Dy_IkB,0.005
unstim_DC_164Dy_IkB,0.005
unstim_CXCR4neutro_166Er_NFkB,0.005
unstim_Th1mem_159Tb_MAPKAPK2,0.005
unstim_Treg_Frequency,0.005
unstim_CD8T_149Sm_CREB,0.005
unstim_Th2_168Er_pSTAT6,0.005
unstim_NKT_166Er_NFkB,0.004
unstim_CD8Tnaive_149Sm_CREB,0.004
unstim_CD56brightCD16negNK_149Sm_CREB,0.004
unstim_Th1_159Tb_MAPKAPK2,0.004
unstim_CD4Trm_149Sm_CREB,0.003
unstim_Th2_164Dy_IkB,0.003
unstim_Granulocytes_149Sm_CREB,0.003
unstim_CD4Trm_166Er_NFkB,0.003
unstim_Bcells_166Er_NFkB,0.003
unstim_ncMC_159Tb_MAPKAPK2,0.002
unstim_ncMC_166Er_NFkB,0.002
unstim_Tregnaive_159Tb_MAPKAPK2,0.002
unstim_ncMC_155Gd_S6,0.002
unstim_CD56dimCD16posNK_166Er_NFkB,0.002
unstim_gdT_149Sm_CREB,0.002
unstim_CD4Tcm_154Sm_STAT3,0.002
unstim_Th17_149Sm_CREB,0.002
unstim_Treg_149Sm_CREB,0.002
unstim_Tregmem_149Sm_CREB,0.001
unstim_CD4Tem_149Sm_CREB,0.001
unstim_Bcells_149Sm_CREB,0.001
unstim_NK_149Sm_CREB,0.001
unstim_NKT_159Tb_MAPKAPK2,0.001
unstim_MDSC_151Eu_p38,0.001
unstim_pDC_149Sm_CREB,0.001
unstim_Th1_166Er_NFkB,0.001
unstim_ncMC_164Dy_IkB,0.001
unstim_mDC_151Eu_p38,0.001
unstim_CD4Tcm_159Tb_MAPKAPK2,0.001
unstim_CD4T_150Nd_STAT5,0.001
unstim_CD4T_149Sm_CREB,0.001
unstim_CD4Tnaive_166Er_NFkB,0.0
unstim_CD4Tnaive_164Dy_IkB,0.0
unstim_CD4Trm_159Tb_MAPKAPK2,0.0
unstim_CD56brightCD16negNK_159Tb_MAPKAPK2,0.0
unstim_CD4T_159Tb_MAPKAPK2,0.0
unstim_CD4T_164Dy_IkB,0.0
unstim_CD4Tnaive_159Tb_MAPKAPK2,0.0
unstim_CD4Tnaive_149Sm_CREB,0.0
unstim_Bcells_159Tb_MAPKAPK2,0.0
unstim_Bcells_164Dy_IkB,0.0
unstim_Baso_149Sm_CREB,0.0
unstim_CD4T_166Er_NFkB,0.0
unstim_mDC_149Sm_CREB,0.0
unstim_intMC_167Er_ERK,0.0
unstim_intMC_166Er_NFkB,0.0
unstim_intMC_164Dy_IkB,0.0
unstim_intMC_151Eu_p38,0.0
unstim_intMC_159Tb_MAPKAPK2,0.0
unstim_Granulocytes_164Dy_IkB,0.0
unstim_intMC_149Sm_CREB,0.0
unstim_DC_149Sm_CREB,0.0
unstim_gdT_164Dy_IkB,0.0
unstim_CD56dimCD16posNK_159Tb_MAPKAPK2,0.0
unstim_CD8T_166Er_NFkB,0.0
unstim_CD8T_164Dy_IkB,0.0
unstim_CD8T_159Tb_MAPKAPK2,0.0
unstim_CD56dimCD16posNK_164Dy_IkB,0.0
unstim_CD56dimCD16posNK_149Sm_CREB,0.0
unstim_CD8Tem_164Dy_IkB,0.0
unstim_CD8Tem_159Tb_MAPKAPK2,0.0
unstim_CD8Tcm_159Tb_MAPKAPK2,0.0
unstim_CD8Tcm_164Dy_IkB,0.0
unstim_CD8Tnaive_166Er_NFkB,0.0
unstim_CD8Tem_166Er_NFkB,0.0
unstim_CD8Tnaive_159Tb_MAPKAPK2,0.0
unstim_CD8Tnaive_164Dy_IkB,0.0
unstim_CD8Trm_164Dy_IkB,0.0
unstim_CD8Trm_159Tb_MAPKAPK2,0.0
unstim_CD8Trm_149Sm_CREB,0.0
unstim_cMC_149Sm_CREB,0.0
unstim_cMC_151Eu_p38,0.0
unstim_cMC_155Gd_S6,0.0
unstim_cMC_159Tb_MAPKAPK2,0.0
unstim_cMC_164Dy_IkB,0.0
unstim_CD4Tem_166Er_NFkB,0.0
