,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,5.296784365782514e-05,5.4276984883472323e-05,9.18786390684545e-05,5.656650955643272e-06,0.0,5.296784365782514e-05,5.4276984883472323e-05,9.18786390684545e-05,5.656650955643272e-06,0.0,5.296784365782514e-05,5.4276984883472323e-05,9.18786390684545e-05,5.656650955643272e-06,0.0
artificial.3,0.0005450435564853251,0.0002790341095533222,2.8916989322169684e-05,2.5477302187937312e-05,0.0,0.0005450435564853251,0.0002790341095533222,2.8916989322169684e-05,2.5477302187937312e-05,0.0,0.0005450435564853251,0.0002790341095533222,2.8916989322169684e-05,2.5477302187937312e-05,0.0
artificial.4,0.0005047862650826573,0.0005875704227946699,0.0005826779524795711,0.0004954549949616194,0.0003696443745866418,0.0005047862650826573,0.0005875704227946699,0.0005826779524795711,0.0004954549949616194,0.0003696443745866418,0.0005047862650826573,0.0005875704227946699,0.0005826779524795711,0.0004954549949616194,0.0003696443745866418
artificial.5,0.014476308599114418,0.013215357437729836,0.009883780032396317,0.007250828202813864,0.004603413864970207,0.014476308599114418,0.013215357437729836,0.009883780032396317,0.007250828202813864,0.004603413864970207,0.014476308599114418,0.013215357437729836,0.009883780032396317,0.007250828202813864,0.004603413864970207
artificial.6,0.00233845179900527,0.0012559014139696956,0.0003606448299251497,0.0010417113080620766,0.0008462758269160986,0.00233845179900527,0.0012559014139696956,0.0003606448299251497,0.0010417113080620766,0.0008462758269160986,0.00233845179900527,0.0012559014139696956,0.0003606448299251497,0.0010417113080620766,0.0008462758269160986
artificial.7,0.0023694070987403393,0.0022804136388003826,0.0016146033303812146,0.001593004446476698,0.0005876821815036237,0.0023694070987403393,0.0022804136388003826,0.0016146033303812146,0.001593004446476698,0.0005876821815036237,0.0023694070987403393,0.0022804136388003826,0.0016146033303812146,0.001593004446476698,0.0005876821815036237
artificial.8,0.0008230200037360191,0.0011319941841065884,0.0008976448443718255,0.00027968414360657334,0.0002037471131188795,0.0008230200037360191,0.0011319941841065884,0.0008976448443718255,0.00027968414360657334,0.0002037471131188795,0.0008230200037360191,0.0011319941841065884,0.0008976448443718255,0.00027968414360657334,0.0002037471131188795
artificial.9,0.0009676632471382618,0.0,0.00026144672301597893,0.00010305792966391891,0.0,0.0009676632471382618,0.0,0.00026144672301597893,0.00010305792966391891,0.0,0.0009676632471382618,0.0,0.00026144672301597893,0.00010305792966391891,0.0
artificial.10,0.00013390008825808764,0.0,2.8094062145100906e-05,0.00014077583909966052,0.00035884513636119664,0.00013390008825808764,0.0,2.8094062145100906e-05,0.00014077583909966052,0.00035884513636119664,0.00013390008825808764,0.0,2.8094062145100906e-05,0.00014077583909966052,0.00035884513636119664
artificial.11,0.0007641339325346053,0.0005873374175280333,0.0005086129531264305,0.00011370620632078499,0.00023950917238835245,0.0007641339325346053,0.0005873374175280333,0.0005086129531264305,0.00011370620632078499,0.00023950917238835245,0.0007641339325346053,0.0005873374175280333,0.0005086129531264305,0.00011370620632078499,0.00023950917238835245
artificial.12,0.0003393560473341495,0.0008530262857675552,0.0007074077730067074,0.0007146563148126006,0.0006737791118212044,0.0003393560473341495,0.0008530262857675552,0.0007074077730067074,0.0007146563148126006,0.0006737791118212044,0.0003393560473341495,0.0008530262857675552,0.0007074077730067074,0.0007146563148126006,0.0006737791118212044
artificial.13,0.0023638445418328047,0.002570647746324539,0.0021907531190663576,0.0019247608724981546,0.0,0.0023638445418328047,0.002570647746324539,0.0021907531190663576,0.0019247608724981546,0.0,0.0023638445418328047,0.002570647746324539,0.0021907531190663576,0.0019247608724981546,0.0
artificial.14,0.015337977558374405,0.015660252422094345,0.01326492428779602,0.010043051093816757,0.0060223545879125595,0.015337977558374405,0.015660252422094345,0.01326492428779602,0.010043051093816757,0.0060223545879125595,0.015337977558374405,0.015660252422094345,0.01326492428779602,0.010043051093816757,0.0060223545879125595
artificial.15,0.0,8.905959839466959e-05,0.00011984776938334107,6.61934755044058e-05,0.00010880074114538729,0.0,8.905959839466959e-05,0.00011984776938334107,6.61934755044058e-05,0.00010880074114538729,0.0,8.905959839466959e-05,0.00011984776938334107,6.61934755044058e-05,0.00010880074114538729
