,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.005369195248931646,0.005102969706058502,0.0037214888725429773,0.0034960247576236725,0.0052957842126488686,0.005369195248931646,0.005102969706058502,0.0037214888725429773,0.0034960247576236725,0.0052957842126488686,0.005369195248931646,0.005102969706058502,0.0037214888725429773,0.0034960247576236725,0.0052957842126488686
artificial.2,0.003542562248185277,0.0033637306187301874,0.0029503400437533855,0.0019040158949792385,0.0,0.003542562248185277,0.0033637306187301874,0.0029503400437533855,0.0019040158949792385,0.0,0.003542562248185277,0.0033637306187301874,0.0029503400437533855,0.0019040158949792385,0.0
artificial.3,0.00014590544742532074,0.0004833369457628578,0.000266729126451537,0.00023462834360543638,0.0006417505210265517,0.00014590544742532074,0.0004833369457628578,0.000266729126451537,0.00023462834360543638,0.0006417505210265517,0.00014590544742532074,0.0004833369457628578,0.000266729126451537,0.00023462834360543638,0.0006417505210265517
artificial.4,0.0003934497945010662,0.000906046130694449,0.0004494233871810138,0.0003244177787564695,0.00020042859250679612,0.0003934497945010662,0.000906046130694449,0.0004494233871810138,0.0003244177787564695,0.00020042859250679612,0.0003934497945010662,0.000906046130694449,0.0004494233871810138,0.0003244177787564695,0.00020042859250679612
artificial.5,0.02513551153242588,0.022308964282274246,0.01866322197020054,0.020454568788409233,0.0237580519169569,0.02513551153242588,0.022308964282274246,0.01866322197020054,0.020454568788409233,0.0237580519169569,0.02513551153242588,0.022308964282274246,0.01866322197020054,0.020454568788409233,0.0237580519169569
artificial.6,0.0006589042022824287,0.0008691457333043218,0.0005653679254464805,0.00011242909386055544,0.0,0.0006589042022824287,0.0008691457333043218,0.0005653679254464805,0.00011242909386055544,0.0,0.0006589042022824287,0.0008691457333043218,0.0005653679254464805,0.00011242909386055544,0.0
artificial.7,0.004654764197766781,0.005733228288590908,0.004302845802158117,0.0018882412696257234,0.00029385543894022703,0.004654764197766781,0.005733228288590908,0.004302845802158117,0.0018882412696257234,0.00029385543894022703,0.004654764197766781,0.005733228288590908,0.004302845802158117,0.0018882412696257234,0.00029385543894022703
artificial.8,0.008482631295919418,0.008405167609453201,0.005481532774865627,0.009246858768165112,0.012884663417935371,0.008482631295919418,0.008405167609453201,0.005481532774865627,0.009246858768165112,0.012884663417935371,0.008482631295919418,0.008405167609453201,0.005481532774865627,0.009246858768165112,0.012884663417935371
artificial.9,0.002749296370893717,0.0022013201378285885,0.0018483541207388043,0.001973626436665654,0.0023198495618999004,0.002749296370893717,0.0022013201378285885,0.0018483541207388043,0.001973626436665654,0.0023198495618999004,0.002749296370893717,0.0022013201378285885,0.0018483541207388043,0.001973626436665654,0.0023198495618999004
artificial.10,0.0014198977733030915,0.0017301448388025165,0.0011030909372493625,0.000515574705787003,0.0004674424126278609,0.0014198977733030915,0.0017301448388025165,0.0011030909372493625,0.000515574705787003,0.0004674424126278609,0.0014198977733030915,0.0017301448388025165,0.0011030909372493625,0.000515574705787003,0.0004674424126278609
artificial.11,0.02236681431531906,0.01874796859920025,0.011920318007469177,0.011025664396584034,0.006172581110149622,0.02236681431531906,0.01874796859920025,0.011920318007469177,0.011025664396584034,0.006172581110149622,0.02236681431531906,0.01874796859920025,0.011920318007469177,0.011025664396584034,0.006172581110149622
artificial.12,0.008553083054721355,0.010516065172851086,0.006582352798432112,0.004011042881757021,0.00026657144189812243,0.008553083054721355,0.010516065172851086,0.006582352798432112,0.004011042881757021,0.00026657144189812243,0.008553083054721355,0.010516065172851086,0.006582352798432112,0.004011042881757021,0.00026657144189812243
artificial.13,0.008352546021342278,0.009346859529614449,0.0073515018448233604,0.005342867691069841,0.0013092574663460255,0.008352546021342278,0.009346859529614449,0.0073515018448233604,0.005342867691069841,0.0013092574663460255,0.008352546021342278,0.009346859529614449,0.0073515018448233604,0.005342867691069841,0.0013092574663460255
artificial.14,0.00017057740478776395,0.00011092027125414461,5.800513827125542e-05,5.0584061682457104e-05,2.667464650585316e-05,0.00017057740478776395,0.00011092027125414461,5.800513827125542e-05,5.0584061682457104e-05,2.667464650585316e-05,0.00017057740478776395,0.00011092027125414461,5.800513827125542e-05,5.0584061682457104e-05,2.667464650585316e-05
artificial.15,0.027945101261138916,0.02646750584244728,0.026174599304795265,0.02428811602294445,0.024452049285173416,0.027945101261138916,0.02646750584244728,0.026174599304795265,0.02428811602294445,0.024452049285173416,0.027945101261138916,0.02646750584244728,0.026174599304795265,0.02428811602294445,0.024452049285173416
artificial.16,0.0019271037308499217,0.0014559563715010881,0.0020308333914726973,0.001733373268507421,0.002425002632662654,0.0019271037308499217,0.0014559563715010881,0.0020308333914726973,0.001733373268507421,0.002425002632662654,0.0019271037308499217,0.0014559563715010881,0.0020308333914726973,0.001733373268507421,0.002425002632662654
artificial.17,0.0025907300878316164,0.002441108226776123,0.0016862164484336972,0.001965576782822609,0.0015025872271507978,0.0025907300878316164,0.002441108226776123,0.0016862164484336972,0.001965576782822609,0.0015025872271507978,0.0025907300878316164,0.002441108226776123,0.0016862164484336972,0.001965576782822609,0.0015025872271507978
artificial.18,0.002465953351929784,0.0016559568466618657,0.0018152339616790414,0.001642113202251494,0.002688493812456727,0.002465953351929784,0.0016559568466618657,0.0018152339616790414,0.001642113202251494,0.002688493812456727,0.002465953351929784,0.0016559568466618657,0.0018152339616790414,0.001642113202251494,0.002688493812456727
artificial.19,0.001510708243586123,0.0014380953507497907,0.0014497918309643865,0.000922134262509644,0.0011020192177966237,0.001510708243586123,0.0014380953507497907,0.0014497918309643865,0.000922134262509644,0.0011020192177966237,0.001510708243586123,0.0014380953507497907,0.0014497918309643865,0.000922134262509644,0.0011020192177966237
artificial.20,0.2132522165775299,0.21998372673988342,0.1819142997264862,0.150994673371315,0.04234993830323219,0.2132522165775299,0.21998372673988342,0.1819142997264862,0.150994673371315,0.04234993830323219,0.2132522165775299,0.21998372673988342,0.1819142997264862,0.150994673371315,0.04234993830323219
artificial.21,0.011968530714511871,0.011174226179718971,0.00832972303032875,0.007887404412031174,0.0047407024540007114,0.011968530714511871,0.011174226179718971,0.00832972303032875,0.007887404412031174,0.0047407024540007114,0.011968530714511871,0.011174226179718971,0.00832972303032875,0.007887404412031174,0.0047407024540007114
artificial.22,0.0,8.006135612959042e-05,0.0,8.717319360584952e-06,0.0,0.0,8.006135612959042e-05,0.0,8.717319360584952e-06,0.0,0.0,8.006135612959042e-05,0.0,8.717319360584952e-06,0.0
artificial.23,0.008290913887321949,0.00717501062899828,0.005619745701551437,0.003015614813193679,8.061217522481456e-05,0.008290913887321949,0.00717501062899828,0.005619745701551437,0.003015614813193679,8.061217522481456e-05,0.008290913887321949,0.00717501062899828,0.005619745701551437,0.003015614813193679,8.061217522481456e-05
artificial.24,0.022748026996850967,0.02322329953312874,0.0193631649017334,0.014645158313214779,0.0039624301716685295,0.022748026996850967,0.02322329953312874,0.0193631649017334,0.014645158313214779,0.0039624301716685295,0.022748026996850967,0.02322329953312874,0.0193631649017334,0.014645158313214779,0.0039624301716685295
artificial.25,0.007557935081422329,0.00693882629275322,0.006705943960696459,0.00683929305523634,0.009898223914206028,0.007557935081422329,0.00693882629275322,0.006705943960696459,0.00683929305523634,0.009898223914206028,0.007557935081422329,0.00693882629275322,0.006705943960696459,0.00683929305523634,0.009898223914206028
artificial.26,0.014108500443398952,0.01595192775130272,0.013182357884943485,0.010721142403781414,0.006823583506047726,0.014108500443398952,0.01595192775130272,0.013182357884943485,0.010721142403781414,0.006823583506047726,0.014108500443398952,0.01595192775130272,0.013182357884943485,0.010721142403781414,0.006823583506047726
artificial.27,0.0005004426348023117,0.001502312603406608,0.0013029039837419987,0.0005170985241420567,0.00022637468646280468,0.0005004426348023117,0.001502312603406608,0.0013029039837419987,0.0005170985241420567,0.00022637468646280468,0.0005004426348023117,0.001502312603406608,0.0013029039837419987,0.0005170985241420567,0.00022637468646280468
artificial.28,3.491747338557616e-05,0.00010340708831790835,0.00016774816322140396,0.00013878170284442604,0.0004888844559900463,3.491747338557616e-05,0.00010340708831790835,0.00016774816322140396,0.00013878170284442604,0.0004888844559900463,3.491747338557616e-05,0.00010340708831790835,0.00016774816322140396,0.00013878170284442604,0.0004888844559900463
artificial.29,0.006979032885283232,0.005190310999751091,0.005942329298704863,0.005528483539819717,0.00507945753633976,0.006979032885283232,0.005190310999751091,0.005942329298704863,0.005528483539819717,0.00507945753633976,0.006979032885283232,0.005190310999751091,0.005942329298704863,0.005528483539819717,0.00507945753633976
artificial.30,0.007112432736903429,0.0065623437985777855,0.0066974228248000145,0.005349623505026102,0.008270669728517532,0.007112432736903429,0.0065623437985777855,0.0066974228248000145,0.005349623505026102,0.008270669728517532,0.007112432736903429,0.0065623437985777855,0.0066974228248000145,0.005349623505026102,0.008270669728517532
artificial.31,0.08273138105869293,0.0810660868883133,0.0759250819683075,0.08049304783344269,0.07653120160102844,0.08273138105869293,0.0810660868883133,0.0759250819683075,0.08049304783344269,0.07653120160102844,0.08273138105869293,0.0810660868883133,0.0759250819683075,0.08049304783344269,0.07653120160102844
artificial.32,0.0014715662691742182,0.0017163831507787108,0.0023147044703364372,0.0008926154696382582,0.0008256702567450702,0.0014715662691742182,0.0017163831507787108,0.0023147044703364372,0.0008926154696382582,0.0008256702567450702,0.0014715662691742182,0.0017163831507787108,0.0023147044703364372,0.0008926154696382582,0.0008256702567450702
artificial.33,0.0018333232728764415,0.0019498602487146854,0.0013553450116887689,0.0009079733863472939,0.00034077363670803607,0.0018333232728764415,0.0019498602487146854,0.0013553450116887689,0.0009079733863472939,0.00034077363670803607,0.0018333232728764415,0.0019498602487146854,0.0013553450116887689,0.0009079733863472939,0.00034077363670803607
artificial.34,0.0026985935401171446,0.0023928803857415915,0.002458154456689954,0.0012843996519222856,0.000489210884552449,0.0026985935401171446,0.0023928803857415915,0.002458154456689954,0.0012843996519222856,0.000489210884552449,0.0026985935401171446,0.0023928803857415915,0.002458154456689954,0.0012843996519222856,0.000489210884552449
artificial.35,0.002847085241228342,0.0025968400295823812,0.0017412808956578374,0.0016017189482226968,0.000760040245950222,0.002847085241228342,0.0025968400295823812,0.0017412808956578374,0.0016017189482226968,0.000760040245950222,0.002847085241228342,0.0025968400295823812,0.0017412808956578374,0.0016017189482226968,0.000760040245950222
artificial.36,0.07598923146724701,0.07004223763942719,0.06157710775732994,0.069602832198143,0.08843089640140533,0.07598923146724701,0.07004223763942719,0.06157710775732994,0.069602832198143,0.08843089640140533,0.07598923146724701,0.07004223763942719,0.06157710775732994,0.069602832198143,0.08843089640140533
artificial.37,0.003481233259662986,0.002632198855280876,0.0016849901294335723,0.0009482548921369016,5.310599226504564e-05,0.003481233259662986,0.002632198855280876,0.0016849901294335723,0.0009482548921369016,5.310599226504564e-05,0.003481233259662986,0.002632198855280876,0.0016849901294335723,0.0009482548921369016,5.310599226504564e-05
artificial.38,0.008824637159705162,0.008371928706765175,0.007241482380777597,0.0035020168870687485,0.002129489788785577,0.008824637159705162,0.008371928706765175,0.007241482380777597,0.0035020168870687485,0.002129489788785577,0.008824637159705162,0.008371928706765175,0.007241482380777597,0.0035020168870687485,0.002129489788785577
artificial.39,0.005455594509840012,0.005175740923732519,0.0039271279238164425,0.0026593145448714495,0.0022339499555528164,0.005455594509840012,0.005175740923732519,0.0039271279238164425,0.0026593145448714495,0.0022339499555528164,0.005455594509840012,0.005175740923732519,0.0039271279238164425,0.0026593145448714495,0.0022339499555528164
artificial.40,0.0030623015481978655,0.00365965417586267,0.002029626863077283,0.0009079487645067275,0.0,0.0030623015481978655,0.00365965417586267,0.002029626863077283,0.0009079487645067275,0.0,0.0030623015481978655,0.00365965417586267,0.002029626863077283,0.0009079487645067275,0.0
artificial.41,0.04429467394948006,0.04354894161224365,0.03594597801566124,0.023156389594078064,0.007363462820649147,0.04429467394948006,0.04354894161224365,0.03594597801566124,0.023156389594078064,0.007363462820649147,0.04429467394948006,0.04354894161224365,0.03594597801566124,0.023156389594078064,0.007363462820649147
artificial.42,0.01363429892808199,0.013161351904273033,0.010328564792871475,0.01288596447557211,0.015586508437991142,0.01363429892808199,0.013161351904273033,0.010328564792871475,0.01288596447557211,0.015586508437991142,0.01363429892808199,0.013161351904273033,0.010328564792871475,0.01288596447557211,0.015586508437991142
artificial.43,0.00012343372509349138,1.579273521201685e-05,0.00015668952255509794,0.0,0.0,0.00012343372509349138,1.579273521201685e-05,0.00015668952255509794,0.0,0.0,0.00012343372509349138,1.579273521201685e-05,0.00015668952255509794,0.0,0.0
artificial.44,0.008681761100888252,0.00947666447609663,0.005174847319722176,0.005988455377519131,0.0031175052281469107,0.008681761100888252,0.00947666447609663,0.005174847319722176,0.005988455377519131,0.0031175052281469107,0.008681761100888252,0.00947666447609663,0.005174847319722176,0.005988455377519131,0.0031175052281469107
artificial.45,0.0008618427673354745,0.0007603917620144784,0.0006094921263866127,0.0007093143067322671,0.0004572859324980527,0.0008618427673354745,0.0007603917620144784,0.0006094921263866127,0.0007093143067322671,0.0004572859324980527,0.0008618427673354745,0.0007603917620144784,0.0006094921263866127,0.0007093143067322671,0.0004572859324980527
artificial.46,0.00022013923444319516,0.0007150191231630743,0.00035328505327925086,0.00040027571958489716,0.0,0.00022013923444319516,0.0007150191231630743,0.00035328505327925086,0.00040027571958489716,0.0,0.00022013923444319516,0.0007150191231630743,0.00035328505327925086,0.00040027571958489716,0.0
artificial.47,0.0007008482934907079,0.0004297455889172852,0.000267171417362988,0.0,0.0,0.0007008482934907079,0.0004297455889172852,0.000267171417362988,0.0,0.0,0.0007008482934907079,0.0004297455889172852,0.000267171417362988,0.0,0.0
artificial.48,0.10529424250125885,0.10948209464550018,0.08427663892507553,0.07357771694660187,0.037185102701187134,0.10529424250125885,0.10948209464550018,0.08427663892507553,0.07357771694660187,0.037185102701187134,0.10529424250125885,0.10948209464550018,0.08427663892507553,0.07357771694660187,0.037185102701187134
artificial.49,0.024690041318535805,0.02385750412940979,0.016837483271956444,0.010894553735852242,0.0033284840174019337,0.024690041318535805,0.02385750412940979,0.016837483271956444,0.010894553735852242,0.0033284840174019337,0.024690041318535805,0.02385750412940979,0.016837483271956444,0.010894553735852242,0.0033284840174019337
artificial.50,0.00014000498049426824,0.0002284009096911177,0.0002669666428118944,0.0003945583594031632,2.654524359968491e-05,0.00014000498049426824,0.0002284009096911177,0.0002669666428118944,0.0003945583594031632,2.654524359968491e-05,0.00014000498049426824,0.0002284009096911177,0.0002669666428118944,0.0003945583594031632,2.654524359968491e-05
artificial.51,0.004916162695735693,0.0033261484932154417,0.002777520567178726,0.0038021444343030453,0.006696370430290699,0.004916162695735693,0.0033261484932154417,0.002777520567178726,0.0038021444343030453,0.006696370430290699,0.004916162695735693,0.0033261484932154417,0.002777520567178726,0.0038021444343030453,0.006696370430290699
artificial.52,0.0008224984048865736,0.0019850011449307203,0.0005781384534202516,0.0012512682005763054,0.0006316189537756145,0.0008224984048865736,0.0019850011449307203,0.0005781384534202516,0.0012512682005763054,0.0006316189537756145,0.0008224984048865736,0.0019850011449307203,0.0005781384534202516,0.0012512682005763054,0.0006316189537756145
artificial.53,0.0007518227212131023,0.0010060184868052602,0.0011152970837429166,0.000696358853019774,0.0,0.0007518227212131023,0.0010060184868052602,0.0011152970837429166,0.000696358853019774,0.0,0.0007518227212131023,0.0010060184868052602,0.0011152970837429166,0.000696358853019774,0.0
artificial.54,0.0041270749643445015,0.005765642039477825,0.004360923543572426,0.0020594061352312565,0.00027742196107283235,0.0041270749643445015,0.005765642039477825,0.004360923543572426,0.0020594061352312565,0.00027742196107283235,0.0041270749643445015,0.005765642039477825,0.004360923543572426,0.0020594061352312565,0.00027742196107283235
artificial.55,0.004357033409178257,0.003436298808082938,0.0032705413177609444,0.0024423180148005486,0.00086140853818506,0.004357033409178257,0.003436298808082938,0.0032705413177609444,0.0024423180148005486,0.00086140853818506,0.004357033409178257,0.003436298808082938,0.0032705413177609444,0.0024423180148005486,0.00086140853818506
artificial.56,0.0006859825807623565,0.0005484104040078819,0.0002493113570380956,0.0003506953944452107,4.2410636524436995e-05,0.0006859825807623565,0.0005484104040078819,0.0002493113570380956,0.0003506953944452107,4.2410636524436995e-05,0.0006859825807623565,0.0005484104040078819,0.0002493113570380956,0.0003506953944452107,4.2410636524436995e-05
artificial.57,0.022304978221654892,0.020787367597222328,0.01695421151816845,0.0181698277592659,0.015115689486265182,0.022304978221654892,0.020787367597222328,0.01695421151816845,0.0181698277592659,0.015115689486265182,0.022304978221654892,0.020787367597222328,0.01695421151816845,0.0181698277592659,0.015115689486265182
artificial.58,0.00855934340506792,0.0064472416415810585,0.0049377670511603355,0.008319261483848095,0.016182368621230125,0.00855934340506792,0.0064472416415810585,0.0049377670511603355,0.008319261483848095,0.016182368621230125,0.00855934340506792,0.0064472416415810585,0.0049377670511603355,0.008319261483848095,0.016182368621230125
artificial.59,0.0028651913162320852,0.0031502654310315847,0.003237510332837701,0.0012635596795007586,0.0008043312118388712,0.0028651913162320852,0.0031502654310315847,0.003237510332837701,0.0012635596795007586,0.0008043312118388712,0.0028651913162320852,0.0031502654310315847,0.003237510332837701,0.0012635596795007586,0.0008043312118388712
artificial.60,0.007022012956440449,0.007833084091544151,0.005077098961919546,0.0035689696669578552,0.001922319526784122,0.007022012956440449,0.007833084091544151,0.005077098961919546,0.0035689696669578552,0.001922319526784122,0.007022012956440449,0.007833084091544151,0.005077098961919546,0.0035689696669578552,0.001922319526784122
artificial.61,0.000797672662883997,0.0012276775669306517,0.0013491612626239657,0.0007574445335194468,0.00033041168353520334,0.000797672662883997,0.0012276775669306517,0.0013491612626239657,0.0007574445335194468,0.00033041168353520334,0.000797672662883997,0.0012276775669306517,0.0013491612626239657,0.0007574445335194468,0.00033041168353520334
artificial.62,0.010072886012494564,0.008340081200003624,0.006899191997945309,0.00730513222515583,0.0053975824266672134,0.010072886012494564,0.008340081200003624,0.006899191997945309,0.00730513222515583,0.0053975824266672134,0.010072886012494564,0.008340081200003624,0.006899191997945309,0.00730513222515583,0.0053975824266672134
artificial.63,0.0024633738212287426,0.001383440918289125,0.0020276824943721294,0.001466830144636333,0.0011770505225285888,0.0024633738212287426,0.001383440918289125,0.0020276824943721294,0.001466830144636333,0.0011770505225285888,0.0024633738212287426,0.001383440918289125,0.0020276824943721294,0.001466830144636333,0.0011770505225285888
artificial.64,0.0014258865267038345,0.0021977131254971027,0.00215285480953753,0.000996265560388565,0.0,0.0014258865267038345,0.0021977131254971027,0.00215285480953753,0.000996265560388565,0.0,0.0014258865267038345,0.0021977131254971027,0.00215285480953753,0.000996265560388565,0.0
