,Threshold,min FDP+
Fold n°1,0.6199999999999998,0.9058823529411765
Fold n°2,0.7899999999999996,0.6153846153846154
Fold n°3,0.6799999999999997,0.9242424242424242
Fold n°4,0.5299999999999998,0.8922155688622755
Fold n°5,0.17999999999999997,1.0
Fold n°6,0.8299999999999996,0.6666666666666666
Fold n°7,0.7899999999999996,0.8095238095238095
Fold n°8,0.8099999999999996,0.47058823529411764
Fold n°9,0.6499999999999997,0.6627906976744186
Fold n°10,0.8499999999999996,0.42857142857142855
Fold n°11,0.7599999999999997,0.8
Fold n°12,0.7899999999999996,0.85
Fold n°13,0.6699999999999997,0.8769230769230769
Fold n°14,0.8899999999999996,0.6666666666666666
Fold n°15,0.9299999999999996,0.5
Fold n°16,0.8899999999999996,0.6666666666666666
Fold n°17,0.8699999999999996,0.4444444444444444
Fold n°18,0.7199999999999996,0.7307692307692307
Fold n°19,0.8599999999999995,0.6666666666666666
Fold n°20,0.8499999999999996,0.5555555555555556
Fold n°21,0.8299999999999996,0.46153846153846156
Fold n°22,0.2699999999999999,0.9456521739130435
Fold n°23,0.7799999999999997,0.44
Fold n°24,0.9599999999999995,1.0
Fold n°25,0.6299999999999997,0.7833333333333333
Fold n°26,0.6899999999999997,0.5952380952380952
Fold n°27,0.8399999999999996,0.25
Fold n°28,0.9099999999999996,0.5
Fold n°29,0.7399999999999997,0.8529411764705882
Fold n°30,0.13,1.0
Fold n°31,0.9199999999999996,0.3333333333333333
Fold n°32,0.9099999999999996,0.42857142857142855
Fold n°33,0.6199999999999998,0.7079646017699115
Fold n°34,0.8099999999999996,0.2631578947368421
Fold n°35,0.6299999999999997,0.6890756302521008
Fold n°36,0.6999999999999996,0.8823529411764706
Fold n°37,0.6899999999999997,0.7857142857142857
Fold n°38,0.3199999999999999,0.9201520912547528
Fold n°39,0.6999999999999996,0.9777777777777777
Fold n°40,0.6699999999999997,0.6823529411764706
Fold n°41,0.6599999999999997,0.7659574468085106
Fold n°42,0.5999999999999998,0.8928571428571429
Fold n°43,0.7599999999999997,0.7352941176470589
Fold n°44,0.9399999999999996,0.25
Fold n°45,0.6199999999999998,0.8279569892473119
Fold n°46,0.6899999999999997,0.9833333333333333
Fold n°47,0.4999999999999998,0.9590643274853801
Fold n°48,0.9299999999999996,0.5
Fold n°49,0.7399999999999997,0.9393939393939394
Fold n°50,0.6099999999999998,0.7913043478260869
Fold n°51,0.6699999999999997,0.8266666666666667
Fold n°52,0.9099999999999996,0.25
Fold n°53,0.8399999999999996,0.3333333333333333
Fold n°54,0.7299999999999996,0.6274509803921569
Fold n°55,0.3199999999999999,0.9377289377289377
Fold n°56,0.7599999999999997,0.3684210526315789
Fold n°57,0.5899999999999997,0.9428571428571428
Fold n°58,0.19999999999999996,0.9746835443037974
Fold n°59,0.7499999999999997,0.75
Fold n°60,0.5099999999999998,0.8628571428571429
Fold n°61,0.6599999999999997,0.7333333333333333
Fold n°62,0.8999999999999996,0.5714285714285714
Fold n°63,0.8699999999999996,0.5
Fold n°64,0.8599999999999995,0.6
Fold n°65,0.7799999999999997,0.8148148148148148
Fold n°66,0.7899999999999996,0.5
Fold n°67,0.5199999999999998,0.9691358024691358
Fold n°68,0.6799999999999997,0.8695652173913043
Fold n°69,0.8599999999999995,0.6666666666666666
Fold n°70,0.8799999999999996,0.375
Fold n°71,0.6799999999999997,0.9180327868852459
Fold n°72,0.8099999999999996,0.5
Fold n°73,0.7799999999999997,0.7692307692307693
Fold n°74,0.3799999999999999,0.8983050847457628
Fold n°75,0.6399999999999997,0.5822784810126582
Fold n°76,0.7899999999999996,0.6842105263157895
Fold n°77,0.8799999999999996,0.375
Fold n°78,0.8899999999999996,0.16666666666666666
Fold n°79,0.34999999999999987,0.95
Fold n°80,0.5799999999999997,0.8518518518518519
Fold n°81,0.6399999999999997,0.8586956521739131
Fold n°82,0.8499999999999996,0.15384615384615385
Fold n°83,0.8199999999999996,0.3888888888888889
Fold n°84,0.9099999999999996,0.16666666666666666
Fold n°85,0.8999999999999996,0.3333333333333333
Fold n°86,0.5299999999999998,0.9375
Fold n°87,0.9099999999999996,0.6666666666666666
Fold n°88,0.5899999999999997,0.7804878048780488
Fold n°89,0.9599999999999995,0.5
Fold n°90,0.7299999999999996,0.6046511627906976
Fold n°91,0.6699999999999997,0.7045454545454546
Fold n°92,0.8999999999999996,0.75
Fold n°93,0.7099999999999996,0.6909090909090909
Fold n°94,0.5899999999999997,0.7321428571428571
Fold n°95,0.8599999999999995,0.125
Fold n°96,1.0,1.0065359477124183
Fold n°97,0.7399999999999997,0.625
Fold n°98,0.5899999999999997,0.8
Fold n°99,0.8299999999999996,0.4
Fold n°100,0.5399999999999998,0.9371069182389937
