,Threshold,min FDP+
Fold n°1,0.21999999999999995,0.14285714285714285
Fold n°2,0.13999999999999999,0.04
Fold n°3,0.16999999999999998,0.06666666666666667
Fold n°4,0.30999999999999994,0.14285714285714285
Fold n°5,0.19999999999999996,0.07692307692307693
Fold n°6,0.22999999999999995,0.09090909090909091
Fold n°7,0.15999999999999998,0.05263157894736842
Fold n°8,0.20999999999999996,0.2
Fold n°9,0.14999999999999997,0.1
Fold n°10,0.18999999999999995,0.23076923076923078
Fold n°11,0.15999999999999998,0.05
Fold n°12,0.22999999999999995,0.08333333333333333
Fold n°13,0.14999999999999997,0.043478260869565216
Fold n°14,0.17999999999999997,0.05555555555555555
Fold n°15,0.2899999999999999,0.1111111111111111
Fold n°16,0.15999999999999998,0.058823529411764705
Fold n°17,0.11,0.03571428571428571
Fold n°18,0.18999999999999995,0.0625
Fold n°19,0.15999999999999998,0.058823529411764705
Fold n°20,0.15999999999999998,0.09523809523809523
Fold n°21,0.20999999999999996,0.06666666666666667
Fold n°22,0.14999999999999997,0.16666666666666666
Fold n°23,0.23999999999999994,0.1
Fold n°24,0.18999999999999995,0.05
Fold n°25,0.13,0.15
Fold n°26,0.17999999999999997,0.05555555555555555
Fold n°27,0.13,0.13043478260869565
Fold n°28,0.2699999999999999,0.16666666666666666
Fold n°29,0.19999999999999996,0.06666666666666667
Fold n°30,0.19999999999999996,0.0625
Fold n°31,0.17999999999999997,0.047619047619047616
Fold n°32,0.15999999999999998,0.05
Fold n°33,0.17999999999999997,0.09090909090909091
Fold n°34,0.20999999999999996,0.07142857142857142
Fold n°35,0.15999999999999998,0.1
Fold n°36,0.19999999999999996,0.1
Fold n°37,0.20999999999999996,0.2
Fold n°38,0.23999999999999994,0.08333333333333333
Fold n°39,0.2599999999999999,0.125
Fold n°40,0.2799999999999999,0.2
Fold n°41,0.18999999999999995,0.07692307692307693
Fold n°42,0.17999999999999997,0.13333333333333333
Fold n°43,0.11,0.09090909090909091
Fold n°44,0.13,0.07407407407407407
Fold n°45,0.20999999999999996,0.16666666666666666
Fold n°46,0.2599999999999999,0.1111111111111111
Fold n°47,0.14999999999999997,0.17391304347826086
Fold n°48,0.14999999999999997,0.045454545454545456
Fold n°49,0.16999999999999998,0.05555555555555555
Fold n°50,0.2799999999999999,0.1111111111111111
Fold n°51,0.22999999999999995,0.1111111111111111
Fold n°52,0.17999999999999997,0.05263157894736842
Fold n°53,0.22999999999999995,0.09090909090909091
Fold n°54,0.20999999999999996,0.07142857142857142
Fold n°55,0.24999999999999992,0.1
Fold n°56,0.13,0.16
Fold n°57,0.2699999999999999,0.1111111111111111
Fold n°58,0.16999999999999998,0.058823529411764705
Fold n°59,0.2799999999999999,0.1111111111111111
Fold n°60,0.20999999999999996,0.058823529411764705
Fold n°61,0.15999999999999998,0.1111111111111111
Fold n°62,0.21999999999999995,0.07692307692307693
Fold n°63,0.2899999999999999,0.25
Fold n°64,0.24999999999999992,0.1
Fold n°65,0.22999999999999995,0.09090909090909091
Fold n°66,0.1,0.12121212121212122
Fold n°67,0.20999999999999996,0.09090909090909091
Fold n°68,0.20999999999999996,0.21428571428571427
Fold n°69,0.16999999999999998,0.045454545454545456
Fold n°70,0.22999999999999995,0.07142857142857142
Fold n°71,0.21999999999999995,0.2
Fold n°72,0.16999999999999998,0.05555555555555555
Fold n°73,0.2899999999999999,0.14285714285714285
Fold n°74,0.13,0.09523809523809523
Fold n°75,0.13,0.07692307692307693
Fold n°76,0.24999999999999992,0.1
Fold n°77,0.20999999999999996,0.07692307692307693
Fold n°78,0.16999999999999998,0.15789473684210525
Fold n°79,0.17999999999999997,0.1111111111111111
Fold n°80,0.18999999999999995,0.06666666666666667
Fold n°81,0.2599999999999999,0.1
Fold n°82,0.16999999999999998,0.0625
Fold n°83,0.21999999999999995,0.25
Fold n°84,0.13,0.12903225806451613
Fold n°85,0.19999999999999996,0.125
Fold n°86,0.16999999999999998,0.05263157894736842
Fold n°87,0.2599999999999999,0.125
Fold n°88,0.18999999999999995,0.05555555555555555
Fold n°89,0.16999999999999998,0.16666666666666666
Fold n°90,0.1,0.0625
Fold n°91,0.23999999999999994,0.1
Fold n°92,0.2599999999999999,0.125
Fold n°93,0.21999999999999995,0.08333333333333333
Fold n°94,0.2799999999999999,0.14285714285714285
Fold n°95,0.17999999999999997,0.07692307692307693
Fold n°96,0.1,0.12121212121212122
Fold n°97,0.17999999999999997,0.1875
Fold n°98,0.18999999999999995,0.06666666666666667
Fold n°99,0.20999999999999996,0.07142857142857142
Fold n°100,0.19999999999999996,0.09090909090909091
