,"{'C': np.float64(0.01), 'l1_ratio': 0.5}","{'C': np.float64(0.01), 'l1_ratio': 0.9}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.5}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.9}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.5}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.9}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.5}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.9}","{'C': np.float64(10.0), 'l1_ratio': 0.5}","{'C': np.float64(10.0), 'l1_ratio': 0.9}"
artificial.1,0.0,0.0,0.02,0.0,0.2,0.056666666666666664,0.2966666666666667,0.14,0.6233333333333333,0.3933333333333333
artificial.2,0.0,0.0,0.0,0.0,0.0,0.0,0.056666666666666664,0.0033333333333333335,0.38666666666666666,0.18
artificial.3,0.0,0.0,0.0,0.0,0.13,0.05333333333333334,0.2833333333333333,0.13333333333333333,0.5533333333333333,0.34
artificial.4,0.0,0.0,0.0,0.0,0.08,0.016666666666666666,0.18,0.08666666666666667,0.4766666666666667,0.28
artificial.5,0.0,0.0,0.0,0.0,0.03,0.0033333333333333335,0.14333333333333334,0.03,0.42,0.20666666666666667
artificial.6,0.0,0.0,0.0033333333333333335,0.0,0.20666666666666667,0.08666666666666667,0.4033333333333333,0.25,0.62,0.4666666666666667
artificial.7,0.0,0.0,0.03666666666666667,0.0,0.3,0.15666666666666668,0.41333333333333333,0.23333333333333334,0.7,0.4633333333333333
artificial.8,0.0,0.0,0.02666666666666667,0.0,0.33666666666666667,0.19333333333333333,0.49,0.36,0.65,0.5033333333333333
artificial.9,0.0,0.0,0.01,0.0,0.35,0.07666666666666666,0.51,0.25333333333333335,0.7066666666666667,0.55
artificial.10,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.04666666666666667,0.006666666666666667,0.36,0.13333333333333333
artificial.11,0.0,0.0,0.0,0.0,0.04666666666666667,0.0,0.18,0.08666666666666667,0.49333333333333335,0.28
artificial.12,0.0,0.0,0.0,0.0,0.44333333333333336,0.18,0.5966666666666667,0.36666666666666664,0.76,0.6433333333333333
artificial.13,0.0,0.0,0.04666666666666667,0.0,0.4266666666666667,0.25666666666666665,0.5433333333333333,0.43,0.7466666666666667,0.56
artificial.14,0.0,0.0,0.0,0.0,0.043333333333333335,0.006666666666666667,0.16333333333333333,0.06,0.44333333333333336,0.2
artificial.15,0.0,0.0,0.01,0.0,0.14666666666666667,0.06,0.31,0.20333333333333334,0.62,0.39
artificial.16,0.0,0.0,0.0033333333333333335,0.0,0.18,0.06,0.4633333333333333,0.28,0.6633333333333333,0.5333333333333333
artificial.17,0.0,0.0,0.0,0.0,0.03,0.0033333333333333335,0.1,0.016666666666666666,0.42333333333333334,0.17333333333333334
artificial.18,0.0,0.0,0.0,0.0,0.16666666666666666,0.023333333333333334,0.32666666666666666,0.16666666666666666,0.64,0.41333333333333333
artificial.19,0.0,0.0,0.0,0.0,0.06,0.006666666666666667,0.19333333333333333,0.06,0.5866666666666667,0.33666666666666667
artificial.20,0.0,0.0,0.043333333333333335,0.0,0.6666666666666666,0.38,0.8033333333333333,0.6366666666666667,0.89,0.8
artificial.21,0.0,0.0,0.0033333333333333335,0.0,0.16,0.06666666666666667,0.36666666666666664,0.2,0.6166666666666667,0.4266666666666667
artificial.22,0.0,0.0,0.0,0.0,0.05,0.0033333333333333335,0.19666666666666666,0.06333333333333334,0.5866666666666667,0.4066666666666667
artificial.23,0.0,0.0,0.0,0.0,0.19,0.03,0.4,0.15666666666666668,0.67,0.44
artificial.24,0.0,0.0,0.0,0.0,0.05,0.013333333333333334,0.13,0.05,0.38333333333333336,0.18
artificial.25,0.0,0.0,0.0033333333333333335,0.0,0.22666666666666666,0.06666666666666667,0.47333333333333333,0.27666666666666667,0.8066666666666666,0.64
artificial.26,0.0,0.0,0.0033333333333333335,0.0,0.11,0.056666666666666664,0.29,0.13666666666666666,0.5266666666666666,0.3233333333333333
artificial.27,0.0,0.0,0.0033333333333333335,0.0,0.1,0.02,0.23666666666666666,0.12333333333333334,0.6133333333333333,0.3566666666666667
artificial.28,0.0,0.0,0.01,0.0,0.13666666666666666,0.043333333333333335,0.19333333333333333,0.07,0.43,0.22666666666666666
artificial.29,0.0,0.0,0.0,0.0,0.04,0.0033333333333333335,0.14,0.023333333333333334,0.4866666666666667,0.27
artificial.30,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0033333333333333335,0.15,0.03
artificial.31,0.0,0.0,0.0,0.0,0.1,0.02666666666666667,0.21666666666666667,0.08,0.49,0.27
artificial.32,0.0,0.0,0.0033333333333333335,0.0,0.11333333333333333,0.02666666666666667,0.3,0.13333333333333333,0.63,0.4033333333333333
artificial.33,0.0,0.0,0.0,0.0,0.1,0.02,0.16666666666666666,0.07333333333333333,0.34,0.17666666666666667
artificial.34,0.0,0.0,0.0,0.0,0.08,0.01,0.35333333333333333,0.14333333333333334,0.6,0.46
artificial.35,0.0,0.0,0.0,0.0,0.03,0.0,0.18,0.06666666666666667,0.5533333333333333,0.2866666666666667
artificial.36,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.1,0.03333333333333333,0.48,0.23666666666666666
artificial.37,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.15333333333333332,0.043333333333333335,0.5766666666666667,0.29
artificial.38,0.0,0.0,0.0,0.0,0.023333333333333334,0.0,0.19,0.07,0.7133333333333334,0.38333333333333336
artificial.39,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0033333333333333335,0.5333333333333333,0.23
artificial.40,0.0,0.0,0.0,0.0,0.02666666666666667,0.006666666666666667,0.12,0.02666666666666667,0.43333333333333335,0.18666666666666668
artificial.41,0.0,0.0,0.0,0.0,0.18,0.02666666666666667,0.38333333333333336,0.17,0.66,0.5033333333333333
artificial.42,0.0,0.0,0.0033333333333333335,0.0,0.05333333333333334,0.013333333333333334,0.25,0.08333333333333333,0.53,0.31333333333333335
artificial.43,0.0,0.0,0.013333333333333334,0.0,0.2,0.06666666666666667,0.39,0.17,0.6733333333333333,0.5033333333333333
artificial.44,0.0,0.0,0.0,0.0,0.08666666666666667,0.006666666666666667,0.13333333333333333,0.03333333333333333,0.43,0.20333333333333334
artificial.45,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.013333333333333334,0.0033333333333333335,0.25333333333333335,0.056666666666666664
artificial.46,0.0,0.0,0.0,0.0,0.023333333333333334,0.0,0.11,0.013333333333333334,0.46,0.22333333333333333
artificial.47,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.09,0.016666666666666666,0.4166666666666667,0.16666666666666666
artificial.48,0.0,0.0,0.01,0.0,0.12666666666666668,0.04,0.22333333333333333,0.10333333333333333,0.5133333333333333,0.28
artificial.49,0.0,0.0,0.0,0.0,0.10333333333333333,0.043333333333333335,0.25,0.11666666666666667,0.5733333333333334,0.3933333333333333
artificial.50,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0033333333333333335,0.2733333333333333,0.1
artificial.51,0.0,0.0,0.0,0.0,0.02,0.0,0.09666666666666666,0.03,0.37,0.13666666666666666
artificial.52,0.0,0.0,0.0,0.0,0.08666666666666667,0.02,0.16333333333333333,0.06,0.4633333333333333,0.18666666666666668
artificial.53,0.0,0.0,0.0033333333333333335,0.0,0.16,0.05,0.34,0.15333333333333332,0.5366666666666666,0.36
artificial.54,0.0,0.0,0.0,0.0,0.16,0.05333333333333334,0.2966666666666667,0.15,0.5766666666666667,0.37
artificial.55,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.15666666666666668,0.04666666666666667,0.42333333333333334,0.19333333333333333
artificial.56,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.31666666666666665,0.10333333333333333
artificial.57,0.0,0.0,0.0,0.0,0.28,0.07333333333333333,0.42,0.22,0.63,0.41333333333333333
artificial.58,0.0,0.0,0.0033333333333333335,0.0,0.26666666666666666,0.08666666666666667,0.42,0.24,0.6833333333333333,0.48
artificial.59,0.0,0.0,0.056666666666666664,0.0,0.5533333333333333,0.4166666666666667,0.6766666666666666,0.58,0.7833333333333333,0.67
artificial.60,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666,0.06,0.19,0.08333333333333333,0.49666666666666665,0.23666666666666666
artificial.61,0.0,0.0,0.0,0.0,0.02,0.0,0.11,0.02666666666666667,0.45666666666666667,0.25333333333333335
artificial.62,0.0,0.0,0.0,0.0,0.016666666666666666,0.0033333333333333335,0.06,0.013333333333333334,0.43666666666666665,0.17333333333333334
artificial.63,0.0,0.0,0.0,0.0,0.07666666666666666,0.01,0.23333333333333334,0.09333333333333334,0.5566666666666666,0.35333333333333333
artificial.64,0.0,0.0,0.0033333333333333335,0.0,0.09666666666666666,0.023333333333333334,0.16333333333333333,0.08333333333333333,0.41333333333333333,0.18
artificial.65,0.0,0.0,0.0,0.0,0.07666666666666666,0.006666666666666667,0.18666666666666668,0.06333333333333334,0.6133333333333333,0.37333333333333335
artificial.66,0.0,0.0,0.0,0.0,0.01,0.0,0.07666666666666666,0.016666666666666666,0.43,0.19
artificial.67,0.0,0.0,0.0,0.0,0.0,0.0,0.056666666666666664,0.0,0.35,0.14
artificial.68,0.0,0.0,0.006666666666666667,0.0,0.20333333333333334,0.10666666666666667,0.39,0.22666666666666666,0.68,0.5033333333333333
artificial.69,0.0,0.0,0.09333333333333334,0.0033333333333333335,0.37,0.21,0.48333333333333334,0.3,0.6966666666666667,0.49666666666666665
artificial.70,0.0,0.0,0.0,0.0,0.07333333333333333,0.006666666666666667,0.24666666666666667,0.09666666666666666,0.63,0.43
artificial.71,0.0,0.0,0.03,0.0033333333333333335,0.22333333333333333,0.10333333333333333,0.39666666666666667,0.25666666666666665,0.6833333333333333,0.5266666666666666
artificial.72,0.0,0.0,0.013333333333333334,0.0,0.16,0.06333333333333334,0.30333333333333334,0.14666666666666667,0.61,0.37666666666666665
artificial.73,0.0,0.0,0.02666666666666667,0.0,0.23333333333333334,0.12333333333333334,0.35,0.18666666666666668,0.54,0.35333333333333333
artificial.74,0.0,0.0,0.0,0.0,0.18666666666666668,0.06666666666666667,0.37,0.19666666666666666,0.5666666666666667,0.43
artificial.75,0.0,0.0,0.0,0.0,0.07,0.016666666666666666,0.24,0.09,0.5,0.3
artificial.76,0.0,0.0,0.0,0.0,0.05,0.0033333333333333335,0.24333333333333335,0.06,0.5866666666666667,0.36
artificial.77,0.0,0.0,0.0,0.0,0.15666666666666668,0.056666666666666664,0.25,0.1,0.49333333333333335,0.2866666666666667
artificial.78,0.0,0.0,0.05333333333333334,0.0,0.34,0.2633333333333333,0.4166666666666667,0.3,0.6766666666666666,0.4866666666666667
artificial.79,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0033333333333333335,0.23666666666666666,0.04666666666666667
artificial.80,0.0,0.0,0.0,0.0,0.13333333333333333,0.02666666666666667,0.29333333333333333,0.15,0.51,0.3333333333333333
artificial.81,0.0,0.0,0.0,0.0,0.01,0.0033333333333333335,0.07666666666666666,0.013333333333333334,0.3,0.10333333333333333
artificial.82,0.0,0.0,0.0,0.0,0.03666666666666667,0.013333333333333334,0.2,0.05333333333333334,0.5966666666666667,0.37333333333333335
artificial.83,0.0,0.0,0.07666666666666666,0.0033333333333333335,0.34,0.18333333333333332,0.36666666666666664,0.24666666666666667,0.5233333333333333,0.3433333333333333
artificial.84,0.0,0.0,0.0,0.0,0.03,0.0,0.11333333333333333,0.05,0.48,0.26666666666666666
artificial.85,0.0,0.0,0.16666666666666666,0.0,0.6366666666666667,0.44,0.6833333333333333,0.5,0.6966666666666667,0.57
artificial.86,0.0,0.0,0.006666666666666667,0.0,0.07333333333333333,0.01,0.16,0.05333333333333334,0.5033333333333333,0.27
artificial.87,0.0,0.0,0.0,0.0,0.2,0.056666666666666664,0.34,0.18333333333333332,0.6366666666666667,0.45
artificial.88,0.0,0.0,0.013333333333333334,0.0,0.16666666666666666,0.03666666666666667,0.3333333333333333,0.08666666666666667,0.5566666666666666,0.37
artificial.89,0.0,0.0,0.05,0.0,0.34,0.15,0.43666666666666665,0.24333333333333335,0.7233333333333334,0.48
artificial.90,0.0,0.0,0.0,0.0,0.08333333333333333,0.016666666666666666,0.16333333333333333,0.06333333333333334,0.4766666666666667,0.24666666666666667
artificial.91,0.0,0.0,0.04666666666666667,0.0,0.24666666666666667,0.10333333333333333,0.34,0.20666666666666667,0.58,0.38666666666666666
artificial.92,0.0,0.0,0.05,0.0,0.43,0.25666666666666665,0.6066666666666667,0.41,0.82,0.6833333333333333
artificial.93,0.0,0.0,0.0,0.0,0.03666666666666667,0.0,0.16,0.023333333333333334,0.4766666666666667,0.24
