,"{'C': np.float64(0.01), 'l1_ratio': 0.5}","{'C': np.float64(0.01), 'l1_ratio': 0.9}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.5}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.9}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.5}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.9}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.5}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.9}","{'C': np.float64(10.0), 'l1_ratio': 0.5}","{'C': np.float64(10.0), 'l1_ratio': 0.9}"
unstim_Baso_149Sm_CREB,0.0,0.0,0.0033333333333333335,0.0,0.023333333333333334,0.01,0.056666666666666664,0.03666666666666667,0.43,0.18666666666666668
unstim_Baso_150Nd_STAT5,0.0,0.0,0.0033333333333333335,0.0,0.10666666666666667,0.04666666666666667,0.21666666666666667,0.10333333333333333,0.54,0.33
unstim_Baso_155Gd_S6,0.0,0.0,0.0,0.0,0.17,0.06,0.29,0.18666666666666668,0.6033333333333334,0.37333333333333335
unstim_Baso_164Dy_IkB,0.0,0.0,0.006666666666666667,0.0,0.12666666666666668,0.056666666666666664,0.29333333333333333,0.15666666666666668,0.5533333333333333,0.38
unstim_Baso_166Er_NFkB,0.0,0.0,0.0,0.0,0.03,0.01,0.10666666666666667,0.02666666666666667,0.4666666666666667,0.19666666666666666
unstim_Bcells_155Gd_S6,0.0,0.0,0.07,0.01,0.37333333333333335,0.24,0.43,0.3433333333333333,0.6866666666666666,0.5133333333333333
unstim_Bcells_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.03,0.01,0.13,0.043333333333333335,0.55,0.28
unstim_Bcells_164Dy_IkB,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.023333333333333334,0.39,0.17
unstim_Bcells_166Er_NFkB,0.0,0.0,0.0,0.0,0.01,0.0033333333333333335,0.04,0.01,0.37333333333333335,0.13
unstim_CD4T_150Nd_STAT5,0.0,0.0,0.01,0.0,0.056666666666666664,0.013333333333333334,0.1,0.05,0.3333333333333333,0.14666666666666667
