,Max Proba
artificial.20,0.4666666666666667
artificial.59,0.43666666666666665
artificial.85,0.3233333333333333
artificial.13,0.31666666666666665
artificial.12,0.28
artificial.92,0.27666666666666667
artificial.78,0.24333333333333335
artificial.25,0.24
artificial.8,0.24
artificial.71,0.21
artificial.69,0.19
artificial.16,0.17333333333333334
artificial.68,0.17333333333333334
artificial.6,0.15666666666666668
artificial.21,0.15333333333333332
artificial.58,0.15
artificial.87,0.14
artificial.7,0.12333333333333334
artificial.83,0.12
artificial.73,0.12
artificial.57,0.12
artificial.15,0.12
artificial.91,0.11666666666666667
artificial.54,0.11666666666666667
artificial.89,0.11
artificial.72,0.11
artificial.1,0.10666666666666667
artificial.18,0.10666666666666667
artificial.43,0.10333333333333333
artificial.9,0.09
artificial.41,0.08666666666666667
artificial.53,0.08666666666666667
artificial.49,0.08666666666666667
artificial.3,0.08
artificial.26,0.07333333333333333
artificial.27,0.07333333333333333
artificial.34,0.07
artificial.74,0.06666666666666667
artificial.23,0.06333333333333334
artificial.65,0.06333333333333334
artificial.31,0.06333333333333334
artificial.22,0.06
artificial.70,0.056666666666666664
artificial.32,0.056666666666666664
artificial.80,0.056666666666666664
artificial.63,0.05333333333333334
artificial.77,0.05333333333333334
artificial.4,0.05333333333333334
artificial.60,0.05
artificial.48,0.04666666666666667
artificial.75,0.043333333333333335
artificial.28,0.04
artificial.35,0.03666666666666667
artificial.19,0.03666666666666667
artificial.33,0.03333333333333333
artificial.82,0.03333333333333333
artificial.14,0.03333333333333333
artificial.11,0.03333333333333333
artificial.76,0.03
artificial.64,0.03
artificial.38,0.03
artificial.52,0.03
artificial.55,0.02666666666666667
artificial.90,0.023333333333333334
artificial.42,0.023333333333333334
artificial.29,0.023333333333333334
artificial.37,0.02
artificial.44,0.02
artificial.40,0.02
artificial.88,0.02
artificial.24,0.016666666666666666
artificial.86,0.013333333333333334
artificial.61,0.013333333333333334
artificial.84,0.013333333333333334
artificial.66,0.01
artificial.93,0.01
artificial.5,0.006666666666666667
artificial.62,0.006666666666666667
artificial.36,0.006666666666666667
artificial.17,0.006666666666666667
artificial.67,0.0033333333333333335
artificial.81,0.0033333333333333335
artificial.51,0.0033333333333333335
artificial.2,0.0
artificial.10,0.0
artificial.56,0.0
artificial.47,0.0
artificial.46,0.0
artificial.50,0.0
artificial.39,0.0
artificial.30,0.0
artificial.45,0.0
artificial.79,0.0
