,Max Proba
LPS_CD56brightCD16negNK_164Dy_IkB,0.6033333333333334
LPS_Tregnaive_164Dy_IkB,0.38666666666666666
LPS_DC_155Gd_S6,0.38
LPS_CD56brightCD16negNK_149Sm_CREB,0.3466666666666667
LPS_Baso_159Tb_MAPKAPK2,0.3466666666666667
LPS_Baso_151Eu_p38,0.3433333333333333
LPS_ncMC_166Er_NFkB,0.34
LPS_pDC_167Er_ERK,0.3333333333333333
LPS_Granulocytes_159Tb_MAPKAPK2,0.3
LPS_CD56brightCD16negNK_159Tb_MAPKAPK2,0.2633333333333333
LPS_Baso_164Dy_IkB,0.2633333333333333
LPS_CD56brightCD16negNK_166Er_NFkB,0.23666666666666666
LPS_Baso_155Gd_S6,0.22333333333333333
LPS_ncMC_167Er_ERK,0.21333333333333335
LPS_ncMC_149Sm_CREB,0.16666666666666666
LPS_DC_151Eu_p38,0.16
LPS_CXCR4neutro_164Dy_IkB,0.13666666666666666
LPS_Granulocytes_167Er_ERK,0.13
LPS_mDC_167Er_ERK,0.13
LPS_Tregnaive_166Er_NFkB,0.12333333333333334
LPS_Granulocytes_151Eu_p38,0.12
LPS_CD56brightCD16negNK_155Gd_S6,0.11333333333333333
LPS_CXCR4neutro_151Eu_p38,0.11333333333333333
LPS_Granulocytes_149Sm_CREB,0.11333333333333333
LPS_mDC_164Dy_IkB,0.11333333333333333
LPS_CXCR4neutro_149Sm_CREB,0.1
LPS_intMC_167Er_ERK,0.09333333333333334
LPS_Tregmem_159Tb_MAPKAPK2,0.09
LPS_Baso_166Er_NFkB,0.09
LPS_Tregnaive_167Er_ERK,0.07666666666666666
LPS_intMC_159Tb_MAPKAPK2,0.07333333333333333
LPS_DC_164Dy_IkB,0.07333333333333333
LPS_CXCR4neutro_167Er_ERK,0.07333333333333333
LPS_DC_166Er_NFkB,0.06333333333333334
LPS_pDC_149Sm_CREB,0.06333333333333334
LPS_Granulocytes_166Er_NFkB,0.056666666666666664
LPS_Baso_149Sm_CREB,0.04666666666666667
LPS_cMC_149Sm_CREB,0.043333333333333335
LPS_DC_159Tb_MAPKAPK2,0.043333333333333335
LPS_ncMC_155Gd_S6,0.04
LPS_pDC_164Dy_IkB,0.03666666666666667
LPS_Tregnaive_155Gd_S6,0.03666666666666667
LPS_MDSC_167Er_ERK,0.03666666666666667
LPS_Tregnaive_159Tb_MAPKAPK2,0.03
LPS_ncMC_159Tb_MAPKAPK2,0.03
LPS_Tregmem_166Er_NFkB,0.03
LPS_CXCR4neutro_159Tb_MAPKAPK2,0.02666666666666667
LPS_Granulocytes_164Dy_IkB,0.02666666666666667
LPS_pDC_166Er_NFkB,0.023333333333333334
LPS_CXCR4neutro_155Gd_S6,0.023333333333333334
LPS_DC_167Er_ERK,0.023333333333333334
LPS_Granulocytes_155Gd_S6,0.023333333333333334
LPS_MDSC_151Eu_p38,0.023333333333333334
LPS_cMC_167Er_ERK,0.023333333333333334
LPS_pDC_155Gd_S6,0.02
LPS_cMC_159Tb_MAPKAPK2,0.02
LPS_ncMC_151Eu_p38,0.016666666666666666
LPS_intMC_149Sm_CREB,0.016666666666666666
LPS_Treg_159Tb_MAPKAPK2,0.016666666666666666
LPS_MDSC_159Tb_MAPKAPK2,0.016666666666666666
LPS_Treg_164Dy_IkB,0.016666666666666666
LPS_NK_159Tb_MAPKAPK2,0.013333333333333334
LPS_cMC_151Eu_p38,0.013333333333333334
LPS_intMC_151Eu_p38,0.013333333333333334
LPS_intMC_164Dy_IkB,0.013333333333333334
LPS_CXCR4neutro_166Er_NFkB,0.01
LPS_intMC_155Gd_S6,0.01
LPS_mDC_155Gd_S6,0.006666666666666667
LPS_CD56dimCD16posNK_166Er_NFkB,0.006666666666666667
LPS_Bcells_164Dy_IkB,0.006666666666666667
LPS_MDSC_149Sm_CREB,0.006666666666666667
LPS_mDC_149Sm_CREB,0.006666666666666667
LPS_NK_164Dy_IkB,0.006666666666666667
LPS_Bcells_166Er_NFkB,0.006666666666666667
LPS_mDC_159Tb_MAPKAPK2,0.006666666666666667
LPS_MDSC_164Dy_IkB,0.0033333333333333335
LPS_CD56dimCD16posNK_159Tb_MAPKAPK2,0.0033333333333333335
LPS_pDC_159Tb_MAPKAPK2,0.0033333333333333335
LPS_mDC_166Er_NFkB,0.0033333333333333335
LPS_mDC_151Eu_p38,0.0033333333333333335
LPS_DC_149Sm_CREB,0.0033333333333333335
LPS_Bcells_159Tb_MAPKAPK2,0.0
LPS_cMC_164Dy_IkB,0.0
LPS_CD56dimCD16posNK_164Dy_IkB,0.0
LPS_cMC_155Gd_S6,0.0
LPS_cMC_166Er_NFkB,0.0
LPS_intMC_166Er_NFkB,0.0
LPS_MDSC_166Er_NFkB,0.0
LPS_MDSC_155Gd_S6,0.0
LPS_pDC_151Eu_p38,0.0
LPS_NK_166Er_NFkB,0.0
LPS_Treg_166Er_NFkB,0.0
LPS_Tregmem_164Dy_IkB,0.0
