,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.0005583490710705519,0.000235170271480456,3.873890818795189e-05,0.0,0.0,0.0005583490710705519,0.000235170271480456,3.873890818795189e-05,0.0,0.0,0.0005583490710705519,0.000235170271480456,3.873890818795189e-05,0.0,0.0
artificial.2,0.0,0.000459189061075449,0.00037022947799414396,0.0002398079086560756,0.00015600051847286522,0.0,0.000459189061075449,0.00037022947799414396,0.0002398079086560756,0.00015600051847286522,0.0,0.000459189061075449,0.00037022947799414396,0.0002398079086560756,0.00015600051847286522
artificial.3,0.00023376695753540844,0.00014865743287373334,0.0,0.0,0.0,0.00023376695753540844,0.00014865743287373334,0.0,0.0,0.0,0.00023376695753540844,0.00014865743287373334,0.0,0.0,0.0
artificial.4,0.0,0.0,0.0,0.00030905220774002373,0.0,0.0,0.0,0.0,0.00030905220774002373,0.0,0.0,0.0,0.0,0.00030905220774002373,0.0
artificial.5,0.010553118772804737,0.012406133115291595,0.008854940533638,0.005383885465562344,0.0024912504013627768,0.010553118772804737,0.012406133115291595,0.008854940533638,0.005383885465562344,0.0024912504013627768,0.010553118772804737,0.012406133115291595,0.008854940533638,0.005383885465562344,0.0024912504013627768
artificial.6,0.012538972310721874,0.012818639166653156,0.010266020894050598,0.006380168721079826,0.0025450775865465403,0.012538972310721874,0.012818639166653156,0.010266020894050598,0.006380168721079826,0.0025450775865465403,0.012538972310721874,0.012818639166653156,0.010266020894050598,0.006380168721079826,0.0025450775865465403
artificial.7,0.001257364172488451,0.0015124395722523332,0.004227310884743929,0.0028515751473605633,0.0,0.001257364172488451,0.0015124395722523332,0.004227310884743929,0.0028515751473605633,0.0,0.001257364172488451,0.0015124395722523332,0.004227310884743929,0.0028515751473605633,0.0
artificial.8,0.0036569174844771624,0.0037284409627318382,0.0026622479781508446,0.0015553187113255262,0.0,0.0036569174844771624,0.0037284409627318382,0.0026622479781508446,0.0015553187113255262,0.0,0.0036569174844771624,0.0037284409627318382,0.0026622479781508446,0.0015553187113255262,0.0
artificial.9,0.0008150047506205738,0.0007058933260850608,0.0007787688518874347,9.639038034947589e-05,0.0,0.0008150047506205738,0.0007058933260850608,0.0007787688518874347,9.639038034947589e-05,0.0,0.0008150047506205738,0.0007058933260850608,0.0007787688518874347,9.639038034947589e-05,0.0
artificial.10,0.0018340186215937138,0.002243888797238469,0.0013631914043799043,0.0009883592138066888,0.00031558063346892595,0.0018340186215937138,0.002243888797238469,0.0013631914043799043,0.0009883592138066888,0.00031558063346892595,0.0018340186215937138,0.002243888797238469,0.0013631914043799043,0.0009883592138066888,0.00031558063346892595
artificial.11,0.0006747733568772674,0.0014084051363170147,0.004064963664859533,0.0002581315638963133,0.0,0.0006747733568772674,0.0014084051363170147,0.004064963664859533,0.0002581315638963133,0.0,0.0006747733568772674,0.0014084051363170147,0.004064963664859533,0.0002581315638963133,0.0
artificial.12,0.0,0.00011719331087078899,0.0003323184500914067,0.0,0.0,0.0,0.00011719331087078899,0.0003323184500914067,0.0,0.0,0.0,0.00011719331087078899,0.0003323184500914067,0.0,0.0
artificial.13,0.04915357008576393,0.05407824367284775,0.04050661250948906,0.02611001394689083,0.009225254878401756,0.04915357008576393,0.05407824367284775,0.04050661250948906,0.02611001394689083,0.009225254878401756,0.04915357008576393,0.05407824367284775,0.04050661250948906,0.02611001394689083,0.009225254878401756
artificial.14,0.007866859436035156,0.007233203388750553,0.0059850686229765415,0.005054838489741087,0.0024395242799073458,0.007866859436035156,0.007233203388750553,0.0059850686229765415,0.005054838489741087,0.0024395242799073458,0.007866859436035156,0.007233203388750553,0.0059850686229765415,0.005054838489741087,0.0024395242799073458
artificial.15,0.0,0.00037048771628178656,0.0,0.0,0.0,0.0,0.00037048771628178656,0.0,0.0,0.0,0.0,0.00037048771628178656,0.0,0.0,0.0
artificial.16,0.0,0.0007929647690616548,0.0,0.0,0.00016293027147185057,0.0,0.0007929647690616548,0.0,0.0,0.00016293027147185057,0.0,0.0007929647690616548,0.0,0.0,0.00016293027147185057
artificial.17,0.005451091565191746,0.004352269694209099,0.005013132002204657,0.004719552583992481,0.0049974326975643635,0.005451091565191746,0.004352269694209099,0.005013132002204657,0.004719552583992481,0.0049974326975643635,0.005451091565191746,0.004352269694209099,0.005013132002204657,0.004719552583992481,0.0049974326975643635
artificial.18,0.0017829358112066984,0.0007723456365056336,0.0009156825253739953,0.0008491145563311875,0.0014723647618666291,0.0017829358112066984,0.0007723456365056336,0.0009156825253739953,0.0008491145563311875,0.0014723647618666291,0.0017829358112066984,0.0007723456365056336,0.0009156825253739953,0.0008491145563311875,0.0014723647618666291
artificial.19,0.0,0.0,0.00031322170980274677,0.0006006124312989414,0.0,0.0,0.0,0.00031322170980274677,0.0006006124312989414,0.0,0.0,0.0,0.00031322170980274677,0.0006006124312989414,0.0
artificial.20,0.004023277200758457,0.005807282403111458,0.004534875974059105,0.0017879633232951164,0.0,0.004023277200758457,0.005807282403111458,0.004534875974059105,0.0017879633232951164,0.0,0.004023277200758457,0.005807282403111458,0.004534875974059105,0.0017879633232951164,0.0
artificial.21,0.007176495622843504,0.004919901955872774,0.00681476341560483,0.006307493895292282,0.0026942603290081024,0.007176495622843504,0.004919901955872774,0.00681476341560483,0.006307493895292282,0.0026942603290081024,0.007176495622843504,0.004919901955872774,0.00681476341560483,0.006307493895292282,0.0026942603290081024
artificial.22,0.003283624304458499,0.0018477662233635783,0.0026279068551957607,0.004471859894692898,0.004980295896530151,0.003283624304458499,0.0018477662233635783,0.0026279068551957607,0.004471859894692898,0.004980295896530151,0.003283624304458499,0.0018477662233635783,0.0026279068551957607,0.004471859894692898,0.004980295896530151
artificial.23,0.0005061704432591796,0.0,0.0,3.639084388851188e-05,0.0,0.0005061704432591796,0.0,0.0,3.639084388851188e-05,0.0,0.0005061704432591796,0.0,0.0,3.639084388851188e-05,0.0
artificial.24,0.0,0.0003504905034787953,0.0006645029643550515,0.00033144376357086003,0.00032588158501312137,0.0,0.0003504905034787953,0.0006645029643550515,0.00033144376357086003,0.00032588158501312137,0.0,0.0003504905034787953,0.0006645029643550515,0.00033144376357086003,0.00032588158501312137
artificial.25,0.004388211760669947,0.004149238578975201,0.0038587225135415792,0.0055329324677586555,0.0022640549577772617,0.004388211760669947,0.004149238578975201,0.0038587225135415792,0.0055329324677586555,0.0022640549577772617,0.004388211760669947,0.004149238578975201,0.0038587225135415792,0.0055329324677586555,0.0022640549577772617
artificial.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.27,0.00790031161159277,0.00846441276371479,0.0054384758695960045,0.0016708803595975041,0.0,0.00790031161159277,0.00846441276371479,0.0054384758695960045,0.0016708803595975041,0.0,0.00790031161159277,0.00846441276371479,0.0054384758695960045,0.0016708803595975041,0.0
artificial.28,0.0028583125676959753,0.0022876921575516462,0.002884352346882224,0.0009028169442899525,0.0002207493525929749,0.0028583125676959753,0.0022876921575516462,0.002884352346882224,0.0009028169442899525,0.0002207493525929749,0.0028583125676959753,0.0022876921575516462,0.002884352346882224,0.0009028169442899525,0.0002207493525929749
artificial.29,0.07362329959869385,0.06661555916070938,0.06527397036552429,0.06566157191991806,0.08187209069728851,0.07362329959869385,0.06661555916070938,0.06527397036552429,0.06566157191991806,0.08187209069728851,0.07362329959869385,0.06661555916070938,0.06527397036552429,0.06566157191991806,0.08187209069728851
artificial.30,0.04604395851492882,0.04821817949414253,0.03842831775546074,0.029091276228427887,0.012203549966216087,0.04604395851492882,0.04821817949414253,0.03842831775546074,0.029091276228427887,0.012203549966216087,0.04604395851492882,0.04821817949414253,0.03842831775546074,0.029091276228427887,0.012203549966216087
artificial.31,0.0015939910663291812,0.003045587567612529,0.0026965211145579815,0.0017829382559284568,0.0019235844956710935,0.0015939910663291812,0.003045587567612529,0.0026965211145579815,0.0017829382559284568,0.0019235844956710935,0.0015939910663291812,0.003045587567612529,0.0026965211145579815,0.0017829382559284568,0.0019235844956710935
artificial.32,0.0055273473262786865,0.006424634251743555,0.00432265130802989,0.004242998547852039,0.0030966876074671745,0.0055273473262786865,0.006424634251743555,0.00432265130802989,0.004242998547852039,0.0030966876074671745,0.0055273473262786865,0.006424634251743555,0.00432265130802989,0.004242998547852039,0.0030966876074671745
artificial.33,0.008830024860799313,0.009434071369469166,0.008613231591880322,0.005469491705298424,0.0,0.008830024860799313,0.009434071369469166,0.008613231591880322,0.005469491705298424,0.0,0.008830024860799313,0.009434071369469166,0.008613231591880322,0.005469491705298424,0.0
artificial.34,0.0019658508244901896,0.0020389670971781015,0.0004424433864187449,0.000863217341247946,0.0,0.0019658508244901896,0.0020389670971781015,0.0004424433864187449,0.000863217341247946,0.0,0.0019658508244901896,0.0020389670971781015,0.0004424433864187449,0.000863217341247946,0.0
artificial.35,0.005351295694708824,0.0032364868093281984,0.002750993939116597,0.0006497785216197371,0.0,0.005351295694708824,0.0032364868093281984,0.002750993939116597,0.0006497785216197371,0.0,0.005351295694708824,0.0032364868093281984,0.002750993939116597,0.0006497785216197371,0.0
artificial.36,0.0,0.00014922471018508077,0.0004124270344618708,0.00023954453354235739,0.0,0.0,0.00014922471018508077,0.0004124270344618708,0.00023954453354235739,0.0,0.0,0.00014922471018508077,0.0004124270344618708,0.00023954453354235739,0.0
artificial.37,0.012570230290293694,0.010858758352696896,0.009450391866266727,0.011447299271821976,0.020557042211294174,0.012570230290293694,0.010858758352696896,0.009450391866266727,0.011447299271821976,0.020557042211294174,0.012570230290293694,0.010858758352696896,0.009450391866266727,0.011447299271821976,0.020557042211294174
artificial.38,0.0,0.0,0.0,0.0003862046869471669,0.0,0.0,0.0,0.0,0.0003862046869471669,0.0,0.0,0.0,0.0,0.0003862046869471669,0.0
artificial.39,0.0012661979999393225,0.0017056901706382632,0.000946332118473947,0.0012004866730421782,0.0,0.0012661979999393225,0.0017056901706382632,0.000946332118473947,0.0012004866730421782,0.0,0.0012661979999393225,0.0017056901706382632,0.000946332118473947,0.0012004866730421782,0.0
artificial.40,0.0022715108934789896,0.0018746566493064165,0.00032840241328813136,0.0017713395645841956,0.0004911899450235069,0.0022715108934789896,0.0018746566493064165,0.00032840241328813136,0.0017713395645841956,0.0004911899450235069,0.0022715108934789896,0.0018746566493064165,0.00032840241328813136,0.0017713395645841956,0.0004911899450235069
artificial.41,0.0011843120446428657,0.0015573782147839665,0.001359944581054151,0.00021664175437763333,6.50526417302899e-05,0.0011843120446428657,0.0015573782147839665,0.001359944581054151,0.00021664175437763333,6.50526417302899e-05,0.0011843120446428657,0.0015573782147839665,0.001359944581054151,0.00021664175437763333,6.50526417302899e-05
artificial.42,0.0004467893741093576,0.0,0.0,0.0002005623246077448,0.0,0.0004467893741093576,0.0,0.0,0.0002005623246077448,0.0,0.0004467893741093576,0.0,0.0,0.0002005623246077448,0.0
