,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
LPS_Baso_149Sm_CREB,0.039419908076524734,0.031563691794872284,0.02751719206571579,0.036545075476169586,0.05082673951983452,0.039419908076524734,0.031563691794872284,0.02751719206571579,0.036545075476169586,0.05082673951983452,0.039419908076524734,0.031563691794872284,0.02751719206571579,0.036545075476169586,0.05082673951983452
LPS_Baso_151Eu_p38,0.058575790375471115,0.06137973070144653,0.05172586068511009,0.037697549909353256,0.012816090136766434,0.058575790375471115,0.06137973070144653,0.05172586068511009,0.037697549909353256,0.012816090136766434,0.058575790375471115,0.06137973070144653,0.05172586068511009,0.037697549909353256,0.012816090136766434
LPS_Baso_155Gd_S6,0.10657944530248642,0.09868448227643967,0.09439339488744736,0.09493802487850189,0.09598682820796967,0.10657944530248642,0.09868448227643967,0.09439339488744736,0.09493802487850189,0.09598682820796967,0.10657944530248642,0.09868448227643967,0.09439339488744736,0.09493802487850189,0.09598682820796967
LPS_Baso_159Tb_MAPKAPK2,0.10411619395017624,0.11463476717472076,0.10089579224586487,0.07351434230804443,0.026808733120560646,0.10411619395017624,0.11463476717472076,0.10089579224586487,0.07351434230804443,0.026808733120560646,0.10411619395017624,0.11463476717472076,0.10089579224586487,0.07351434230804443,0.026808733120560646
LPS_Baso_164Dy_IkB,0.05753573030233383,0.05470909923315048,0.041252247989177704,0.03175210952758789,0.011457747779786587,0.05753573030233383,0.05470909923315048,0.041252247989177704,0.03175210952758789,0.011457747779786587,0.05753573030233383,0.05470909923315048,0.041252247989177704,0.03175210952758789,0.011457747779786587
LPS_Baso_166Er_NFkB,0.014236850664019585,0.01246947143226862,0.009430434554815292,0.011471360921859741,0.013182171620428562,0.014236850664019585,0.01246947143226862,0.009430434554815292,0.011471360921859741,0.013182171620428562,0.014236850664019585,0.01246947143226862,0.009430434554815292,0.011471360921859741,0.013182171620428562
LPS_Bcells_159Tb_MAPKAPK2,0.01277896761894226,0.009364756755530834,0.01110589224845171,0.004017484840005636,0.0039740861393511295,0.01277896761894226,0.009364756755530834,0.01110589224845171,0.004017484840005636,0.0039740861393511295,0.01277896761894226,0.009364756755530834,0.01110589224845171,0.004017484840005636,0.0039740861393511295
LPS_Bcells_164Dy_IkB,0.012811328284442425,0.012986241839826107,0.012473020702600479,0.01761670969426632,0.024332663044333458,0.012811328284442425,0.012986241839826107,0.012473020702600479,0.01761670969426632,0.024332663044333458,0.012811328284442425,0.012986241839826107,0.012473020702600479,0.01761670969426632,0.024332663044333458
LPS_Bcells_166Er_NFkB,0.005035568960011005,0.00405185017734766,0.0033357380889356136,0.00046841244329698384,0.0,0.005035568960011005,0.00405185017734766,0.0033357380889356136,0.00046841244329698384,0.0,0.005035568960011005,0.00405185017734766,0.0033357380889356136,0.00046841244329698384,0.0
LPS_CD56brightCD16negNK_149Sm_CREB,0.01853988878428936,0.018089178949594498,0.012238744646310806,0.005081001203507185,0.0,0.01853988878428936,0.018089178949594498,0.012238744646310806,0.005081001203507185,0.0,0.01853988878428936,0.018089178949594498,0.012238744646310806,0.005081001203507185,0.0
