,Fold selected features,Fold nb of features
Fold 0,"['unstim_Th1naive_150Nd_STAT5', 'unstim_Th1naive_167Er_ERK', 'unstim_Th1naive_168Er_pSTAT6', 'unstim_CD4Trm_Frequency', 'unstim_NK_Frequency', 'LPS_Baso_151Eu_p38', 'LPS_Baso_159Tb_MAPKAPK2', 'LPS_Baso_164Dy_IkB', 'LPS_CD56brightCD16negNK_149Sm_CREB', 'LPS_CD56brightCD16negNK_164Dy_IkB', 'LPS_DC_155Gd_S6', 'LPS_ncMC_166Er_NFkB', 'LPS_Tregnaive_164Dy_IkB', 'IL246_Bcells_150Nd_STAT5', 'IL246_Granulocytes_154Sm_STAT3', 'IL246_NKT_154Sm_STAT3', 'IL246_Th1mem_154Sm_STAT3', 'IL246_Th1naive_153Eu_STAT1', 'IL246_Th1naive_168Er_pSTAT6', 'PRO_SAMHD1', 'PRO_ARL11', 'PRO_LDLR', 'PRO_HSPH1', 'PRO_WWOX', 'PRO_CNTN3', 'PRO_CTNNA3', 'PRO_IL1B', 'PRO_CSF2', 'PRO_IL18', 'PRO_CD2', 'PRO_ALK']",31
Fold 1,"['unstim_CD4Tnaive_150Nd_STAT5', 'unstim_CD4Trm_154Sm_STAT3', 'unstim_gdT_168Er_pSTAT6', 'unstim_Th17_168Er_pSTAT6', 'unstim_Th1naive_150Nd_STAT5', 'unstim_Th1naive_153Eu_STAT1', 'unstim_Th1naive_164Dy_IkB', 'unstim_Th1naive_167Er_ERK', 'unstim_Tregnaive_150Nd_STAT5', 'unstim_Tregnaive_155Gd_S6', 'unstim_Tregnaive_167Er_ERK', 'unstim_Baso_Frequency', 'unstim_CD4Tcm_Frequency', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_CD8Tcm_Frequency', 'unstim_CXCR4neutro_Frequency', 'unstim_gdT_Frequency', 'unstim_ncMC_Frequency', 'unstim_pDC_Frequency', 'unstim_Tregnaive_Frequency', 'IL246_Bcells_150Nd_STAT5', 'IL246_CD4Tcm_153Eu_STAT1', 'IL246_CD8Tem_154Sm_STAT3', 'IL246_DC_154Sm_STAT3', 'IL246_gdT_154Sm_STAT3', 'IL246_Granulocytes_154Sm_STAT3', 'IL246_pDC_150Nd_STAT5', 'IL246_Th1mem_153Eu_STAT1', 'IL246_Th1mem_164Dy_IkB', 'IL246_Th1naive_153Eu_STAT1', 'IL246_Th1naive_164Dy_IkB', 'PRO_SAMHD1', 'PRO_LDLR', 'PRO_HSPH1', 'PRO_WWOX', 'PRO_IL12A|EBI3', 'PRO_CNTN3', 'PRO_IL1B', 'PRO_MAPK8', 'PRO_BIRC3', 'PRO_IL18', 'PRO_ASAH1', 'PRO_ALK', 'PRO_IRF6']",45
Fold 2,"['unstim_CD4Trm_150Nd_STAT5', 'unstim_CXCR4neutro_155Gd_S6', 'unstim_DC_166Er_NFkB', 'unstim_gdT_166Er_NFkB', 'unstim_Granulocytes_154Sm_STAT3', 'unstim_Granulocytes_155Gd_S6', 'unstim_Th1mem_150Nd_STAT5', 'unstim_Th1naive_149Sm_CREB', 'unstim_Th1naive_150Nd_STAT5', 'unstim_Th1naive_153Eu_STAT1', 'unstim_Th1naive_164Dy_IkB', 'unstim_Th1naive_167Er_ERK', 'unstim_Th1naive_168Er_pSTAT6', 'unstim_Tregnaive_150Nd_STAT5', 'unstim_Tregnaive_167Er_ERK', 'unstim_Tregnaive_168Er_pSTAT6', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_CD56dimCD16posNK_Frequency', 'unstim_CD8Tcm_Frequency', 'unstim_CD8Tem_Frequency', 'unstim_CXCR4neutro_Frequency', 'unstim_intMC_Frequency', 'unstim_ncMC_Frequency', 'unstim_NK_Frequency', 'unstim_NKT_Frequency', 'unstim_pDC_Frequency', 'unstim_Th2_Frequency', 'IL246_Granulocytes_154Sm_STAT3', 'IL246_Th1_164Dy_IkB', 'IL246_Th1naive_153Eu_STAT1', 'IL246_Th1naive_164Dy_IkB', 'PRO_SAMHD1', 'PRO_BLK', 'PRO_LDLR', 'PRO_RNASET2', 'PRO_WWOX', 'PRO_MTHFD2', 'PRO_OGG1', 'PRO_IL17RA', 'PRO_IL1B', 'PRO_CCL3', 'PRO_CSF2', 'PRO_PPIB', 'PRO_ASAH1', 'PRO_CD3G', 'PRO_ALK', 'PRO_TNFSF10', 'PRO_IRF6']",49
Fold 3,"['unstim_CD4Trm_150Nd_STAT5', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_CD56dimCD16posNK_Frequency', 'unstim_CD8Tcm_Frequency', 'unstim_gdT_Frequency', 'LPS_CD56brightCD16negNK_159Tb_MAPKAPK2', 'LPS_CD56brightCD16negNK_166Er_NFkB', 'IL246_Th1mem_164Dy_IkB', 'IL246_Th1naive_153Eu_STAT1', 'IL246_Treg_154Sm_STAT3', 'PRO_SAMHD1', 'PRO_LDLR', 'PRO_WWOX', 'PRO_IL1B', 'PRO_FCRL3', 'PRO_ALK']",17
Fold 4,"['unstim_CD4Trm_150Nd_STAT5', 'unstim_CD4Trm_154Sm_STAT3', 'unstim_CXCR4neutro_150Nd_STAT5', 'unstim_DC_166Er_NFkB', 'unstim_pDC_155Gd_S6', 'unstim_Th1_154Sm_STAT3', 'unstim_Th1naive_149Sm_CREB', 'unstim_Th1naive_153Eu_STAT1', 'unstim_Th1naive_167Er_ERK', 'unstim_Th1naive_168Er_pSTAT6', 'unstim_Tregnaive_150Nd_STAT5', 'unstim_Baso_Frequency', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_CD56dimCD16posNK_Frequency', 'unstim_CXCR4neutro_Frequency', 'IL246_Baso_155Gd_S6', 'IL246_CD8Tem_154Sm_STAT3', 'IL246_CD8Trm_154Sm_STAT3', 'IL246_DC_150Nd_STAT5', 'IL246_DC_155Gd_S6', 'IL246_Granulocytes_154Sm_STAT3', 'IL246_Th1mem_164Dy_IkB', 'IL246_Th1naive_149Sm_CREB', 'IL246_Th1naive_153Eu_STAT1', 'IL246_Th1naive_166Er_NFkB', 'PRO_MYC', 'PRO_BLK', 'PRO_GTF2I', 'PRO_RNASET2', 'PRO_HSPH1', 'PRO_WWOX', 'PRO_HRAS', 'PRO_GMPR', 'PRO_ACP3', 'PRO_BTN3A2', 'PRO_TSLP', 'PRO_IL1B', 'PRO_CCL3', 'PRO_MAPK8', 'PRO_BIRC3', 'PRO_IFNL3', 'PRO_ASAH1', 'PRO_CD3G', 'PRO_ALK', 'PRO_CDKN2B', 'PRO_RAP2A', 'PRO_TOPBP1']",48
Fold 5,"['unstim_CXCR4neutro_159Tb_MAPKAPK2', 'unstim_DC_166Er_NFkB', 'unstim_gdT_168Er_pSTAT6', 'unstim_Th1naive_149Sm_CREB', 'unstim_Th1naive_150Nd_STAT5', 'unstim_Th1naive_167Er_ERK', 'unstim_Th1naive_168Er_pSTAT6', 'unstim_Tregnaive_150Nd_STAT5', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_CD56dimCD16posNK_Frequency', 'unstim_DC_Frequency', 'unstim_gdT_Frequency', 'unstim_Tregnaive_Frequency', 'LPS_CD56brightCD16negNK_159Tb_MAPKAPK2', 'LPS_CD56brightCD16negNK_164Dy_IkB', 'LPS_CD56brightCD16negNK_166Er_NFkB', 'IL246_Bcells_150Nd_STAT5', 'IL246_CD4T_153Eu_STAT1', 'IL246_CD56brightCD16negNK_166Er_NFkB', 'IL246_Granulocytes_154Sm_STAT3', 'IL246_Th1_164Dy_IkB', 'IL246_Th1mem_154Sm_STAT3', 'IL246_Th1mem_164Dy_IkB', 'IL246_Tregnaive_155Gd_S6', 'PRO_LDLR', 'PRO_HSPH1', 'PRO_WWOX', 'PRO_CNTN3', 'PRO_CTNNA3', 'PRO_IL1B', 'PRO_ASAH1']",32
Fold 6,"['unstim_Baso_164Dy_IkB', 'unstim_CXCR4neutro_155Gd_S6', 'unstim_gdT_166Er_NFkB', 'unstim_Th1naive_149Sm_CREB', 'unstim_Th1naive_150Nd_STAT5', 'unstim_Th1naive_164Dy_IkB', 'unstim_Th1naive_166Er_NFkB', 'unstim_Th1naive_167Er_ERK', 'unstim_Th1naive_168Er_pSTAT6', 'unstim_Tregnaive_166Er_NFkB', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_CD56brightCD16negNK_Frequency', 'unstim_CD56dimCD16posNK_Frequency', 'unstim_NK_Frequency', 'unstim_NKT_Frequency', 'unstim_Th2_Frequency', 'unstim_Tregnaive_Frequency', 'LPS_CD56brightCD16negNK_159Tb_MAPKAPK2', 'LPS_Granulocytes_159Tb_MAPKAPK2', 'IL246_Bcells_150Nd_STAT5', 'IL246_CD56brightCD16negNK_155Gd_S6', 'IL246_CD8Trm_154Sm_STAT3', 'IL246_DC_150Nd_STAT5', 'IL246_DC_154Sm_STAT3', 'IL246_gdT_154Sm_STAT3', 'IL246_Granulocytes_154Sm_STAT3', 'IL246_intMC_150Nd_STAT5', 'IL246_Th1mem_154Sm_STAT3', 'IL246_Th1mem_164Dy_IkB', 'IL246_Th1mem_167Er_ERK', 'IL246_Th1naive_153Eu_STAT1', 'IL246_Th1naive_164Dy_IkB', 'IL246_Treg_154Sm_STAT3', 'PRO_WWOX', 'PRO_MTHFD2', 'PRO_PSMB4', 'PRO_PSMB9', 'PRO_ITGAV|ITGB3', 'PRO_CNTN3', 'PRO_CTNNA3', 'PRO_CD36', 'PRO_IL1R1', 'PRO_IL1B', 'PRO_CCL3', 'PRO_CSF2', 'PRO_PPIB', 'PRO_ASAH1', 'PRO_ALK', 'PRO_TNFSF10', 'PRO_IRF6']",51
Fold 7,"['unstim_Baso_164Dy_IkB', 'unstim_Bcells_155Gd_S6', 'unstim_CD4Trm_150Nd_STAT5', 'unstim_CXCR4neutro_155Gd_S6', 'unstim_CXCR4neutro_159Tb_MAPKAPK2', 'unstim_DC_166Er_NFkB', 'unstim_gdT_166Er_NFkB', 'unstim_gdT_168Er_pSTAT6', 'unstim_Granulocytes_149Sm_CREB', 'unstim_Granulocytes_155Gd_S6', 'unstim_Th1naive_149Sm_CREB', 'unstim_Th1naive_150Nd_STAT5', 'unstim_Th1naive_164Dy_IkB', 'unstim_Th1naive_166Er_NFkB', 'unstim_Th1naive_167Er_ERK', 'unstim_Th2_168Er_pSTAT6', 'unstim_Tregnaive_150Nd_STAT5', 'unstim_Tregnaive_155Gd_S6', 'unstim_Tregnaive_167Er_ERK', 'unstim_Bcells_Frequency', 'unstim_CD4Tcm_Frequency', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_CD56dimCD16posNK_Frequency', 'unstim_CD8Tcm_Frequency', 'unstim_gdT_Frequency', 'unstim_ncMC_Frequency', 'unstim_NK_Frequency', 'unstim_pDC_Frequency', 'unstim_Th2_Frequency', 'unstim_Tregmem_Frequency', 'unstim_Tregnaive_Frequency', 'LPS_CD56brightCD16negNK_159Tb_MAPKAPK2', 'IL246_Bcells_150Nd_STAT5', 'IL246_CD4T_153Eu_STAT1', 'IL246_CD56brightCD16negNK_155Gd_S6', 'IL246_CD56brightCD16negNK_164Dy_IkB', 'IL246_CD56brightCD16negNK_166Er_NFkB', 'IL246_CD8T_154Sm_STAT3', 'IL246_CD8Tcm_166Er_NFkB', 'IL246_CD8Tem_154Sm_STAT3', 'IL246_DC_150Nd_STAT5', 'IL246_DC_151Eu_p38', 'IL246_DC_154Sm_STAT3', 'IL246_gdT_154Sm_STAT3', 'IL246_Granulocytes_154Sm_STAT3', 'IL246_MDSC_153Eu_STAT1', 'IL246_ncMC_154Sm_STAT3', 'IL246_NKT_149Sm_CREB', 'IL246_pDC_150Nd_STAT5', 'IL246_pDC_166Er_NFkB', 'IL246_Th1_149Sm_CREB', 'IL246_Th1_164Dy_IkB', 'IL246_Th1mem_154Sm_STAT3', 'IL246_Th1mem_164Dy_IkB', 'IL246_Th1mem_167Er_ERK', 'IL246_Th1naive_153Eu_STAT1', 'IL246_Th1naive_164Dy_IkB', 'IL246_Th1naive_168Er_pSTAT6', 'IL246_Treg_154Sm_STAT3', 'IL246_Tregnaive_151Eu_p38', 'IL246_Tregnaive_155Gd_S6', 'PRO_SAMHD1', 'PRO_WWOX', 'PRO_MTHFD2', 'PRO_ITGAV|ITGB3', 'PRO_CNTN3', 'PRO_CTNNA3', 'PRO_IL1B', 'PRO_CCL3', 'PRO_FCGR1A', 'PRO_SIGLEC1', 'PRO_PPIB', 'PRO_BIRC3', 'PRO_IFNL3', 'PRO_ASAH1', 'PRO_TNFSF10', 'PRO_RAP2A', 'PRO_IRF6']",79
Fold 8,"['unstim_DC_166Er_NFkB', 'unstim_Th1naive_150Nd_STAT5', 'unstim_Th1naive_167Er_ERK', 'unstim_Tregnaive_150Nd_STAT5', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_CD56dimCD16posNK_Frequency', 'unstim_CD8Tcm_Frequency', 'unstim_pDC_Frequency', 'LPS_CD56brightCD16negNK_159Tb_MAPKAPK2', 'LPS_CD56brightCD16negNK_166Er_NFkB', 'LPS_CXCR4neutro_164Dy_IkB', 'LPS_DC_155Gd_S6', 'LPS_DC_167Er_ERK', 'LPS_Granulocytes_159Tb_MAPKAPK2', 'IL246_Bcells_150Nd_STAT5', 'IL246_CD4T_153Eu_STAT1', 'IL246_CD8Tem_154Sm_STAT3', 'IL246_Granulocytes_154Sm_STAT3', 'IL246_mDC_167Er_ERK', 'IL246_ncMC_167Er_ERK', 'IL246_Th1mem_154Sm_STAT3', 'IL246_Th1mem_164Dy_IkB', 'IL246_Th1naive_153Eu_STAT1', 'PRO_SAMHD1', 'PRO_BLK', 'PRO_LDLR', 'PRO_WWOX', 'PRO_IL1B', 'PRO_CCL3', 'PRO_CSF2', 'PRO_BIRC3', 'PRO_IFNL3', 'PRO_ALK', 'PRO_TNFSF10', 'PRO_IRF6']",36
Fold 9,"['unstim_Th1naive_150Nd_STAT5', 'unstim_Th1naive_167Er_ERK', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_Tregnaive_Frequency', 'IL246_Bcells_150Nd_STAT5', 'IL246_CD4T_153Eu_STAT1', 'IL246_CD56brightCD16negNK_155Gd_S6', 'IL246_CD8T_154Sm_STAT3', 'IL246_CD8Tem_154Sm_STAT3', 'IL246_CD8Trm_154Sm_STAT3', 'IL246_CXCR4neutro_150Nd_STAT5', 'IL246_DC_150Nd_STAT5', 'IL246_DC_154Sm_STAT3', 'IL246_DC_155Gd_S6', 'IL246_DC_159Tb_MAPKAPK2', 'IL246_gdT_154Sm_STAT3', 'IL246_Granulocytes_154Sm_STAT3', 'IL246_Granulocytes_166Er_NFkB', 'IL246_intMC_150Nd_STAT5', 'IL246_MDSC_153Eu_STAT1', 'IL246_ncMC_159Tb_MAPKAPK2', 'IL246_NKT_154Sm_STAT3', 'IL246_pDC_150Nd_STAT5', 'IL246_Th1_164Dy_IkB', 'IL246_Th1mem_154Sm_STAT3', 'IL246_Th1mem_164Dy_IkB', 'IL246_Th1mem_166Er_NFkB', 'IL246_Th1naive_153Eu_STAT1', 'IL246_Th1naive_164Dy_IkB', 'IL246_Treg_154Sm_STAT3', 'PRO_MYC', 'PRO_SAMHD1', 'PRO_ARL11', 'PRO_RNASET2', 'PRO_WWOX', 'PRO_HRAS', 'PRO_ITGAV|ITGB3', 'PRO_CTNNA3', 'PRO_FCGR1A', 'PRO_CSF2', 'PRO_IL18', 'PRO_ASAH1', 'PRO_ALK', 'PRO_TNFSF10', 'PRO_IRF6']",46
